Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Jute Mallow Production,0102800000,Ilocos Norte,188.19,193.51,198.78,200.46,200.44,193.38,193.28,195.18,192.5,196.34,110.54
Overall Jute Mallow Production,0102900000,Ilocos Sur,32.78,81.54,39.18,99.6,38.33,84.64,38.88,84.89,39.34,85.58,14.81
Overall Jute Mallow Production,0103300000,La Union,21.27,19.06,21.97,19.65,22.36,18.45,22.57,19.65,23.21,18.58,5.38
Overall Jute Mallow Production,0105500000,Pangasinan,60.85,187.5,61.76,190.91,61.12,163.85,61.69,165.16,60.45,157.49,15.51
Overall Jute Mallow Production,0200900000,Batanes,0.01,0.04,0.02,0.05,0.03,0.08,0.05,1.2,,0.06,
Overall Jute Mallow Production,0201500000,Cagayan,9.96,2.12,7.76,2.06,8.28,3.91,8.0,3.9,8.9,17.28,4.46
Overall Jute Mallow Production,0203100000,Isabela,9.1,9.49,8.19,9.01,7.45,8.83,8.02,8.8,8.32,8.96,5.05
Overall Jute Mallow Production,0205000000,Nueva Vizcaya,12.87,24.52,14.03,25.44,20.34,23.96,17.19,18.51,18.77,19.3,17.71
Overall Jute Mallow Production,0205700000,Quirino,3.32,4.11,3.84,4.56,3.97,4.73,4.08,5.55,4.45,6.22,1.53
Overall Jute Mallow Production,0300800000,Bataan,2.09,6.74,2.49,5.65,2.54,4.27,2.37,5.23,2.37,5.07,1.31
Overall Jute Mallow Production,0301400000,Bulacan,,,,,,0.02,67.51,56.74,11.35,59.06,5.7
Overall Jute Mallow Production,0304900000,Nueva Ecija,5.75,37.92,4.95,36.75,5.01,37.43,5.36,47.36,5.69,46.01,0.52
Overall Jute Mallow Production,0305400000,Pampanga,7.1,2.61,6.84,1.78,7.01,1.76,7.0,1.74,6.95,1.76,5.92
Overall Jute Mallow Production,0306900000,Tarlac,13.48,7.21,14.6,6.85,18.25,7.17,18.79,7.35,17.97,7.28,3.46
Overall Jute Mallow Production,0307100000,Zambales,18.57,22.88,18.13,21.5,14.95,9.14,15.7,9.23,1.57,4.37,5.77
Overall Jute Mallow Production,0307700000,Aurora,19.02,26.85,31.39,39.69,47.22,27.24,40.17,28.41,3.32,5.51,2.83
Overall Jute Mallow Production,0401000000,Batangas,,,,,,,,,,,
Overall Jute Mallow Production,0402100000,Cavite,3.02,4.57,3.15,4.1,3.44,,2.44,0.52,1.04,0.53,2.08
Overall Jute Mallow Production,0403400000,Laguna,2.64,2.41,2.66,2.41,2.84,5.37,4.45,4.53,4.45,12.42,1.21
Overall Jute Mallow Production,0405600000,Quezon,,,,,,,0.25,0.05,0.23,0.09,
Overall Jute Mallow Production,0405800000,Rizal,0.29,1.94,0.33,2.01,0.33,2.36,0.46,6.7,3.03,3.92,1.07
