Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Lemongrass Production,0102800000,Ilocos Norte,,,,,,,,,,,,,,0.02,,0.33,0.09,0.14,0.08,0.45,0.1
Overall Lemongrass Production,0102900000,Ilocos Sur,,,,,,,,,,,,,0.01,,,,0.01,,,,0.01
Overall Lemongrass Production,0103300000,La Union,0.22,0.12,0.83,5.87,0.26,0.13,0.88,6.57,0.28,0.15,0.84,6.77,0.31,0.19,0.91,7.17,0.33,0.18,0.86,6.54,0.25
Overall Lemongrass Production,0105500000,Pangasinan,,,,,,,,,,,0.01,0.03,0.03,,0.02,0.03,,,0.02,0.03,0.02
Overall Lemongrass Production,0200900000,Batanes,,,,,,,,,,,,,,,,,,,,,
Overall Lemongrass Production,0201500000,Cagayan,,,,,,,,,,,32.59,0.04,0.24,,3.42,0.03,0.25,0.39,,0.19,0.38
Overall Lemongrass Production,0203100000,Isabela,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,0.28,0.01,,0.01,0.29,0.02,,0.01,0.31
Overall Lemongrass Production,0205000000,Nueva Vizcaya,0.15,,,,0.16,,,,0.16,,0.03,,0.15,,0.26,0.11,0.16,,0.21,0.11,0.15
Overall Lemongrass Production,0205700000,Quirino,,,,,,,,,,,,,0.18,0.05,,0.49,0.2,0.1,,0.42,0.42
Overall Lemongrass Production,0300800000,Bataan,,,,,,,,,,,,,,,,,,,8.51,,
Overall Lemongrass Production,0301400000,Bulacan,12.51,9.21,7.82,3.8,11.61,10.99,6.84,4.66,11.53,13.29,6.09,4.76,12.8,14.83,5.75,4.32,12.9,13.03,5.92,4.54,13.93
Overall Lemongrass Production,0304900000,Nueva Ecija,,,,,,,,,,,,,0.02,,,6.2,6.75,3.75,2.13,6.44,4.62
Overall Lemongrass Production,0305400000,Pampanga,,,2.1,1.06,,,2.12,1.05,,,2.1,1.06,,,2.07,1.14,1.77,,2.07,1.15,1.76
Overall Lemongrass Production,0306900000,Tarlac,,,,,,,,,,,,,,,,,,,,,
Overall Lemongrass Production,0307100000,Zambales,,,,,,,,,,,,,,,0.09,0.04,0.04,,,,
Overall Lemongrass Production,0307700000,Aurora,,,,,,,,,,,,,0.88,,,0.12,0.64,0.03,0.2,0.07,0.74
Overall Lemongrass Production,0401000000,Batangas,,,,,,,,,,,,,0.01,,0.05,2.45,0.09,,0.3,2.86,
Overall Lemongrass Production,0402100000,Cavite,,,,,,,,,,,,,0.21,,,0.04,8.65,0.02,0.01,0.03,8.3
Overall Lemongrass Production,0403400000,Laguna,3.1,3.96,3.25,3.0,3.11,3.97,4.06,2.7,4.06,5.96,4.05,4.03,4.5,6.12,4.52,7.75,6.73,7.12,2.25,3.38,8.81
Overall Lemongrass Production,0405600000,Quezon,,,,,,,,,,,,,,0.01,0.04,26.91,1.98,0.02,0.15,24.24,
Overall Lemongrass Production,0405800000,Rizal,0.16,0.07,3.98,0.42,0.2,6.0,10.69,5.88,3.6,7.75,9.0,6.0,2.97,7.5,8.87,4.58,1.67,6.44,11.59,5.49,1.72
Overall Lemongrass Production,0500500000,Albay,13.19,32.19,29.54,38.63,15.36,36.97,32.09,37.29,20.81,42.46,28.46,35.18,3.04,33.0,0.69,30.76,4.23,27.05,7.85,2.22,6.0
Overall Lemongrass Production,0501600000,Camarines Norte,,,,,,,,,,,0.03,0.1,,,,0.16,,,,0.21,1.0
Overall Lemongrass Production,0501700000,Camarines Sur,1.59,1.43,1.76,1.41,1.03,2.76,2.1,2.15,0.75,5.03,2.1,1.64,0.5,2.49,2.5,0.46,6.9,7.67,9.64,3.6,11.24
Overall Lemongrass Production,0502000000,Catanduanes,0.6,0.37,0.75,1.51,0.63,0.61,1.18,1.35,0.64,0.75,0.9,1.42,0.72,0.74,0.92,1.2,,0.66,0.68,1.32,4.74
Overall Lemongrass Production,0504100000,Masbate,0.71,0.59,1.25,0.67,0.72,0.61,1.28,0.69,0.74,0.62,1.25,,0.88,0.59,1.41,,1.29,0.7,1.31,,1.34
Overall Lemongrass Production,0506200000,Sorsogon,3.21,24.15,5.04,3.5,2.28,22.94,5.19,2.86,1.75,25.64,0.1,2.38,1.4,15.38,0.77,0.05,1.47,9.99,0.35,0.07,2.13
Overall Lemongrass Production,0600400000,Aklan,18.85,41.11,21.45,20.19,19.05,45.28,22.05,20.89,20.42,45.9,21.31,20.19,19.44,44.09,21.6,20.42,19.66,45.57,22.33,21.11,17.41
Overall Lemongrass Production,0600600000,Antique,36.66,4.29,33.53,33.19,37.2,4.73,32.47,34.0,37.0,4.71,32.86,34.0,37.89,4.72,33.11,37.23,37.9,4.72,18.97,38.7,34.92
Overall Lemongrass Production,0601900000,Capiz,55.81,52.99,53.26,60.49,58.99,56.03,54.59,66.6,60.76,57.92,,68.2,60.12,54.75,37.85,69.15,60.5,55.94,38.67,70.65,59.85
Overall Lemongrass Production,0603000000,Iloilo,22.0,36.0,50.0,39.0,24.0,40.0,55.0,42.0,25.0,45.0,61.88,44.17,18.57,33.43,45.97,32.81,17.48,38.0,58.74,34.4,30.38
Overall Lemongrass Production,0607900000,Guimaras,22.61,20.0,46.41,47.43,31.78,28.3,49.13,51.32,35.04,32.45,43.25,54.0,37.49,30.0,54.06,60.15,40.52,35.85,64.6,71.88,43.94
Overall Lemongrass Production,0701200000,Bohol,2.7,12.58,15.3,22.92,1.56,18.44,16.26,24.04,2.15,22.63,49.58,57.71,67.84,75.22,69.86,65.0,69.0,98.1,50.71,69.79,77.25
Overall Lemongrass Production,0702200000,Cebu,93.0,75.0,100.77,140.0,90.0,81.0,111.0,150.0,92.0,67.5,116.84,160.0,47.5,54.73,111.36,152.5,76.5,70.86,110.74,148.3,80.43
Overall Lemongrass Production,0802600000,Eastern Samar,0.5,0.37,0.62,0.38,0.49,0.38,0.73,0.41,0.63,0.53,0.74,0.76,1.29,0.7,0.73,0.7,1.32,0.71,0.59,0.62,1.08
Overall Lemongrass Production,0803700000,Leyte,0.56,0.94,1.65,0.53,0.6,0.88,1.64,0.98,0.61,0.76,7.4,1.0,2.4,23.85,7.45,1.1,2.45,23.99,7.7,1.15,2.4
Overall Lemongrass Production,0804800000,Northern Samar,1.65,1.72,1.79,1.79,2.12,1.74,1.8,2.69,2.22,1.75,1.79,2.65,2.18,1.95,1.9,2.67,2.5,1.9,1.95,2.14,2.6
Overall Lemongrass Production,0806000000,Samar (Western Samar),5.89,1.09,3.59,6.34,7.8,1.27,4.13,7.17,6.71,1.56,3.24,7.7,6.64,2.46,3.32,8.58,10.98,2.6,3.56,9.06,9.98
Overall Lemongrass Production,0806400000,Southern Leyte,2.52,0.3,0.57,0.35,0.97,0.22,0.48,0.42,1.3,0.28,0.52,0.48,2.23,0.61,0.6,4.4,5.4,6.43,22.67,4.2,25.59
Overall Lemongrass Production,0807800000,Biliran,1.3,0.66,2.0,0.62,1.74,0.69,3.11,0.65,2.74,1.01,3.14,0.78,1.41,0.91,1.6,0.64,1.96,0.95,1.29,0.56,1.82
Overall Lemongrass Production,0906600000,,,,,,,,,,,,,,0.06,0.04,0.06,,0.05,0.04,0.06,0.07,0.05
Overall Lemongrass Production,0907200000,Zamboanga del Norte,1.02,1.2,2.65,3.15,1.0,1.28,3.15,3.87,1.29,1.53,3.85,4.31,1.17,2.48,4.08,4.55,1.28,2.6,4.28,4.78,1.22
Overall Lemongrass Production,0907300000,Zamboanga del Sur,6.66,10.62,15.03,11.18,6.81,11.0,15.67,12.09,14.0,14.08,24.1,15.07,12.32,13.3,25.46,16.16,13.02,11.06,10.09,11.48,10.8
Overall Lemongrass Production,0907400000,Zamboanga City,8.76,5.87,11.11,4.66,9.17,6.18,11.15,4.89,,,,,,,,,,6.0,5.13,5.23,5.61
Overall Lemongrass Production,0908300000,Zamboanga Sibugay,3.15,2.49,2.86,1.03,3.22,2.5,2.59,0.95,2.75,2.87,2.67,1.06,2.8,2.97,2.75,1.09,2.94,3.12,2.97,1.41,3.16
Overall Lemongrass Production,1001300000,Bukidnon,9.9,23.72,69.04,397.72,9.5,25.0,70.0,399.0,12.96,28.13,71.5,401.0,32.12,23.84,78.0,365.5,34.64,35.0,81.28,355.66,48.68
Overall Lemongrass Production,1001800000,Camiguin,22.73,10.6,6.9,5.25,27.15,12.47,7.49,7.64,28.29,16.55,7.7,10.0,24.64,12.46,8.93,11.07,28.43,24.34,17.72,19.79,29.68
Overall Lemongrass Production,1003500000,Lanao del Norte,4.8,68.2,86.0,23.0,5.5,65.0,85.35,24.6,5.65,68.6,84.65,26.0,5.6,67.0,85.0,27.0,6.2,68.0,86.0,27.6,6.46
Overall Lemongrass Production,1004200000,Misamis Occidental,6.0,9.5,15.0,7.2,9.17,9.95,18.0,9.0,11.0,12.07,20.0,10.0,10.67,12.55,20.87,9.74,36.9,13.68,22.02,10.08,37.93
Overall Lemongrass Production,1004300000,Misamis Oriental,96.0,74.0,65.0,98.6,96.25,75.05,95.59,128.18,122.8,119.45,75.6,130.0,156.67,89.5,73.73,121.7,154.0,91.66,72.88,123.49,157.0
Overall Lemongrass Production,1102300000,Davao del Norte,1.16,2.84,4.78,1.59,1.17,2.85,4.8,1.98,1.16,2.95,4.93,1.98,1.18,2.86,4.97,2.2,1.75,2.87,5.6,1.96,1.85
Overall Lemongrass Production,1102400000,Davao del Sur,20.89,15.96,48.15,39.57,21.23,16.03,47.42,40.11,29.84,25.2,58.95,65.26,28.41,26.41,58.3,63.71,29.42,17.25,38.59,41.63,18.69
Overall Lemongrass Production,1102500000,Davao Oriental,2.64,4.48,2.55,5.82,3.12,5.34,2.47,5.06,2.68,4.68,2.58,5.44,3.39,4.53,2.64,5.56,3.24,4.6,2.56,6.02,4.79
Overall Lemongrass Production,1108200000,Davao de Oro (Compostela Valley),3.21,4.74,3.76,8.9,3.54,5.96,4.11,8.95,3.69,6.51,22.71,10.41,8.62,7.06,21.23,10.81,8.96,7.31,22.0,11.89,8.79
Overall Lemongrass Production,1108600000,Davao Occidental,0.05,0.06,0.07,0.06,0.05,0.06,0.09,0.06,0.05,0.1,0.09,0.07,0.06,0.13,0.1,0.07,0.53,0.12,0.09,0.07,0.21
Overall Lemongrass Production,1130700000,Davao City,7.77,8.33,9.15,22.39,7.93,8.4,10.57,23.45,,,,,,,,,,8.1,9.6,10.39,9.73
Overall Lemongrass Production,1204700000,Cotabato (North Cotabato),8.15,8.5,7.0,7.8,8.18,8.7,7.15,8.5,8.5,8.9,6.51,7.83,5.81,7.36,4.28,8.97,7.39,9.55,6.45,11.12,9.26
Overall Lemongrass Production,1206300000,South Cotabato,7.65,1.89,7.2,6.87,8.0,2.0,8.0,7.5,9.0,2.5,10.0,8.14,,2.13,8.3,7.83,6.18,3.1,25.73,12.68,0.25
Overall Lemongrass Production,1206500000,Sultan Kudarat,2.87,2.18,3.1,3.4,3.0,4.0,3.1,3.4,3.14,4.3,3.3,4.5,3.5,4.0,3.5,5.0,3.8,4.1,3.3,5.5,4.2
Overall Lemongrass Production,1208000000,Sarangani,0.35,1.18,1.95,0.8,0.36,1.19,1.98,0.81,0.4,1.2,1.85,0.44,0.36,1.25,2.0,0.55,0.4,1.3,2.0,0.6,0.39
Overall Lemongrass Production,1400100000,Abra,,,,,,,,,,,,,,,,,0.28,,,,
Overall Lemongrass Production,1401100000,Benguet,,,,,,,,,,,,,,,,,,,,,
Overall Lemongrass Production,1402700000,Ifugao,,,,,,,,,,,,,,,,,,,,,
Overall Lemongrass Production,1403200000,Kalinga,,,,,,,,,,,,,,,,,,,,,
Overall Lemongrass Production,1404400000,Mountain Province,,,,,,,,,,,,,,,,,,,,,
Overall Lemongrass Production,1408100000,Apayao,,,,,,,,,,,,,,,,,0.24,,,,0.2
Overall Lemongrass Production,1600200000,Agusan del Norte,22.95,37.1,35.15,36.0,20.89,38.3,36.12,38.0,20.0,46.55,35.8,36.33,20.96,39.49,35.5,37.0,22.75,43.2,36.5,39.5,14.02
Overall Lemongrass Production,1600300000,Agusan del Sur,3.45,4.2,7.5,11.75,3.22,3.71,6.5,12.65,3.14,4.03,6.92,22.01,4.16,8.66,8.85,27.63,4.5,9.0,8.93,28.02,6.63
Overall Lemongrass Production,1606700000,Surigao del Norte,1.15,7.85,4.85,4.74,0.57,4.83,3.56,3.86,0.85,4.33,3.93,7.59,4.26,5.31,6.23,7.69,4.9,14.79,14.48,8.43,7.15
Overall Lemongrass Production,1606800000,Surigao del Sur,4.4,68.58,14.5,55.0,4.5,85.73,22.35,86.63,4.6,159.64,0.74,69.42,38.48,19.84,19.92,7.47,9.73,13.51,13.43,13.11,21.85
Overall Lemongrass Production,1608500000,Dinagat Islands,1.99,1.2,1.81,0.25,1.8,1.05,1.09,0.24,2.04,1.2,0.78,1.88,4.62,2.49,1.0,1.94,2.17,2.63,1.97,1.72,2.18
Overall Lemongrass Production,1630400000,Butuan City,,,,,,,,,,,,,,,,,,,,,7.22
Overall Lemongrass Production,1704000000,Marinduque,,,,,,,,,,,,0.1,,,,0.08,,,0.04,0.1,
Overall Lemongrass Production,1705100000,Occidental Mindoro,,,,,,,,,,,,,1.2,,,,,,,,
Overall Lemongrass Production,1705200000,Oriental Mindoro,0.51,0.04,2.9,0.15,0.55,0.03,3.27,0.13,0.43,0.03,1.82,0.04,0.72,0.03,1.85,0.05,0.79,0.04,2.56,0.08,0.84
Overall Lemongrass Production,1705300000,Palawan,1.59,1.16,2.63,1.2,0.92,0.74,0.8,1.68,0.68,1.31,1.0,1.18,0.58,1.39,1.1,1.21,0.6,1.35,1.5,1.29,0.64
Overall Lemongrass Production,1705900000,Romblon,,,,,,,,,,,0.82,1.36,0.59,1.52,0.9,1.04,1.26,1.07,1.7,1.75,3.56
Overall Lemongrass Production,1731500000,Puerto Princesa City,,,,,,,,,,,,,,,,,,,,,0.4
Overall Lemongrass Production,1804500000,Negros Occidental,36.0,16.18,128.86,170.56,30.0,16.0,150.0,165.0,28.64,18.49,173.34,190.67,26.0,16.89,170.0,225.0,25.0,22.05,165.0,193.56,23.9
Overall Lemongrass Production,1804600000,Negros Oriental,8.75,8.0,17.0,15.0,9.0,10.0,20.0,20.0,9.5,12.0,25.0,24.0,8.5,16.06,12.93,14.26,10.01,16.5,21.3,13.45,17.21
Overall Lemongrass Production,1806100000,Siquijor,3.42,1.76,2.51,2.39,3.51,1.78,2.53,3.25,3.18,2.0,2.7,4.42,4.86,2.1,3.57,4.43,3.1,2.25,4.0,7.77,3.71
Overall Lemongrass Production,1830200000,Bacolod City,,,,,,,,,,,,,,,,,,,,,0.03
Overall Lemongrass Production,1900700000,Basilan,,,,1.27,,0.14,0.21,1.49,0.09,0.16,1.4,1.48,0.92,0.1,1.3,0.07,4.02,0.12,0.89,0.71,0.08
Overall Lemongrass Production,1903600000,Lanao del Sur,19.23,27.25,34.05,,19.19,27.07,34.06,,19.16,26.99,34.07,,19.15,,34.1,3.05,,,34.16,3.06,19.17
Overall Lemongrass Production,1907000000,Tawi-Tawi,3.8,2.8,5.76,3.2,3.99,3.5,5.9,3.4,3.52,3.8,6.6,3.6,3.8,3.5,7.0,3.8,4.7,8.1,20.0,6.2,20.48
Overall Lemongrass Production,1908700000,Maguindanao del Norte,,,,,,,,,,,,,,,,,5.0,1.25,1.42,1.8,1.5
Overall Lemongrass Production,1908800000,Maguindanao del Sur,3.6,1.05,1.9,2.5,3.65,1.12,1.92,2.52,3.66,1.12,1.95,2.55,3.6,1.05,1.95,2.65,1.2,1.3,1.3,1.5,1.4
