Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Lettuce Production,0102800000,Ilocos Norte,,,,,,,,,,,,,,,,,,0.07,,0.08,0.01
Overall Lettuce Production,0102900000,Ilocos Sur,,,,,,,,,,,,,,,,,,,,,
Overall Lettuce Production,0103300000,La Union,,,,,,,,,,,,,,,,,,,,,
Overall Lettuce Production,0105500000,Pangasinan,,,,,,,,,,,0.01,,0.05,0.02,0.01,,0.06,,,,0.12
Overall Lettuce Production,0200900000,Batanes,0.12,0.12,,,0.11,0.18,,,0.09,,,0.51,0.25,,,,0.45,0.26,,0.79,1.02
Overall Lettuce Production,0201500000,Cagayan,,,,,,,,,,,,,,,0.1,,,,0.15,0.15,4.65
Overall Lettuce Production,0203100000,Isabela,0.61,0.1,0.16,0.45,0.62,0.11,0.16,0.46,0.7,0.11,0.17,0.47,0.72,0.11,0.38,0.45,0.71,0.15,0.27,0.41,0.67
Overall Lettuce Production,0205000000,Nueva Vizcaya,,,0.33,0.2,,,0.34,0.19,,,2.4,,,11.49,7.84,24.28,2.28,10.08,5.89,15.12,8.94
Overall Lettuce Production,0205700000,Quirino,,,,,,,,,,,,,,,,,,,,,
Overall Lettuce Production,0300800000,Bataan,,,,0.41,,,,,,,,,0.32,1.2,0.4,1.8,1.0,1.1,0.5,1.61,0.89
Overall Lettuce Production,0301400000,Bulacan,0.04,,,0.55,0.05,0.05,,0.53,0.05,0.03,0.04,0.56,0.06,0.03,0.03,0.65,,,0.04,0.66,4.4
Overall Lettuce Production,0304900000,Nueva Ecija,,,,,,,,,,,,,,0.1,,0.26,,,,,
Overall Lettuce Production,0305400000,Pampanga,0.4,0.53,0.39,0.5,0.44,0.57,0.44,0.54,0.49,0.65,0.43,0.58,2.41,0.79,0.42,0.66,2.69,0.82,0.41,0.66,1.48
Overall Lettuce Production,0306900000,Tarlac,,,,4.75,,,,4.8,,,,4.92,,,,4.6,,,,,
Overall Lettuce Production,0307100000,Zambales,,,,,,,,,,,0.09,0.23,0.24,0.26,0.25,0.24,0.28,0.28,0.27,0.24,0.92
Overall Lettuce Production,0307700000,Aurora,,,,,,,,,,,,,,,,,,,,,
Overall Lettuce Production,0401000000,Batangas,,,,,0.1,0.43,4.0,,,,,0.49,1.55,5.0,,2.53,3.86,5.35,1.5,1.27,1.64
Overall Lettuce Production,0402100000,Cavite,56.65,36.95,23.79,42.68,71.48,35.6,30.04,36.99,82.46,27.48,32.26,32.84,137.03,18.99,60.72,36.42,136.93,26.47,134.98,149.35,135.89
Overall Lettuce Production,0403400000,Laguna,45.0,54.6,47.6,63.93,46.47,62.53,51.17,53.27,55.03,60.29,51.16,39.95,54.2,53.06,62.67,38.01,56.12,66.32,55.0,43.74,59.6
Overall Lettuce Production,0405600000,Quezon,,,,,,,,,2.95,8.3,,,3.08,7.97,0.94,,2.8,7.66,0.92,3.52,4.1
Overall Lettuce Production,0405800000,Rizal,,,,,,,,,,,0.74,,11.18,6.37,3.5,2.4,15.0,6.0,14.26,10.24,12.86
Overall Lettuce Production,0500500000,Albay,,,,,,,,,,,,,,,,,4.46,,,0.02,
Overall Lettuce Production,0501600000,Camarines Norte,,,,,,,,,,,,,,,,,,,,,
Overall Lettuce Production,0501700000,Camarines Sur,,,,,,,,1.32,,,4.92,1.2,3.78,6.78,5.05,0.32,1.2,1.33,,,6.75
Overall Lettuce Production,0502000000,Catanduanes,,,,,,,,,,,,0.14,0.41,,,,,,1.19,0.19,0.3
Overall Lettuce Production,0504100000,Masbate,,,,,,,,,,,,0.08,0.05,0.09,,,,0.06,0.05,,
Overall Lettuce Production,0506200000,Sorsogon,,,,,,,,,,,,7.93,2.0,2.0,,,0.36,1.4,,,1.18
Overall Lettuce Production,0600400000,Aklan,0.17,0.19,0.81,0.27,,0.22,0.85,0.29,0.18,0.23,0.81,0.28,0.16,,0.82,0.28,0.35,7.2,6.37,3.81,1.65
Overall Lettuce Production,0600600000,Antique,,,,,,,0.5,2.24,2.8,3.24,0.17,2.86,3.24,3.85,4.34,2.92,3.63,4.87,,3.5,4.07
Overall Lettuce Production,0601900000,Capiz,,,0.18,0.26,,0.17,0.19,0.24,0.02,0.2,0.22,0.22,0.03,0.3,0.19,0.3,0.03,0.25,0.68,0.49,1.25
Overall Lettuce Production,0603000000,Iloilo,24.5,9.66,3.7,10.68,22.0,7.5,3.4,11.8,24.0,9.38,3.76,13.05,21.5,8.4,3.37,11.7,46.0,8.6,4.14,26.44,30.5
Overall Lettuce Production,0607900000,Guimaras,0.9,0.5,0.25,0.93,1.29,1.1,1.33,1.2,1.61,1.5,0.59,1.4,1.93,1.6,1.27,2.75,2.9,1.9,2.5,4.13,7.75
Overall Lettuce Production,0701200000,Bohol,1.25,3.44,3.92,4.67,1.83,5.97,4.12,6.21,3.33,8.32,3.36,7.5,6.0,12.0,10.0,8.18,15.22,8.55,55.23,9.0,11.01
Overall Lettuce Production,0702200000,Cebu,26.8,10.0,26.34,27.0,22.5,12.0,28.0,29.0,18.22,8.54,26.95,32.0,39.0,8.0,28.54,39.93,24.97,8.25,35.15,33.64,24.81
Overall Lettuce Production,0802600000,Eastern Samar,,,,,,,,,,,,,,,,,,,,,
Overall Lettuce Production,0803700000,Leyte,0.73,0.21,0.27,7.19,0.77,0.2,0.28,7.18,,0.25,0.2,7.16,0.73,1.0,1.0,6.98,0.74,0.73,1.2,7.4,0.74
