Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Lettuce Production,0102800000,Ilocos Norte,,,,,,,,,0.07,0.08
Overall Lettuce Production,0102900000,Ilocos Sur,,,,,,,,,,
Overall Lettuce Production,0103300000,La Union,,,,,,,,,,
Overall Lettuce Production,0105500000,Pangasinan,,,,,,0.01,0.07,0.01,0.06,
Overall Lettuce Production,0200900000,Batanes,0.24,,0.29,,0.09,0.51,0.25,,0.71,0.79
Overall Lettuce Production,0201500000,Cagayan,,,,,,,,0.1,,0.3
Overall Lettuce Production,0203100000,Isabela,0.71,0.61,0.73,0.62,0.81,0.64,0.83,0.83,0.86,0.68
Overall Lettuce Production,0205000000,Nueva Vizcaya,,0.53,,0.53,,2.4,11.49,32.12,12.36,21.01
Overall Lettuce Production,0205700000,Quirino,,,,,,,,,,
Overall Lettuce Production,0300800000,Bataan,,0.41,,,,,1.52,2.2,2.1,2.11
Overall Lettuce Production,0301400000,Bulacan,0.04,0.55,0.1,0.53,0.08,0.6,0.09,0.68,,0.7
Overall Lettuce Production,0304900000,Nueva Ecija,,,,,,,0.1,0.26,,
Overall Lettuce Production,0305400000,Pampanga,0.93,0.89,1.01,0.98,1.14,1.01,3.2,1.08,3.51,1.07
Overall Lettuce Production,0306900000,Tarlac,,4.75,,4.8,,4.92,,4.6,,
Overall Lettuce Production,0307100000,Zambales,,,,,,0.32,0.5,0.49,0.56,0.51
Overall Lettuce Production,0307700000,Aurora,,,,,,,,,,
Overall Lettuce Production,0401000000,Batangas,,,0.53,4.0,,0.49,6.55,2.53,9.21,2.77
Overall Lettuce Production,0402100000,Cavite,93.6,66.47,107.08,67.03,109.94,65.1,156.02,97.14,163.4,284.33
Overall Lettuce Production,0403400000,Laguna,99.6,111.53,109.0,104.44,115.32,91.11,107.26,100.68,122.44,98.74
Overall Lettuce Production,0405600000,Quezon,,,,,11.25,,11.05,0.94,10.46,4.44
Overall Lettuce Production,0405800000,Rizal,,,,,,0.74,17.55,5.9,21.0,24.5
