Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Malabar Spinach Production,0102800000,Ilocos Norte,,,,,,,,,,,0.05,,,0.31,0.06,0.01,0.22,0.47,0.04,0.59,0.08
Overall Malabar Spinach Production,0102900000,Ilocos Sur,,,,,,,,,,,,,0.05,,0.01,0.02,0.04,0.02,,0.02,
Overall Malabar Spinach Production,0103300000,La Union,0.22,0.02,0.86,1.2,0.23,0.02,0.89,1.3,0.25,0.03,0.75,1.66,0.22,0.03,0.81,1.84,0.22,0.03,0.87,1.39,0.25
Overall Malabar Spinach Production,0105500000,Pangasinan,0.4,0.96,1.47,0.94,0.42,0.98,1.48,0.9,0.3,1.0,1.0,0.66,0.29,1.0,1.1,0.69,0.32,1.05,1.57,0.75,0.3
Overall Malabar Spinach Production,0200900000,Batanes,0.06,0.01,0.01,0.1,0.01,0.01,0.01,0.11,0.01,0.02,0.01,0.13,0.02,0.04,0.01,,0.03,0.08,0.05,0.12,0.05
Overall Malabar Spinach Production,0201500000,Cagayan,42.3,24.56,22.24,17.74,45.47,25.15,23.37,15.45,42.21,24.95,18.83,17.45,38.5,23.75,20.8,7.08,49.7,25.75,25.82,14.15,51.37
Overall Malabar Spinach Production,0203100000,Isabela,17.31,9.96,9.01,18.12,11.34,9.3,7.61,13.1,9.25,9.0,7.5,7.46,7.17,8.75,7.65,7.3,7.39,8.95,7.59,7.45,7.94
Overall Malabar Spinach Production,0205000000,Nueva Vizcaya,3.7,0.12,1.79,12.22,4.32,0.15,2.39,11.61,7.02,0.17,2.09,12.15,4.48,0.16,2.24,3.1,5.75,0.17,2.6,3.11,6.27
Overall Malabar Spinach Production,0205700000,Quirino,3.65,1.69,4.26,0.83,4.04,1.93,5.19,0.91,3.49,2.33,5.34,0.99,3.19,2.26,5.59,0.91,3.67,2.65,5.32,0.94,5.16
Overall Malabar Spinach Production,0300800000,Bataan,,,,,,,,,,,,0.88,,,,1.27,,0.18,,6.68,
Overall Malabar Spinach Production,0301400000,Bulacan,19.37,18.18,37.05,15.75,17.46,17.0,34.33,15.33,16.83,23.23,55.55,15.85,17.48,17.42,44.18,15.24,17.88,19.21,49.87,15.47,18.03
Overall Malabar Spinach Production,0304900000,Nueva Ecija,,,,,,,,,,,,,,,,1.22,8.45,,,0.49,7.1
Overall Malabar Spinach Production,0305400000,Pampanga,12.0,1.95,1.75,3.72,11.0,1.96,1.74,3.71,12.0,1.96,1.73,3.7,12.05,1.95,1.74,3.72,9.42,1.94,1.74,3.71,9.38
Overall Malabar Spinach Production,0306900000,Tarlac,0.45,0.41,,,0.5,0.42,,,0.6,0.4,,,0.48,0.43,,,0.45,0.47,0.07,,0.43
Overall Malabar Spinach Production,0307100000,Zambales,,,,,,,,,,,,0.36,0.01,0.34,0.28,,3.25,,,0.82,0.86
Overall Malabar Spinach Production,0307700000,Aurora,,,,,,,,,,,,1.16,1.04,,0.27,0.11,0.91,2.6,0.11,0.24,
Overall Malabar Spinach Production,0401000000,Batangas,,,,,,,,,,,,,,,0.27,,2.8,3.0,0.7,,
Overall Malabar Spinach Production,0402100000,Cavite,0.13,0.14,0.43,0.75,0.16,0.17,0.5,1.45,0.05,0.17,0.35,,0.22,0.19,0.38,0.02,0.9,0.19,0.38,1.54,0.92
Overall Malabar Spinach Production,0403400000,Laguna,1.18,0.59,1.72,1.62,1.25,0.6,1.85,1.53,1.2,0.72,0.12,1.42,0.95,0.94,7.87,0.03,2.25,3.24,3.28,0.09,2.91
Overall Malabar Spinach Production,0405600000,Quezon,,,,,,,,,,,,,0.34,0.21,0.01,,0.31,0.22,1.84,0.27,0.16
Overall Malabar Spinach Production,0405800000,Rizal,,,0.46,2.4,,,0.47,2.3,,,0.49,3.05,2.5,5.69,0.55,3.4,3.6,1.23,0.5,2.92,3.05
Overall Malabar Spinach Production,0500500000,Albay,,,,,,,,,,,,,,,,,0.18,,,,0.2
