Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Malabar Spinach Production,0102800000,Ilocos Norte,,,,,,0.05,0.31,0.07,0.69,0.63
Overall Malabar Spinach Production,0102900000,Ilocos Sur,,,,,,,0.05,0.03,0.06,0.02
Overall Malabar Spinach Production,0103300000,La Union,0.24,2.06,0.25,2.19,0.28,2.41,0.25,2.65,0.25,2.26
Overall Malabar Spinach Production,0105500000,Pangasinan,1.36,2.41,1.4,2.38,1.3,1.66,1.29,1.79,1.37,2.32
Overall Malabar Spinach Production,0200900000,Batanes,0.07,0.11,0.02,0.12,0.03,0.14,0.06,0.01,0.11,0.17
Overall Malabar Spinach Production,0201500000,Cagayan,66.86,39.98,70.62,38.82,67.16,36.28,62.25,27.88,75.45,39.97
Overall Malabar Spinach Production,0203100000,Isabela,27.27,27.13,20.64,20.71,18.25,14.96,15.92,14.95,16.34,15.04
Overall Malabar Spinach Production,0205000000,Nueva Vizcaya,3.82,14.01,4.47,14.0,7.19,14.24,4.64,5.34,5.92,5.71
Overall Malabar Spinach Production,0205700000,Quirino,5.34,5.09,5.97,6.1,5.82,6.33,5.45,6.5,6.32,6.26
Overall Malabar Spinach Production,0300800000,Bataan,,,,,,0.88,,1.27,0.18,6.68
Overall Malabar Spinach Production,0301400000,Bulacan,37.55,52.8,34.46,49.66,40.06,71.4,34.9,59.42,37.09,65.34
Overall Malabar Spinach Production,0304900000,Nueva Ecija,,,,,,,,1.22,8.45,0.49
Overall Malabar Spinach Production,0305400000,Pampanga,13.95,5.47,12.96,5.45,13.96,5.43,14.0,5.46,11.36,5.45
Overall Malabar Spinach Production,0306900000,Tarlac,0.86,,0.92,,1.0,,0.91,,0.92,0.07
Overall Malabar Spinach Production,0307100000,Zambales,,,,,,0.36,0.35,0.28,3.25,0.82
Overall Malabar Spinach Production,0307700000,Aurora,,,,,,1.16,1.04,0.38,3.51,0.35
Overall Malabar Spinach Production,0401000000,Batangas,,,,,,,,0.27,5.8,0.7
Overall Malabar Spinach Production,0402100000,Cavite,0.27,1.18,0.33,1.95,0.22,0.35,0.41,0.4,1.09,1.92
Overall Malabar Spinach Production,0403400000,Laguna,1.77,3.34,1.85,3.38,1.92,1.54,1.89,7.9,5.49,3.37
Overall Malabar Spinach Production,0405600000,Quezon,,,,,,,0.55,0.01,0.53,2.11
Overall Malabar Spinach Production,0405800000,Rizal,,2.86,,2.77,,3.54,8.19,3.95,4.83,3.42
Overall Malabar Spinach Production,0500500000,Albay,,,,,,,,,0.18,
Overall Malabar Spinach Production,0501600000,Camarines Norte,,,,,,,,,,
Overall Malabar Spinach Production,0501700000,Camarines Sur,,,,,,,0.25,0.04,0.36,0.5
Overall Malabar Spinach Production,0502000000,Catanduanes,0.08,0.02,0.02,0.03,0.01,0.04,0.01,0.01,0.02,0.06
Overall Malabar Spinach Production,0504100000,Masbate,2.83,5.42,2.88,5.49,2.89,5.53,3.87,6.69,4.66,7.97
Overall Malabar Spinach Production,0506200000,Sorsogon,,,,,,0.19,1.58,0.1,0.25,0.08
Overall Malabar Spinach Production,0600400000,Aklan,495.47,757.43,495.58,812.45,513.45,773.37,501.5,758.61,499.5,470.36
Overall Malabar Spinach Production,0600600000,Antique,178.07,229.61,179.56,203.4,180.21,214.14,176.78,221.56,177.32,223.5
Overall Malabar Spinach Production,0601900000,Capiz,251.8,241.5,245.0,236.25,239.75,260.16,225.36,246.22,223.75,226.55
Overall Malabar Spinach Production,0603000000,Iloilo,2290.0,1941.49,2310.25,2079.48,2463.0,1910.34,1998.52,1441.07,2054.53,980.2
Overall Malabar Spinach Production,0607900000,Guimaras,122.1,196.2,147.66,196.59,156.7,195.69,143.95,215.26,155.46,272.12
Overall Malabar Spinach Production,0701200000,Bohol,40.04,71.14,35.81,64.46,46.32,43.29,38.05,57.73,45.2,89.1
Overall Malabar Spinach Production,0702200000,Cebu,1640.44,1034.3,1452.0,1098.0,1605.41,1126.67,1340.49,1096.41,1317.05,773.82
Overall Malabar Spinach Production,0802600000,Eastern Samar,0.11,0.1,0.13,0.11,0.16,0.17,0.19,0.37,0.2,0.26
Overall Malabar Spinach Production,0803700000,Leyte,0.74,0.46,0.66,0.47,0.78,25.93,1.85,3.14,1.82,2.94
Overall Malabar Spinach Production,0804800000,Northern Samar,2.3,3.88,2.31,3.85,2.5,3.87,2.86,3.8,0.4,4.19
Overall Malabar Spinach Production,0806000000,Samar (Western Samar),44.38,23.1,46.81,28.12,63.5,24.23,56.35,26.0,54.98,27.24
Overall Malabar Spinach Production,0806400000,Southern Leyte,1.57,1.82,1.05,1.71,1.56,1.85,2.99,5.24,7.12,12.17
Overall Malabar Spinach Production,0807800000,Biliran,1.04,1.24,1.14,1.09,0.9,1.33,1.5,0.97,2.58,0.85
Overall Malabar Spinach Production,0906600000,,,,,,,,4.05,0.04,3.92,0.11
Overall Malabar Spinach Production,0907200000,Zamboanga del Norte,420.08,655.29,392.71,679.61,431.67,111.35,372.1,106.65,398.83,110.25
Overall Malabar Spinach Production,0907300000,Zamboanga del Sur,44.89,64.35,45.75,66.21,85.16,74.39,75.3,77.57,74.83,50.13
Overall Malabar Spinach Production,0907400000,Zamboanga City,52.68,44.12,54.88,44.38,,,,,13.34,27.68
Overall Malabar Spinach Production,0908300000,Zamboanga Sibugay,12.36,21.15,13.44,26.57,13.77,32.01,14.91,28.18,14.78,23.31
Overall Malabar Spinach Production,1001300000,Bukidnon,321.78,1387.86,318.0,1386.0,329.03,1387.95,291.94,1331.84,297.89,524.4
Overall Malabar Spinach Production,1001800000,Camiguin,29.57,75.96,29.39,77.91,27.35,45.6,21.59,46.87,27.72,53.23
Overall Malabar Spinach Production,1003500000,Lanao del Norte,348.0,573.56,355.0,575.32,355.0,477.85,348.0,476.25,354.0,477.3
Overall Malabar Spinach Production,1004200000,Misamis Occidental,327.5,330.0,329.35,332.0,332.06,340.0,330.49,354.91,338.16,362.15
Overall Malabar Spinach Production,1004300000,Misamis Oriental,316.47,1367.0,294.74,1861.99,348.19,1856.0,388.96,1768.37,376.12,1787.28
Overall Malabar Spinach Production,1102300000,Davao del Norte,238.67,306.7,229.39,308.56,234.72,298.13,235.83,297.34,243.73,364.12
Overall Malabar Spinach Production,1102400000,Davao del Sur,628.35,328.89,624.72,328.29,1031.36,842.54,1015.51,818.23,768.94,477.67
Overall Malabar Spinach Production,1102500000,Davao Oriental,168.51,173.46,162.6,173.53,164.93,164.24,149.37,155.43,142.41,117.25
Overall Malabar Spinach Production,1108200000,Davao de Oro (Compostela Valley),129.45,167.67,144.9,141.12,146.31,129.23,142.07,128.88,146.59,138.6
Overall Malabar Spinach Production,1108600000,Davao Occidental,3.09,3.14,3.09,3.15,3.13,2.99,3.42,3.15,3.7,3.31
Overall Malabar Spinach Production,1130700000,Davao City,403.3,461.55,412.96,455.46,,,,,217.54,218.9
Overall Malabar Spinach Production,1204700000,Cotabato (North Cotabato),566.75,1457.58,515.78,1101.63,406.2,504.17,232.1,448.72,281.33,371.39
Overall Malabar Spinach Production,1206300000,South Cotabato,52.9,56.56,55.77,44.87,59.55,47.11,23.26,42.57,48.25,50.0
Overall Malabar Spinach Production,1206500000,Sultan Kudarat,91.15,85.67,92.13,85.67,91.62,86.9,73.02,87.83,83.03,93.56
Overall Malabar Spinach Production,1208000000,Sarangani,33.31,291.69,33.7,296.0,33.72,187.0,32.0,187.0,34.0,197.0
Overall Malabar Spinach Production,1400100000,Abra,,,,,,0.75,,0.51,0.06,2.67
Overall Malabar Spinach Production,1401100000,Benguet,,,,,,0.04,0.72,8.53,1.36,0.83
Overall Malabar Spinach Production,1402700000,Ifugao,,,,,,,0.6,,0.06,0.35
Overall Malabar Spinach Production,1403200000,Kalinga,0.36,2.42,0.78,2.53,0.76,1.96,0.29,1.15,0.97,1.71
