Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Mango Production,0102800000,Ilocos Norte,7596.91,17544.82,,57.77,7109.68,15729.63,,48.81,7070.92,15833.39,0.32,39.17,7259.17,15828.14,0.54,37.22,7175.53,14586.84,1.12,36.33,7156.04
Overall Mango Production,0102900000,Ilocos Sur,319.5,10194.45,,10.62,269.82,11698.01,,11.54,311.87,12399.53,37.64,11.33,299.09,12790.72,,11.03,319.79,11298.72,6.02,6.06,297.96
Overall Mango Production,0103300000,La Union,2931.33,11329.2,8.91,54.87,2194.21,11416.14,8.21,51.77,1919.16,10408.28,10.13,23.55,2207.38,15800.99,19.12,22.12,2385.23,14280.92,12.2,17.4,2152.64
Overall Mango Production,0105500000,Pangasinan,35919.56,85616.39,1.52,883.23,35297.02,81381.04,1.41,815.0,34532.57,83662.32,3.37,796.15,36635.2,86244.45,2.95,718.37,31385.21,78649.0,50.88,647.68,20961.03
Overall Mango Production,0200900000,Batanes,,0.83,,,,0.35,,,,0.97,,0.15,,1.45,,,,,,,
Overall Mango Production,0201500000,Cagayan,0.54,6719.18,103.17,,0.46,6351.17,87.5,,0.65,7057.15,72.58,17.33,7.52,7382.6,80.61,12.27,6.01,6124.43,114.0,11.24,5.09
Overall Mango Production,0203100000,Isabela,0.07,19907.49,,,0.08,19865.21,,,0.06,19797.3,156.82,,11.53,21304.88,145.72,,10.87,20338.56,124.21,,10.24
Overall Mango Production,0205000000,Nueva Vizcaya,5.2,19109.12,,,5.48,19760.17,,,5.53,20479.12,175.94,,5.49,20201.86,33.34,,8.54,20313.67,104.65,,11.42
Overall Mango Production,0205700000,Quirino,,1097.89,105.34,,,1020.41,96.84,,,1150.32,99.22,,,1401.87,69.61,,0.56,1321.55,89.83,,1.26
Overall Mango Production,0300800000,Bataan,1389.19,1887.27,,,1515.03,1991.78,,,1578.45,2169.02,,,1554.49,2663.95,,,1234.93,2238.74,,,1393.23
Overall Mango Production,0301400000,Bulacan,2852.63,4252.23,47.8,,3339.92,4306.0,46.4,,3785.34,5064.93,51.68,,4358.21,4919.01,40.15,37.37,3878.58,5405.46,39.89,36.22,4036.48
Overall Mango Production,0304900000,Nueva Ecija,1611.31,8431.45,,,1567.05,8507.77,,,1424.07,7587.55,,200.0,2749.35,8629.14,,144.0,2560.6,9433.16,,,2809.67
Overall Mango Production,0305400000,Pampanga,3724.03,1560.32,,,3997.93,1567.58,,,6212.34,1710.11,42.17,346.96,4647.95,1950.42,39.99,299.48,4492.35,2258.68,39.81,293.87,4660.36
Overall Mango Production,0306900000,Tarlac,1056.9,1563.69,,,919.02,1141.85,,,700.61,1090.54,,25.79,892.25,1249.34,,,974.3,1190.16,,77.1,1060.88
Overall Mango Production,0307100000,Zambales,14684.86,4990.16,,11.69,14056.19,4836.59,,26.4,15088.34,4954.54,0.87,23.86,11116.96,3896.64,,3.0,10471.89,6421.83,,,16978.34
Overall Mango Production,0307700000,Aurora,0.12,5.25,,,0.02,8.87,,0.25,0.02,8.67,2.49,14.38,0.02,76.65,1.8,5.81,,4.32,5.65,4.18,4.03
Overall Mango Production,0401000000,Batangas,112.36,30938.24,,,103.02,31954.36,,,98.29,35327.07,,68.0,1297.67,30498.73,0.07,62.53,1128.93,27465.65,,66.54,1955.87
Overall Mango Production,0402100000,Cavite,,2912.04,0.67,,,3155.63,0.56,,2.65,3381.39,2.24,,140.05,3930.17,4.17,3.15,101.02,1799.15,24.07,,122.42
Overall Mango Production,0403400000,Laguna,,230.04,,,5.7,230.71,,27.38,5.21,232.32,11.49,28.99,62.96,276.42,8.2,22.54,42.42,227.11,76.59,12.79,53.05
Overall Mango Production,0405600000,Quezon,,5829.8,,,2.13,5540.38,,,17.53,5935.39,184.75,5.0,19.0,5406.39,175.23,2.98,21.3,5371.51,193.12,3.11,31.18
Overall Mango Production,0405800000,Rizal,9.05,1220.27,141.85,,9.2,1849.99,130.9,,8.48,2772.28,145.77,11.29,479.87,3057.41,176.0,11.76,389.09,3342.75,227.97,20.87,745.36
Overall Mango Production,0500500000,Albay,0.69,3.11,2.34,0.17,0.58,3.82,2.1,0.15,,4.23,3.56,,8.77,55.92,8.31,1.13,10.26,80.94,72.56,2.86,12.62
Overall Mango Production,0501600000,Camarines Norte,,47.14,991.71,,,59.88,971.3,,,64.35,517.82,53.6,0.06,85.73,303.37,5.53,0.06,79.9,123.92,0.58,0.06
Overall Mango Production,0501700000,Camarines Sur,,60.22,10.46,,,75.26,9.84,,,87.99,12.0,259.64,85.9,59.19,16.69,54.31,6.17,52.29,59.73,55.59,20.67
Overall Mango Production,0502000000,Catanduanes,,0.04,0.03,0.02,,0.02,0.05,0.12,,0.02,0.6,0.08,0.09,0.1,0.87,0.07,0.07,0.09,1.55,0.05,0.05
Overall Mango Production,0504100000,Masbate,8.87,194.19,126.44,131.05,9.05,209.34,119.45,119.46,8.98,213.4,129.46,93.3,11.85,254.58,120.69,87.01,5.72,226.9,112.62,69.28,5.48
Overall Mango Production,0506200000,Sorsogon,,145.58,52.3,12.64,,88.99,43.3,9.69,,84.44,51.89,51.84,26.25,95.75,73.15,0.27,18.0,99.23,95.47,0.44,9.88
Overall Mango Production,0600400000,Aklan,9.69,1444.65,131.18,16.12,9.39,1435.76,117.56,15.1,8.37,1592.69,133.63,18.13,13.25,1779.23,127.45,16.4,15.58,1743.5,94.03,11.31,8.49
Overall Mango Production,0600600000,Antique,103.4,674.02,1.18,4.16,99.99,683.05,0.8,2.9,99.68,683.45,1.07,4.53,122.52,741.57,0.86,4.94,126.78,1066.58,1.39,3.58,212.21
Overall Mango Production,0601900000,Capiz,1.99,95.38,52.95,16.32,2.11,101.16,46.65,11.63,1.98,95.22,51.66,8.64,10.2,100.55,69.31,8.11,10.11,100.06,63.78,6.79,10.32
Overall Mango Production,0603000000,Iloilo,2161.43,23325.0,1920.75,154.17,2322.32,23975.0,1769.34,138.75,2817.83,25883.32,1792.79,225.83,2887.02,25484.71,1768.02,183.79,2991.31,26209.0,1801.46,295.81,2941.75
Overall Mango Production,0607900000,Guimaras,3535.46,12628.79,65.96,8.47,3144.68,13838.74,56.15,3.1,2654.07,14700.74,70.89,4.05,3655.52,16917.83,62.59,3.93,3948.02,19790.62,50.57,2.98,5343.18
Overall Mango Production,0701200000,Bohol,372.97,4157.11,2696.45,565.18,,4.6,500.26,373.55,0.31,231.87,312.2,211.85,143.71,576.59,257.71,128.72,227.31,514.42,432.81,80.72,232.59
Overall Mango Production,0702200000,Cebu,1336.0,29417.0,11662.3,933.0,738.6,24881.0,10398.0,695.0,785.0,24970.0,11265.54,737.18,757.02,23914.46,11127.39,720.0,732.61,22526.21,10678.63,697.8,701.47
Overall Mango Production,0802600000,Eastern Samar,,16.92,3.05,2.32,,16.81,3.03,3.04,,17.76,14.98,38.79,1.69,21.07,33.85,37.94,5.22,24.23,39.14,38.35,4.96
Overall Mango Production,0803700000,Leyte,8.28,62.45,52.72,11.41,8.0,58.96,50.53,11.2,7.47,59.98,90.92,15.48,8.81,79.83,105.65,16.62,8.77,77.85,106.66,16.28,8.37
Overall Mango Production,0804800000,Northern Samar,0.26,12.07,7.78,29.25,0.24,12.03,6.35,27.45,0.16,12.0,4.7,22.0,0.18,12.6,6.0,7.0,0.16,6.8,5.18,,0.08
Overall Mango Production,0806000000,Samar (Western Samar),,32.03,7.35,,,32.13,5.88,8.96,5.68,30.87,23.04,19.24,5.91,38.01,25.89,75.44,4.81,33.59,12.75,75.12,
Overall Mango Production,0806400000,Southern Leyte,,68.65,18.06,49.28,,36.7,8.55,39.81,,39.88,9.3,40.54,2.14,45.82,11.04,37.37,6.08,34.26,35.94,21.33,3.99
Overall Mango Production,0807800000,Biliran,1.35,102.0,10.4,3.05,1.1,92.0,7.65,2.8,0.23,126.0,39.98,16.44,0.85,146.68,30.55,11.33,,117.74,37.28,13.31,0.15
Overall Mango Production,0906600000,,4.15,13.5,1061.0,620.0,4.18,14.0,1065.0,622.0,4.15,13.8,1050.0,630.0,4.99,14.0,1060.0,632.0,4.25,14.45,1216.76,685.46,4.32
Overall Mango Production,0907200000,Zamboanga del Norte,590.39,37393.52,2181.6,384.0,459.86,35993.13,3481.94,318.61,275.48,32264.99,2781.3,389.72,240.48,35217.21,2568.15,389.79,270.28,13234.45,2683.48,428.43,265.16
Overall Mango Production,0907300000,Zamboanga del Sur,652.55,6617.78,312.45,938.39,619.51,6779.2,334.08,802.57,4229.29,12665.67,5066.11,4609.2,4005.87,14113.24,4672.45,4282.38,3573.26,6191.49,563.03,2492.87,2562.8
Overall Mango Production,0907400000,Zamboanga City,3439.98,5500.06,3833.73,4276.97,3483.3,5400.17,3790.53,4251.19,,,,,,,,,,5205.36,3807.28,1102.64,1100.53
Overall Mango Production,0908300000,Zamboanga Sibugay,449.35,4785.16,153.58,643.1,455.74,4892.17,145.33,627.85,444.14,4537.21,152.3,696.21,422.7,4557.34,151.18,662.78,418.69,3418.82,150.54,659.43,380.67
Overall Mango Production,1001300000,Bukidnon,202.3,2399.26,273.08,30.2,192.45,2387.55,161.2,25.7,111.61,3043.26,222.67,33.41,104.88,3238.42,424.12,34.99,96.52,2953.02,123.14,36.05,104.83
Overall Mango Production,1001800000,Camiguin,5.95,52.49,121.06,20.26,1.82,33.2,153.23,24.81,2.37,24.97,53.97,21.82,1.94,25.79,93.38,22.48,8.06,82.3,108.17,24.06,6.72
Overall Mango Production,1003500000,Lanao del Norte,569.0,4180.0,1205.0,337.0,558.0,4067.0,1176.0,305.0,526.0,4191.0,1136.0,360.71,510.0,4205.07,1125.38,345.5,504.89,4184.0,1112.35,353.86,509.35
Overall Mango Production,1004200000,Misamis Occidental,282.2,14562.0,6525.0,3069.9,267.6,14821.9,6609.7,3016.43,251.4,14619.98,6400.5,2925.63,258.85,15998.08,5992.67,3016.85,248.17,16285.02,5917.68,3106.79,251.78
Overall Mango Production,1004300000,Misamis Oriental,135.25,14597.91,3044.68,865.06,134.0,13222.09,4560.77,683.24,121.92,13796.44,10768.2,1414.44,126.69,13895.99,6123.02,1069.1,131.8,13939.58,5898.07,1027.86,132.94
Overall Mango Production,1102300000,Davao del Norte,351.17,1133.78,728.17,880.07,339.12,1151.8,717.84,820.12,342.22,1164.11,760.17,787.54,359.41,1177.49,778.3,754.57,346.72,1167.61,752.11,755.26,346.94
Overall Mango Production,1102400000,Davao del Sur,1544.59,24578.84,2705.3,579.76,1635.27,23199.11,2590.66,629.41,1850.21,26047.34,3674.15,1319.7,1970.45,25403.88,3781.02,1303.55,1928.2,21280.97,2957.93,1100.57,1644.15
Overall Mango Production,1102500000,Davao Oriental,526.07,608.4,595.55,508.76,508.88,598.32,589.05,494.09,525.69,632.28,572.3,518.5,497.04,601.7,593.85,500.35,517.54,616.94,618.36,504.41,535.17
Overall Mango Production,1108200000,Davao de Oro (Compostela Valley),18.16,60.77,51.92,84.66,17.46,57.57,50.08,89.93,17.62,55.52,48.04,12.77,16.93,54.07,48.07,12.37,16.3,52.17,57.28,12.45,16.74
Overall Mango Production,1108600000,Davao Occidental,530.77,4138.74,346.71,87.74,528.23,4238.43,359.39,90.31,520.21,4341.51,366.97,82.25,515.19,4363.36,362.71,79.83,496.04,4250.67,509.93,86.66,485.83
Overall Mango Production,1130700000,Davao City,361.29,4059.32,1400.05,611.3,345.57,3818.23,1329.65,615.2,,,,,,,,,,3384.21,813.29,260.81,287.78
Overall Mango Production,1204700000,Cotabato (North Cotabato),1460.06,36982.19,464.76,510.67,1752.23,34703.02,388.73,465.76,1646.56,38839.27,455.94,585.32,1572.2,42387.21,492.19,606.22,1464.54,40359.71,476.36,548.49,1481.67
Overall Mango Production,1206300000,South Cotabato,2137.49,10841.36,570.48,145.97,2187.9,9976.52,523.86,140.96,2058.03,9959.41,533.31,166.44,2247.06,10943.79,38.13,153.63,2035.92,11007.13,49.43,173.26,2086.89
Overall Mango Production,1206500000,Sultan Kudarat,371.57,1415.05,138.48,117.72,353.17,1293.39,135.17,116.93,371.73,1333.94,141.43,110.59,343.12,1443.57,132.16,106.54,356.0,1356.97,134.7,111.36,360.12
Overall Mango Production,1208000000,Sarangani,1107.35,5213.9,1644.6,629.85,1243.02,4818.9,1338.6,736.0,1107.6,4930.42,1149.58,592.0,1157.97,4539.47,1332.69,1547.58,1424.0,4097.24,1289.36,1280.5,1229.86
Overall Mango Production,1400100000,Abra,141.0,882.82,,,145.0,892.12,,,134.27,910.56,106.11,57.61,96.2,751.78,74.0,,88.91,861.8,83.34,,78.0
Overall Mango Production,1401100000,Benguet,23.82,340.9,,,18.32,330.0,,,5.34,345.75,,,23.71,312.71,,,6.95,357.5,0.1,,44.25
Overall Mango Production,1402700000,Ifugao,,840.17,,,,921.4,,,,395.66,,,0.12,322.48,,,,37.85,224.28,,
Overall Mango Production,1403200000,Kalinga,,182.2,,,,214.13,,,,543.24,,6.23,9.09,539.4,,,4.24,451.2,,,4.88
Overall Mango Production,1404400000,Mountain Province,,161.7,5.72,,,131.37,4.69,,,135.03,4.23,,,91.76,4.02,,,102.26,31.9,,0.71
Overall Mango Production,1408100000,Apayao,,16.99,,,,17.89,,,,18.61,,,1.13,12.45,,,0.59,10.43,,,0.44
