Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Melon Production,0102800000,Ilocos Norte,3.76,10.03,,,4.1,10.81,,,4.15,11.14,,,7.6,11.21,,,7.6,13.29,,,6.74
Overall Melon Production,0102900000,Ilocos Sur,9.03,16.82,,,9.88,18.3,,,9.17,21.96,,,15.36,19.03,,,10.13,18.3,,,12.78
Overall Melon Production,0105500000,Pangasinan,210.0,6.4,,,150.19,5.92,,,139.35,5.59,,,130.58,5.27,,,122.5,4.8,,,114.49
Overall Melon Production,0200900000,Batanes,,,1.75,,,,1.1,,,,,,,,1.15,,,,3.09,,
Overall Melon Production,0201500000,Cagayan,0.12,2.2,,,0.17,1.97,,,0.15,1.34,,,0.12,1.17,,,,1.25,,,
Overall Melon Production,0203100000,Isabela,49.8,37.78,6.83,7.41,30.43,36.85,6.55,7.21,29.67,35.0,6.3,6.9,29.52,33.15,6.1,,28.14,32.53,6.27,,29.11
Overall Melon Production,0205700000,Quirino,,,,,,,,,,,,,,,,,,,,,2.15
Overall Melon Production,0301400000,Bulacan,35.6,43.5,,,30.26,43.0,,,30.0,42.5,75.2,,28.85,38.5,,,29.7,40.5,,,30.88
Overall Melon Production,0304900000,Nueva Ecija,43.83,,48.95,44.47,43.6,,46.99,44.62,43.82,,44.63,1121.64,45.13,120.6,49.26,980.69,41.5,88.25,44.78,871.09,46.63
Overall Melon Production,0305400000,Pampanga,1120.0,412.0,,,1118.0,411.8,,,1117.0,411.52,,391.3,1115.55,411.27,,428.71,1142.55,411.47,,430.11,1125.03
Overall Melon Production,0306900000,Tarlac,177.1,89.0,,67.42,167.05,124.06,,68.35,98.79,103.82,,67.01,147.65,109.64,,65.4,155.6,107.17,,61.04,145.56
Overall Melon Production,0307100000,Zambales,,,,,,,,,,,,,,,,,,,,,14.0
Overall Melon Production,0401000000,Batangas,,,,,,,,,0.6,,,,,,,,,,,,
Overall Melon Production,0403400000,Laguna,20.47,34.65,0.54,34.44,20.32,28.17,0.53,34.25,26.25,36.57,,27.4,20.34,26.3,,25.0,16.65,17.17,,23.56,46.0
Overall Melon Production,0405600000,Quezon,,,,,,,,,,,,,,0.01,,,,0.01,,,
Overall Melon Production,0405800000,Rizal,100.85,232.45,,,98.5,212.64,,,85.3,304.48,2.0,,94.88,230.0,,,96.33,225.03,,,120.77
Overall Melon Production,0500500000,Albay,0.62,2.17,,,0.38,2.52,,,0.33,2.27,,,,1.5,,,,4.21,4.5,4.0,
Overall Melon Production,0501600000,Camarines Norte,,3.39,,,,4.51,,,,7.22,,,,6.5,,,,6.18,,,
Overall Melon Production,0501700000,Camarines Sur,,1.06,,,,0.4,,,,0.35,0.19,,,0.34,0.18,,,9.5,,,
Overall Melon Production,0502000000,Catanduanes,,,,,,,,,,,,,,2.93,,,,3.05,1.44,,
Overall Melon Production,0504100000,Masbate,,0.67,,,,0.69,,,,0.71,,,,,,,,,,,
Overall Melon Production,0506200000,Sorsogon,,10.67,2.13,,,7.47,1.7,,,5.97,,,,4.18,,,,2.93,,,
Overall Melon Production,0600400000,Aklan,,,,,,,,,,,,,,0.75,,,,3.0,,,
Overall Melon Production,0600600000,Antique,1.32,1.01,,,1.33,1.15,,,1.35,1.07,,1.15,1.39,1.24,,1.26,1.35,1.24,,1.32,1.85
Overall Melon Production,0601900000,Capiz,3.37,49.13,,,4.38,47.62,,,3.2,40.8,,,5.5,50.5,,,9.0,78.0,,,8.63
Overall Melon Production,0603000000,Iloilo,1542.85,2467.0,,80.0,1445.0,2365.0,,74.0,1237.0,2122.5,,71.0,1343.0,2253.18,,76.0,1440.11,2310.0,,77.8,1436.97
Overall Melon Production,0607900000,Guimaras,0.05,0.24,,0.59,0.11,0.3,,0.71,0.25,0.45,,0.65,1.0,0.48,,0.68,1.17,0.45,0.25,0.75,2.0
Overall Melon Production,0701200000,Bohol,,1.66,,,,1.5,,,,2.92,,,,2.5,,,,,,,
Overall Melon Production,0702200000,Cebu,,,,,,,,,,,,,,,,,,,,7.5,7.51
Overall Melon Production,0802600000,Eastern Samar,,,,,,,,,,0.1,0.11,0.1,,0.14,,0.11,,,,,
Overall Melon Production,0803700000,Leyte,0.02,0.1,0.18,0.15,0.01,0.08,0.09,0.14,0.01,0.08,,0.11,0.01,0.1,0.1,0.1,0.01,0.1,0.1,0.09,0.01
Overall Melon Production,0806400000,Southern Leyte,,0.67,4.12,7.65,,0.4,1.54,6.75,,0.52,1.66,7.0,,,1.45,4.95,,,,,
Overall Melon Production,0807800000,Biliran,,,0.22,0.2,,0.3,,,,0.35,,,,0.32,,,,,,,
Overall Melon Production,0907200000,Zamboanga del Norte,,,,0.25,,,,,,,,,,,,,,,,,
Overall Melon Production,0907300000,Zamboanga del Sur,,,0.03,3.49,,,0.29,3.24,,0.85,,,2.26,0.75,0.28,,2.35,0.8,,,
Overall Melon Production,0907400000,Zamboanga City,,1.0,,,,1.0,,,,,,,,,,,,,,,
Overall Melon Production,1001300000,Bukidnon,,,,,,,,,,,,,,,,,,,,15.71,
Overall Melon Production,1003500000,Lanao del Norte,5.4,4.4,,,5.0,4.23,,,4.87,4.3,,,4.97,4.75,,,4.75,4.8,,,4.86
