Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Moringa Production,0102800000,Ilocos Norte,90.45,78.52,76.09,97.83,86.24,74.11,77.99,92.82,92.02,75.81,74.4,88.65,90.42,75.14,75.72,91.98,89.56,75.02,70.0,73.97,54.31
Overall Moringa Production,0102900000,Ilocos Sur,415.7,426.46,89.19,94.85,391.14,553.96,100.43,82.46,321.74,465.65,99.41,102.73,318.35,483.71,99.92,76.86,320.5,480.68,92.12,77.02,336.53
Overall Moringa Production,0103300000,La Union,49.93,40.54,98.95,90.99,48.84,41.28,97.51,93.87,49.85,41.86,87.0,95.07,51.42,42.3,90.71,86.55,53.32,38.05,64.82,71.16,49.75
Overall Moringa Production,0105500000,Pangasinan,392.0,193.65,483.62,47.0,498.91,258.2,435.79,45.97,493.49,375.56,335.0,2.81,501.17,379.0,344.25,2.6,515.31,390.48,371.68,2.4,503.32
Overall Moringa Production,0200900000,Batanes,1.76,4.22,0.63,0.56,1.76,5.28,0.99,0.65,1.8,5.35,,0.75,2.0,4.72,0.45,0.09,1.85,4.8,1.5,0.55,1.88
Overall Moringa Production,0201500000,Cagayan,202.29,401.13,176.37,70.54,211.37,400.0,177.37,68.5,205.37,433.33,170.9,72.0,200.0,427.5,174.84,30.55,178.5,412.35,166.89,94.89,189.25
Overall Moringa Production,0203100000,Isabela,89.41,75.32,84.25,63.54,80.25,76.91,89.01,60.67,78.45,76.0,90.0,53.3,78.42,84.93,94.49,49.81,74.35,86.0,99.68,54.59,77.07
Overall Moringa Production,0205000000,Nueva Vizcaya,68.75,74.57,79.63,55.5,76.68,76.16,85.32,46.25,88.79,102.82,82.48,49.5,82.74,89.49,85.9,26.62,85.77,102.15,84.57,40.79,88.91
Overall Moringa Production,0205700000,Quirino,0.97,0.62,1.17,1.08,1.22,0.77,1.42,1.12,1.14,0.89,1.47,1.15,2.45,0.83,1.51,1.13,2.47,0.84,2.44,1.79,2.46
Overall Moringa Production,0300800000,Bataan,1.7,5.61,1.97,3.23,2.09,7.12,1.99,2.97,2.85,8.03,1.59,3.54,2.21,6.92,1.79,3.32,2.38,7.16,1.81,3.04,3.2
Overall Moringa Production,0301400000,Bulacan,11.31,12.15,13.5,3.14,12.63,14.04,13.9,3.06,12.86,12.91,6.12,4.5,15.07,6.38,2.32,4.25,14.96,11.11,2.03,4.29,14.39
