Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Moringa Production,0102800000,Ilocos Norte,168.97,173.92,160.35,170.81,167.83,163.05,165.56,167.7,164.58,143.97
Overall Moringa Production,0102900000,Ilocos Sur,842.16,184.04,945.1,182.89,787.39,202.14,802.06,176.78,801.18,169.14
Overall Moringa Production,0103300000,La Union,90.47,189.94,90.12,191.38,91.71,182.07,93.72,177.26,91.37,135.98
Overall Moringa Production,0105500000,Pangasinan,585.65,530.62,757.11,481.76,869.05,337.81,880.17,346.85,905.79,374.08
Overall Moringa Production,0200900000,Batanes,5.98,1.19,7.04,1.64,7.15,0.75,6.72,0.54,6.65,2.05
Overall Moringa Production,0201500000,Cagayan,603.42,246.91,611.37,245.87,638.7,242.9,627.5,205.39,590.85,261.78
Overall Moringa Production,0203100000,Isabela,164.73,147.79,157.16,149.68,154.45,143.3,163.35,144.3,160.35,154.27
Overall Moringa Production,0205000000,Nueva Vizcaya,143.32,135.13,152.84,131.57,191.61,131.98,172.23,112.52,187.92,125.36
Overall Moringa Production,0205700000,Quirino,1.59,2.25,1.99,2.54,2.03,2.62,3.28,2.64,3.31,4.23
Overall Moringa Production,0300800000,Bataan,7.31,5.2,9.21,4.96,10.88,5.13,9.13,5.11,9.54,4.85
Overall Moringa Production,0301400000,Bulacan,23.46,16.64,26.67,16.96,25.77,10.62,21.45,6.57,26.07,6.32
Overall Moringa Production,0304900000,Nueva Ecija,2.07,17.16,2.24,14.37,2.53,12.88,2.48,12.84,2.71,12.23
Overall Moringa Production,0305400000,Pampanga,14.85,14.63,13.86,14.63,14.19,14.65,13.9,14.65,14.0,14.66
Overall Moringa Production,0306900000,Tarlac,1.85,0.41,1.8,0.5,1.9,0.55,1.95,0.62,2.04,0.72
Overall Moringa Production,0307100000,Zambales,5.17,6.24,5.91,6.2,5.51,6.34,7.55,18.04,14.38,24.23
Overall Moringa Production,0307700000,Aurora,33.89,26.45,40.73,28.89,48.51,12.76,38.64,15.32,37.4,11.5
Overall Moringa Production,0401000000,Batangas,22.51,73.32,22.44,56.02,47.23,62.0,58.6,67.95,70.43,67.71
Overall Moringa Production,0402100000,Cavite,0.13,0.51,0.14,0.36,0.11,0.19,0.13,0.25,0.17,0.83
Overall Moringa Production,0403400000,Laguna,70.0,55.8,72.06,41.51,71.04,40.0,85.12,25.64,82.08,25.36
Overall Moringa Production,0405600000,Quezon,0.52,1.07,0.46,1.0,0.45,1.01,0.4,1.29,0.41,1.77
Overall Moringa Production,0405800000,Rizal,,1.2,,0.7,0.8,0.95,2.66,1.36,16.17,12.07
Overall Moringa Production,0500500000,Albay,1466.96,1148.66,1428.2,1121.6,1438.89,147.47,378.76,29.55,114.76,93.54
