Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Mushroom Production,0102800000,Ilocos Norte,0.16,0.73,0.18,0.84,0.22,0.92,0.23,0.86,1.07,2.74
Overall Mushroom Production,0102900000,Ilocos Sur,,9.85,,11.65,,8.85,,,,9.43
Overall Mushroom Production,0103300000,La Union,37.63,32.29,37.91,35.32,41.9,36.84,44.36,38.32,45.81,42.37
Overall Mushroom Production,0105500000,Pangasinan,2.9,20.23,3.35,20.09,3.55,7.0,3.35,6.75,3.17,7.41
Overall Mushroom Production,0200900000,Batanes,,,,,,,,,,
Overall Mushroom Production,0201500000,Cagayan,1.23,1.87,1.55,0.7,1.67,0.85,1.65,1.0,1.95,1.72
Overall Mushroom Production,0203100000,Isabela,8.5,17.67,7.92,16.16,8.64,14.3,3.25,12.72,8.12,13.85
Overall Mushroom Production,0205000000,Nueva Vizcaya,30.9,43.43,34.67,42.49,43.08,28.47,38.88,26.71,44.98,24.49
Overall Mushroom Production,0205700000,Quirino,6.56,9.13,6.84,10.47,6.76,6.3,5.65,6.58,4.54,9.31
Overall Mushroom Production,0300800000,Bataan,,,,,,,,,,
Overall Mushroom Production,0301400000,Bulacan,,,,,,,0.3,0.45,0.3,0.44
Overall Mushroom Production,0304900000,Nueva Ecija,,,,,,,42.09,0.54,39.27,0.72
Overall Mushroom Production,0305400000,Pampanga,,2.44,,2.4,,2.37,1.43,4.83,1.97,4.83
Overall Mushroom Production,0306900000,Tarlac,38.65,9.18,37.66,4.44,37.12,3.41,37.91,4.55,41.25,5.8
Overall Mushroom Production,0307100000,Zambales,,,,,,,,,,
Overall Mushroom Production,0307700000,Aurora,,,,,,,,,,
Overall Mushroom Production,0401000000,Batangas,1.7,,1.04,,1.65,,,,,
Overall Mushroom Production,0402100000,Cavite,13.67,6.36,14.59,11.49,14.54,12.08,68.33,101.84,52.61,118.6
Overall Mushroom Production,0403400000,Laguna,3.11,9.51,4.98,9.84,5.2,10.25,5.78,10.32,,
Overall Mushroom Production,0405600000,Quezon,,,,,,,,0.2,0.06,4.69
Overall Mushroom Production,0405800000,Rizal,,,,,,,,,,
Overall Mushroom Production,0500500000,Albay,,,,,,,,,0.03,0.49
Overall Mushroom Production,0501600000,Camarines Norte,,,,,,,,,,
Overall Mushroom Production,0501700000,Camarines Sur,,,,,,,3.12,1.41,,
Overall Mushroom Production,0502000000,Catanduanes,,,,,,,,,0.09,0.27
Overall Mushroom Production,0504100000,Masbate,,,,,,,,,,
Overall Mushroom Production,0506200000,Sorsogon,,,,,,,0.02,,,
Overall Mushroom Production,0600400000,Aklan,0.04,0.14,0.09,0.12,0.1,,0.05,,0.06,
Overall Mushroom Production,0600600000,Antique,,,,,,,,,,
Overall Mushroom Production,0601900000,Capiz,,,,,,,,,,
Overall Mushroom Production,0603000000,Iloilo,0.04,1.45,0.04,1.6,0.04,2.4,0.17,2.88,0.76,4.21
Overall Mushroom Production,0607900000,Guimaras,1.52,0.91,2.64,1.2,3.1,1.12,2.67,1.28,2.4,0.04
Overall Mushroom Production,0701200000,Bohol,,,,,,0.55,2.51,3.51,0.65,0.91
Overall Mushroom Production,0702200000,Cebu,,,,,,,,,0.17,0.49
Overall Mushroom Production,0802600000,Eastern Samar,,,,,,,,,10.08,
Overall Mushroom Production,0803700000,Leyte,,,,,,,,,,
Overall Mushroom Production,0804800000,Northern Samar,,2.92,,2.95,,1.52,,,,
Overall Mushroom Production,0806000000,Samar (Western Samar),0.92,1.99,1.2,2.77,1.0,,,,,
Overall Mushroom Production,0806400000,Southern Leyte,,,,,,,,0.1,,
Overall Mushroom Production,0807800000,Biliran,,,,,,,,,,
Overall Mushroom Production,0906600000,,,,,,,,,,,
Overall Mushroom Production,0907200000,Zamboanga del Norte,,,,,,,,,,
Overall Mushroom Production,0907300000,Zamboanga del Sur,,,,,0.98,,,,,
Overall Mushroom Production,0907400000,Zamboanga City,0.96,1.37,0.96,1.4,,,,,0.64,1.97
Overall Mushroom Production,0908300000,Zamboanga Sibugay,,,,,,,,,,
Overall Mushroom Production,1001300000,Bukidnon,29.29,55.86,30.0,57.0,29.36,30.0,27.4,32.0,25.0,35.27
Overall Mushroom Production,1001800000,Camiguin,0.06,0.06,0.04,0.04,0.06,0.02,,0.02,,
Overall Mushroom Production,1003500000,Lanao del Norte,1.83,11.37,1.85,11.2,1.86,10.8,1.78,10.67,1.75,10.83
Overall Mushroom Production,1004200000,Misamis Occidental,0.15,0.28,0.15,0.26,0.14,0.27,0.07,0.27,0.06,0.16
Overall Mushroom Production,1004300000,Misamis Oriental,1.55,4.1,1.57,4.0,1.5,4.2,0.7,4.13,1.33,4.13
Overall Mushroom Production,1102300000,Davao del Norte,8.63,16.62,8.15,32.13,7.86,34.15,8.22,42.98,9.04,42.81
Overall Mushroom Production,1102400000,Davao del Sur,5.61,9.71,5.72,9.38,13.13,16.75,13.62,17.4,10.12,6.39
