Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Okra Production,0102800000,Ilocos Norte,240.26,339.27,24.13,195.74,241.44,351.61,24.18,198.45,239.1,341.73,29.3,187.18,240.26,342.41,30.73,192.13,263.18,499.83,88.45,242.25,667.2
Overall Okra Production,0102900000,Ilocos Sur,92.98,67.93,13.02,124.97,102.72,57.04,16.24,129.12,118.7,66.13,15.55,129.93,119.44,63.7,15.9,151.78,121.25,64.92,15.89,180.89,115.53
Overall Okra Production,0103300000,La Union,140.43,59.07,35.44,115.78,150.27,62.14,33.28,121.73,156.08,60.06,32.0,124.5,160.25,58.7,33.93,120.28,155.22,63.84,24.66,96.59,149.42
Overall Okra Production,0105500000,Pangasinan,128.65,289.35,34.45,140.55,110.35,304.96,35.4,138.3,99.31,322.99,90.25,180.24,89.68,306.59,96.56,177.69,760.22,314.84,103.31,165.41,380.44
Overall Okra Production,0200900000,Batanes,1.55,1.55,0.21,0.06,1.92,1.5,0.27,0.5,1.95,1.6,0.46,0.49,2.05,1.65,0.95,0.1,2.35,1.8,1.07,0.36,1.32
Overall Okra Production,0201500000,Cagayan,316.64,662.22,995.54,19.47,285.08,682.14,897.97,18.5,339.17,668.07,843.03,19.3,312.0,637.86,861.34,16.02,295.85,657.2,899.45,30.98,303.93
Overall Okra Production,0203100000,Isabela,1188.54,417.54,926.75,166.5,1190.92,419.21,933.42,168.21,1191.3,418.2,935.0,125.4,1196.5,451.57,967.85,108.98,1193.0,465.1,936.01,101.77,1193.6
Overall Okra Production,0205000000,Nueva Vizcaya,114.46,33.64,477.94,32.99,124.21,35.24,531.77,30.3,129.1,37.48,504.86,32.36,126.66,36.36,446.11,69.9,127.88,36.92,494.25,65.93,129.12
Overall Okra Production,0205700000,Quirino,1.6,10.12,35.0,2.8,1.61,10.75,40.9,2.75,1.71,11.85,37.95,4.0,1.66,11.3,39.42,3.37,2.15,12.27,47.89,3.69,7.48
Overall Okra Production,0300800000,Bataan,,36.64,,14.24,,36.14,,14.94,,41.35,,17.93,21.51,57.43,11.25,22.78,27.14,54.78,9.81,22.13,26.97
Overall Okra Production,0301400000,Bulacan,742.4,576.52,724.5,207.24,781.4,579.59,757.91,212.46,792.96,604.65,681.03,212.4,498.06,584.99,523.25,206.67,690.0,591.54,450.83,218.11,700.96
Overall Okra Production,0304900000,Nueva Ecija,2588.91,564.23,3122.26,573.44,2649.93,603.76,3289.89,578.59,2599.24,598.58,3524.78,536.11,2024.95,464.24,3597.3,580.63,2262.18,515.79,1696.93,347.34,3087.89
Overall Okra Production,0305400000,Pampanga,12.12,166.54,,43.56,13.8,184.7,,42.93,15.18,200.66,16.58,45.27,15.96,217.91,22.92,33.48,15.57,233.12,24.98,34.78,16.65
Overall Okra Production,0306900000,Tarlac,657.11,661.3,12.71,489.82,669.38,669.47,13.61,424.74,627.28,671.5,12.79,471.44,655.43,672.76,14.2,405.54,685.0,679.49,15.14,373.92,571.75
Overall Okra Production,0307100000,Zambales,150.58,76.05,4.89,79.66,139.22,53.8,4.17,70.0,123.77,53.92,5.78,64.26,123.65,50.9,9.24,43.77,42.01,16.8,8.5,18.93,13.16
Overall Okra Production,0307700000,Aurora,18.72,55.0,87.34,8.84,13.51,64.0,145.57,8.78,10.73,80.0,135.21,9.45,14.91,64.9,125.83,9.87,69.65,13.22,145.76,27.93,76.04
Overall Okra Production,0401000000,Batangas,3.26,10.52,411.79,6.94,2.94,12.96,400.83,4.97,3.67,9.4,501.7,35.0,5.0,27.06,525.8,50.0,15.0,38.5,495.1,48.5,44.56
Overall Okra Production,0402100000,Cavite,10.49,12.49,113.45,79.26,9.51,11.75,126.27,70.17,9.34,12.5,144.0,50.2,9.15,8.56,589.4,81.33,18.8,12.31,556.5,82.5,17.6
Overall Okra Production,0403400000,Laguna,39.99,535.54,35.47,59.35,37.91,385.8,33.82,46.96,31.48,362.89,22.78,35.25,66.3,319.34,20.24,33.44,56.4,357.66,13.26,23.96,64.08
Overall Okra Production,0405600000,Quezon,20.42,25.53,29.93,6.11,20.67,25.47,30.22,5.9,20.93,24.38,29.47,5.5,21.3,23.5,219.03,5.05,22.01,21.49,258.78,96.23,21.41
Overall Okra Production,0405800000,Rizal,9.7,28.42,15.01,15.11,9.66,29.75,14.86,14.15,8.99,44.37,40.39,43.38,8.7,50.61,35.32,41.7,26.11,75.58,54.81,40.02,41.82
Overall Okra Production,0500500000,Albay,22.25,14.29,11.09,2.94,19.29,15.69,12.1,2.72,9.93,20.17,15.51,8.07,11.77,24.96,20.62,4.42,13.65,31.0,66.14,7.59,15.38
Overall Okra Production,0501600000,Camarines Norte,2.07,117.4,93.22,5.46,2.5,122.56,112.43,4.0,4.86,96.68,35.71,4.46,3.21,89.77,36.16,6.61,2.05,75.18,36.62,9.78,7.19
Overall Okra Production,0501700000,Camarines Sur,10.77,24.15,1.76,0.21,9.36,26.81,1.22,0.11,6.04,30.18,1.4,0.16,45.3,34.82,2.7,7.43,38.68,67.76,45.39,111.96,20.69
Overall Okra Production,0502000000,Catanduanes,0.54,3.06,7.52,0.54,0.42,2.44,4.26,0.43,0.24,2.26,6.55,0.48,0.62,3.26,6.69,0.41,0.58,2.69,9.83,0.44,0.48
Overall Okra Production,0504100000,Masbate,3.91,549.06,366.5,265.73,4.35,572.5,372.07,244.92,6.57,647.49,358.14,248.5,10.79,544.21,272.58,228.53,10.9,571.94,215.44,13.77,13.84
Overall Okra Production,0506200000,Sorsogon,48.38,87.32,46.94,170.6,44.1,79.46,39.99,145.01,19.66,67.07,3.84,167.02,17.69,50.3,12.06,18.67,7.55,31.36,8.0,12.2,13.12
Overall Okra Production,0600400000,Aklan,5.55,35.47,12.1,10.09,4.23,40.12,12.88,10.23,4.0,43.62,12.25,9.68,4.59,50.05,12.41,10.0,10.58,115.37,45.65,16.97,84.7
Overall Okra Production,0600600000,Antique,46.7,31.0,37.85,34.07,45.6,32.6,31.3,31.98,45.13,37.48,35.15,36.45,46.22,35.55,37.85,35.14,48.1,35.7,30.94,37.9,74.9
Overall Okra Production,0601900000,Capiz,50.01,74.94,80.22,101.78,51.56,69.99,76.21,96.59,49.03,66.49,72.25,91.55,55.0,68.76,43.2,54.3,52.8,69.0,52.05,44.98,62.56
Overall Okra Production,0603000000,Iloilo,290.29,358.0,294.46,228.0,337.08,301.0,315.22,205.0,289.89,275.0,311.67,211.64,310.37,265.0,300.34,186.75,276.0,278.0,173.53,293.2,401.82
Overall Okra Production,0607900000,Guimaras,33.82,12.08,34.98,72.84,44.26,20.3,35.03,87.62,54.76,25.27,30.45,90.0,58.4,20.27,44.15,148.5,69.82,25.45,55.43,162.84,81.44
Overall Okra Production,0701200000,Bohol,54.23,38.35,31.23,124.3,28.27,35.47,38.44,136.46,42.51,47.92,67.16,141.24,38.85,50.49,68.05,151.87,39.9,67.6,115.17,130.64,32.37
Overall Okra Production,0702200000,Cebu,40.3,170.0,170.25,200.0,36.0,192.0,160.0,196.0,48.25,133.87,157.5,200.0,44.79,84.69,142.92,230.0,48.0,86.45,149.03,208.67,47.01
Overall Okra Production,0802600000,Eastern Samar,0.06,5.5,3.65,2.6,0.05,5.8,3.63,3.99,0.06,3.0,21.22,9.25,2.3,4.03,23.47,9.99,2.99,4.8,174.3,15.72,8.97
Overall Okra Production,0803700000,Leyte,3.35,307.83,223.8,110.15,3.3,289.55,202.59,109.8,3.2,285.78,202.4,109.82,4.52,275.75,195.0,112.8,4.56,276.1,192.0,110.0,4.5
Overall Okra Production,0804800000,Northern Samar,3.95,10.25,6.3,9.5,4.56,10.75,6.8,9.85,5.99,11.5,6.45,9.85,6.5,12.0,6.85,9.5,6.45,11.75,7.5,8.74,6.31
Overall Okra Production,0806000000,Samar (Western Samar),0.88,5.53,4.07,1.18,0.78,5.57,4.44,1.32,0.68,7.2,35.32,2.37,0.75,8.32,33.42,2.56,0.65,8.81,37.08,2.18,0.63
Overall Okra Production,0806400000,Southern Leyte,6.05,6.15,4.73,2.4,1.98,4.9,5.2,2.45,3.11,5.1,5.8,3.1,3.82,6.3,5.95,10.37,3.8,6.28,22.36,7.91,3.8
Overall Okra Production,0807800000,Biliran,1.0,5.7,2.77,4.45,0.99,5.61,2.38,3.99,1.19,6.6,2.86,4.07,2.41,6.0,3.72,4.04,4.09,7.28,3.09,3.5,3.8
Overall Okra Production,0906600000,,,,,,,,,,,,,,0.1,1.99,,,0.11,2.07,,,0.13
Overall Okra Production,0907200000,Zamboanga del Norte,5.81,13.66,50.48,40.39,6.83,14.73,46.28,42.63,6.63,13.08,80.45,53.25,7.46,12.58,91.37,68.3,7.05,12.6,85.96,71.72,6.76
Overall Okra Production,0907300000,Zamboanga del Sur,68.77,195.06,87.16,104.63,72.06,205.45,93.62,119.62,126.34,294.24,64.75,208.26,130.69,272.7,70.7,223.15,137.8,207.4,210.2,186.08,110.2
Overall Okra Production,0907400000,Zamboanga City,48.57,82.97,21.74,119.44,50.3,83.78,22.57,122.43,,,,,,,,,,82.68,16.11,18.57,20.16
Overall Okra Production,0908300000,Zamboanga Sibugay,18.48,22.26,18.65,19.08,15.39,19.23,16.54,20.95,14.88,19.93,17.1,23.02,14.9,20.39,17.95,24.72,18.16,21.73,20.64,26.29,16.31
Overall Okra Production,1001300000,Bukidnon,22.33,20.29,48.5,73.85,22.5,22.0,52.0,73.6,29.19,19.57,56.0,74.0,28.8,17.0,58.0,78.0,30.42,18.5,61.57,73.05,26.65
Overall Okra Production,1001800000,Camiguin,5.25,7.85,10.88,15.87,3.26,7.44,13.3,19.15,2.66,8.42,10.34,18.0,3.92,6.44,10.96,23.98,7.2,16.96,9.09,17.92,10.08
Overall Okra Production,1003500000,Lanao del Norte,113.0,463.0,78.0,450.0,110.0,465.0,80.0,455.0,115.0,462.0,81.25,460.0,112.0,459.0,82.0,462.0,110.0,458.0,84.0,461.0,112.0
Overall Okra Production,1004200000,Misamis Occidental,45.5,99.7,73.15,77.5,46.17,111.66,78.25,89.66,47.45,127.01,80.25,92.9,45.08,121.92,84.18,96.43,47.6,128.63,85.86,99.81,49.27
Overall Okra Production,1004300000,Misamis Oriental,50.56,102.01,88.95,151.74,51.2,108.59,87.39,158.34,57.67,114.07,93.0,160.0,25.95,97.77,88.18,157.52,25.0,101.1,89.0,161.28,36.21
Overall Okra Production,1102300000,Davao del Norte,16.57,35.39,49.69,35.08,15.97,34.01,47.58,33.65,15.39,33.09,51.06,34.57,17.82,34.35,51.27,33.57,19.57,35.04,55.68,33.48,17.59
Overall Okra Production,1102400000,Davao del Sur,14.44,47.61,86.53,53.63,16.57,46.02,80.75,49.23,34.0,135.8,128.65,100.25,30.51,134.74,127.12,101.24,31.63,48.77,45.28,36.86,11.4
Overall Okra Production,1102500000,Davao Oriental,18.01,15.91,26.4,39.11,18.2,14.38,24.3,39.5,16.45,13.47,22.12,43.29,14.84,12.84,22.35,46.32,15.4,15.71,22.93,40.28,15.78
Overall Okra Production,1108200000,Davao de Oro (Compostela Valley),3.74,28.13,22.86,21.3,3.71,27.08,21.97,22.12,3.82,27.54,19.32,26.18,4.85,25.59,23.36,26.86,5.04,26.49,24.19,28.15,5.21
Overall Okra Production,1108600000,Davao Occidental,3.59,7.0,11.68,9.44,3.45,7.12,12.02,9.71,3.53,7.18,12.47,10.85,3.73,6.93,12.25,10.8,3.61,6.85,13.99,11.49,3.62
Overall Okra Production,1130700000,Davao City,19.7,86.89,49.94,49.15,20.67,87.9,51.04,49.76,,,,,,,,,,86.5,68.2,68.98,20.23
Overall Okra Production,1204700000,Cotabato (North Cotabato),22.39,20.13,97.72,73.81,23.77,20.0,98.35,70.24,33.6,19.45,75.93,113.35,44.63,22.31,30.95,257.19,47.59,25.62,20.32,138.76,33.51
Overall Okra Production,1206300000,South Cotabato,16.25,9.25,47.8,19.32,17.0,8.59,50.7,35.54,20.79,13.58,59.65,33.66,19.95,8.11,60.01,27.51,16.97,12.72,92.52,32.24,12.28
Overall Okra Production,1206500000,Sultan Kudarat,55.12,16.65,27.12,78.61,59.97,15.53,25.91,83.05,66.42,20.01,,86.8,62.18,17.4,30.76,82.8,65.86,19.97,22.33,88.4,61.91
Overall Okra Production,1208000000,Sarangani,4.2,3.4,34.0,26.0,4.24,3.44,35.0,27.0,4.3,3.45,60.0,0.21,4.5,5.0,62.0,0.3,4.49,5.25,60.0,0.5,4.43
Overall Okra Production,1400100000,Abra,8.32,8.89,4.1,2.8,8.33,8.92,4.0,2.76,8.07,8.75,6.03,5.6,15.0,9.2,7.28,6.9,18.69,13.8,14.0,40.02,27.21
Overall Okra Production,1401100000,Benguet,,,,,,,,,,,,,,,6.45,8.51,44.0,7.51,,,
