Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Overall Palay Production,0102800000,Ilocos Norte,7335.0,7172.0,9155.0,42157.0,7673.0,6619.0,9926.0,39691.0,7918.51,6912.0,9357.0,40881.0,7641.0,6513.13,9234.0,41476.0,7743.0,6681.0,9505.0,41140.0,7768.0,9093.0
Overall Palay Production,0102900000,Ilocos Sur,5088.0,2450.0,5811.0,37137.0,4659.0,1827.35,6841.0,36341.0,4402.0,2009.0,6348.0,36563.0,4240.0,1945.0,5908.51,37001.0,5129.0,2052.0,6366.0,36892.0,5172.0,2002.0
Overall Palay Production,0103300000,La Union,5629.0,2115.0,2914.0,27695.0,5697.24,2226.0,3334.0,27166.76,5799.89,2146.0,3131.84,27356.51,5708.71,2186.0,3440.0,27064.0,5735.28,2166.0,3422.0,27117.0,5771.83,1997.0
Overall Palay Production,0105500000,Pangasinan,48415.0,26907.0,18776.0,160279.0,49199.0,26188.0,18776.0,161244.0,47791.0,25718.0,20608.0,163983.0,46344.0,25681.0,20537.0,163650.0,47493.0,25122.0,21739.0,164717.0,48625.0,25507.0
Overall Palay Production,0200900000,Batanes,0.0,1.5,9.85,38.0,0.0,2.0,21.0,34.0,0.0,2.5,24.5,33.2,0.0,2.45,18.0,31.0,0.0,1.95,28.0,49.8,0.0,2.3
Overall Palay Production,0201500000,Cagayan,42746.0,80588.0,25099.0,83129.0,48735.0,75205.0,29198.0,85787.0,47790.0,77189.0,34733.0,85621.0,49234.0,72768.0,31405.0,85825.0,35052.0,85667.0,29084.0,84122.0,20622.0,102110.0
Overall Palay Production,0203100000,Isabela,65435.0,80588.0,43869.0,99802.0,59932.24,85294.0,48885.0,97140.63,68017.85,79843.0,51671.0,93912.0,87940.4,60810.0,51563.0,96475.37,76443.37,72995.3,56667.0,91579.0,47346.0,107067.0
Overall Palay Production,0205000000,Nueva Vizcaya,18819.0,14845.0,11341.0,20101.0,13433.0,19824.0,10258.0,21321.25,9785.99,24199.0,10455.0,22885.0,10718.0,22604.0,8613.0,22608.0,10389.0,20935.0,11445.0,17805.0,10427.0,21111.0
Overall Palay Production,0205700000,Quirino,4847.0,8144.0,1070.0,12649.0,4150.0,8691.0,1192.69,12954.5,5459.0,7869.36,2469.0,10769.0,6015.0,7479.0,1926.0,9535.0,5110.8,7765.2,2855.96,9127.0,5723.0,7797.31
Overall Palay Production,0300800000,Bataan,8983.45,5537.0,1680.0,10762.52,9168.0,6482.0,730.39,10654.3,8849.0,6391.0,518.31,10221.32,8985.53,5593.0,195.53,10592.0,9497.45,6057.98,511.25,9606.0,9111.47,6014.0
Overall Palay Production,0301400000,Bulacan,20488.0,18345.0,7537.0,40715.0,21642.0,19751.0,7792.0,40593.0,20791.0,19751.0,7204.0,35209.59,16555.0,18729.0,7213.12,32340.0,16787.0,18459.24,8109.0,36048.0,17439.0,19678.0
Overall Palay Production,0304900000,Nueva Ecija,35056.82,115858.0,30004.02,137773.0,39218.19,114250.0,24282.42,115300.0,58342.0,111858.0,28568.0,94275.45,49235.0,112857.76,26133.0,104387.33,52349.0,111980.0,27451.0,105791.0,51697.0,114215.6
Overall Palay Production,0305400000,Pampanga,29341.0,16986.0,14346.7,33917.0,32695.0,16627.7,14441.15,34419.0,33447.0,15813.0,14692.0,30269.0,29215.0,12662.03,15022.72,30506.62,29508.0,13897.0,15898.0,30499.0,29856.0,14124.0
Overall Palay Production,0306900000,Tarlac,39685.0,16781.0,14554.0,68669.0,39780.0,16414.0,16192.0,67577.0,39038.0,16796.0,16235.0,67667.0,39557.0,16755.0,16505.0,67870.0,39190.0,16740.0,16518.0,67888.0,39195.0,16656.0
Overall Palay Production,0307100000,Zambales,6496.0,4862.0,3659.0,19954.0,4409.0,6620.0,2437.31,19539.0,5722.0,6384.61,6990.0,15047.0,5210.0,5883.0,5407.0,16020.64,6838.0,4927.0,6834.0,15696.36,5540.98,6438.7
Overall Palay Production,0307700000,Aurora,5458.0,7860.0,6810.0,5944.0,5880.0,7460.0,4103.0,6621.0,3937.0,7997.0,3734.0,7129.7,3708.59,6969.8,4330.0,5215.0,2944.0,8767.0,3349.0,4937.0,2646.0,7712.0
Overall Palay Production,0401000000,Batangas,2832.0,1634.0,1124.35,7124.0,2740.0,1380.67,2769.0,5062.62,2437.38,2475.0,2019.0,4651.0,2105.0,1577.8,852.0,3262.01,2288.0,2386.0,961.0,2742.0,790.0,1742.0
Overall Palay Production,0402100000,Cavite,2087.58,1323.0,1362.0,2742.29,1733.0,1184.41,1282.0,1986.0,1508.0,1149.0,1195.0,1598.34,1177.0,1163.17,983.63,1165.63,1353.29,1597.07,972.69,1185.77,779.0,1370.0
Overall Palay Production,0403400000,Laguna,4563.0,11648.0,1881.0,10276.0,4581.0,12535.0,1791.0,10413.0,4621.0,12787.25,1911.0,11346.0,4588.0,12357.84,2320.14,9939.89,5923.55,19521.81,2252.29,11503.0,5362.0,12546.88
Overall Palay Production,0405600000,Quezon,14158.0,16542.0,6077.0,19315.0,15006.0,15854.0,4227.0,17210.0,15178.0,16020.0,4664.0,18527.0,13943.0,13778.36,4025.8,11254.48,13641.0,14097.0,3699.0,14497.0,10708.0,20215.73
Overall Palay Production,0405800000,Rizal,1216.75,1851.0,350.0,2431.0,1004.0,1968.0,186.0,2699.0,824.0,2490.0,500.0,2419.0,318.6,2218.58,246.85,2124.64,378.0,1818.0,228.0,2648.0,439.0,1971.0
Overall Palay Production,0500500000,Albay,10755.0,15977.0,10233.0,16668.0,10940.0,16199.0,10552.0,16327.0,11123.0,16207.0,10215.0,16434.0,11350.0,15050.0,10751.0,16320.0,10750.0,15100.0,10795.0,15837.05,10256.0,14468.97
Overall Palay Production,0501600000,Camarines Norte,6329.0,4958.0,5425.0,7121.0,5885.0,5442.0,5487.0,7151.0,4540.0,7053.0,5274.0,7206.0,5531.62,5306.74,4537.74,4990.61,5108.39,6077.19,4302.69,5460.24,4538.4,6145.96
Overall Palay Production,0501700000,Camarines Sur,37480.0,43821.0,31184.0,60723.0,38152.0,42206.0,32288.0,63326.0,38260.0,40877.0,32964.0,60716.0,38617.0,41184.0,33980.0,61015.0,39199.0,40765.0,34075.0,61210.0,38855.0,40568.0
Overall Palay Production,0502000000,Catanduanes,2919.0,1910.58,1596.17,1979.81,2520.46,1890.18,1812.15,1842.22,2487.65,1698.91,1592.32,1491.9,2439.22,1382.0,1020.13,1553.0,2482.0,1657.03,1307.23,1580.35,2470.62,1600.79
Overall Palay Production,0504100000,Masbate,10490.0,17724.0,3144.0,21202.0,12585.0,15993.0,3370.0,19757.0,12891.0,15763.0,3503.0,20035.0,12874.0,12797.0,1068.0,21446.0,13382.0,16765.0,1607.0,23696.0,15761.0,18642.0
Overall Palay Production,0506200000,Sorsogon,4045.0,13067.0,2732.0,14526.0,4329.0,13407.0,2234.0,15153.0,4413.0,12635.0,2329.0,14298.43,4423.49,12110.18,2324.0,11735.5,3386.8,11799.8,2213.0,12720.8,3468.89,12636.57
Overall Palay Production,0600400000,Aklan,10567.0,4264.0,7336.0,12280.0,13283.0,4671.93,8845.0,11606.51,13330.0,4062.0,5559.0,11753.0,11098.0,1719.0,2365.0,12652.0,11245.0,1808.0,6187.0,9814.0,10374.0,2174.0
Overall Palay Production,0600600000,Antique,17150.0,6687.0,30755.0,28016.0,17502.0,6299.0,33192.0,27432.0,17621.0,4581.0,20830.0,24233.0,17840.0,3561.0,13268.0,20577.0,22669.0,4995.0,11848.0,18961.0,21765.0,3800.0
Overall Palay Production,0601900000,Capiz,40496.0,21418.0,35675.0,22464.0,40431.0,17745.0,33607.0,20500.0,42649.0,17998.0,27480.0,17036.0,42710.0,9694.0,13678.0,32152.0,38114.0,12140.0,31061.0,17492.3,41136.0,10717.0
Overall Palay Production,0603000000,Iloilo,101149.0,8331.0,99303.0,84293.0,101388.0,6761.0,103269.0,86303.0,103649.0,4793.0,94977.0,107887.0,109599.0,3904.0,29307.0,112612.0,93229.0,18732.0,89011.0,65137.0,86420.68,16814.0
Overall Palay Production,0607900000,Guimaras,5483.0,385.0,5615.0,8250.0,5632.0,409.82,8483.0,7003.0,4331.0,500.0,5985.0,8414.0,4108.0,290.0,3774.0,10645.0,4331.0,192.0,6992.0,7798.0,4095.0,675.0
Overall Palay Production,0701200000,Bohol,24141.0,12081.0,2545.0,29140.0,21374.0,7409.0,3313.0,30148.0,20820.0,14191.0,3928.0,31339.0,24169.0,12520.0,1331.0,34610.0,28120.0,13337.0,2514.49,28055.0,22446.0,13948.0
Overall Palay Production,0702200000,Cebu,1194.0,625.0,532.0,1418.0,1251.0,611.9,696.42,1509.0,1365.0,576.0,688.0,1513.0,1375.0,281.0,409.0,1553.0,1331.0,676.0,580.35,1504.09,947.0,421.0
