Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Palay Production,0102800000,Ilocos Norte,14507.0,51312.0,14292.0,49617.0,14830.51,50238.0,14154.13,50710.0,14424.0,50645.0,16861.0
Overall Palay Production,0102900000,Ilocos Sur,7538.0,42948.0,6486.35,43182.0,6411.0,42911.0,6185.0,42909.51,7181.0,43258.0,7174.0
Overall Palay Production,0103300000,La Union,7744.0,30609.0,7923.24,30500.76,7945.89,30488.35,7894.71,30504.0,7901.28,30539.0,7768.83
Overall Palay Production,0105500000,Pangasinan,75322.0,179055.0,75387.0,180020.0,73509.0,184591.0,72025.0,184187.0,72615.0,186456.0,74132.0
Overall Palay Production,0200900000,Batanes,1.5,47.85,2.0,55.0,2.5,57.7,2.45,49.0,1.95,77.8,2.3
Overall Palay Production,0201500000,Cagayan,123334.0,108228.0,123940.0,114985.0,124979.0,120354.0,122002.0,117230.0,120719.0,113206.0,122732.0
Overall Palay Production,0203100000,Isabela,146023.0,143671.0,145226.24,146025.63,147860.85,145583.0,148750.4,148038.37,149438.67,148246.0,154413.0
Overall Palay Production,0205000000,Nueva Vizcaya,33664.0,31442.0,33257.0,31579.25,33984.99,33340.0,33322.0,31221.0,31324.0,29250.0,31538.0
Overall Palay Production,0205700000,Quirino,12991.0,13719.0,12841.0,14147.19,13328.36,13238.0,13494.0,11461.0,12876.0,11982.96,13520.31
Overall Palay Production,0300800000,Bataan,14520.45,12442.52,15650.0,11384.69,15240.0,10739.63,14578.53,10787.53,15555.43,10117.25,15125.47
Overall Palay Production,0301400000,Bulacan,38833.0,48252.0,41393.0,48385.0,40542.0,42413.59,35284.0,39553.12,35246.24,44157.0,37117.0
Overall Palay Production,0304900000,Nueva Ecija,150914.82,167777.02,153468.19,139582.42,170200.0,122843.45,162092.76,130520.33,164329.0,133242.0,165912.6
Overall Palay Production,0305400000,Pampanga,46327.0,48263.7,49322.7,48860.15,49260.0,44961.0,41877.03,45529.34,43405.0,46397.0,43980.0
Overall Palay Production,0306900000,Tarlac,56466.0,83223.0,56194.0,83769.0,55834.0,83902.0,56312.0,84375.0,55930.0,84406.0,55851.0
Overall Palay Production,0307100000,Zambales,11358.0,23613.0,11029.0,21976.31,12106.61,22037.0,11093.0,21427.64,11765.0,22530.36,11979.68
Overall Palay Production,0307700000,Aurora,13318.0,12754.0,13340.0,10724.0,11934.0,10863.7,10678.39,9545.0,11711.0,8286.0,10358.0
Overall Palay Production,0401000000,Batangas,4466.0,8248.35,4120.67,7831.62,4912.38,6670.0,3682.8,4114.01,4674.0,3703.0,2532.0
Overall Palay Production,0402100000,Cavite,3410.58,4104.29,2917.41,3268.0,2657.0,2793.34,2340.17,2149.26,2950.36,2158.46,2149.0
Overall Palay Production,0403400000,Laguna,16211.0,12157.0,17116.0,12204.0,17408.25,13257.0,16945.84,12260.03,25445.36,13755.29,17908.88
Overall Palay Production,0405600000,Quezon,30700.0,25392.0,30860.0,21437.0,31198.0,23191.0,27721.36,15280.28,27738.0,18196.0,30923.73
Overall Palay Production,0405800000,Rizal,3067.75,2781.0,2972.0,2885.0,3314.0,2919.0,2537.18,2371.49,2196.0,2876.0,2410.0
Overall Palay Production,0500500000,Albay,26732.0,26901.0,27139.0,26879.0,27330.0,26649.0,26400.0,27071.0,25850.0,26632.05,24724.97
Overall Palay Production,0501600000,Camarines Norte,11287.0,12546.0,11327.0,12638.0,11593.0,12480.0,10838.36,9528.35,11185.58,9762.93,10684.36
Overall Palay Production,0501700000,Camarines Sur,81301.0,91907.0,80358.0,95614.0,79137.0,93680.0,79801.0,94995.0,79964.0,95285.0,79423.0
Overall Palay Production,0502000000,Catanduanes,4829.58,3575.98,4410.64,3654.37,4186.56,3084.22,3821.22,2573.13,4139.03,2887.57,4071.41
Overall Palay Production,0504100000,Masbate,28214.0,24346.0,28578.0,23127.0,28654.0,23538.0,25671.0,22514.0,30147.0,25303.0,34403.0
Overall Palay Production,0506200000,Sorsogon,17112.0,17258.0,17736.0,17387.0,17048.0,16627.43,16533.67,14059.5,15186.6,14933.8,16105.47
Overall Palay Production,0600400000,Aklan,14831.0,19616.0,17954.93,20451.51,17392.0,17312.0,12817.0,15017.0,13053.0,16001.0,12548.0
Overall Palay Production,0600600000,Antique,23837.0,58771.0,23801.0,60624.0,22202.0,45063.0,21401.0,33845.0,27664.0,30809.0,25565.0
Overall Palay Production,0601900000,Capiz,61914.0,58139.0,58176.0,54107.0,60647.0,44516.0,52404.0,45830.0,50254.0,48553.3,51853.0
Overall Palay Production,0603000000,Iloilo,109480.0,183596.0,108149.0,189572.0,108442.0,202864.0,113503.0,141919.0,111961.0,154148.0,103234.68
Overall Palay Production,0607900000,Guimaras,5868.0,13865.0,6041.82,15486.0,4831.0,14399.0,4398.0,14419.0,4523.0,14790.0,4770.0
Overall Palay Production,0701200000,Bohol,36222.0,31685.0,28783.0,33461.0,35011.0,35267.0,36689.0,35941.0,41457.0,30569.49,36394.0
Overall Palay Production,0702200000,Cebu,1819.0,1950.0,1862.9,2205.42,1941.0,2201.0,1656.0,1962.0,2007.0,2084.44,1368.0
Overall Palay Production,0802600000,Eastern Samar,12501.21,8285.07,14311.55,8283.07,14293.0,8281.0,14292.04,8269.0,14295.0,7470.0,13608.0
Overall Palay Production,0803700000,Leyte,52872.0,53277.27,51395.0,55525.0,51339.0,55525.0,47747.0,57570.0,51461.0,57426.0,50161.0
Overall Palay Production,0804800000,Northern Samar,20995.0,9686.0,20736.0,9532.57,20745.0,9514.0,20185.0,8903.0,20203.0,8865.0,20126.0
Overall Palay Production,0806000000,Samar (Western Samar),32766.0,25656.0,30716.0,25498.0,30135.0,23299.0,24655.93,20722.83,19876.63,20497.21,15615.4
Overall Palay Production,0806400000,Southern Leyte,10792.0,8152.77,8031.0,7972.79,7827.0,8164.0,7756.0,7032.0,6676.0,6603.0,6378.0
Overall Palay Production,0807800000,Biliran,5898.0,6394.0,6018.0,6151.0,6030.0,6139.0,5992.0,6135.0,5996.0,5633.0,5025.0
Overall Palay Production,0906600000,Sulu,0.0,1117.0,0.0,614.0,0.0,288.0,17.0,0.0,21.0,0.0,0.0
Overall Palay Production,0907200000,Zamboanga del Norte,14166.41,21311.73,13922.94,20423.74,13096.18,20344.41,12650.31,18630.99,16296.0,18781.13,15004.04
Overall Palay Production,0907300000,Zamboanga del Sur,39078.19,43556.19,33981.65,48208.35,44430.65,47292.88,43231.4,48070.63,41160.83,48160.89,42322.0
