Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Overall Palay Production,0102800000,Ilocos Norte,38075.0,36935.6,46902.0,215279.0,40320.0,34675.5,51989.5,203764.0,44316.0,36323.0,43194.32,214848.0,41984.0,33923.0,47806.5,218175.0,42653.0,35338.0,49991.46,221272.0,42459.0,47451.32
Overall Palay Production,0102900000,Ilocos Sur,27517.0,12642.0,28852.0,175623.0,22999.0,9392.83,34786.0,177236.0,20990.0,10065.0,30732.76,184288.0,21345.0,9725.0,30609.0,177607.0,25901.0,9655.0,32579.5,159463.0,26025.0,9530.0
Overall Palay Production,0103300000,La Union,25343.0,9602.0,12591.0,110345.0,26635.0,10105.93,15276.1,119259.5,26796.0,9633.89,14143.31,123318.36,26374.74,9827.0,15546.0,120542.21,26605.01,9652.74,14952.6,122394.28,27014.77,8642.29
Overall Palay Production,0105500000,Pangasinan,231424.0,127808.0,88818.0,714586.0,236457.0,128583.0,90150.0,763743.0,230899.0,124475.0,99537.42,776726.63,226320.0,122596.0,98910.0,765844.0,232807.0,118584.0,105543.97,756377.0,245501.0,125239.0
Overall Palay Production,0200900000,Batanes,0.0,1.6,4.27,14.44,0.0,2.2,22.89,36.33,0.0,3.82,36.15,40.3,0.0,3.25,25.0,23.25,0.0,2.67,48.16,59.75,0.0,3.86
Overall Palay Production,0201500000,Cagayan,190584.0,407359.0,115505.0,338173.0,231715.0,377297.0,127742.78,331743.5,232620.0,392651.0,155271.0,346599.5,229270.0,341271.0,144075.0,348787.0,158164.0,440241.0,137865.0,354378.2,98226.0,493018.0
Overall Palay Production,0203100000,Isabela,329970.56,428269.24,217342.37,450325.0,304437.48,439917.72,246276.0,467119.0,354774.68,405664.2,260953.12,457798.06,451695.63,299409.6,261118.81,456685.96,405756.11,379087.12,292657.71,433882.81,244114.66,562043.83
Overall Palay Production,0205000000,Nueva Vizcaya,86649.0,77811.4,53043.0,90674.0,60760.0,88154.0,47194.5,88768.63,44927.11,110562.0,47882.29,95275.37,47340.89,101925.0,38833.0,99111.0,51873.08,106366.18,56305.0,84817.0,51757.0,105693.76
Overall Palay Production,0205700000,Quirino,23489.0,43060.0,5009.0,52666.6,19404.7,39841.94,5624.14,52107.89,25314.2,36453.47,12200.66,47060.69,26526.0,29349.36,8633.8,38633.0,24633.16,38668.84,12828.4,37273.07,27813.97,35213.05
Overall Palay Production,0300800000,Bataan,42595.55,25234.5,7117.0,42196.0,42838.0,29079.31,3144.15,40341.0,41789.84,26331.95,2114.1,38959.41,43552.57,24498.43,762.0,38298.35,42998.04,27086.45,2152.44,32954.92,41438.75,26897.67
Overall Palay Production,0301400000,Bulacan,88713.0,90090.85,33226.39,175668.8,100600.0,91250.0,34666.52,175899.0,95006.32,96623.0,31000.0,152023.0,72680.0,86735.0,32086.0,139157.0,75032.0,88120.0,37934.0,155190.0,86157.0,99459.0
Overall Palay Production,0304900000,Nueva Ecija,194753.63,700668.6,177217.2,811684.54,246758.09,791926.95,129071.32,614207.64,345546.7,746756.6,173951.21,573604.17,301041.41,757592.63,162628.0,551186.67,312647.88,774152.82,160861.3,557232.08,315000.7,752751.02
