Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Palay Production,0102800000,Ilocos Norte,75010.6,262181.0,74995.5,255753.5,80639.0,258042.32,75907.0,265981.5,77991.0,271263.46,89910.32
Overall Palay Production,0102900000,Ilocos Sur,40159.0,204475.0,32391.83,212022.0,31055.0,215020.76,31070.0,208216.0,35556.0,192042.5,35555.0
Overall Palay Production,0103300000,La Union,34945.0,122936.0,36740.93,134535.59,36429.89,137461.66,36201.74,136088.21,36257.74,137346.88,35657.06
Overall Palay Production,0105500000,Pangasinan,359232.0,803404.0,365040.0,853893.0,355374.0,876264.05,348916.0,864754.0,351391.0,861920.97,370740.0
Overall Palay Production,0200900000,Batanes,1.6,18.71,2.2,59.22,3.82,76.45,3.25,48.25,2.67,107.91,3.86
Overall Palay Production,0201500000,Cagayan,597943.0,453678.0,609012.0,459486.28,625271.0,501870.5,570541.0,492862.0,598405.0,492243.2,591244.0
Overall Palay Production,0203100000,Isabela,758239.8,667667.37,744355.2,713395.0,760438.88,718751.18,751105.23,717804.77,784843.24,726540.52,806158.49
Overall Palay Production,0205000000,Nueva Vizcaya,164460.4,143717.0,148914.0,135963.13,155489.11,143157.66,149265.89,137944.0,158239.26,141122.0,157450.76
Overall Palay Production,0205700000,Quirino,66549.0,57675.6,59246.64,57732.03,61767.67,59261.35,55875.36,47266.8,63302.0,50101.47,63027.02
Overall Palay Production,0300800000,Bataan,67830.05,49313.0,71917.31,43485.15,68121.79,41073.51,68051.0,39060.35,70084.49,35107.36,68336.42
Overall Palay Production,0301400000,Bulacan,178803.85,208895.19,191850.0,210565.52,191629.32,183023.0,159415.0,171243.0,163152.0,193124.0,185616.0
Overall Palay Production,0304900000,Nueva Ecija,895422.23,988901.74,1038685.04,743278.96,1092303.3,747555.39,1058634.03,713814.67,1086800.7,718093.38,1067751.72
Overall Palay Production,0305400000,Pampanga,234214.91,242759.69,250742.79,223596.65,254925.18,208601.1,210115.82,211470.93,224161.01,194747.74,240268.32
Overall Palay Production,0306900000,Tarlac,254963.0,350167.81,247051.0,352525.56,246072.0,362596.8,245069.0,374830.0,254407.45,368515.15,260007.43
Overall Palay Production,0307100000,Zambales,48977.33,105593.73,46599.28,90205.13,51099.32,91128.45,50182.27,96973.17,55425.0,95165.59,54702.88
Overall Palay Production,0307700000,Aurora,60523.0,54845.0,60897.0,45313.0,55085.0,45217.12,48208.16,35417.0,53061.53,29345.62,48211.9
Overall Palay Production,0401000000,Batangas,14139.0,21215.04,13109.49,21762.45,16008.2,22018.61,11161.4,10867.49,16515.5,10171.0,9321.92
Overall Palay Production,0402100000,Cavite,12771.66,15057.0,11955.17,11258.61,10812.42,10159.18,8560.65,6901.39,12283.5,6883.28,9097.25
Overall Palay Production,0403400000,Laguna,74667.76,45556.26,82927.0,45504.38,95444.43,50810.92,81124.18,33579.45,124550.48,45040.57,89917.2
Overall Palay Production,0405600000,Quezon,112840.0,90243.0,115524.5,70354.0,117230.0,87399.0,92756.53,48185.16,97956.27,52596.08,116416.89
Overall Palay Production,0405800000,Rizal,13347.84,10077.52,13801.0,9702.1,12822.19,10694.47,10628.7,7294.11,8699.0,9414.69,10452.36
Overall Palay Production,0500500000,Albay,110173.0,114360.0,114637.8,111593.0,117383.07,115266.18,107299.5,96746.7,110189.0,100765.81,95590.37
Overall Palay Production,0501600000,Camarines Norte,54765.9,61526.73,51969.19,57823.24,50509.37,57880.77,46429.17,39472.49,47942.7,42378.07,45928.27
Overall Palay Production,0501700000,Camarines Sur,327570.0,355633.0,308960.0,356470.0,301206.0,342195.0,303883.0,324199.0,309120.0,321550.0,310374.0
Overall Palay Production,0502000000,Catanduanes,13138.62,10237.8,13885.24,10924.23,10751.53,7041.74,14875.65,6028.87,15225.74,10376.45,11435.51
Overall Palay Production,0504100000,Masbate,77396.0,71358.0,81811.0,69442.0,84083.0,71071.0,68756.72,68117.0,99625.0,69727.0,111218.0
