Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Overall Palay Production,0102800000,Ilocos Norte,5.1909,5.15,5.1231,5.1066,5.2548,5.2388,5.2377,5.1338,5.5965,5.2551,4.6163,5.2554,5.4946,5.2084,5.1772,5.2603,5.5086,5.2893,5.2595,5.3785,5.4659,5.2184
Overall Palay Production,0102900000,Ilocos Sur,5.4082,5.16,4.9651,4.7291,4.9365,5.1401,5.0849,4.877,4.7683,5.01,4.8413,5.0403,5.0342,5.0,5.1805,4.8001,5.0499,4.7052,5.1177,4.3224,5.0319,4.7602
Overall Palay Production,0103300000,La Union,4.5022,4.54,4.3209,3.9843,4.6751,4.54,4.5819,4.3899,4.6201,4.4892,4.516,4.5078,4.6201,4.4954,4.5192,4.454,4.6388,4.4565,4.3695,4.5136,4.6805,4.3276
Overall Palay Production,0105500000,Pangasinan,4.78,4.75,4.7304,4.4584,4.8061,4.91,4.8013,4.7366,4.8314,4.84,4.83,4.7366,4.8835,4.7738,4.8162,4.6798,4.9019,4.7203,4.8551,4.592,5.0489,4.91
Overall Palay Production,0200900000,Batanes,,1.0667,0.4335,0.38,,1.1,1.09,1.0685,,1.528,1.4755,1.2139,,1.3265,1.3889,0.75,,1.3692,1.72,1.1998,,1.6783
Overall Palay Production,0201500000,Cagayan,4.4585,5.0548,4.602,4.0681,4.7546,5.0169,4.3751,3.8671,4.8675,5.0869,4.4704,4.0481,4.6567,4.6898,4.5876,4.0639,4.5123,5.139,4.7402,4.2127,4.7632,4.8283
Overall Palay Production,0203100000,Isabela,5.0427,5.3143,4.9543,4.5122,5.0797,5.1577,5.0379,4.8087,5.2159,5.0808,5.0503,4.8748,5.1364,4.9237,5.0641,4.7337,5.3079,5.1933,5.1645,4.7378,5.156,5.2495
Overall Palay Production,0205000000,Nueva Vizcaya,4.6043,5.2416,4.6771,4.5109,4.5232,4.4468,4.6008,4.1634,4.591,4.5689,4.5798,4.1632,4.417,4.5092,4.5086,4.3839,4.9931,5.0808,4.9196,4.7637,4.9637,5.0066
Overall Palay Production,0205700000,Quirino,4.8461,5.2873,4.6813,4.1637,4.6758,4.5843,4.7155,4.0224,4.6371,4.6323,4.9415,4.37,4.41,3.9242,4.4828,4.0517,4.8198,4.9798,4.4918,4.0838,4.86,4.5161
Overall Palay Production,0300800000,Bataan,4.7416,4.5574,4.2363,3.9206,4.6726,4.4862,4.3048,3.7864,4.7225,4.1202,4.0788,3.8116,4.847,4.3802,3.8971,3.6158,4.5273,4.4712,4.2102,3.4307,4.548,4.4725
Overall Palay Production,0301400000,Bulacan,4.33,4.9109,4.4084,4.3146,4.6484,4.62,4.449,4.3332,4.5696,4.8921,4.3032,4.3177,4.3902,4.6311,4.4483,4.3029,4.4696,4.7738,4.678,4.3051,4.9405,5.0543
Overall Palay Production,0304900000,Nueva Ecija,5.5554,6.0476,5.9064,5.8915,6.2919,6.9315,5.3154,5.327,5.9228,6.6759,6.089,6.0843,6.1144,6.7128,6.2231,5.2802,5.9724,6.9133,5.8599,5.2673,6.0932,6.5906
Overall Palay Production,0305400000,Pampanga,4.98,5.1864,4.9774,5.052,5.0399,5.1699,4.7659,4.4967,5.1821,5.1603,4.7171,4.602,5.0031,5.0506,4.0999,4.913,5.1804,5.1305,4.1774,4.2079,5.5154,5.3526
Overall Palay Production,0306900000,Tarlac,4.4127,4.7581,4.558,4.1333,4.3238,4.5724,4.2949,4.1876,4.3502,4.5397,4.2881,4.3297,4.3504,4.3557,4.2693,4.4845,4.5999,4.4288,4.4436,4.3471,4.6523,4.6627
Overall Palay Production,0307100000,Zambales,4.3946,4.202,4.5644,4.4549,4.4058,4.1049,4.0222,4.1149,4.3064,4.1441,4.2146,4.0984,4.4785,4.5639,4.4773,4.5419,4.8369,4.5362,4.5148,4.0972,4.7259,4.429
Overall Palay Production,0307700000,Aurora,4.2505,4.7486,4.2543,4.3528,4.4993,4.6168,4.4212,4.1041,4.3056,4.7685,4.1031,4.1932,4.5252,4.5089,3.976,3.4901,3.9797,4.716,4.0272,3.2122,3.8929,4.9159
Overall Palay Production,0401000000,Batangas,3.2345,3.0471,3.7213,2.3907,3.1,3.3429,3.5468,2.3587,3.1924,3.3241,3.4315,3.2446,2.8793,3.2326,3.4795,2.4227,3.29,3.767,3.1217,2.6152,3.9075,3.5792
Overall Palay Production,0402100000,Cavite,3.5007,4.1298,4.0175,3.4953,3.8159,4.5104,3.7623,3.2403,3.8807,4.3171,3.5141,3.7288,3.8544,3.4596,3.3726,3.0747,3.9135,4.3752,3.2083,3.1731,4.3372,4.1742
