Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Palay Production,0102800000,Ilocos Norte,5.1706,5.1095,5.2474,5.1546,5.4374,5.1364,5.3629,5.2451,5.407,5.3562,5.3324
Overall Palay Production,0102900000,Ilocos Sur,5.3275,4.761,4.9938,4.91,4.844,5.0109,5.0234,4.8524,4.9514,4.4395,4.9561
Overall Palay Production,0103300000,La Union,4.5125,4.0163,4.6371,4.4109,4.5847,4.5087,4.5856,4.4613,4.5888,4.4974,4.5898
Overall Palay Production,0105500000,Pangasinan,4.7693,4.4869,4.8422,4.7433,4.8344,4.7471,4.8444,4.695,4.8391,4.6227,5.0011
Overall Palay Production,0200900000,Batanes,1.0667,0.391,1.1,1.0767,1.528,1.325,1.3265,0.9847,1.3692,1.387,1.6783
Overall Palay Production,0201500000,Cagayan,4.8482,4.1919,4.9138,3.9961,5.003,4.17,4.6765,4.2042,4.957,4.3482,4.8174
Overall Palay Production,0203100000,Isabela,5.1926,4.6472,5.1255,4.8854,5.1429,4.9371,5.0494,4.8488,5.2519,4.9009,5.2208
Overall Palay Production,0205000000,Nueva Vizcaya,4.8853,4.5709,4.4777,4.3055,4.5752,4.2939,4.4795,4.4183,5.0517,4.8247,4.9924
Overall Palay Production,0205700000,Quirino,5.1227,4.2041,4.6139,4.0808,4.6343,4.4766,4.1408,4.1241,4.9163,4.1811,4.6617
Overall Palay Production,0300800000,Bataan,4.6713,3.9633,4.5954,3.8196,4.4699,3.8245,4.6679,3.6209,4.5055,3.47,4.518
Overall Palay Production,0301400000,Bulacan,4.6044,4.3293,4.6348,4.3519,4.7267,4.3152,4.5181,4.3294,4.6289,4.3736,5.0008
Overall Palay Production,0304900000,Nueva Ecija,5.9333,5.8941,6.7681,5.325,6.4178,6.0854,6.531,5.469,6.6136,5.3894,6.4356
Overall Palay Production,0305400000,Pampanga,5.0557,5.0299,5.0837,4.5763,5.1751,4.6396,5.0174,4.6447,5.1644,4.1974,5.4631
Overall Palay Production,0306900000,Tarlac,4.5153,4.2076,4.3964,4.2083,4.4072,4.3217,4.352,4.4424,4.5487,4.366,4.6554
Overall Palay Production,0307100000,Zambales,4.3121,4.4718,4.2252,4.1047,4.2208,4.1352,4.5238,4.5256,4.711,4.2239,4.5663
Overall Palay Production,0307700000,Aurora,4.5445,4.3002,4.565,4.2254,4.6158,4.1622,4.5146,3.7105,4.5309,3.5416,4.6546
Overall Palay Production,0401000000,Batangas,3.1659,2.572,3.1814,2.7788,3.2587,3.3011,3.0307,2.6416,3.5335,2.7467,3.6816
Overall Palay Production,0402100000,Cavite,3.7447,3.6686,4.0979,3.4451,4.0694,3.6369,3.6581,3.2111,4.1634,3.189,4.2332
Overall Palay Production,0403400000,Laguna,4.606,3.7473,4.845,3.7286,5.4827,3.8328,4.7873,2.7389,4.8948,3.2744,5.0208
Overall Palay Production,0405600000,Quezon,3.6756,3.554,3.7435,3.2819,3.7576,3.7687,3.346,3.1534,3.5315,2.8905,3.7646
Overall Palay Production,0405800000,Rizal,4.351,3.6237,4.6437,3.3629,3.8691,3.6637,4.1892,3.0757,3.9613,3.2735,4.3371
