Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Peanut Production,0102800000,Ilocos Norte,871.55,34.26,61.89,591.81,918.03,37.04,63.39,598.27,943.42,38.99,58.69,616.76,953.33,39.45,60.67,605.9,958.26,132.49,86.7,611.33,584.28
Overall Peanut Production,0102900000,Ilocos Sur,1102.38,759.27,63.81,112.36,1223.39,829.36,68.36,106.94,1176.25,786.08,62.46,108.19,1167.34,807.72,65.41,110.28,1148.66,803.12,94.23,130.87,1178.91
Overall Peanut Production,0103300000,La Union,2115.39,216.33,308.34,274.38,2308.19,227.19,314.97,283.32,2091.91,213.4,290.75,280.35,1980.0,219.61,298.54,264.09,1884.6,207.75,253.76,245.24,2076.02
Overall Peanut Production,0105500000,Pangasinan,3543.66,2100.26,44.04,9.97,3634.7,2130.5,48.33,9.66,3355.45,2301.9,,10.76,3442.51,2485.0,12.87,12.1,2654.0,2557.81,7.12,10.84,2404.52
Overall Peanut Production,0200900000,Batanes,,0.22,,,0.07,0.1,,,0.04,0.15,,,0.05,0.12,0.3,,,0.15,0.23,,0.04
Overall Peanut Production,0201500000,Cagayan,547.83,764.86,286.25,,845.1,786.76,444.12,,298.4,1353.67,432.2,,245.0,1225.0,374.27,4.25,215.9,1245.25,362.68,4.35,230.45
Overall Peanut Production,0203100000,Isabela,19.15,760.87,49.54,5.89,16.92,722.82,48.26,3.5,13.4,710.2,46.0,3.01,10.34,705.5,60.82,2.85,10.0,715.89,48.92,2.5,9.67
Overall Peanut Production,0205000000,Nueva Vizcaya,43.77,46.75,190.88,102.07,47.58,38.96,223.41,91.2,76.13,37.34,207.15,110.0,49.78,38.15,202.63,80.8,62.96,38.5,207.15,94.0,68.54
Overall Peanut Production,0205700000,Quirino,6.7,12.25,4.17,1.79,8.89,12.53,4.79,1.82,9.04,13.69,4.48,,7.9,,4.63,,6.5,9.38,5.99,0.86,7.81
Overall Peanut Production,0300800000,Bataan,14.64,80.92,,26.18,18.7,121.88,,21.47,15.9,155.56,,18.85,16.41,124.34,,21.77,17.0,120.68,,24.6,18.99
Overall Peanut Production,0301400000,Bulacan,38.5,,3.77,,39.0,,3.79,,35.8,,3.79,,34.25,,0.88,,36.35,,,,35.47
Overall Peanut Production,0304900000,Nueva Ecija,4.62,24.5,6.07,4.37,4.66,24.72,6.05,4.01,5.79,21.75,6.82,3.83,5.54,21.17,7.26,0.31,6.02,22.61,6.67,0.37,5.78
Overall Peanut Production,0305400000,Pampanga,192.25,62.12,3.2,10.25,212.04,71.58,3.07,10.13,238.87,82.71,,10.75,247.34,85.02,,10.25,243.1,87.77,,10.19,250.79
Overall Peanut Production,0306900000,Tarlac,134.57,305.21,12.56,7.47,134.21,321.76,13.21,8.32,159.77,306.95,13.19,7.99,145.25,312.25,12.55,8.1,143.5,299.75,11.87,,151.58
Overall Peanut Production,0307100000,Zambales,3.73,5.88,,,3.22,5.96,,,3.12,5.36,,,1.66,4.5,,,0.61,,,,1.54
Overall Peanut Production,0307700000,Aurora,51.55,1200.0,88.74,71.54,45.0,950.0,59.8,53.42,15.48,1005.0,50.21,49.28,11.69,827.92,,33.3,,35.16,0.07,5.93,
Overall Peanut Production,0401000000,Batangas,21.15,4.91,1.92,2.36,24.25,4.09,1.58,2.64,20.34,3.92,10.0,5.0,18.31,1.0,12.0,8.25,15.45,2.8,15.8,5.29,8.07
Overall Peanut Production,0402100000,Cavite,4.66,0.36,114.93,25.6,5.21,0.37,124.91,21.47,4.8,0.45,151.84,20.63,4.8,2.67,123.78,18.98,165.83,1.85,122.89,15.13,
Overall Peanut Production,0403400000,Laguna,3.07,,,0.07,1.2,,0.67,0.57,1.1,,0.6,0.38,0.8,,1.3,0.35,,1.16,0.86,2.02,1.54
Overall Peanut Production,0405600000,Quezon,145.93,14.51,85.6,40.0,152.11,15.36,91.23,37.09,138.15,15.28,88.5,38.0,143.38,13.28,80.92,34.73,148.44,14.78,83.57,34.87,143.32
Overall Peanut Production,0405800000,Rizal,19.85,,,14.55,20.06,,,15.05,18.5,,,14.5,19.47,,,9.93,18.03,,,11.63,10.24
Overall Peanut Production,0500500000,Albay,383.86,269.59,20.19,20.6,364.59,299.37,19.58,29.58,242.63,321.58,19.88,11.97,189.14,258.5,16.64,13.04,184.99,251.15,37.92,37.92,93.82
Overall Peanut Production,0501600000,Camarines Norte,3.94,21.85,0.95,,4.9,24.16,0.84,,4.88,20.66,,38.4,,,,,,,0.52,,
Overall Peanut Production,0501700000,Camarines Sur,1.03,103.45,1.97,0.1,1.16,102.33,1.45,0.08,1.01,112.01,1.66,0.1,60.84,90.32,157.2,19.16,42.97,184.67,64.51,138.46,24.92
Overall Peanut Production,0502000000,Catanduanes,,26.66,0.52,0.03,,26.7,0.68,0.02,,26.7,,,,25.33,0.83,0.02,0.09,24.03,0.76,0.02,0.05
Overall Peanut Production,0504100000,Masbate,2.97,15.45,21.74,23.69,3.12,16.02,21.6,23.48,3.84,17.03,20.98,9.96,4.83,14.84,21.97,8.88,5.0,18.24,20.15,2.48,4.86
Overall Peanut Production,0506200000,Sorsogon,1.06,17.46,7.2,0.49,0.82,15.71,6.2,0.41,0.29,12.24,0.86,0.49,0.38,7.34,3.7,0.63,0.36,5.14,4.52,1.37,0.72
Overall Peanut Production,0600400000,Aklan,6.48,31.75,9.1,5.2,6.62,32.53,9.45,4.95,6.0,29.63,9.12,4.78,6.36,28.82,9.22,4.97,5.57,25.24,8.07,4.97,6.04
Overall Peanut Production,0600600000,Antique,287.93,143.44,13.5,38.76,306.35,145.32,22.37,38.83,307.0,147.29,13.39,39.03,314.61,147.7,13.5,49.46,355.72,148.0,43.7,49.51,374.4
Overall Peanut Production,0601900000,Capiz,8.0,25.82,10.68,24.3,9.16,26.92,11.04,22.02,8.89,25.95,10.73,23.14,10.23,26.85,11.08,23.9,9.75,27.0,10.4,23.93,9.31
Overall Peanut Production,0603000000,Iloilo,637.2,775.0,110.23,134.4,700.92,690.0,119.05,123.0,574.75,751.2,107.05,113.69,453.06,592.15,84.41,100.89,465.0,533.26,36.23,105.63,345.73
Overall Peanut Production,0607900000,Guimaras,10.44,6.3,5.92,12.58,12.1,8.0,6.8,13.5,12.5,9.5,5.41,13.0,12.9,9.0,6.05,16.27,13.5,12.0,7.0,18.82,14.0
Overall Peanut Production,0701200000,Bohol,7.39,99.99,45.75,17.69,2.54,112.93,42.63,16.24,3.79,112.14,17.82,4.02,2.48,83.67,17.0,9.16,3.84,59.94,49.31,11.78,4.4
Overall Peanut Production,0702200000,Cebu,25.0,40.0,138.42,177.0,23.0,37.0,145.0,179.0,29.36,40.41,151.0,180.0,27.87,23.69,146.36,94.83,30.2,30.96,139.58,65.53,29.14
Overall Peanut Production,0802600000,Eastern Samar,,1.0,,,,1.0,,,,1.02,,,0.08,1.01,12.2,6.5,0.1,1.0,4.08,6.18,0.09
Overall Peanut Production,0803700000,Leyte,32.48,34.3,127.2,6.98,31.9,31.55,127.1,6.96,30.6,27.5,127.0,6.98,33.5,33.66,125.0,7.1,33.52,33.02,122.4,6.7,32.85
Overall Peanut Production,0804800000,Northern Samar,1.39,44.0,1.9,18.0,1.43,45.0,2.0,18.5,1.48,46.0,1.92,18.25,1.75,44.0,1.93,18.0,1.74,,1.95,17.0,1.66
Overall Peanut Production,0806000000,Samar (Western Samar),4.84,136.32,42.64,1.66,5.28,149.0,50.84,1.72,4.73,179.86,44.22,2.13,3.55,126.78,42.7,2.33,3.46,125.15,39.55,2.25,
Overall Peanut Production,0806400000,Southern Leyte,3.45,2.25,4.36,1.2,1.2,1.7,3.65,1.25,1.57,1.85,4.2,1.32,1.35,1.69,4.1,1.98,1.55,1.59,2.74,1.95,1.1
Overall Peanut Production,0807800000,Biliran,4.8,7.8,3.0,0.4,6.26,8.03,2.62,0.34,3.93,6.11,2.38,0.35,2.55,5.55,2.88,0.4,4.25,4.19,,,3.58
Overall Peanut Production,0906600000,,20.0,27.0,39.2,76.0,19.8,28.0,39.5,74.0,20.0,29.5,40.0,75.0,21.0,28.0,42.0,74.0,21.5,,43.59,56.22,21.7
Overall Peanut Production,0907200000,Zamboanga del Norte,9.13,20.99,67.07,17.32,8.34,18.53,70.42,19.07,6.12,19.21,20.33,32.33,8.72,17.16,23.38,27.14,9.16,18.3,25.79,36.86,8.0
Overall Peanut Production,0907300000,Zamboanga del Sur,67.62,37.96,177.22,638.06,63.97,40.67,191.05,736.51,84.98,48.58,,676.08,62.02,44.19,220.2,635.4,56.7,40.4,35.91,36.36,37.0
Overall Peanut Production,0907400000,Zamboanga City,1.21,13.68,40.18,16.03,1.25,13.36,40.42,16.79,,,,,,,,,,106.5,100.5,105.52,106.01
Overall Peanut Production,0908300000,Zamboanga Sibugay,5.28,3.59,29.41,42.67,6.1,3.8,33.02,46.56,5.36,3.9,31.12,42.92,5.27,3.62,29.95,42.76,5.34,3.43,30.09,41.0,5.32
Overall Peanut Production,1001300000,Bukidnon,255.5,35.48,40.0,304.0,238.08,30.0,33.91,300.0,234.91,25.0,31.0,302.34,264.41,31.02,33.0,285.0,287.28,31.9,31.0,297.26,256.04
Overall Peanut Production,1001800000,Camiguin,2.18,0.68,2.25,5.18,2.0,2.72,2.55,5.0,1.69,3.66,1.5,3.5,1.1,3.08,1.63,4.0,3.05,3.17,1.37,3.89,2.0
Overall Peanut Production,1003500000,Lanao del Norte,615.0,98.0,401.0,815.0,621.0,102.0,405.0,820.0,618.0,106.0,406.75,823.0,616.0,105.0,407.0,825.0,612.0,104.5,406.0,826.5,615.33
Overall Peanut Production,1004200000,Misamis Occidental,5.0,2.5,10.8,12.7,5.9,2.86,10.2,15.87,6.0,3.15,12.0,16.56,5.82,3.24,11.57,16.18,5.62,3.21,11.92,16.98,5.81
Overall Peanut Production,1004300000,Misamis Oriental,18.0,2.6,15.37,9.0,18.8,2.12,19.57,11.0,17.92,2.19,18.0,15.0,,2.13,17.74,23.43,16.0,2.15,18.0,24.59,14.78
Overall Peanut Production,1102300000,Davao del Norte,11.83,14.5,15.24,33.26,12.17,14.26,16.04,34.78,13.13,14.79,15.64,34.8,12.05,14.52,15.45,35.74,11.05,14.26,15.27,34.78,10.84
Overall Peanut Production,1102400000,Davao del Sur,7.31,13.1,24.59,15.74,7.97,13.58,23.07,14.51,71.29,39.5,115.68,100.25,73.41,40.14,133.43,99.17,76.14,16.21,50.09,31.93,22.78
