Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Peanut Production,0102800000,Ilocos Norte,905.81,653.7,955.07,661.66,982.41,675.45,992.78,666.57,1090.75,698.03
Overall Peanut Production,0102900000,Ilocos Sur,1861.65,176.17,2052.75,175.3,1962.33,170.65,1975.06,175.69,1951.78,225.1
Overall Peanut Production,0103300000,La Union,2331.72,582.72,2535.38,598.29,2305.31,571.1,2199.61,562.63,2092.35,499.0
Overall Peanut Production,0105500000,Pangasinan,5643.92,54.01,5765.2,57.99,5657.35,10.76,5927.51,24.97,5211.81,17.96
Overall Peanut Production,0200900000,Batanes,0.22,,0.17,,0.19,,0.17,0.3,0.15,0.23
Overall Peanut Production,0201500000,Cagayan,1312.69,286.25,1631.86,444.12,1652.07,432.2,1470.0,378.52,1461.15,367.03
Overall Peanut Production,0203100000,Isabela,780.02,55.43,739.74,51.76,723.6,49.01,715.84,63.67,725.89,51.42
Overall Peanut Production,0205000000,Nueva Vizcaya,90.52,292.95,86.54,314.61,113.47,317.15,87.93,283.43,101.46,301.15
Overall Peanut Production,0205700000,Quirino,18.95,5.96,21.42,6.61,22.73,4.48,7.9,4.63,15.88,6.85
Overall Peanut Production,0300800000,Bataan,95.56,26.18,140.58,21.47,171.46,18.85,140.75,21.77,137.68,24.6
Overall Peanut Production,0301400000,Bulacan,38.5,3.77,39.0,3.79,35.8,3.79,34.25,0.88,36.35,
Overall Peanut Production,0304900000,Nueva Ecija,29.12,10.44,29.38,10.06,27.54,10.65,26.71,7.57,28.63,7.04
Overall Peanut Production,0305400000,Pampanga,254.37,13.45,283.62,13.2,321.58,10.75,332.36,10.25,330.87,10.19
Overall Peanut Production,0306900000,Tarlac,439.78,20.03,455.97,21.53,466.72,21.18,457.5,20.65,443.25,11.87
Overall Peanut Production,0307100000,Zambales,9.61,,9.18,,8.48,,6.16,,0.61,
Overall Peanut Production,0307700000,Aurora,1251.55,160.28,995.0,113.22,1020.48,99.49,839.61,33.3,35.16,6.0
Overall Peanut Production,0401000000,Batangas,26.06,4.28,28.34,4.22,24.26,15.0,19.31,20.25,18.25,21.09
Overall Peanut Production,0402100000,Cavite,5.02,140.53,5.58,146.38,5.25,172.47,7.47,142.76,167.68,138.02
Overall Peanut Production,0403400000,Laguna,3.07,0.07,1.2,1.24,1.1,0.98,0.8,1.65,1.16,2.88
Overall Peanut Production,0405600000,Quezon,160.44,125.6,167.47,128.32,153.43,126.5,156.66,115.65,163.22,118.44
Overall Peanut Production,0405800000,Rizal,19.85,14.55,20.06,15.05,18.5,14.5,19.47,9.93,18.03,11.63
Overall Peanut Production,0500500000,Albay,653.45,40.79,663.96,49.16,564.21,31.85,447.64,29.68,436.14,75.84
Overall Peanut Production,0501600000,Camarines Norte,25.79,0.95,29.06,0.84,25.54,38.4,,,,0.52
Overall Peanut Production,0501700000,Camarines Sur,104.48,2.07,103.49,1.53,113.02,1.76,151.16,176.36,227.64,202.97
Overall Peanut Production,0502000000,Catanduanes,26.66,0.55,26.7,0.7,26.7,,25.33,0.85,24.12,0.78
Overall Peanut Production,0504100000,Masbate,18.42,45.43,19.14,45.08,20.87,30.94,19.67,30.85,23.24,22.63
Overall Peanut Production,0506200000,Sorsogon,18.52,7.69,16.53,6.61,12.53,1.35,7.72,4.33,5.5,5.89
Overall Peanut Production,0600400000,Aklan,38.23,14.3,39.15,14.4,35.63,13.9,35.18,14.19,30.81,13.04
Overall Peanut Production,0600600000,Antique,431.37,52.26,451.67,61.2,454.29,52.42,462.31,62.96,503.72,93.21
Overall Peanut Production,0601900000,Capiz,33.82,34.98,36.08,33.06,34.84,33.87,37.08,34.98,36.75,34.33
Overall Peanut Production,0603000000,Iloilo,1412.2,244.63,1390.92,242.05,1325.95,220.74,1045.21,185.3,998.26,141.86
Overall Peanut Production,0607900000,Guimaras,16.74,18.5,20.1,20.3,22.0,18.41,21.9,22.32,25.5,25.82
Overall Peanut Production,0701200000,Bohol,107.38,63.44,115.47,58.87,115.93,21.84,86.15,26.16,63.78,61.09
Overall Peanut Production,0702200000,Cebu,65.0,315.42,60.0,324.0,69.77,331.0,51.56,241.19,61.16,205.11
Overall Peanut Production,0802600000,Eastern Samar,1.0,,1.0,,1.02,,1.09,18.7,1.1,10.26
Overall Peanut Production,0803700000,Leyte,66.78,134.18,63.45,134.06,58.1,133.98,67.16,132.1,66.54,129.1
Overall Peanut Production,0804800000,Northern Samar,45.39,19.9,46.43,20.5,47.48,20.17,45.75,19.93,1.74,18.95
Overall Peanut Production,0806000000,Samar (Western Samar),141.16,44.3,154.28,52.56,184.59,46.35,130.33,45.03,128.61,41.8
Overall Peanut Production,0806400000,Southern Leyte,5.7,5.56,2.9,4.9,3.42,5.52,3.04,6.08,3.14,4.69
Overall Peanut Production,0807800000,Biliran,12.6,3.4,14.29,2.96,10.04,2.73,8.1,3.28,8.44,
Overall Peanut Production,0906600000,,47.0,115.2,47.8,113.5,49.5,115.0,49.0,116.0,21.5,99.81
Overall Peanut Production,0907200000,Zamboanga del Norte,30.12,84.39,26.87,89.49,25.33,52.66,25.88,50.52,27.46,62.65
Overall Peanut Production,0907300000,Zamboanga del Sur,105.58,815.28,104.64,927.56,133.56,676.08,106.21,855.6,97.1,72.27
Overall Peanut Production,0907400000,Zamboanga City,14.89,56.21,14.61,57.21,,,,,106.5,206.02
Overall Peanut Production,0908300000,Zamboanga Sibugay,8.87,72.08,9.9,79.58,9.26,74.04,8.89,72.71,8.77,71.09
Overall Peanut Production,1001300000,Bukidnon,290.98,344.0,268.08,333.91,259.91,333.34,295.43,318.0,319.18,328.26
Overall Peanut Production,1001800000,Camiguin,2.86,7.43,4.72,7.55,5.35,5.0,4.18,5.63,6.22,5.26
Overall Peanut Production,1003500000,Lanao del Norte,713.0,1216.0,723.0,1225.0,724.0,1229.75,721.0,1232.0,716.5,1232.5
