Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Pechay Production,0102800000,Ilocos Norte,334.77,165.25,113.6,298.09,324.13,161.08,112.31,298.93,314.3,155.14,105.05,289.42,307.37,160.49,109.0,293.96,315.27,161.01,116.97,329.73,381.35
Overall Pechay Production,0102900000,Ilocos Sur,38.18,29.55,21.9,63.65,41.32,25.79,22.68,67.36,41.46,22.25,21.93,64.31,41.39,23.27,21.96,63.83,40.82,22.25,22.58,66.61,42.68
Overall Pechay Production,0103300000,La Union,50.87,8.87,1.63,51.6,51.61,9.6,2.04,55.87,49.29,8.81,2.34,54.94,47.76,8.56,2.02,52.26,45.88,8.05,0.92,55.53,49.25
Overall Pechay Production,0105500000,Pangasinan,878.12,196.22,88.71,164.45,895.89,198.4,91.34,170.32,930.61,214.58,75.0,172.28,945.65,231.0,71.0,158.48,1009.0,241.05,79.11,152.25,1050.17
Overall Pechay Production,0200900000,Batanes,7.51,2.35,1.75,10.43,7.19,3.08,1.87,5.99,9.46,3.16,1.5,6.12,11.19,2.85,2.25,0.93,13.19,2.98,3.23,7.47,15.34
Overall Pechay Production,0201500000,Cagayan,2251.37,147.53,66.21,344.41,2296.84,149.6,64.9,329.32,1932.93,169.55,60.15,333.15,1285.0,148.25,65.07,18.12,1537.0,152.14,75.79,263.45,1585.09
Overall Pechay Production,0203100000,Isabela,1537.2,18.42,382.52,488.16,1434.21,17.13,342.24,436.12,1220.25,14.2,334.0,370.0,968.88,12.69,293.92,329.3,985.0,13.5,305.8,291.09,1058.04
Overall Pechay Production,0205000000,Nueva Vizcaya,68.26,123.08,260.39,279.68,71.88,131.8,240.79,270.97,69.96,152.05,252.66,252.25,199.09,141.93,229.58,227.11,256.33,147.0,217.53,260.45,239.77
Overall Pechay Production,0205700000,Quirino,69.79,13.93,20.17,6.07,72.29,14.18,22.89,6.04,74.11,15.06,21.53,2.65,68.2,14.46,22.21,4.52,74.33,15.9,26.3,3.65,112.91
Overall Pechay Production,0300800000,Bataan,9.77,34.34,0.62,19.09,12.82,25.98,0.5,23.13,15.35,35.3,0.44,27.55,27.88,31.95,0.33,37.52,25.56,30.53,0.43,34.48,29.11
Overall Pechay Production,0301400000,Bulacan,812.01,487.07,30.96,215.8,776.18,468.85,26.98,223.24,783.11,523.94,32.29,198.59,655.77,434.87,17.28,187.47,738.34,475.88,17.26,189.92,651.8
Overall Pechay Production,0304900000,Nueva Ecija,496.97,47.9,39.51,550.92,486.77,49.33,39.61,545.02,464.31,53.7,43.47,569.09,364.42,51.8,48.7,607.52,402.51,47.63,43.52,558.32,443.0
Overall Pechay Production,0305400000,Pampanga,195.16,168.17,20.95,20.71,225.26,195.47,24.28,21.19,243.63,229.31,,23.18,264.01,287.16,21.54,26.91,244.75,301.39,21.06,28.14,253.01
Overall Pechay Production,0306900000,Tarlac,454.94,64.96,79.07,163.72,482.06,69.14,73.0,184.57,510.65,70.25,76.5,166.15,488.75,68.25,74.9,162.35,483.22,,73.33,146.12,456.99
Overall Pechay Production,0307100000,Zambales,74.7,19.05,3.34,61.68,77.95,18.79,2.71,66.24,85.73,18.24,,61.08,63.53,14.02,0.76,19.57,75.08,2.13,0.13,,64.78
Overall Pechay Production,0307700000,Aurora,20.0,11.0,5.99,3.73,22.79,11.96,7.0,2.39,20.0,8.49,6.68,1.83,26.07,10.57,6.59,0.36,18.6,5.92,5.23,15.15,17.56
Overall Pechay Production,0401000000,Batangas,240.7,,46.48,24.14,171.93,31.6,43.67,21.89,195.35,25.77,40.0,20.0,180.0,22.0,36.55,18.0,172.8,20.2,42.5,19.96,145.9
Overall Pechay Production,0402100000,Cavite,175.23,20.19,11.31,55.96,219.14,15.99,11.4,50.06,270.4,18.44,9.85,62.3,319.97,17.98,7.48,64.76,348.58,21.42,13.78,68.03,349.17
Overall Pechay Production,0403400000,Laguna,436.18,440.28,156.0,141.86,451.22,486.31,173.91,124.92,514.14,563.26,174.14,147.0,457.18,426.85,128.6,133.66,455.09,489.98,125.31,135.19,475.47
Overall Pechay Production,0405600000,Quezon,1562.37,1162.37,1049.36,582.83,1560.88,1128.34,1017.75,570.23,1631.18,1137.45,971.96,565.3,1652.05,1064.9,936.36,525.2,1720.52,1043.38,981.99,562.52,1667.92
Overall Pechay Production,0405800000,Rizal,239.32,32.26,,68.32,225.58,28.14,,62.0,272.7,13.6,0.99,66.0,245.86,13.0,1.31,59.0,237.87,16.59,3.27,52.74,241.8
Overall Pechay Production,0500500000,Albay,3837.0,2293.4,768.21,518.51,3699.29,2084.17,721.6,451.05,3318.04,2380.21,740.51,383.89,1147.84,2002.5,616.02,241.06,898.53,1636.82,948.13,533.37,590.32
Overall Pechay Production,0501600000,Camarines Norte,104.72,160.6,53.64,8.36,75.22,159.18,56.61,9.65,70.15,160.88,74.32,0.69,48.47,144.2,47.08,0.26,37.48,125.37,29.82,0.1,9.39
Overall Pechay Production,0501700000,Camarines Sur,3595.91,876.34,1364.68,345.23,3581.99,898.19,1296.86,246.08,4041.2,1009.37,1488.0,296.78,81.46,227.71,1101.1,11.7,217.69,232.46,161.42,11.33,152.82
Overall Pechay Production,0502000000,Catanduanes,32.77,12.77,2.97,5.42,41.09,12.08,2.6,5.76,33.73,12.14,2.88,7.44,49.51,13.86,3.09,0.52,40.76,35.42,2.92,5.82,35.69
Overall Pechay Production,0504100000,Masbate,3.87,105.17,212.47,22.79,4.11,111.95,205.77,20.03,4.56,126.69,205.25,,5.17,111.32,207.64,,5.86,81.47,134.63,,5.9
Overall Pechay Production,0506200000,Sorsogon,10.52,6.92,8.4,5.72,10.41,6.23,7.9,4.93,6.0,2.42,9.18,5.67,7.2,3.03,10.3,6.8,15.76,5.41,5.45,7.56,8.14
Overall Pechay Production,0600400000,Aklan,65.62,43.93,10.64,14.7,55.2,29.56,8.42,12.97,53.2,32.87,10.18,15.68,58.0,35.45,9.74,14.45,60.03,31.69,15.47,6.11,40.34
Overall Pechay Production,0600600000,Antique,226.09,59.0,16.72,36.28,229.2,69.88,16.21,34.63,227.0,58.75,15.62,35.05,223.22,61.75,16.72,36.07,226.47,61.76,10.61,36.0,260.0
Overall Pechay Production,0601900000,Capiz,64.21,106.59,81.53,88.57,72.52,95.48,90.49,84.51,75.06,98.94,94.47,88.23,77.5,101.72,96.86,90.46,76.5,103.32,94.92,92.94,87.75
Overall Pechay Production,0603000000,Iloilo,578.4,115.0,130.97,83.0,665.16,132.25,150.61,96.01,564.79,122.98,129.53,82.57,544.45,118.55,124.86,67.89,525.05,125.05,52.81,212.63,486.09
Overall Pechay Production,0607900000,Guimaras,42.5,43.08,29.87,29.36,55.58,52.3,30.5,31.0,58.5,55.5,26.87,32.0,49.7,49.35,38.4,40.0,61.12,55.48,45.85,47.76,63.81
Overall Pechay Production,0701200000,Bohol,95.54,52.65,89.88,178.6,74.9,43.32,88.31,201.79,81.89,54.28,55.97,116.13,67.48,46.88,53.0,136.15,61.91,99.99,68.19,78.63,83.57
Overall Pechay Production,0702200000,Cebu,854.03,425.0,977.0,1056.5,733.0,451.0,943.0,1084.0,676.69,343.92,875.45,1284.0,939.55,472.27,865.32,1181.31,842.94,476.7,859.46,1182.16,819.03
Overall Pechay Production,0802600000,Eastern Samar,5.1,15.27,7.66,21.0,6.0,20.4,8.86,19.19,7.99,19.98,13.88,54.64,10.25,21.0,18.04,47.54,11.28,26.0,9.83,40.46,54.52
Overall Pechay Production,0803700000,Leyte,50.85,129.03,188.2,49.95,54.1,118.45,176.4,49.84,52.0,166.71,181.76,49.8,313.48,149.59,155.8,50.8,183.27,150.0,158.7,51.0,185.27
Overall Pechay Production,0804800000,Northern Samar,1.7,6.25,6.21,9.1,1.8,6.5,6.23,9.25,1.83,7.0,6.49,9.0,1.95,8.0,8.61,8.0,,8.17,7.5,7.5,1.82
