Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Pechay Production,0102800000,Ilocos Norte,500.02,411.69,485.21,411.24,469.44,394.47,467.86,402.96,476.28,446.7,381.35
Overall Pechay Production,0102900000,Ilocos Sur,67.73,85.55,67.11,90.04,63.71,86.24,64.66,85.79,63.07,89.19,42.68
Overall Pechay Production,0103300000,La Union,59.74,53.23,61.21,57.91,58.1,57.28,56.32,54.28,53.93,56.45,49.25
Overall Pechay Production,0105500000,Pangasinan,1074.34,253.16,1094.29,261.66,1145.19,247.28,1176.65,229.48,1250.05,231.36,1050.17
Overall Pechay Production,0200900000,Batanes,9.86,12.18,10.27,7.86,12.62,7.62,14.04,3.18,16.17,10.7,15.34
Overall Pechay Production,0201500000,Cagayan,2398.9,410.62,2446.44,394.22,2102.48,393.3,1433.25,83.19,1689.14,339.24,1585.09
Overall Pechay Production,0203100000,Isabela,1555.62,870.68,1451.34,778.36,1234.45,704.0,981.57,623.22,998.5,596.89,1058.04
Overall Pechay Production,0205000000,Nueva Vizcaya,191.34,540.07,203.68,511.76,222.01,504.91,341.02,456.69,403.33,477.98,239.77
Overall Pechay Production,0205700000,Quirino,83.72,26.24,86.47,28.93,89.17,24.18,82.66,26.73,90.23,29.95,112.91
Overall Pechay Production,0300800000,Bataan,44.11,19.71,38.8,23.63,50.65,27.99,59.83,37.85,56.09,34.91,29.11
Overall Pechay Production,0301400000,Bulacan,1299.08,246.76,1245.03,250.22,1307.05,230.88,1090.64,204.75,1214.22,207.18,651.8
Overall Pechay Production,0304900000,Nueva Ecija,544.87,590.43,536.1,584.63,518.01,612.56,416.22,656.22,450.14,601.84,443.0
Overall Pechay Production,0305400000,Pampanga,363.33,41.66,420.73,45.47,472.94,23.18,551.17,48.45,546.14,49.2,253.01
Overall Pechay Production,0306900000,Tarlac,519.9,242.79,551.2,257.57,580.9,242.65,557.0,237.25,483.22,219.45,456.99
Overall Pechay Production,0307100000,Zambales,93.75,65.02,96.74,68.95,103.97,61.08,77.55,20.33,77.21,0.13,64.78
Overall Pechay Production,0307700000,Aurora,31.0,9.72,34.75,9.39,28.49,8.51,36.64,6.95,24.52,20.38,17.56
Overall Pechay Production,0401000000,Batangas,240.7,70.62,203.53,65.56,221.12,60.0,202.0,54.55,193.0,62.46,145.9
Overall Pechay Production,0402100000,Cavite,195.42,67.27,235.13,61.46,288.84,72.15,337.95,72.24,370.0,81.81,349.17
Overall Pechay Production,0403400000,Laguna,876.46,297.86,937.53,298.83,1077.4,321.14,884.03,262.26,945.07,260.5,475.47
Overall Pechay Production,0405600000,Quezon,2724.74,1632.19,2689.22,1587.98,2768.63,1537.26,2716.95,1461.56,2763.9,1544.51,1667.92
Overall Pechay Production,0405800000,Rizal,271.58,68.32,253.72,62.0,286.3,66.99,258.86,60.31,254.46,56.01,241.8
Overall Pechay Production,0500500000,Albay,6130.4,1286.72,5783.46,1172.65,5698.25,1124.4,3150.34,857.08,2535.35,1481.5,590.32
Overall Pechay Production,0501600000,Camarines Norte,265.32,62.0,234.4,66.26,231.03,75.01,192.67,47.34,162.85,29.92,9.39
Overall Pechay Production,0501700000,Camarines Sur,4472.25,1709.91,4480.18,1542.94,5050.57,1784.78,309.17,1112.8,450.15,172.75,152.82
Overall Pechay Production,0502000000,Catanduanes,45.54,8.39,53.17,8.36,45.87,10.32,63.37,3.61,76.18,8.74,35.69
Overall Pechay Production,0504100000,Masbate,109.04,235.26,116.06,225.8,131.25,205.25,116.49,207.64,87.33,134.63,5.9
Overall Pechay Production,0506200000,Sorsogon,17.44,14.12,16.64,12.83,8.42,14.85,10.23,17.1,21.17,13.01,8.14
Overall Pechay Production,0600400000,Aklan,109.55,25.34,84.76,21.39,86.07,25.86,93.45,24.19,91.72,21.58,40.34
Overall Pechay Production,0600600000,Antique,285.09,53.0,299.08,50.84,285.75,50.67,284.97,52.79,288.23,46.61,260.0
Overall Pechay Production,0601900000,Capiz,170.8,170.1,168.0,175.0,174.0,182.7,179.22,187.32,179.82,187.86,87.75
Overall Pechay Production,0603000000,Iloilo,693.4,213.97,797.41,246.62,687.77,212.1,663.0,192.75,650.1,265.44,486.09
Overall Pechay Production,0607900000,Guimaras,85.58,59.23,107.88,61.5,114.0,58.87,99.05,78.4,116.6,93.61,63.81
Overall Pechay Production,0701200000,Bohol,148.19,268.48,118.22,290.1,136.17,172.1,114.36,189.15,161.9,146.82,83.57
Overall Pechay Production,0702200000,Cebu,1279.03,2033.5,1184.0,2027.0,1020.61,2159.45,1411.82,2046.63,1319.64,2041.62,819.03
Overall Pechay Production,0802600000,Eastern Samar,20.37,28.66,26.4,28.05,27.97,68.52,31.25,65.58,37.28,50.29,54.52
Overall Pechay Production,0803700000,Leyte,179.88,238.15,172.55,226.24,218.71,231.56,463.07,206.6,333.27,209.7,185.27
Overall Pechay Production,0804800000,Northern Samar,7.95,15.31,8.3,15.48,8.83,15.49,9.95,16.61,8.17,15.0,1.82
Overall Pechay Production,0806000000,Samar (Western Samar),30.7,38.97,30.96,38.5,34.46,37.08,39.67,40.22,39.75,42.27,13.87
Overall Pechay Production,0806400000,Southern Leyte,48.88,51.5,31.13,46.95,37.53,51.1,39.09,46.49,28.54,39.94,13.55
Overall Pechay Production,0807800000,Biliran,36.0,37.0,37.26,42.11,45.14,39.07,41.79,15.79,33.7,16.61,24.51
Overall Pechay Production,0906600000,,55.5,50.8,56.45,51.2,58.4,52.0,57.95,51.4,10.6,46.71,10.81
Overall Pechay Production,0907200000,Zamboanga del Norte,100.78,112.96,85.43,104.84,83.62,125.41,74.16,125.1,78.38,126.65,9.45
Overall Pechay Production,0907300000,Zamboanga del Sur,109.8,195.9,107.12,211.39,1002.55,553.02,874.52,528.9,296.84,118.83,61.0
Overall Pechay Production,0907400000,Zamboanga City,865.19,457.67,881.24,438.89,,,,,409.81,885.99,452.34
Overall Pechay Production,0908300000,Zamboanga Sibugay,35.41,55.97,35.03,55.87,36.15,59.15,32.62,29.76,33.4,63.35,19.08
Overall Pechay Production,1001300000,Bukidnon,504.87,2072.51,528.24,2275.2,514.08,2157.28,1256.95,2153.31,1258.59,2199.72,717.67
Overall Pechay Production,1001800000,Camiguin,24.04,23.86,27.88,27.27,30.8,22.0,26.85,21.03,33.72,19.5,7.53
Overall Pechay Production,1003500000,Lanao del Norte,185.0,428.0,180.0,420.0,181.52,420.25,179.0,422.5,177.5,426.0,91.33
Overall Pechay Production,1004200000,Misamis Occidental,142.7,110.55,150.83,129.69,149.02,127.71,146.51,131.08,151.64,135.31,79.7
Overall Pechay Production,1004300000,Misamis Oriental,270.35,377.34,299.92,372.12,248.33,489.25,244.51,438.34,250.07,444.36,64.79
Overall Pechay Production,1102300000,Davao del Norte,236.81,146.48,229.91,145.82,229.47,151.48,234.24,152.7,239.28,150.28,79.25
Overall Pechay Production,1102400000,Davao del Sur,176.05,380.47,188.22,379.28,326.7,602.79,325.1,569.35,257.38,369.22,88.01
Overall Pechay Production,1102500000,Davao Oriental,90.81,85.23,95.1,85.13,88.14,78.69,82.82,76.9,82.34,75.55,38.79
Overall Pechay Production,1108200000,Davao de Oro (Compostela Valley),124.04,309.15,123.57,299.75,125.93,348.35,124.45,148.48,120.7,151.75,28.13
Overall Pechay Production,1108600000,Davao Occidental,51.0,120.09,46.52,116.53,47.92,115.56,46.63,114.94,26.26,113.82,18.65
Overall Pechay Production,1130700000,Davao City,131.2,98.13,140.21,97.12,,,,,69.5,153.64,63.07
Overall Pechay Production,1204700000,Cotabato (North Cotabato),179.76,569.76,180.99,685.2,171.14,461.25,64.42,465.24,70.55,504.75,35.49
Overall Pechay Production,1206300000,South Cotabato,61.86,78.88,58.73,63.92,101.22,69.36,86.04,102.32,77.45,83.98,31.49
