Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Pineapple Production,0102800000,Ilocos Norte,,21.87,0.39,14.51,,22.89,0.41,10.77,,23.12,0.37,8.24,,17.87,0.39,7.75,,18.51,0.81,7.78,
Overall Pineapple Production,0102900000,Ilocos Sur,,10.13,25.09,,,10.94,27.65,,,12.06,24.44,0.14,2.66,12.84,25.73,0.26,3.03,11.95,25.29,,2.84
Overall Pineapple Production,0103300000,La Union,0.41,108.86,2.96,0.18,0.41,123.84,3.02,0.19,0.44,136.35,3.37,0.24,0.41,115.13,3.52,0.2,0.38,103.18,2.83,0.19,0.36
Overall Pineapple Production,0105500000,Pangasinan,11.75,3.5,,7.0,10.9,2.63,,6.5,9.2,2.52,2.11,3.0,8.75,2.41,2.0,2.91,8.0,2.35,1.96,2.82,7.2
Overall Pineapple Production,0200900000,Batanes,,0.57,1.09,,,0.3,0.95,,,0.39,1.22,,,,1.5,,,0.45,2.37,0.11,
Overall Pineapple Production,0201500000,Cagayan,,7722.93,10952.26,,,8923.85,12293.36,,,7221.43,12496.0,,0.16,6875.3,11913.87,2.07,,5893.4,12234.41,,
Overall Pineapple Production,0203100000,Isabela,,4897.37,3139.59,,,4934.1,3146.81,,,4949.8,2989.46,,9.51,5150.25,3139.59,,,5835.74,3357.99,,
Overall Pineapple Production,0205000000,Nueva Vizcaya,437.04,10901.16,2404.39,201.88,463.16,11408.17,2808.78,212.1,492.35,14218.12,3713.17,317.0,477.76,12813.15,3880.98,264.5,794.72,13515.64,3797.0,239.56,978.56
Overall Pineapple Production,0205700000,Quirino,,11.23,25.9,,,12.32,24.98,,,13.45,26.9,,3.57,16.04,24.06,0.47,3.57,16.5,23.3,3.56,3.57
Overall Pineapple Production,0300800000,Bataan,,509.46,28.62,,,480.35,,,,579.73,,,,523.18,,,,668.51,,,
Overall Pineapple Production,0301400000,Bulacan,,478.6,,3.5,,480.0,,3.0,,542.95,,,,439.75,,,,395.77,1.56,,
Overall Pineapple Production,0307100000,Zambales,3.66,22.18,,,3.51,22.83,,,2.6,26.63,2.32,,2.44,17.91,,,2.32,1.55,0.39,,
Overall Pineapple Production,0307700000,Aurora,35.0,814.57,513.93,441.93,88.06,1159.0,836.77,941.42,106.63,1250.0,348.68,861.79,76.56,907.74,400.0,721.34,9.77,55.31,918.8,675.68,9.28
Overall Pineapple Production,0401000000,Batangas,27.62,14.33,,18.3,16.11,11.97,,15.0,11.29,9.05,,17.0,12.0,15.55,8.05,17.91,13.5,16.15,7.4,50.0,15.42
Overall Pineapple Production,0402100000,Cavite,4174.03,36924.0,3013.48,10996.43,5024.65,38476.65,2192.34,10598.27,4375.57,41677.14,2536.0,12364.0,3589.95,46514.8,2441.15,11391.39,3726.36,47119.0,3002.61,10998.56,4086.6
Overall Pineapple Production,0403400000,Laguna,1537.29,12859.56,45.35,11.42,1754.0,10714.71,56.69,21.88,2062.69,9647.84,54.69,14.59,1886.9,6753.49,49.12,13.11,1175.52,7243.12,53.5,16.53,1683.28
Overall Pineapple Production,0405600000,Quezon,,1514.01,90.23,58.19,,1721.88,93.23,60.3,163.9,1675.25,90.0,55.0,152.67,1597.35,77.62,51.77,272.36,1908.94,1467.26,367.0,285.98
Overall Pineapple Production,0405800000,Rizal,44.7,294.86,92.03,51.94,49.31,363.06,151.85,58.38,43.31,451.68,145.0,81.65,45.77,410.0,130.0,68.41,44.59,385.92,116.55,62.11,36.48
Overall Pineapple Production,0500500000,Albay,13.5,325.16,27.39,31.57,12.81,299.26,25.63,35.08,13.22,253.57,28.5,8.82,18.22,228.35,23.55,2.02,0.19,183.0,18.84,19.12,2.51
Overall Pineapple Production,0501600000,Camarines Norte,39738.54,83329.0,38195.98,17423.45,49385.07,58777.0,44284.8,21099.1,34945.86,59467.04,39949.2,18452.13,41356.49,53520.34,36466.68,13271.72,51938.5,42240.89,33287.74,8366.5,97670.94
Overall Pineapple Production,0501700000,Camarines Sur,309.81,1473.33,1519.71,606.61,394.55,1491.37,1449.04,604.28,342.98,1738.28,1426.99,610.0,278.19,84.78,71.74,15.57,16.0,121.57,56.44,10.54,129.73
Overall Pineapple Production,0502000000,Catanduanes,0.12,0.71,0.6,0.85,0.07,1.17,2.8,0.75,0.05,0.91,2.43,0.9,0.21,1.17,2.52,0.85,0.09,1.08,2.45,0.62,0.08
Overall Pineapple Production,0504100000,Masbate,29.17,52.75,,26.4,28.0,56.69,,27.08,27.97,75.7,45.22,6.57,30.17,78.99,32.27,4.44,4.97,80.14,27.46,3.87,4.73
Overall Pineapple Production,0506200000,Sorsogon,32.06,668.45,354.3,43.37,21.64,568.18,336.58,36.76,11.09,596.75,342.77,47.36,11.16,358.05,308.49,28.42,0.56,286.44,295.3,24.4,0.6
Overall Pineapple Production,0600400000,Aklan,1.72,82.18,50.12,4.06,1.7,80.12,48.37,3.98,1.0,78.92,50.61,4.16,0.9,71.03,49.97,4.06,0.69,75.71,53.26,0.38,0.52
Overall Pineapple Production,0600600000,Antique,4.9,61.25,41.39,5.45,4.57,60.57,38.54,6.35,4.68,51.32,37.21,6.5,4.98,58.3,39.71,6.93,4.74,58.22,58.8,4.61,3.19
Overall Pineapple Production,0601900000,Capiz,3.31,113.29,68.37,43.63,3.82,110.18,73.15,46.55,4.09,113.51,73.99,47.37,5.35,121.15,70.66,44.84,7.26,123.2,69.7,45.15,8.25
