Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Pomelo Production,0102800000,Ilocos Norte,17.97,19.9,0.5,61.78,16.76,21.3,0.53,60.51,16.34,21.91,0.48,61.12,17.02,22.2,0.5,62.33,16.79,21.9,0.4,61.32,14.75
Overall Pomelo Production,0102900000,Ilocos Sur,53.3,,7.84,42.17,63.77,,9.77,60.95,55.12,,,55.91,54.21,0.54,3.06,53.73,49.77,0.45,3.69,51.25,45.74
Overall Pomelo Production,0103300000,La Union,14.64,3.78,23.55,29.68,15.18,3.6,25.4,34.52,16.22,3.56,26.2,38.32,17.05,3.67,34.19,40.24,27.98,4.02,18.96,52.86,28.02
Overall Pomelo Production,0105500000,Pangasinan,20.0,2.5,,33.1,20.45,2.37,,32.0,18.53,2.41,32.1,32.3,24.72,2.45,30.81,30.36,27.11,2.53,31.24,29.57,23.45
Overall Pomelo Production,0200900000,Batanes,0.65,0.4,0.3,0.35,0.14,0.2,0.25,0.28,0.16,0.15,0.26,0.35,0.18,0.18,0.2,0.12,0.2,0.12,0.13,0.36,0.23
Overall Pomelo Production,0201500000,Cagayan,162.28,126.54,61.29,229.0,181.62,128.5,73.57,212.5,191.42,128.5,58.57,210.34,185.3,110.33,147.03,168.57,170.5,107.68,114.11,104.97,178.22
Overall Pomelo Production,0203100000,Isabela,332.76,808.17,915.33,4.11,323.0,806.0,911.82,4.1,318.65,802.0,910.0,3.97,286.75,798.0,904.54,3.5,258.08,775.17,803.73,3.09,240.03
Overall Pomelo Production,0205000000,Nueva Vizcaya,353.84,423.94,424.92,281.21,389.22,427.04,434.34,281.21,452.51,432.74,429.63,263.2,420.87,429.89,431.99,258.34,436.69,431.32,430.98,230.22,453.11
Overall Pomelo Production,0205700000,Quirino,178.5,11.65,199.6,48.28,185.47,13.55,203.42,49.62,188.04,14.01,192.2,58.0,181.98,11.4,198.4,53.81,185.95,11.84,196.33,50.89,154.89
Overall Pomelo Production,0300800000,Bataan,0.16,0.1,0.81,0.44,0.14,0.1,0.79,0.4,0.27,0.13,0.77,0.59,0.32,0.14,0.67,0.78,0.11,0.12,0.94,0.54,0.13
Overall Pomelo Production,0301400000,Bulacan,20.67,17.09,,80.47,19.97,17.72,,77.4,19.2,18.81,,71.83,18.8,17.5,,70.5,18.72,19.13,1.61,72.41,18.91
Overall Pomelo Production,0304900000,Nueva Ecija,14.58,,26.03,0.67,15.18,,26.07,0.74,14.41,,22.31,0.7,13.03,9.19,20.75,0.94,12.31,,23.82,0.97,11.48
