Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Pomelo Production,0102800000,Ilocos Norte,37.87,62.28,38.06,61.04,38.25,61.6,39.22,62.83,38.69,61.72,14.75
Overall Pomelo Production,0102900000,Ilocos Sur,53.3,50.01,63.77,70.72,55.12,55.91,54.75,56.79,50.22,54.94,45.74
Overall Pomelo Production,0103300000,La Union,18.42,53.23,18.78,59.92,19.78,64.52,20.72,74.43,32.0,71.82,28.02
Overall Pomelo Production,0105500000,Pangasinan,22.5,33.1,22.82,32.0,20.94,64.4,27.17,61.17,29.64,60.81,23.45
Overall Pomelo Production,0200900000,Batanes,1.05,0.65,0.34,0.53,0.31,0.61,0.36,0.32,0.32,0.49,0.23
Overall Pomelo Production,0201500000,Cagayan,288.82,290.29,310.12,286.07,319.92,268.91,295.63,315.6,278.18,219.08,178.22
Overall Pomelo Production,0203100000,Isabela,1140.93,919.44,1129.0,915.92,1120.65,913.97,1084.75,908.04,1033.25,806.82,240.03
Overall Pomelo Production,0205000000,Nueva Vizcaya,777.78,706.13,816.26,715.55,885.25,692.83,850.76,690.33,868.01,661.2,453.11
Overall Pomelo Production,0205700000,Quirino,190.15,247.88,199.02,253.04,202.05,250.2,193.38,252.21,197.79,247.22,154.89
Overall Pomelo Production,0300800000,Bataan,0.26,1.25,0.24,1.19,0.4,1.36,0.46,1.45,0.23,1.48,0.13
Overall Pomelo Production,0301400000,Bulacan,37.76,80.47,37.69,77.4,38.01,71.83,36.3,70.5,37.85,74.02,18.91
Overall Pomelo Production,0304900000,Nueva Ecija,14.58,26.7,15.18,26.81,14.41,23.01,22.22,21.69,12.31,24.79,11.48
Overall Pomelo Production,0305400000,Pampanga,2.2,,2.14,,2.12,0.93,2.08,0.89,1.84,0.91,1.18
Overall Pomelo Production,0306900000,Tarlac,4.4,5.65,5.34,5.06,4.41,7.36,4.63,8.03,4.79,7.81,1.76
Overall Pomelo Production,0307100000,Zambales,28.59,26.79,26.11,24.14,24.36,84.51,22.28,37.18,10.21,25.49,6.9
Overall Pomelo Production,0307700000,Aurora,15.51,30.46,18.98,28.78,20.63,32.0,20.37,32.34,19.45,32.8,3.48
