Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Radish Production,0102800000,Ilocos Norte,,,,,,,,,,,,,,,,,,,,,
Overall Radish Production,0102900000,Ilocos Sur,3.09,1.74,0.88,3.62,3.68,1.37,0.72,3.98,4.57,1.56,0.25,,4.13,,,,,,,,
Overall Radish Production,0103300000,La Union,0.42,,,,0.46,,,,0.51,,,,,,,,,,,,
Overall Radish Production,0105500000,Pangasinan,23.65,11.5,,1.94,24.0,11.34,,2.01,22.0,11.05,,2.15,20.0,10.76,,2.35,19.0,,,2.17,17.56
Overall Radish Production,0200900000,Batanes,0.03,,,,,0.05,,,,,,,0.03,,,,0.13,,,,0.09
Overall Radish Production,0201500000,Cagayan,29.89,,,4.3,30.55,,,2.85,43.92,,,3.25,38.5,0.6,0.3,2.15,34.25,5.1,,1.15,35.37
Overall Radish Production,0203100000,Isabela,7.08,0.2,0.29,,6.47,0.15,0.24,,4.3,0.12,0.2,,,0.08,0.15,,4.13,0.07,,,3.78
Overall Radish Production,0205000000,Nueva Vizcaya,56.59,0.99,14.96,2.4,54.53,1.1,16.32,2.3,55.19,1.12,15.64,5.15,54.86,0.8,6.49,3.73,55.03,0.85,5.42,3.4,55.24
Overall Radish Production,0205700000,Quirino,1.98,1.71,0.49,3.61,2.04,1.76,0.5,3.27,1.76,1.73,0.4,1.8,,1.66,0.45,,,,0.47,,
Overall Radish Production,0300800000,Bataan,,2.01,,1.29,,,,1.0,,,,,,,0.25,,,,,,
Overall Radish Production,0301400000,Bulacan,53.38,10.2,10.06,71.0,85.41,9.96,10.0,71.5,77.9,9.9,8.0,71.75,65.7,9.25,6.5,70.25,68.16,,,,70.59
Overall Radish Production,0304900000,Nueva Ecija,29.43,52.87,53.38,22.41,23.26,49.64,48.17,24.17,25.69,49.25,43.22,20.75,22.06,44.09,36.72,19.51,23.12,,40.91,18.52,26.3
Overall Radish Production,0305400000,Pampanga,68.0,29.0,,25.0,66.85,29.2,,23.86,67.47,29.23,,25.11,67.21,29.14,,26.44,67.18,29.05,,25.14,67.15
Overall Radish Production,0306900000,Tarlac,26.5,11.85,,26.75,26.65,10.25,,23.5,25.5,11.6,,26.13,26.15,11.25,,25.25,26.6,11.0,,,23.67
Overall Radish Production,0307100000,Zambales,21.43,5.14,,31.14,21.95,4.99,,32.26,22.62,4.89,,30.88,17.94,3.76,,23.57,,,,,
Overall Radish Production,0307700000,Aurora,,,,,,,,,,,,,,,,,,,,,
Overall Radish Production,0401000000,Batangas,18.0,,0.68,8.5,24.12,,0.55,9.25,25.0,0.75,0.8,10.65,35.0,1.0,,9.8,38.5,2.18,0.97,9.85,50.35
Overall Radish Production,0402100000,Cavite,23.47,10.4,38.6,32.59,22.03,14.06,33.4,30.75,23.1,9.84,30.5,27.5,27.47,6.86,22.98,35.64,27.38,9.16,,33.89,28.9
Overall Radish Production,0403400000,Laguna,327.73,219.98,370.77,95.16,308.39,202.21,317.91,69.39,291.86,229.9,115.32,93.67,309.32,204.61,107.52,113.61,256.09,198.65,96.77,92.22,298.68
Overall Radish Production,0405600000,Quezon,27.86,40.4,50.5,96.28,27.75,38.54,46.7,87.26,31.08,36.27,44.6,87.0,32.0,32.26,42.14,85.24,35.71,34.5,38.88,82.44,32.93
