Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Radish Production,0102800000,Ilocos Norte,,,,,,,,,,,
Overall Radish Production,0102900000,Ilocos Sur,4.83,4.5,5.05,4.7,6.13,0.25,4.13,,,,
Overall Radish Production,0103300000,La Union,0.42,,0.46,,0.51,,,,,,
Overall Radish Production,0105500000,Pangasinan,35.15,1.94,35.34,2.01,33.05,2.15,30.76,2.35,19.0,2.17,17.56
Overall Radish Production,0200900000,Batanes,0.03,,0.05,,,,0.03,,0.13,,0.09
Overall Radish Production,0201500000,Cagayan,29.89,4.3,30.55,2.85,43.92,3.25,39.1,2.45,39.35,1.15,35.37
Overall Radish Production,0203100000,Isabela,7.28,0.29,6.62,0.24,4.42,0.2,0.08,0.15,4.2,,3.78
Overall Radish Production,0205000000,Nueva Vizcaya,57.58,17.36,55.63,18.62,56.31,20.79,55.66,10.22,55.88,8.82,55.24
Overall Radish Production,0205700000,Quirino,3.69,4.1,3.8,3.77,3.49,2.2,1.66,0.45,,0.47,
Overall Radish Production,0300800000,Bataan,2.01,1.29,,1.0,,,,0.25,,,
Overall Radish Production,0301400000,Bulacan,63.58,81.06,95.37,81.5,87.8,79.75,74.95,76.75,68.16,,70.59
Overall Radish Production,0304900000,Nueva Ecija,82.3,75.79,72.9,72.34,74.94,63.97,66.15,56.23,23.12,59.43,26.3
Overall Radish Production,0305400000,Pampanga,97.0,25.0,96.05,23.86,96.7,25.11,96.35,26.44,96.23,25.14,67.15
Overall Radish Production,0306900000,Tarlac,38.35,26.75,36.9,23.5,37.1,26.13,37.4,25.25,37.6,,23.67
Overall Radish Production,0307100000,Zambales,26.57,31.14,26.94,32.26,27.51,30.88,21.7,23.57,,,
Overall Radish Production,0307700000,Aurora,,,,,,,,,,,
Overall Radish Production,0401000000,Batangas,18.0,9.18,24.12,9.8,25.75,11.45,36.0,9.8,40.68,10.82,50.35
Overall Radish Production,0402100000,Cavite,33.87,71.19,36.09,64.15,32.94,58.0,34.33,58.62,36.54,33.89,28.9
Overall Radish Production,0403400000,Laguna,547.71,465.93,510.6,387.3,521.76,208.99,513.93,221.13,454.74,188.99,298.68
Overall Radish Production,0405600000,Quezon,68.26,146.78,66.29,133.96,67.35,131.6,64.26,127.38,70.21,121.32,32.93
Overall Radish Production,0405800000,Rizal,113.24,16.02,100.79,16.45,92.0,,110.12,,113.65,,44.55
Overall Radish Production,0500500000,Albay,55.08,20.64,51.51,18.88,50.92,,3.37,5.44,4.9,26.91,2.81
Overall Radish Production,0501600000,Camarines Norte,,,,,,,,,,,
Overall Radish Production,0501700000,Camarines Sur,3.95,34.49,3.0,28.16,2.37,30.73,0.21,,0.1,1.23,
Overall Radish Production,0502000000,Catanduanes,1.65,0.66,1.96,0.72,2.08,0.68,1.76,,0.7,0.05,0.24
Overall Radish Production,0504100000,Masbate,,,,,,,,,,,
Overall Radish Production,0506200000,Sorsogon,13.81,21.14,11.86,11.25,5.92,0.92,4.32,2.6,1.47,0.76,0.03
Overall Radish Production,0600400000,Aklan,18.86,27.4,15.23,21.54,13.33,32.44,13.73,30.26,20.17,30.85,8.51
Overall Radish Production,0600600000,Antique,102.05,16.37,100.19,15.12,98.09,16.18,101.18,17.07,110.84,16.8,89.09
Overall Radish Production,0601900000,Capiz,80.6,63.2,87.5,73.77,94.8,83.85,90.04,87.76,89.81,87.13,48.16
Overall Radish Production,0603000000,Iloilo,264.23,113.66,261.75,96.63,283.35,104.37,252.0,92.86,487.27,308.15,508.3
Overall Radish Production,0607900000,Guimaras,12.19,3.8,14.38,4.54,15.88,4.05,17.28,3.87,18.24,4.94,16.63
Overall Radish Production,0701200000,Bohol,,,,,,3.48,0.05,0.05,0.6,0.51,
Overall Radish Production,0702200000,Cebu,95.0,123.0,95.0,130.0,89.71,131.42,79.3,125.75,81.92,56.97,43.6
Overall Radish Production,0802600000,Eastern Samar,,,,,,,,,,,
Overall Radish Production,0803700000,Leyte,2.44,3.87,2.34,3.74,2.51,2.1,2.13,3.4,2.03,3.22,0.63
Overall Radish Production,0804800000,Northern Samar,,,,,,,,,,,
Overall Radish Production,0806000000,Samar (Western Samar),,,,,,,,0.03,,,
Overall Radish Production,0806400000,Southern Leyte,,,,,,,,,0.03,0.3,
Overall Radish Production,0807800000,Biliran,,,,,,0.15,,,,,
Overall Radish Production,0906600000,,5.2,5.6,5.29,5.64,5.37,5.8,5.35,5.67,4.12,5.62,
Overall Radish Production,0907200000,Zamboanga del Norte,2.07,21.71,1.88,22.65,1.52,21.84,1.75,21.25,1.81,21.91,0.71
Overall Radish Production,0907300000,Zamboanga del Sur,49.48,125.75,49.14,118.2,217.43,284.85,194.92,291.6,73.22,41.0,21.0
Overall Radish Production,0907400000,Zamboanga City,184.24,207.08,185.89,207.83,,,,,153.0,177.21,88.31
Overall Radish Production,0908300000,Zamboanga Sibugay,19.33,27.18,23.07,25.08,21.22,26.74,19.46,26.15,19.71,26.09,10.86
Overall Radish Production,1001300000,Bukidnon,9.58,86.0,9.0,82.0,8.98,81.76,66.2,86.0,80.67,87.33,70.19
Overall Radish Production,1001800000,Camiguin,,0.06,,,,,,,,,
Overall Radish Production,1003500000,Lanao del Norte,0.83,7.23,0.73,6.75,0.65,6.62,0.6,6.75,0.59,6.6,0.37
Overall Radish Production,1004200000,Misamis Occidental,0.13,12.8,0.12,12.24,,2.5,,2.4,,2.41,
Overall Radish Production,1004300000,Misamis Oriental,12.23,26.65,12.36,63.74,13.38,58.0,5.0,51.6,5.03,50.65,0.91
Overall Radish Production,1102300000,Davao del Norte,46.19,47.61,46.22,51.44,42.84,49.85,42.59,51.4,40.81,46.92,16.4
Overall Radish Production,1102400000,Davao del Sur,80.83,160.26,82.75,147.38,169.0,189.0,161.07,191.56,107.84,68.11,25.74
Overall Radish Production,1102500000,Davao Oriental,10.05,45.86,9.43,45.0,8.57,43.05,8.46,40.95,7.95,39.63,3.91
Overall Radish Production,1108200000,Davao de Oro (Compostela Valley),329.85,680.95,332.96,694.59,344.2,683.16,332.89,658.96,320.57,649.38,130.02
Overall Radish Production,1108600000,Davao Occidental,3.55,2.01,3.38,1.97,3.26,1.9,3.18,1.78,3.09,1.75,1.7
Overall Radish Production,1130700000,Davao City,87.51,78.61,93.69,80.29,,,,,53.17,85.99,51.38
