Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Rainfed Palay Production,0102800000,Ilocos Norte,243.0,0.0,482.0,10478.0,248.0,0.0,539.0,8807.0,248.0,30.0,502.0,9434.0,246.0,0.0,481.0,9598.0,248.0,0.0,507.0,9502.0,248.0,128.0
Rainfed Palay Production,0102900000,Ilocos Sur,4.0,0.0,1053.0,17274.0,106.0,0.0,1310.0,17021.0,102.0,0.0,1155.0,16951.0,71.0,0.0,1027.0,17078.0,62.0,0.0,1164.0,17066.0,70.0,0.0
Rainfed Palay Production,0103300000,La Union,0.0,0.0,379.0,13755.0,0.0,0.0,482.0,13663.0,0.0,0.0,443.17,13701.83,0.0,0.0,520.0,13593.0,0.0,0.0,500.14,13618.0,0.0,0.0
Rainfed Palay Production,0105500000,Pangasinan,0.0,0.0,4441.0,76443.0,292.0,0.0,4441.0,76840.0,283.0,0.0,4874.0,77151.0,0.0,0.0,4835.0,77736.0,518.0,0.0,5369.0,77860.0,542.0,0.0
Rainfed Palay Production,0200900000,Batanes,0.0,1.5,9.85,38.0,0.0,2.0,21.0,34.0,0.0,2.5,24.5,33.2,0.0,2.45,18.0,31.0,0.0,1.95,28.0,49.8,0.0,2.3
Rainfed Palay Production,0201500000,Cagayan,13251.0,14017.0,819.0,16013.0,10955.0,11781.0,1553.0,21987.0,10735.0,16041.0,1636.0,21996.0,10944.0,14796.0,1218.0,22791.0,8540.0,16447.0,891.0,22454.0,4915.0,18315.0
Rainfed Palay Production,0203100000,Isabela,4731.0,5512.0,148.0,8633.0,4085.24,4874.0,440.0,10351.63,3400.83,8273.0,624.0,10122.0,3853.56,8788.0,883.0,10846.0,3412.07,8672.0,1035.0,10191.0,2699.0,9293.0
Rainfed Palay Production,0205000000,Nueva Vizcaya,1279.0,162.0,108.0,1219.0,984.0,450.0,51.0,958.0,567.0,865.0,142.0,1247.0,637.0,372.0,25.0,595.0,366.0,614.0,176.0,447.0,316.0,460.0
Rainfed Palay Production,0205700000,Quirino,284.0,580.0,0.0,1839.0,150.0,983.0,0.0,2466.0,244.0,1329.96,14.0,1746.0,310.0,1453.0,0.0,1533.0,342.0,903.8,264.0,1516.0,609.0,834.92
Rainfed Palay Production,0300800000,Bataan,0.0,0.0,0.0,352.0,0.0,0.0,0.0,319.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0
Rainfed Palay Production,0301400000,Bulacan,554.0,1690.0,1267.0,11386.0,585.0,0.0,2377.0,6226.0,518.0,0.0,1673.0,5995.51,0.0,0.0,632.12,7506.0,0.0,0.0,1027.0,6576.0,0.0,0.0
Rainfed Palay Production,0304900000,Nueva Ecija,0.0,0.0,2176.02,12236.0,0.0,0.0,1218.0,4867.0,0.0,0.0,0.0,4069.0,0.0,0.0,0.0,2610.0,0.0,0.0,280.0,566.0,0.0,0.0
Rainfed Palay Production,0305400000,Pampanga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rainfed Palay Production,0306900000,Tarlac,102.0,0.0,113.0,4906.0,0.0,0.0,153.0,3232.0,0.0,0.0,150.0,3616.0,0.0,0.0,135.0,3665.0,0.0,0.0,125.0,3653.0,0.0,0.0
Rainfed Palay Production,0307100000,Zambales,0.0,0.0,1653.0,6971.0,0.0,0.0,995.65,8081.0,0.0,0.0,2354.0,6547.0,0.0,0.0,2469.0,6553.41,0.0,0.0,2193.0,6457.0,0.0,0.0
Rainfed Palay Production,0307700000,Aurora,373.0,360.0,340.0,224.0,390.0,306.0,335.0,111.0,285.0,251.0,335.0,105.0,231.89,198.55,114.0,94.0,110.0,123.0,86.0,50.0,35.0,50.0
Rainfed Palay Production,0401000000,Batangas,793.0,70.0,126.0,3778.0,747.0,51.02,789.0,2034.57,687.0,51.0,235.0,1148.0,812.0,68.0,126.0,1159.65,840.0,160.0,434.0,790.0,231.0,32.0
Rainfed Palay Production,0402100000,Cavite,0.0,0.0,40.0,302.9,0.0,0.0,75.0,153.0,0.0,0.0,48.0,101.7,0.0,0.0,0.0,134.98,0.0,0.0,43.0,139.0,0.0,0.0
Rainfed Palay Production,0403400000,Laguna,216.0,116.0,150.0,588.0,386.0,139.0,148.0,590.0,393.0,189.0,153.0,604.0,332.0,140.84,165.0,701.09,469.9,621.92,277.35,668.0,507.0,446.88
