Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Rainfed Palay Production,0102800000,Ilocos Norte,1055.0,0.0,1935.0,48137.0,1099.0,0.0,2174.5,40790.0,1118.0,135.0,1823.32,45710.0,1090.0,0.0,1928.0,46035.0,1103.0,0.0,2031.66,46260.0,1099.0,564.08
Rainfed Palay Production,0102900000,Ilocos Sur,13.0,0.0,5064.0,78096.0,389.0,0.0,6136.0,76000.0,350.0,0.0,5183.76,77795.0,245.0,0.0,4979.0,76797.0,256.0,0.0,5630.5,71195.0,285.0,0.0
Rainfed Palay Production,0103300000,La Union,0.0,0.0,1532.0,53611.0,0.0,0.0,2035.1,58541.93,0.0,0.0,1866.54,59819.89,0.0,0.0,2191.0,58314.38,0.0,0.0,2071.27,59140.78,0.0,0.0
Rainfed Palay Production,0105500000,Pangasinan,0.0,0.0,19007.0,314152.0,1034.0,0.0,19402.0,352696.0,1010.0,0.0,20762.42,353364.6,0.0,0.0,20512.0,351670.0,2160.0,0.0,23989.0,347234.0,2331.0,0.0
Rainfed Palay Production,0200900000,Batanes,0.0,1.6,4.27,14.44,0.0,2.2,22.89,36.33,0.0,3.82,36.15,40.3,0.0,3.25,25.0,23.25,0.0,2.67,48.16,59.75,0.0,3.86
Rainfed Palay Production,0201500000,Cagayan,48613.0,52135.0,2576.0,50917.0,40300.0,43118.0,4734.78,71342.5,39934.0,62919.0,5638.0,73969.5,38479.0,53217.0,4660.0,78622.0,29642.0,65834.0,2909.0,74723.2,19169.0,70881.0
Rainfed Palay Production,0203100000,Isabela,14607.94,17433.32,457.38,26425.0,13540.92,16167.72,1304.0,31361.0,11433.66,27073.75,1949.12,31450.88,12234.63,27617.6,3012.0,36414.96,11035.38,28532.14,3517.65,34059.82,8874.22,30516.58
Rainfed Palay Production,0205000000,Nueva Vizcaya,4533.0,561.4,366.0,3810.0,3487.0,1392.0,171.5,2907.0,1969.5,2807.0,510.0,3389.38,2056.99,1523.0,86.0,1518.0,1194.68,2259.18,547.0,1199.0,986.0,1529.76
Rainfed Palay Production,0205700000,Quirino,876.0,1830.0,0.0,4130.6,404.7,3011.54,0.0,5060.8,894.0,4769.45,45.34,5369.5,882.0,4214.0,0.0,3539.0,971.0,2982.06,798.48,3853.04,1876.88,2490.25
Rainfed Palay Production,0300800000,Bataan,0.0,0.0,0.0,1140.0,0.0,0.0,0.0,951.0,0.0,0.0,0.0,1011.23,0.0,0.0,0.0,981.92,0.0,0.0,0.0,0.0,0.0,0.0
Rainfed Palay Production,0301400000,Bulacan,1662.0,6962.8,5714.0,46682.6,2597.0,0.0,10244.87,26211.0,2165.0,0.0,6876.0,24757.0,0.0,0.0,2781.0,32126.0,0.0,0.0,4541.0,27882.0,0.0,0.0
Rainfed Palay Production,0304900000,Nueva Ecija,0.0,0.0,8973.76,53104.24,0.0,0.0,5115.6,22552.3,0.0,0.0,0.0,19489.15,0.0,0.0,0.0,11392.65,0.0,0.0,1187.2,2614.92,0.0,0.0
Rainfed Palay Production,0305400000,Pampanga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
