Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Rainfed Palay Production,0102800000,Ilocos Norte,1055.0,50072.0,1099.0,42964.5,1253.0,47533.32,1090.0,47963.0,1103.0,48291.66,1663.08
Rainfed Palay Production,0102900000,Ilocos Sur,13.0,83160.0,389.0,82136.0,350.0,82978.76,245.0,81776.0,256.0,76825.5,285.0
Rainfed Palay Production,0103300000,La Union,0.0,55143.0,0.0,60577.02,0.0,61686.42,0.0,60505.38,0.0,61212.05,0.0
Rainfed Palay Production,0105500000,Pangasinan,0.0,333159.0,1034.0,372098.0,1010.0,374127.02,0.0,372182.0,2160.0,371223.0,2331.0
Rainfed Palay Production,0200900000,Batanes,1.6,18.71,2.2,59.22,3.82,76.45,3.25,48.25,2.67,107.91,3.86
Rainfed Palay Production,0201500000,Cagayan,100748.0,53493.0,83418.0,76077.28,102853.0,79607.5,91696.0,83282.0,95476.0,77632.2,90050.0
Rainfed Palay Production,0203100000,Isabela,32041.26,26882.38,29708.64,32665.0,38507.41,33400.0,39852.23,39426.96,39567.52,37577.47,39390.8
Rainfed Palay Production,0205000000,Nueva Vizcaya,5094.4,4176.0,4879.0,3078.5,4776.5,3899.38,3579.99,1604.0,3453.86,1746.0,2515.76
Rainfed Palay Production,0205700000,Quirino,2706.0,4130.6,3416.24,5060.8,5663.45,5414.84,5096.0,3539.0,3953.06,4651.52,4367.13
Rainfed Palay Production,0300800000,Bataan,0.0,1140.0,0.0,951.0,0.0,1011.23,0.0,981.92,0.0,0.0,0.0
Rainfed Palay Production,0301400000,Bulacan,8624.8,52396.6,2597.0,36455.87,2165.0,31633.0,0.0,34907.0,0.0,32423.0,0.0
Rainfed Palay Production,0304900000,Nueva Ecija,0.0,62078.0,0.0,27667.9,0.0,19489.15,0.0,11392.65,0.0,3802.12,0.0
Rainfed Palay Production,0305400000,Pampanga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rainfed Palay Production,0306900000,Tarlac,413.0,19101.0,0.0,13232.0,0.0,16190.57,0.0,16141.0,0.0,15659.15,0.0
Rainfed Palay Production,0307100000,Zambales,0.0,37085.9,0.0,34783.57,0.0,36261.95,0.0,40292.35,0.0,32895.15,0.0
Rainfed Palay Production,0307700000,Aurora,2952.0,2156.0,2846.0,1728.0,2011.0,1527.0,1479.06,552.0,820.3,405.74,295.5
Rainfed Palay Production,0401000000,Batangas,2023.0,6606.2,1836.33,5666.0,1699.2,3908.95,2020.4,2819.5,2913.5,3057.0,941.92
Rainfed Palay Production,0402100000,Cavite,0.0,739.0,0.0,469.2,0.0,303.51,0.0,256.06,0.0,348.03,0.0
Rainfed Palay Production,0403400000,Laguna,1088.62,2303.09,2000.0,1940.37,1994.37,2207.31,1368.9,2125.06,3750.22,2281.87,3557.32
Rainfed Palay Production,0405600000,Quezon,45597.0,30129.0,48487.5,23427.0,48802.0,23561.0,29672.95,16984.29,37497.42,10845.08,47808.86
Rainfed Palay Production,0405800000,Rizal,203.72,1439.48,62.0,1688.24,57.19,1940.45,50.2,714.79,0.0,1228.0,0.0
Rainfed Palay Production,0500500000,Albay,14904.0,18902.0,15015.8,17758.0,17348.52,19174.38,13301.3,16696.1,14692.0,19000.2,9631.8
Rainfed Palay Production,0501600000,Camarines Norte,16876.3,20209.45,17550.08,18585.3,18028.05,18533.31,14296.93,12721.63,16097.59,13019.17,14658.93
Rainfed Palay Production,0501700000,Camarines Sur,68612.0,78149.0,72202.0,78368.0,70816.0,68732.0,70016.0,64591.0,70048.0,65545.0,67769.0
Rainfed Palay Production,0502000000,Catanduanes,6515.99,3770.94,7014.63,4989.86,7049.67,2515.93,9603.86,2647.46,9185.94,4747.75,6950.65
Rainfed Palay Production,0504100000,Masbate,53950.0,54812.0,61248.0,54839.0,62644.8,56223.0,50796.61,54306.0,72190.0,53577.0,76869.0
Rainfed Palay Production,0506200000,Sorsogon,17887.0,19165.4,20415.26,21725.0,19495.22,19047.37,19700.44,13967.14,15680.39,7645.75,11849.55
Rainfed Palay Production,0600400000,Aklan,16286.0,31178.86,21614.05,26673.99,11976.54,22201.94,11216.0,20146.47,12746.0,16795.4,15003.79
Rainfed Palay Production,0600600000,Antique,18455.0,103300.0,18303.0,112077.76,13254.93,74842.95,12538.7,52781.65,17656.31,40391.3,17031.28
Rainfed Palay Production,0601900000,Capiz,134551.0,132154.4,127445.43,123405.57,130939.38,100590.38,112395.7,107436.59,113534.7,113217.85,119287.4
Rainfed Palay Production,0603000000,Iloilo,208568.0,393540.02,205765.7,395979.17,217055.28,393466.03,207418.34,288405.77,196164.3,247987.27,105090.39
Rainfed Palay Production,0607900000,Guimaras,10289.0,35253.75,10728.19,37641.65,7999.0,29344.0,6005.0,31810.5,6169.0,30479.9,5384.0
Rainfed Palay Production,0701200000,Bohol,38582.0,39153.0,26506.0,33142.0,37670.0,38622.74,42158.0,46372.34,41191.73,30863.29,48998.82
Rainfed Palay Production,0702200000,Cebu,421.0,556.0,500.2,765.34,576.58,785.6,388.56,748.8,857.86,712.13,710.3
Rainfed Palay Production,0802600000,Eastern Samar,23330.5,14107.0,28045.89,15298.54,26865.0,14434.0,30959.14,13650.7,35528.0,11335.8,32613.0
Rainfed Palay Production,0803700000,Leyte,50137.48,40480.68,41650.0,54548.36,41920.91,53462.23,36899.58,52436.3,43324.0,53294.01,41952.0
Rainfed Palay Production,0804800000,Northern Samar,48320.0,26165.0,47245.82,25718.01,47204.51,25540.0,46641.0,21985.0,46579.0,21873.0,46147.0
Rainfed Palay Production,0806000000,Samar (Western Samar),74247.19,69697.35,68750.56,65887.0,71654.61,61550.6,65081.55,59767.13,52449.59,54366.0,43566.11
