Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Rainfed Palay Production,0102800000,Ilocos Norte,4.3416,,4.0145,4.5941,4.4315,,4.0343,4.6315,4.5081,4.5,3.6321,4.8452,4.4309,,4.0083,4.7963,4.4476,,4.0072,4.8684,4.4315,4.4069
Rainfed Palay Production,0102900000,Ilocos Sur,3.25,,4.8091,4.521,3.6698,,4.684,4.4651,3.4314,,4.4881,4.5894,3.4507,,4.8481,4.4968,4.129,,4.8372,4.1717,4.0714,
Rainfed Palay Production,0103300000,La Union,,,4.0422,3.8976,,,4.2222,4.2847,,,4.2118,4.3658,,,4.2135,4.29,,,4.1414,4.3428,,
Rainfed Palay Production,0105500000,Pangasinan,,,4.2799,4.1096,3.5411,,4.3688,4.59,3.5689,,4.2598,4.5802,,,4.2424,4.5239,4.1699,,4.4681,4.4597,4.3007,
Rainfed Palay Production,0200900000,Batanes,,1.0667,0.4335,0.38,,1.1,1.09,1.0685,,1.528,1.4755,1.2139,,1.3265,1.3889,0.75,,1.3692,1.72,1.1998,,1.6783
Rainfed Palay Production,0201500000,Cagayan,3.6686,3.7194,3.1453,3.1797,3.6787,3.66,3.0488,3.2448,3.72,3.9224,3.4462,3.3629,3.516,3.5967,3.8259,3.4497,3.471,4.0028,3.2649,3.3278,3.9001,3.8701
Rainfed Palay Production,0203100000,Isabela,3.0877,3.1628,3.0904,3.0609,3.3146,3.3171,2.9636,3.0296,3.362,3.2725,3.1236,3.1072,3.1749,3.1426,3.4111,3.3575,3.2342,3.2901,3.3987,3.3421,3.288,3.2838
Rainfed Palay Production,0205000000,Nueva Vizcaya,3.5442,3.4654,3.3889,3.1255,3.5437,3.0933,3.3627,3.0344,3.4735,3.2451,3.5915,2.718,3.2292,4.0941,3.44,2.5513,3.2642,3.6794,3.108,2.6823,3.1203,3.3256
Rainfed Palay Production,0205700000,Quirino,3.0845,3.1552,,2.2461,2.698,3.0636,,2.0522,3.6639,3.5862,3.2386,3.0753,2.8452,2.9002,,2.3085,2.8392,3.2995,3.0245,2.5416,3.0819,2.9826
Rainfed Palay Production,0300800000,Bataan,,,,3.2386,,,,2.9812,,,,3.19,,,,3.04,,,,,,
Rainfed Palay Production,0301400000,Bulacan,3.0,4.12,4.5099,4.1,4.4393,,4.31,4.2099,4.1795,,4.11,4.1293,,,4.3995,4.28,,,4.4216,4.24,,
Rainfed Palay Production,0304900000,Nueva Ecija,,,4.1239,4.34,,,4.2,4.6337,,,,4.7897,,,,4.365,,,4.24,4.62,,
Rainfed Palay Production,0305400000,Pampanga,,,,,,,,,,,,,,,,,,,,,,
Rainfed Palay Production,0306900000,Tarlac,4.049,,4.0531,3.8,,,4.0,3.9047,,,3.8,4.3198,,,4.0741,4.254,,,4.08,4.147,,
Rainfed Palay Production,0307100000,Zambales,,,4.4688,4.2604,,,3.8813,3.8262,,,4.1148,4.0592,,,4.403,4.4895,,,4.4619,3.5791,,
Rainfed Palay Production,0307700000,Aurora,3.5979,4.4722,3.5912,4.1741,4.1026,4.0719,3.8806,3.8559,3.614,3.9084,3.5045,3.3619,3.4078,3.4693,3.193,2.0,3.32,3.7,3.09,2.8,3.3,3.6
Rainfed Palay Production,0401000000,Batangas,2.3796,1.9429,3.081,1.6458,2.2664,2.8093,2.2256,1.9218,2.278,2.6314,2.7298,2.8462,2.2943,2.3147,3.0833,2.0963,2.8732,3.125,2.8756,2.2899,3.649,3.0938
Rainfed Palay Production,0402100000,Cavite,,,2.25,2.1426,,,2.0933,2.0405,,,1.7417,2.1623,,,,1.897,,,1.7567,1.9604,,
Rainfed Palay Production,0403400000,Laguna,2.9968,3.8045,3.3273,3.068,4.1813,2.777,3.25,2.4735,3.3775,3.5291,2.9641,2.9036,3.072,2.478,2.9208,2.3437,3.3608,3.4908,2.5033,2.3766,3.6954,3.7678
Rainfed Palay Production,0405600000,Quezon,3.1939,3.3703,2.5404,3.3579,3.3748,3.4889,3.0439,3.226,3.3546,3.5124,3.3421,3.2906,2.8752,2.9862,3.244,2.8169,3.1077,3.6479,2.7581,2.3794,3.1686,3.6668
Rainfed Palay Production,0405800000,Rizal,2.2444,1.72,2.56,2.411,3.1,,1.39,2.6691,3.3641,,1.0862,3.476,2.9529,,0.87,2.4024,,,0.96,2.7112,,
Rainfed Palay Production,0500500000,Albay,3.0289,3.0578,3.1002,3.5591,3.0205,3.1485,3.065,3.4216,3.3805,3.6448,3.6401,3.6153,3.1927,3.5636,2.8531,3.0431,3.3447,3.789,3.0125,3.4452,3.3299,2.2483
Rainfed Palay Production,0501600000,Camarines Norte,4.1214,4.8434,4.5547,4.5208,4.5169,3.8805,4.4743,3.8734,3.9507,3.9834,4.4524,4.0593,3.8535,4.0316,4.0182,3.7052,3.8325,3.9834,4.0918,3.8388,3.8081,3.8518
Rainfed Palay Production,0501700000,Camarines Sur,3.5947,3.6875,3.6091,3.2744,3.4037,3.2604,3.1973,3.2498,3.5857,3.1638,3.0887,3.1163,3.5819,3.1355,3.2005,2.7826,3.5933,3.1954,3.1977,2.822,3.5985,3.1759
