Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Rainfed Palay Production,0102800000,Ilocos Norte,4.3416,4.5686,4.4315,4.5971,4.5072,4.7839,4.4309,4.7587,4.4476,4.8248,4.4231
Rainfed Palay Production,0102900000,Ilocos Sur,3.25,4.5376,3.6698,4.4807,3.4314,4.5829,3.4507,4.5168,4.129,4.2142,4.0714
Rainfed Palay Production,0103300000,La Union,,3.9014,,4.2826,,4.361,,4.2872,,4.3357,
Rainfed Palay Production,0105500000,Pangasinan,,4.119,3.5411,4.5779,3.5689,4.5611,,4.5074,4.1699,4.4603,4.3007
Rainfed Palay Production,0200900000,Batanes,1.0667,0.391,1.1,1.0767,1.528,1.325,1.3265,0.9847,1.3692,1.387,1.6783
Rainfed Palay Production,0201500000,Cagayan,3.6947,3.1781,3.669,3.2318,3.8412,3.3686,3.5624,3.4688,3.821,3.3254,3.8765
Rainfed Palay Production,0203100000,Isabela,3.1281,3.0614,3.316,3.0269,3.2986,3.1081,3.1525,3.3615,3.2744,3.3474,3.2848
Rainfed Palay Production,0205000000,Nueva Vizcaya,3.5353,3.1469,3.4024,3.051,3.3355,2.8073,3.5481,2.5871,3.5243,2.8026,3.242
Rainfed Palay Production,0205700000,Quirino,3.1319,2.2461,3.0152,2.0522,3.5982,3.0766,2.8905,2.3085,3.1731,2.6132,3.0245
Rainfed Palay Production,0300800000,Bataan,,3.2386,,2.9812,,3.19,,3.04,,,
Rainfed Palay Production,0301400000,Bulacan,3.8435,4.141,4.4393,4.2376,4.1795,4.1251,,4.2893,,4.2645,
Rainfed Palay Production,0304900000,Nueva Ecija,,4.3074,,4.5469,,4.7897,,4.365,,4.4942,
Rainfed Palay Production,0305400000,Pampanga,,,,,,,,,,,
Rainfed Palay Production,0306900000,Tarlac,4.049,3.8057,,3.909,,4.2991,,4.2476,,4.1448,
