Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Rambutan Production,0102800000,Ilocos Norte,,0.04,4.36,0.24,,0.05,4.4,0.12,,0.06,4.51,0.22,,0.91,5.16,0.26,,1.39,4.81,1.29,
Overall Rambutan Production,0102900000,Ilocos Sur,,41.68,44.95,10.96,,46.73,47.04,12.45,,58.83,57.75,77.38,,62.65,36.27,69.82,,52.17,47.02,72.34,
Overall Rambutan Production,0103300000,La Union,,0.25,5.71,1.8,,0.28,5.1,1.93,,0.3,4.92,2.47,0.15,0.33,6.0,2.03,0.17,0.3,6.19,1.83,0.16
Overall Rambutan Production,0105500000,Pangasinan,,,,,,,,,,,8.3,0.3,,,5.8,0.28,0.57,2.07,8.73,0.28,0.54
Overall Rambutan Production,0201500000,Cagayan,,,8.86,12.69,,,1.2,26.32,,,2.9,30.63,,0.29,4.32,31.03,,,15.93,29.2,2.38
Overall Rambutan Production,0203100000,Isabela,,,39.81,6.99,,,40.22,7.5,,,40.0,8.0,0.25,0.68,41.19,7.6,0.24,0.85,40.44,7.22,0.23
Overall Rambutan Production,0205000000,Nueva Vizcaya,,,365.14,15.04,,,304.28,96.62,,,334.71,98.19,9.86,,355.13,99.57,,,361.94,98.13,
Overall Rambutan Production,0205700000,Quirino,,,21.41,193.73,,,21.03,209.2,,,18.93,188.28,,1.37,22.58,70.15,,1.15,65.1,68.54,
Overall Rambutan Production,0300800000,Bataan,,,,0.13,,,,0.12,,,,0.06,,4.63,7.47,0.4,,3.23,7.28,0.34,
Overall Rambutan Production,0301400000,Bulacan,,,8.03,,,,7.46,,,,8.5,,,,5.16,3.4,,,6.57,3.55,
Overall Rambutan Production,0304900000,Nueva Ecija,,,55.54,,,,57.28,,,,83.16,,,,70.88,,,13.78,80.14,,
Overall Rambutan Production,0305400000,Pampanga,,,,,,,,,,,0.76,,,,0.76,,,,0.77,,
Overall Rambutan Production,0306900000,Tarlac,,,2.54,,,,2.75,,,,2.56,,,0.02,2.61,,,,2.85,,
Overall Rambutan Production,0307100000,Zambales,,,,,,,,,,,,,,0.36,0.05,,,,2.19,,
