Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Rambutan Production,0102800000,Ilocos Norte,0.04,4.6,0.05,4.52,0.06,4.73,0.91,5.42,1.39,6.1,
Overall Rambutan Production,0102900000,Ilocos Sur,41.68,55.91,46.73,59.49,58.83,135.13,62.65,106.09,52.17,119.36,
Overall Rambutan Production,0103300000,La Union,0.25,7.51,0.28,7.03,0.3,7.39,0.48,8.03,0.47,8.02,0.16
Overall Rambutan Production,0105500000,Pangasinan,,,,,,8.6,,6.08,2.64,9.01,0.54
Overall Rambutan Production,0201500000,Cagayan,,21.55,,27.52,,33.53,0.29,35.35,,45.13,2.38
Overall Rambutan Production,0203100000,Isabela,,46.8,,47.72,,48.0,0.93,48.79,1.09,47.66,0.23
Overall Rambutan Production,0205000000,Nueva Vizcaya,,380.18,,400.9,,432.9,9.86,454.7,,460.07,
Overall Rambutan Production,0205700000,Quirino,,215.14,,230.23,,207.21,1.37,92.73,1.15,133.64,
Overall Rambutan Production,0300800000,Bataan,,0.13,,0.12,,0.06,4.63,7.87,3.23,7.62,
Overall Rambutan Production,0301400000,Bulacan,,8.03,,7.46,,8.5,,8.56,,10.12,
Overall Rambutan Production,0304900000,Nueva Ecija,,55.54,,57.28,,83.16,,70.88,13.78,80.14,
Overall Rambutan Production,0305400000,Pampanga,,,,,,0.76,,0.76,,0.77,
Overall Rambutan Production,0306900000,Tarlac,,2.54,,2.75,,2.56,0.02,2.61,,2.85,
Overall Rambutan Production,0307100000,Zambales,,,,,,,0.36,0.05,,2.19,
Overall Rambutan Production,0307700000,Aurora,,1.56,,0.47,,27.88,1.15,41.1,0.03,40.35,0.03
Overall Rambutan Production,0401000000,Batangas,,206.1,,200.84,,243.78,,187.68,,168.31,
Overall Rambutan Production,0402100000,Cavite,,7.75,,6.93,,7.9,4.45,32.52,,33.19,
Overall Rambutan Production,0403400000,Laguna,,2122.89,,1905.94,,2028.2,,1893.6,,2000.54,
Overall Rambutan Production,0405600000,Quezon,,93.26,,92.33,,85.39,17.99,88.83,,96.79,
Overall Rambutan Production,0405800000,Rizal,,2.14,,2.33,,16.43,,20.81,,69.01,
Overall Rambutan Production,0500500000,Albay,2.48,9.25,2.25,8.05,1.43,11.71,2.88,84.02,1.55,64.94,0.08
Overall Rambutan Production,0501600000,Camarines Norte,,,,,,182.71,9.0,120.59,7.52,269.57,1.1
Overall Rambutan Production,0501700000,Camarines Sur,,0.32,,0.4,,0.42,1.76,6.0,0.65,82.31,0.17
Overall Rambutan Production,0502000000,Catanduanes,,,,,,,0.02,,0.32,2.88,
Overall Rambutan Production,0504100000,Masbate,,,,,,6.27,,7.13,,5.63,
Overall Rambutan Production,0506200000,Sorsogon,2.13,3.76,1.85,3.07,1.72,12.92,4.05,14.34,3.06,17.28,1.25
Overall Rambutan Production,0600400000,Aklan,,67.61,,60.54,,65.55,0.46,65.31,0.35,50.77,0.22
Overall Rambutan Production,0600600000,Antique,,3.86,,3.65,,4.07,6.33,3.11,5.31,3.7,0.88
Overall Rambutan Production,0601900000,Capiz,,32.4,,36.8,,38.77,0.69,46.8,0.78,45.29,0.76
Overall Rambutan Production,0603000000,Iloilo,,14.0,,12.88,,13.24,0.77,15.18,0.8,32.68,0.54
Overall Rambutan Production,0607900000,Guimaras,,1.85,0.01,2.3,,1.82,,3.96,,4.27,0.13
Overall Rambutan Production,0701200000,Bohol,,1.66,,0.6,,63.39,17.32,69.06,60.94,79.3,9.25
Overall Rambutan Production,0702200000,Cebu,,1.0,,0.8,,1.62,0.74,1.77,0.5,1.44,0.39
Overall Rambutan Production,0802600000,Eastern Samar,,0.43,,0.44,0.2,19.0,3.09,42.23,3.03,10.94,10.44
Overall Rambutan Production,0803700000,Leyte,,4.54,,4.51,,50.56,30.65,51.95,30.98,51.3,1.3
Overall Rambutan Production,0804800000,Northern Samar,,0.11,,0.1,,0.09,4.06,43.7,,35.09,
Overall Rambutan Production,0806000000,Samar (Western Samar),,9.58,0.47,3.8,0.5,2.69,0.17,3.16,5.71,3.18,0.81
Overall Rambutan Production,0806400000,Southern Leyte,,2.11,,1.65,,3.55,5.77,6.5,8.95,10.51,2.48
Overall Rambutan Production,0807800000,Biliran,,5.85,,7.72,,7.55,3.98,10.93,,8.74,
Overall Rambutan Production,0906600000,,,,,,,,,1.32,,,
Overall Rambutan Production,0907200000,Zamboanga del Norte,,261.58,0.25,43.09,0.03,1696.33,4.08,2290.71,,41.16,34.39
Overall Rambutan Production,0907300000,Zamboanga del Sur,,100.17,,107.98,,132.55,4.85,113.57,,16.53,0.55
Overall Rambutan Production,0907400000,Zamboanga City,,0.93,0.9,0.92,,,,,,1.97,1.37
Overall Rambutan Production,0908300000,Zamboanga Sibugay,,135.35,,121.51,,130.06,16.75,133.41,,13.39,2.82
Overall Rambutan Production,1001300000,Bukidnon,,342.69,8.0,334.5,,434.83,31.36,438.7,28.85,157.93,36.11
Overall Rambutan Production,1001800000,Camiguin,,2.22,0.08,2.41,,16.18,,10.4,,11.55,0.75
Overall Rambutan Production,1003500000,Lanao del Norte,0.62,38.5,0.5,30.41,0.45,45.5,0.98,47.52,0.94,49.55,0.37
Overall Rambutan Production,1004200000,Misamis Occidental,,78.5,,77.15,,82.6,1.89,86.47,1.84,84.62,1.79
Overall Rambutan Production,1004300000,Misamis Oriental,0.02,89.28,0.53,163.08,0.76,225.87,5.39,286.68,5.35,286.96,9.63
Overall Rambutan Production,1102300000,Davao del Norte,2.98,469.64,3.03,459.87,4.03,470.88,2.84,493.07,2.45,492.82,1.98
Overall Rambutan Production,1102400000,Davao del Sur,2.61,122.84,2.71,115.13,6.34,333.48,6.25,362.96,6.07,286.02,3.12
Overall Rambutan Production,1102500000,Davao Oriental,9.44,13.23,9.51,13.62,9.66,13.43,9.5,15.02,9.97,14.02,2.51
Overall Rambutan Production,1108200000,Davao de Oro (Compostela Valley),1.62,60.56,3.18,58.23,4.06,100.11,1.25,684.78,1.28,330.32,23.68
Overall Rambutan Production,1108600000,Davao Occidental,2.55,105.32,2.54,101.75,2.54,106.67,6.52,115.36,5.64,109.13,6.09
Overall Rambutan Production,1130700000,Davao City,4.05,219.8,4.13,222.32,,,,,0.5,76.48,0.81
Overall Rambutan Production,1204700000,Cotabato (North Cotabato),,348.56,25.13,330.63,20.3,348.43,103.56,544.49,6.86,490.34,3.99
Overall Rambutan Production,1206300000,South Cotabato,,383.04,6.0,429.7,4.65,443.54,7.52,530.84,5.92,276.35,0.55
Overall Rambutan Production,1206500000,Sultan Kudarat,0.05,1.76,0.05,1.82,0.06,9.63,3.26,47.36,2.28,9.42,2.37
Overall Rambutan Production,1208000000,Sarangani,,22.05,,23.1,1.24,24.1,12.06,30.0,11.31,27.51,1.37
Overall Rambutan Production,1400100000,Abra,,,,,,0.64,0.09,1.96,,3.0,
Overall Rambutan Production,1401100000,Benguet,,13.84,,16.75,,17.5,,18.45,,16.24,0.95
Overall Rambutan Production,1402700000,Ifugao,,13.27,,16.19,,51.39,,63.71,,130.97,
Overall Rambutan Production,1403200000,Kalinga,,28.31,,33.95,,29.03,,35.69,,45.7,
Overall Rambutan Production,1404400000,Mountain Province,,0.77,,1.16,,1.74,,2.0,,5.28,
Overall Rambutan Production,1408100000,Apayao,,49.68,,37.72,,50.92,3.45,50.34,,47.44,
Overall Rambutan Production,1600200000,Agusan del Norte,2.72,43.47,2.45,43.71,2.27,42.73,2.55,43.2,2.66,43.2,1.22
Overall Rambutan Production,1600300000,Agusan del Sur,17.1,433.4,16.64,436.68,17.32,595.82,18.33,517.35,18.15,565.43,60.98
Overall Rambutan Production,1606700000,Surigao del Norte,0.25,1.02,0.08,0.96,0.09,0.7,,2.64,3.11,3.56,5.82
Overall Rambutan Production,1606800000,Surigao del Sur,5.58,31.55,5.51,32.33,5.65,18.61,,34.57,7.24,37.67,2.33
Overall Rambutan Production,1608500000,Dinagat Islands,,2.56,,,,0.48,,0.25,,0.23,0.37
Overall Rambutan Production,1630400000,Butuan City,,,,,,,,,,,0.63
Overall Rambutan Production,1704000000,Marinduque,,,,,,7.29,,5.22,,8.83,
Overall Rambutan Production,1705100000,Occidental Mindoro,,0.44,,,,0.47,,0.2,,0.25,1.27
Overall Rambutan Production,1705200000,Oriental Mindoro,0.01,81.47,0.01,268.88,0.02,832.25,0.03,1541.6,0.01,871.45,4.34
Overall Rambutan Production,1705300000,Palawan,9.43,80.12,8.6,82.3,8.74,165.63,8.95,160.67,8.31,160.23,0.46
Overall Rambutan Production,1705900000,Romblon,,,,,,4.93,2.32,8.68,3.7,15.06,3.01
Overall Rambutan Production,1731500000,Puerto Princesa City,,,,,,,,,,,0.3
Overall Rambutan Production,1804500000,Negros Occidental,,96.02,,100.3,,151.94,0.22,157.33,0.5,132.55,1.77
Overall Rambutan Production,1804600000,Negros Oriental,,11.22,,5.89,,8.78,0.28,11.39,1.2,10.68,
Overall Rambutan Production,1806100000,Siquijor,,0.07,,0.01,,0.97,,0.74,,0.54,
Overall Rambutan Production,1900700000,Basilan,,2.52,0.57,,0.62,79.98,15.72,80.0,8.4,,
Overall Rambutan Production,1903600000,Lanao del Sur,,16.61,,16.6,1.66,18.53,1.76,19.49,,18.07,0.38
Overall Rambutan Production,1907000000,Tawi-Tawi,,2.6,0.4,2.2,0.37,4.3,0.35,4.0,0.22,,6.53
Overall Rambutan Production,1908700000,Maguindanao del Norte,,,,,,,,,498.44,415.0,201.32
Overall Rambutan Production,1908800000,Maguindanao del Sur,,4.7,,4.5,,4.6,,251.52,4.7,5.0,2.3
