Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Red Onion Production,0102800000,Ilocos Norte,,,,,,,,,,,,,285.69,5.24,,70.88,297.23,936.03,,0.79,652.89
Red Onion Production,0102900000,Ilocos Sur,,,,,,,,,,,,52.98,490.37,20.1,,48.93,496.91,9.67,,50.96,547.87
Red Onion Production,0103300000,La Union,,,,,,,,,,,,,421.5,460.03,,,400.74,427.36,,,422.18
Red Onion Production,0105500000,Pangasinan,,,,,,,,,,,,216.87,8151.73,5580.0,,172.0,23951.16,6193.0,,137.08,18144.83
Red Onion Production,0200900000,Batanes,,,,,,,,,,,,0.2,,,,,,0.9,,,
Red Onion Production,0201500000,Cagayan,,,,,,,,,,,,,,,,,,0.87,,,
Red Onion Production,0203100000,Isabela,,,,,,,,,,,,,3.57,0.65,,,1.02,0.6,,,1.39
Red Onion Production,0205000000,Nueva Vizcaya,,,,,,,,,,,,41.13,8546.1,666.51,,,12250.0,1101.21,,30.16,10398.05
Red Onion Production,0205700000,Quirino,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0300800000,Bataan,,,,,,,,,,,,,44.72,3.55,,,62.61,3.3,,,76.02
Red Onion Production,0301400000,Bulacan,,,,,,,,,,,,,,,0.03,,,,,,
Red Onion Production,0304900000,Nueva Ecija,,,,,,,,,,,,80.24,97921.04,19525.66,,69.31,88764.52,21339.53,,,93342.78
Red Onion Production,0305400000,Pampanga,,,,,,,,,,,,,21.0,,,,23.63,0.66,,,24.36
Red Onion Production,0306900000,Tarlac,,,,,,,,,,,,635.0,4143.0,1500.0,,,4353.5,1534.55,,,4613.41
Red Onion Production,0307100000,Zambales,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0307700000,Aurora,,,,,,,,,,,,,28.41,,,,,,,,
Red Onion Production,0401000000,Batangas,,,,,,,,,,,,,50.0,9.06,,,10.0,8.45,,,0.91
Red Onion Production,0402100000,Cavite,,,,,,,,,,,,,7.75,19.16,,0.02,5.0,2.5,,1.05,1.98
Red Onion Production,0403400000,Laguna,,,,,,,,,,,,,0.01,,,,,,,,
Red Onion Production,0405600000,Quezon,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0405800000,Rizal,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0500500000,Albay,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0501600000,Camarines Norte,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0501700000,Camarines Sur,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0502000000,Catanduanes,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0504100000,Masbate,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0506200000,Sorsogon,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0600400000,Aklan,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0600600000,Antique,,,,,,,,,,,,,,,,,,,,,
Red Onion Production,0601900000,Capiz,,,,,,,,,,,,,,,,,,,,,
