Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Red Onion Production,0102800000,Ilocos Norte,,,,,,,290.93,70.88,1233.26,0.79,652.89
Red Onion Production,0102900000,Ilocos Sur,,,,,,52.98,510.47,48.93,506.58,50.96,547.87
Red Onion Production,0103300000,La Union,,,,,,,881.53,,828.1,,422.18
Red Onion Production,0105500000,Pangasinan,,,,,,216.87,13731.73,172.0,30144.16,137.08,18144.83
Red Onion Production,0200900000,Batanes,,,,,,0.2,,,0.9,,
Red Onion Production,0201500000,Cagayan,,,,,,,,,0.87,,
Red Onion Production,0203100000,Isabela,,,,,,,4.22,,1.62,,1.39
Red Onion Production,0205000000,Nueva Vizcaya,,,,,,41.13,9212.61,,13351.21,30.16,10398.05
Red Onion Production,0205700000,Quirino,,,,,,,,,,,
Red Onion Production,0300800000,Bataan,,,,,,,48.27,,65.91,,76.02
Red Onion Production,0301400000,Bulacan,,,,,,,,0.03,,,
Red Onion Production,0304900000,Nueva Ecija,,,,,,80.24,117446.7,69.31,110104.05,,93342.78
Red Onion Production,0305400000,Pampanga,,,,,,,21.0,,24.29,,24.36
Red Onion Production,0306900000,Tarlac,,,,,,635.0,5643.0,,5888.05,,4613.41
Red Onion Production,0307100000,Zambales,,,,,,,,,,,
Red Onion Production,0307700000,Aurora,,,,,,,28.41,,,,
Red Onion Production,0401000000,Batangas,,,,,,,59.06,,18.45,,0.91
Red Onion Production,0402100000,Cavite,,,,,,,26.91,0.02,7.5,1.05,1.98
Red Onion Production,0403400000,Laguna,,,,,,,0.01,,,,
Red Onion Production,0405600000,Quezon,,,,,,,,,,,
Red Onion Production,0405800000,Rizal,,,,,,,,,,,
Red Onion Production,0500500000,Albay,,,,,,,,,,,
Red Onion Production,0501600000,Camarines Norte,,,,,,,,,,,
Red Onion Production,0501700000,Camarines Sur,,,,,,,,,,,
Red Onion Production,0502000000,Catanduanes,,,,,,,,,,,
Red Onion Production,0504100000,Masbate,,,,,,,,,,,
Red Onion Production,0506200000,Sorsogon,,,,,,,,,,,
Red Onion Production,0600400000,Aklan,,,,,,,,,,,
Red Onion Production,0600600000,Antique,,,,,,,,,,,
Red Onion Production,0601900000,Capiz,,,,,,,,,,,
Red Onion Production,0603000000,Iloilo,,,,,,1.0,957.18,,963.0,,8.6
Red Onion Production,0607900000,Guimaras,,,,,,,,,,,
Red Onion Production,0701200000,Bohol,,,,,,,,,,,
Red Onion Production,0702200000,Cebu,,,,,,,,,,,
Red Onion Production,0802600000,Eastern Samar,,,,,,,,,,,
Red Onion Production,0803700000,Leyte,,,,,,,,,,,
Red Onion Production,0804800000,Northern Samar,,,,,,,0.12,,,,
