Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Red Shallot Production,0102800000,Ilocos Norte,11885.1,48.42,8.04,6435.11,11674.97,46.57,8.3,6380.73,11430.03,45.98,8.03,6394.13,11663.36,44.35,8.1,6252.37,11589.45,39.75,6.04,6342.41,7815.07
Red Shallot Production,0102900000,Ilocos Sur,14817.07,945.52,,2070.14,13903.44,986.83,,2154.39,17171.67,858.82,,2829.6,16457.0,814.26,,2470.93,15844.04,774.75,,2598.5,16150.52
Red Shallot Production,0103300000,La Union,,,,,,,,,,,,,,0.69,,,,0.63,,,
Red Shallot Production,0105500000,Pangasinan,6.99,,,,7.33,,,,6.8,,,,7.18,1.28,,,6.4,1.19,,,6.12
Red Shallot Production,0200900000,Batanes,22.1,38.15,,,23.83,43.5,,,25.41,49.76,,0.8,45.83,25.85,,,43.87,33.26,,1.27,53.12
Red Shallot Production,0201500000,Cagayan,9.06,17.4,,,11.5,18.44,,,13.52,18.52,0.01,1.76,15.2,15.55,0.03,,16.1,16.22,0.11,0.93,17.03
Red Shallot Production,0203100000,Isabela,1.98,0.62,0.31,0.04,1.87,0.6,0.28,0.02,1.2,0.54,0.2,0.01,,0.69,0.5,,,0.61,0.47,,0.4
Red Shallot Production,0205000000,Nueva Vizcaya,,,1.49,5.56,,,1.62,3.47,,,0.85,,,,,,,,,,40.3
Red Shallot Production,0205700000,Quirino,,2.3,,,,,,,,,,,,,,,,,,,
Red Shallot Production,0300800000,Bataan,,,,,,,,,,,,,,,,,,,,,
Red Shallot Production,0301400000,Bulacan,,,,,,,,,,,,,,,,,,,,,
Red Shallot Production,0304900000,Nueva Ecija,1844.7,195.62,,,1846.62,202.25,,,2649.03,200.51,,,3057.55,188.42,,,1187.64,135.02,,,1084.02
Red Shallot Production,0305400000,Pampanga,,,,,,,,,,,,,,,,,,,,,
Red Shallot Production,0306900000,Tarlac,,,,,,,,,,,,,1784.0,,,,1822.5,8.09,,,1905.39
Red Shallot Production,0307100000,Zambales,14.38,,,1.37,13.23,,,1.41,12.14,,,1.43,10.78,,,,7.91,,,,29.44
Red Shallot Production,0307700000,Aurora,,,,,,,,,,,,0.07,,,,,,,,,0.16
