Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Spinach Production,0102800000,Ilocos Norte,,,,,,,,,0.01,
Overall Spinach Production,0102900000,Ilocos Sur,,,,,,2.26,0.02,,,0.06
Overall Spinach Production,0103300000,La Union,1.47,0.93,1.54,1.0,1.58,1.0,1.32,0.97,1.46,0.81
Overall Spinach Production,0105500000,Pangasinan,0.47,1.4,0.53,1.8,0.55,0.55,0.4,0.69,0.38,0.5
Overall Spinach Production,0200900000,Batanes,0.75,0.54,0.78,0.61,0.83,0.15,0.92,0.35,1.12,
Overall Spinach Production,0201500000,Cagayan,9.22,10.85,9.7,11.25,7.64,15.35,8.14,11.57,9.37,13.89
Overall Spinach Production,0203100000,Isabela,23.97,23.36,20.41,24.0,19.45,22.0,18.4,17.34,20.2,15.49
Overall Spinach Production,0205000000,Nueva Vizcaya,18.23,28.07,21.33,30.11,25.88,29.34,23.61,22.19,24.75,26.42
Overall Spinach Production,0205700000,Quirino,4.26,2.41,5.17,2.57,5.77,2.69,5.03,2.69,5.42,2.96
Overall Spinach Production,0300800000,Bataan,,,,,,,,,,
Overall Spinach Production,0301400000,Bulacan,,,,,,,10.06,,10.07,0.9
Overall Spinach Production,0304900000,Nueva Ecija,,,,,,,,,,
Overall Spinach Production,0305400000,Pampanga,8.69,2.98,8.8,3.3,9.5,3.38,10.23,3.43,9.95,3.49
Overall Spinach Production,0306900000,Tarlac,15.39,5.2,14.15,4.78,13.23,5.03,13.8,5.5,9.35,5.17
Overall Spinach Production,0307100000,Zambales,,,,,,4.48,5.38,5.22,5.32,5.0
Overall Spinach Production,0307700000,Aurora,,,,,,0.03,1.61,0.03,,0.41
Overall Spinach Production,0401000000,Batangas,,,,,,,0.19,,,
Overall Spinach Production,0402100000,Cavite,,,,,,39.59,0.04,42.07,3.07,40.75
Overall Spinach Production,0403400000,Laguna,,,,,,,1.99,,2.0,
Overall Spinach Production,0405600000,Quezon,,,,,,,0.25,0.01,0.2,0.02
Overall Spinach Production,0405800000,Rizal,,,,,,,0.02,0.2,0.03,0.3
Overall Spinach Production,0500500000,Albay,,,,,,,,,2.01,
Overall Spinach Production,0501600000,Camarines Norte,,,,,,,,,,
Overall Spinach Production,0501700000,Camarines Sur,,,,,,,,,,0.02
Overall Spinach Production,0502000000,Catanduanes,,,,,,,,,,
Overall Spinach Production,0504100000,Masbate,,,,,,0.28,,,,
Overall Spinach Production,0506200000,Sorsogon,,,,,,,,,,
Overall Spinach Production,0600400000,Aklan,0.03,,0.05,,0.04,,0.04,,,
Overall Spinach Production,0600600000,Antique,19.7,41.25,20.1,40.8,19.79,40.06,17.9,,0.1,
Overall Spinach Production,0601900000,Capiz,70.45,71.25,66.0,74.75,69.63,35.15,,,,
Overall Spinach Production,0603000000,Iloilo,14.0,22.95,14.4,22.8,14.5,23.65,14.64,,,
Overall Spinach Production,0607900000,Guimaras,,,,,,,,,,0.12
Overall Spinach Production,0701200000,Bohol,,,,,,0.12,,,,
Overall Spinach Production,0702200000,Cebu,12.0,18.9,12.3,20.0,11.53,20.08,7.01,19.0,9.85,19.64
Overall Spinach Production,0802600000,Eastern Samar,,,,,,,,,,
Overall Spinach Production,0803700000,Leyte,,,,,,0.18,1.36,1.51,0.34,1.52
Overall Spinach Production,0804800000,Northern Samar,,,,,,,,,,
Overall Spinach Production,0806000000,Samar (Western Samar),,,,,,,,,,
Overall Spinach Production,0806400000,Southern Leyte,,,,,,,,0.02,,
Overall Spinach Production,0807800000,Biliran,,,,,,,,,,
Overall Spinach Production,0906600000,,,,,,,,,,,
Overall Spinach Production,0907200000,Zamboanga del Norte,,,,,,,,,,
Overall Spinach Production,0907300000,Zamboanga del Sur,,0.03,,0.03,,,,0.03,,2.32
Overall Spinach Production,0907400000,Zamboanga City,,,,,,,,,,
Overall Spinach Production,0908300000,Zamboanga Sibugay,,,,,,,0.01,,0.01,
Overall Spinach Production,1001300000,Bukidnon,0.35,1.2,0.3,1.18,0.33,9.99,3.33,9.71,3.33,9.6
Overall Spinach Production,1001800000,Camiguin,,,,,,,,,,
Overall Spinach Production,1003500000,Lanao del Norte,5.6,,5.3,,5.2,,5.07,,5.16,
Overall Spinach Production,1004200000,Misamis Occidental,,,,,,,,1.6,,1.61
Overall Spinach Production,1004300000,Misamis Oriental,3.92,11.45,4.32,11.5,4.53,9.8,5.14,9.36,6.15,9.76
Overall Spinach Production,1102300000,Davao del Norte,,,,,,,,,,
Overall Spinach Production,1102400000,Davao del Sur,1.03,2.31,1.02,2.29,5.0,21.68,4.88,22.2,2.7,2.45
Overall Spinach Production,1102500000,Davao Oriental,0.43,0.51,0.42,0.4,0.52,0.42,0.51,0.4,0.48,0.35
Overall Spinach Production,1108200000,Davao de Oro (Compostela Valley),,,,,,,,,,
Overall Spinach Production,1108600000,Davao Occidental,0.06,0.06,0.06,0.07,0.06,0.06,0.04,,0.04,
Overall Spinach Production,1130700000,Davao City,4.24,19.3,4.22,19.3,,,,,2.19,17.85
Overall Spinach Production,1204700000,Cotabato (North Cotabato),2.96,9.9,2.9,9.65,2.85,7.51,2.11,8.82,2.11,6.56
Overall Spinach Production,1206300000,South Cotabato,3.42,8.9,3.75,9.53,4.0,10.86,1.2,6.28,1.4,5.36
Overall Spinach Production,1206500000,Sultan Kudarat,5.27,2.84,5.3,2.84,5.27,2.75,4.41,3.05,4.35,2.91
Overall Spinach Production,1208000000,Sarangani,1.66,0.45,1.65,0.46,1.64,0.69,1.6,0.67,,0.34
Overall Spinach Production,1400100000,Abra,,0.24,,0.22,,0.38,,0.3,,1.36
Overall Spinach Production,1401100000,Benguet,71.84,26.26,71.32,29.32,62.68,18.92,65.0,15.75,71.0,44.15
Overall Spinach Production,1402700000,Ifugao,,,,,,,,,,
Overall Spinach Production,1403200000,Kalinga,1.18,3.29,1.32,3.84,1.24,3.04,0.2,3.44,0.2,3.1
Overall Spinach Production,1404400000,Mountain Province,0.08,,0.09,,0.08,,0.06,,1.67,
Overall Spinach Production,1408100000,Apayao,,,,,,,,,,
Overall Spinach Production,1600200000,Agusan del Norte,,,,,,,0.1,,0.05,0.08
Overall Spinach Production,1600300000,Agusan del Sur,,,,,,,,,7.68,4.6
Overall Spinach Production,1606700000,Surigao del Norte,,,,,,0.2,0.08,0.2,1.48,
Overall Spinach Production,1606800000,Surigao del Sur,,,,,,,,0.17,,
Overall Spinach Production,1608500000,Dinagat Islands,,,,,,,,,0.06,
Overall Spinach Production,1630400000,Butuan City,,,,,,,,,,
Overall Spinach Production,1704000000,Marinduque,,,,,,,,,,
Overall Spinach Production,1705100000,Occidental Mindoro,,,,,,,,,,
Overall Spinach Production,1705200000,Oriental Mindoro,,,,,,,,,,
Overall Spinach Production,1705300000,Palawan,,,,,,,,,,
Overall Spinach Production,1705900000,Romblon,,,,,,0.28,,0.25,3.82,0.23
Overall Spinach Production,1731500000,Puerto Princesa City,,,,,,,,,,
Overall Spinach Production,1804500000,Negros Occidental,13.9,12.26,12.83,15.32,18.59,23.87,14.93,,,
Overall Spinach Production,1804600000,Negros Oriental,12.25,22.5,12.4,23.0,11.55,19.0,5.0,15.2,6.0,17.3
Overall Spinach Production,1806100000,Siquijor,,,,,,,,,,
Overall Spinach Production,1830200000,Bacolod City,,,,,,,,,,
Overall Spinach Production,1900700000,Basilan,,,,,,,,,,
Overall Spinach Production,1903600000,Lanao del Sur,,,,,,,,0.58,,0.19
Overall Spinach Production,1907000000,Tawi-Tawi,,,,,,,,,,
Overall Spinach Production,1908700000,Maguindanao del Norte,,,,,,,,,2.2,44.93
Overall Spinach Production,1908800000,Maguindanao del Sur,4.55,3.0,4.62,3.04,4.62,3.07,3.69,4.25,,
