Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Sponge Gourd Production,0102800000,Ilocos Norte,277.69,221.3,99.85,120.21,270.31,231.85,101.86,124.02,277.56,236.84,95.52,117.79,273.54,233.9,98.19,109.95,271.8,354.19,293.58,162.21,515.15
Overall Sponge Gourd Production,0102900000,Ilocos Sur,96.83,22.24,29.69,37.39,86.35,23.93,26.6,40.23,131.48,16.01,21.09,40.31,108.92,19.97,20.06,40.27,114.37,22.79,20.58,41.0,112.16
Overall Sponge Gourd Production,0103300000,La Union,42.16,23.88,36.65,39.47,43.66,24.82,39.65,43.21,42.76,22.93,35.28,43.81,44.14,21.77,38.23,39.64,46.1,23.78,19.33,27.61,43.77
Overall Sponge Gourd Production,0105500000,Pangasinan,330.36,63.61,31.76,63.0,320.93,63.98,33.95,65.69,308.51,76.05,28.0,67.13,313.05,91.0,26.44,63.7,585.31,83.08,24.95,62.73,402.29
Overall Sponge Gourd Production,0200900000,Batanes,0.36,4.55,1.17,1.2,0.75,4.25,2.52,0.36,0.9,4.32,3.0,0.45,1.0,4.5,3.85,0.41,1.15,4.66,6.29,1.12,1.32
Overall Sponge Gourd Production,0201500000,Cagayan,330.52,671.73,27.43,159.39,280.52,689.58,26.24,155.75,299.22,683.63,20.28,185.0,282.0,642.0,23.56,103.37,278.2,647.32,53.2,144.18,280.1
Overall Sponge Gourd Production,0203100000,Isabela,209.09,142.12,120.13,45.12,187.6,138.01,123.01,43.2,175.1,144.5,121.44,43.57,168.35,135.0,166.87,42.75,165.65,139.5,159.46,43.17,169.7
Overall Sponge Gourd Production,0205000000,Nueva Vizcaya,11.19,17.46,113.13,18.67,12.31,18.6,124.44,14.11,13.43,27.84,118.79,13.0,12.87,23.22,120.95,12.56,13.15,25.53,119.0,11.1,13.44
Overall Sponge Gourd Production,0205700000,Quirino,4.1,23.82,20.97,3.24,4.63,25.17,24.07,3.55,5.0,24.49,22.52,3.21,4.82,20.21,22.76,2.85,4.91,22.35,23.68,3.2,4.54
Overall Sponge Gourd Production,0300800000,Bataan,2.72,0.68,0.86,1.23,2.82,0.85,1.31,1.34,2.1,1.08,1.3,1.81,2.22,0.97,1.14,1.39,2.61,0.47,1.94,1.7,2.8
Overall Sponge Gourd Production,0301400000,Bulacan,78.49,278.48,83.98,28.75,66.87,257.4,68.39,28.56,67.77,256.98,81.29,29.61,57.08,219.52,80.06,28.83,63.9,244.63,69.91,30.57,66.82
