Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Sponge Gourd Production,0102800000,Ilocos Norte,498.99,220.06,502.16,225.88,514.4,213.31,507.44,208.14,625.99,455.79,515.15
Overall Sponge Gourd Production,0102900000,Ilocos Sur,119.07,67.08,110.28,66.83,147.49,61.4,128.89,60.33,137.16,61.58,112.16
Overall Sponge Gourd Production,0103300000,La Union,66.04,76.12,68.48,82.86,65.69,79.09,65.91,77.87,69.88,46.94,43.77
Overall Sponge Gourd Production,0105500000,Pangasinan,393.97,94.76,384.91,99.64,384.56,95.13,404.05,90.14,668.39,87.68,402.29
Overall Sponge Gourd Production,0200900000,Batanes,4.91,2.37,5.0,2.88,5.22,3.45,5.5,4.26,5.81,7.41,1.32
Overall Sponge Gourd Production,0201500000,Cagayan,1002.25,186.82,970.1,181.99,982.85,205.28,924.0,126.93,925.52,197.38,280.1
Overall Sponge Gourd Production,0203100000,Isabela,351.21,165.25,325.61,166.21,319.6,165.01,303.35,209.62,305.15,202.63,169.7
Overall Sponge Gourd Production,0205000000,Nueva Vizcaya,28.65,131.8,30.91,138.55,41.27,131.79,36.09,133.51,38.68,130.1,13.44
Overall Sponge Gourd Production,0205700000,Quirino,27.92,24.21,29.8,27.62,29.49,25.73,25.03,25.61,27.26,26.88,4.54
Overall Sponge Gourd Production,0300800000,Bataan,3.4,2.09,3.67,2.65,3.18,3.11,3.19,2.53,3.08,3.64,2.8
Overall Sponge Gourd Production,0301400000,Bulacan,356.97,112.73,324.27,96.95,324.75,110.9,276.6,108.89,308.53,100.48,66.82
Overall Sponge Gourd Production,0304900000,Nueva Ecija,404.39,428.66,409.83,410.05,452.13,396.19,474.04,367.65,513.51,221.27,30.06
Overall Sponge Gourd Production,0305400000,Pampanga,194.15,107.02,199.92,115.53,190.74,118.82,205.15,114.46,219.92,117.55,121.07
Overall Sponge Gourd Production,0306900000,Tarlac,60.38,30.37,65.81,36.15,53.75,35.96,55.73,38.75,59.7,36.54,25.15
Overall Sponge Gourd Production,0307100000,Zambales,138.33,56.71,145.85,62.69,143.88,34.53,115.74,25.73,36.16,54.42,6.16
Overall Sponge Gourd Production,0307700000,Aurora,58.97,15.83,45.02,14.32,45.1,11.04,38.45,6.4,116.35,58.8,20.04
Overall Sponge Gourd Production,0401000000,Batangas,178.75,111.2,183.56,95.1,228.39,80.0,380.81,74.04,347.7,79.96,209.6
Overall Sponge Gourd Production,0402100000,Cavite,23.77,59.05,16.57,56.62,17.48,69.27,15.76,75.43,236.22,85.16,215.19
Overall Sponge Gourd Production,0403400000,Laguna,48.6,38.49,42.05,35.35,35.17,37.72,34.26,47.91,34.19,40.13,29.37
