Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Spring Onion Production,0102800000,Ilocos Norte,,,,,,,,,,,,,,,,,,,,,
Overall Spring Onion Production,0102900000,Ilocos Sur,,,,,,,,,,,0.01,,,,,,,,,,
Overall Spring Onion Production,0103300000,La Union,,,,,,,,,,,,,,,,,,,,,
Overall Spring Onion Production,0105500000,Pangasinan,,,,,,,,,,,,,,,,,,,,,
Overall Spring Onion Production,0200900000,Batanes,,,,,,,,,,,,,,,,,,0.03,0.05,0.13,
Overall Spring Onion Production,0201500000,Cagayan,,,,,,,,,,,0.05,0.94,,,0.05,0.08,0.05,0.15,0.08,0.51,0.28
Overall Spring Onion Production,0203100000,Isabela,,,,,,,,,,,,0.06,,0.15,,0.06,,0.14,,,
Overall Spring Onion Production,0205000000,Nueva Vizcaya,,,,,,,,,,,,,,,,,,,,,
Overall Spring Onion Production,0205700000,Quirino,,,,,,,,,,,,,,,,,,,,,
Overall Spring Onion Production,0300800000,Bataan,,,,,,,,,,,,,,,,,,,,,
Overall Spring Onion Production,0301400000,Bulacan,,,,,,,,,,,,,,,,,,,0.8,0.2,
Overall Spring Onion Production,0304900000,Nueva Ecija,,,,,,,,,,,,,,,,,,,,,
Overall Spring Onion Production,0305400000,Pampanga,,,,,,,,,,,,9.63,1.4,,,10.36,1.62,20.65,,10.37,1.51
Overall Spring Onion Production,0306900000,Tarlac,,,,,,,,,,,,,,,,,,,,,
Overall Spring Onion Production,0307100000,Zambales,,,,,,,,,,,,,,,,,,,,,2.02
Overall Spring Onion Production,0307700000,Aurora,,,,,,,,,,,,,,,,,,,,,
Overall Spring Onion Production,0401000000,Batangas,,,,,,,,,,,,,,,,,,,,,
Overall Spring Onion Production,0402100000,Cavite,,,,,,,,,,,,,,,,0.03,0.03,,,0.04,
Overall Spring Onion Production,0403400000,Laguna,21.68,12.86,70.34,95.75,17.47,15.81,73.35,67.87,22.69,17.01,68.77,,25.56,15.31,82.52,68.25,28.37,14.5,74.88,66.09,33.08
Overall Spring Onion Production,0405600000,Quezon,,,,,,,,,,,,,14.8,3.85,0.01,3.34,14.09,4.5,0.01,3.66,0.01
Overall Spring Onion Production,0405800000,Rizal,,,,,,,,,,,,,,,,,,0.45,,,
