Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Spring Onion Production,0102800000,Ilocos Norte,,,,,,,,,,
Overall Spring Onion Production,0102900000,Ilocos Sur,,,,,,0.01,,,,
Overall Spring Onion Production,0103300000,La Union,,,,,,,,,,
Overall Spring Onion Production,0105500000,Pangasinan,,,,,,,,,,
Overall Spring Onion Production,0200900000,Batanes,,,,,,,,,0.03,0.18
Overall Spring Onion Production,0201500000,Cagayan,,,,,,0.99,,0.13,0.2,0.59
Overall Spring Onion Production,0203100000,Isabela,,,,,,0.06,0.15,0.06,0.14,
Overall Spring Onion Production,0205000000,Nueva Vizcaya,,,,,,,,,,
Overall Spring Onion Production,0205700000,Quirino,,,,,,,,,,
Overall Spring Onion Production,0300800000,Bataan,,,,,,,,,,
Overall Spring Onion Production,0301400000,Bulacan,,,,,,,,,,1.0
Overall Spring Onion Production,0304900000,Nueva Ecija,,,,,,,,,,
Overall Spring Onion Production,0305400000,Pampanga,,,,,,9.63,1.4,10.36,22.27,10.37
Overall Spring Onion Production,0306900000,Tarlac,,,,,,,,,,
Overall Spring Onion Production,0307100000,Zambales,,,,,,,,,,
Overall Spring Onion Production,0307700000,Aurora,,,,,,,,,,
Overall Spring Onion Production,0401000000,Batangas,,,,,,,,,,
Overall Spring Onion Production,0402100000,Cavite,,,,,,,,0.03,0.03,0.04
Overall Spring Onion Production,0403400000,Laguna,34.54,166.09,33.28,141.22,39.7,68.77,40.87,150.77,42.87,140.97
Overall Spring Onion Production,0405600000,Quezon,,,,,,,18.65,3.35,18.59,3.67
Overall Spring Onion Production,0405800000,Rizal,,,,,,,,,0.45,
Overall Spring Onion Production,0500500000,Albay,,,,,,,0.07,18.66,1.18,12.86
Overall Spring Onion Production,0501600000,Camarines Norte,,,,,,,,,,
Overall Spring Onion Production,0501700000,Camarines Sur,,,,,,0.69,3.45,29.54,2.21,6.14
Overall Spring Onion Production,0502000000,Catanduanes,,,,,,,0.53,0.22,0.55,0.96
Overall Spring Onion Production,0504100000,Masbate,,,,,,0.98,,,,
Overall Spring Onion Production,0506200000,Sorsogon,,,,,,,,0.03,,
Overall Spring Onion Production,0600400000,Aklan,0.87,4.5,0.9,4.11,1.15,4.39,0.97,4.33,1.11,5.24
Overall Spring Onion Production,0600600000,Antique,11.12,11.81,10.55,11.15,12.59,11.7,12.98,11.41,12.9,10.87
Overall Spring Onion Production,0601900000,Capiz,36.3,33.0,32.5,34.65,33.83,7.74,30.0,30.0,28.54,29.74
