Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Stringbeans Production,0102800000,Ilocos Norte,1498.77,590.65,225.03,640.52,1538.8,601.9,230.98,631.15,1573.08,611.45,209.04,657.4,1536.88,614.37,218.52,646.62,1549.58,321.24,283.17,704.68,1553.18
Overall Stringbeans Production,0102900000,Ilocos Sur,861.63,604.03,617.26,524.1,864.74,579.04,651.07,534.02,832.31,577.15,597.0,537.71,857.44,578.1,624.04,620.88,860.73,582.0,606.24,612.93,822.88
Overall Stringbeans Production,0103300000,La Union,902.74,675.51,200.54,541.09,938.85,694.56,217.35,524.26,982.78,685.46,208.11,530.65,942.29,646.73,212.52,506.18,965.64,669.91,130.2,373.54,932.73
Overall Stringbeans Production,0105500000,Pangasinan,1179.57,391.86,1008.59,2081.2,1145.33,388.55,991.85,1986.51,1141.5,373.19,804.0,2076.9,1198.05,358.43,860.0,1992.6,2250.0,340.51,800.83,1941.79,1529.85
Overall Stringbeans Production,0200900000,Batanes,4.46,4.46,0.1,0.58,2.26,4.98,0.11,4.98,1.57,5.98,0.25,5.16,1.12,3.75,1.4,1.15,1.85,3.85,2.36,4.08,2.77
Overall Stringbeans Production,0201500000,Cagayan,1248.22,1576.21,1476.86,105.63,1211.47,1395.29,1368.7,99.6,1134.83,1460.23,1156.5,102.0,985.0,1220.5,1259.78,98.23,915.2,1293.65,1208.14,189.34,950.1
Overall Stringbeans Production,0203100000,Isabela,2009.65,437.49,1689.98,199.87,2014.88,446.24,1692.33,189.42,2015.2,430.0,1681.5,220.0,1870.0,375.38,1693.1,208.4,1830.0,391.4,1536.24,205.94,1702.61
Overall Stringbeans Production,0205000000,Nueva Vizcaya,1390.27,72.2,2462.54,270.83,1356.26,73.66,2693.14,232.1,1868.97,79.17,2577.84,339.38,1612.62,76.42,2552.06,259.03,1644.35,77.8,2565.0,238.64,1708.65
Overall Stringbeans Production,0205700000,Quirino,163.72,46.49,241.65,9.75,172.62,52.17,267.44,9.57,151.24,54.3,254.55,22.31,120.55,48.5,295.83,24.5,135.9,57.07,275.19,34.83,121.45
Overall Stringbeans Production,0300800000,Bataan,77.93,44.84,40.56,60.61,84.18,49.4,49.57,48.48,100.97,43.98,38.17,52.86,112.21,46.07,35.04,69.88,115.95,41.98,49.17,58.52,134.08
Overall Stringbeans Production,0301400000,Bulacan,4769.49,4681.61,2590.53,2900.75,4994.61,4437.66,2647.08,2617.49,4801.32,4811.4,2676.1,2950.79,4018.7,3851.46,2605.38,2870.53,4604.47,4366.84,2413.45,2910.66,3819.39
Overall Stringbeans Production,0304900000,Nueva Ecija,1103.82,3282.73,3938.66,1993.04,1151.95,3381.21,3718.92,1949.93,1252.27,3427.13,3328.43,2070.31,1329.58,3618.01,3833.0,2259.54,1169.35,2846.98,3548.18,2085.39,1174.8
Overall Stringbeans Production,0305400000,Pampanga,662.13,599.87,228.99,222.06,748.12,674.35,250.6,212.66,791.87,706.37,243.81,230.08,810.8,741.58,239.31,195.88,783.6,762.86,233.96,207.23,806.97
Overall Stringbeans Production,0306900000,Tarlac,215.09,82.91,44.47,170.47,219.15,81.63,47.18,172.28,180.09,83.75,44.98,170.49,195.7,82.25,46.2,177.5,201.7,87.01,42.98,172.71,216.56
Overall Stringbeans Production,0307100000,Zambales,581.58,230.47,24.04,78.7,581.31,199.81,17.31,73.83,595.37,180.01,,72.11,504.17,160.09,14.83,46.0,28.07,92.0,19.75,32.61,64.75
Overall Stringbeans Production,0307700000,Aurora,342.72,443.1,216.15,73.27,267.17,302.05,231.48,60.0,176.54,599.04,206.23,52.13,125.87,485.16,215.02,31.82,148.32,38.59,183.99,33.6,126.49
Overall Stringbeans Production,0401000000,Batangas,25.44,28.52,1014.52,142.05,21.08,31.49,881.79,113.18,25.06,28.03,531.0,70.0,50.0,37.5,564.08,65.27,55.0,55.68,485.1,82.81,43.35
Overall Stringbeans Production,0402100000,Cavite,89.9,8.16,149.53,165.93,101.42,8.65,165.59,153.5,92.38,9.74,145.28,135.0,89.53,8.23,178.29,146.98,65.75,10.15,186.16,145.69,66.7
Overall Stringbeans Production,0403400000,Laguna,77.45,277.17,237.95,304.38,79.53,238.37,272.57,261.13,68.34,264.07,196.53,264.74,75.11,190.13,275.4,130.95,79.17,251.34,302.73,198.47,83.76
Overall Stringbeans Production,0405600000,Quezon,219.01,490.25,1319.89,586.7,208.85,557.18,1288.37,550.1,199.63,556.96,1269.05,545.0,201.0,516.66,1247.4,508.43,195.84,474.02,1171.93,474.98,191.66
Overall Stringbeans Production,0405800000,Rizal,312.48,35.45,13.35,78.75,328.35,50.37,13.28,73.11,305.17,47.86,88.76,93.0,255.0,60.03,82.49,89.93,260.0,87.98,85.63,86.86,240.0
Overall Stringbeans Production,0500500000,Albay,1061.14,1214.99,510.77,1299.19,1134.88,1349.91,498.8,1439.37,1490.47,1822.19,503.31,1252.64,1027.23,1690.2,383.77,868.84,913.85,1411.12,316.08,346.76,858.55
Overall Stringbeans Production,0501600000,Camarines Norte,62.54,249.3,127.16,34.72,64.45,135.57,155.65,24.6,36.61,112.96,48.03,42.24,33.69,99.56,81.72,25.08,25.8,88.27,139.03,24.99,7.56
Overall Stringbeans Production,0501700000,Camarines Sur,627.14,878.17,632.67,1180.81,727.9,842.08,583.32,767.86,629.49,747.26,495.0,993.73,158.26,640.12,371.3,136.62,167.55,269.02,146.48,98.76,121.1
Overall Stringbeans Production,0502000000,Catanduanes,9.14,33.93,29.96,10.37,10.19,34.26,23.91,10.16,9.39,34.13,28.04,9.81,10.53,39.33,14.53,8.9,11.4,139.71,19.22,9.62,5.03
Overall Stringbeans Production,0504100000,Masbate,5.83,2.4,862.59,22.82,6.26,2.49,849.39,23.88,6.42,2.77,834.77,27.28,7.6,2.59,840.12,33.0,7.85,2.98,741.96,17.72,8.5
Overall Stringbeans Production,0506200000,Sorsogon,123.16,213.55,289.07,273.21,77.92,170.84,262.59,209.56,50.38,163.56,18.42,250.21,43.56,114.49,49.33,125.1,19.99,56.94,29.52,108.87,37.48
Overall Stringbeans Production,0600400000,Aklan,64.96,60.12,231.52,180.25,85.72,62.11,267.25,133.58,78.0,63.61,231.22,115.57,115.67,68.8,243.33,121.62,121.73,70.0,189.69,75.66,83.5
Overall Stringbeans Production,0600600000,Antique,132.75,145.25,372.91,313.41,127.08,143.44,235.45,299.7,126.98,110.36,340.25,304.86,128.1,126.82,372.91,306.54,133.82,181.44,192.81,175.83,140.29
Overall Stringbeans Production,0601900000,Capiz,196.22,74.5,204.51,123.49,190.33,72.17,190.19,106.56,181.19,68.71,174.55,104.45,155.86,69.05,179.79,98.71,152.5,70.3,154.13,74.83,146.84
Overall Stringbeans Production,0603000000,Iloilo,409.98,328.79,1320.41,922.41,432.08,288.05,1478.86,735.0,426.81,255.0,1348.32,706.44,403.77,241.23,1275.51,668.29,382.5,250.0,412.17,808.43,514.88
Overall Stringbeans Production,0607900000,Guimaras,98.24,26.7,165.59,178.93,111.11,45.5,176.69,162.8,126.4,47.52,166.28,175.8,107.44,40.0,207.85,198.95,135.25,65.85,342.17,327.52,123.03
Overall Stringbeans Production,0701200000,Bohol,50.65,92.65,118.38,171.89,29.96,83.03,128.81,179.72,32.47,89.0,76.76,111.23,97.93,88.17,102.96,111.46,98.17,148.3,155.84,109.82,68.87
Overall Stringbeans Production,0702200000,Cebu,313.78,120.0,587.97,300.0,256.0,136.0,653.0,314.0,276.3,112.9,694.63,320.0,237.3,84.26,657.56,353.19,250.0,86.55,509.74,386.04,245.0
Overall Stringbeans Production,0802600000,Eastern Samar,0.1,1.91,6.18,2.3,0.11,2.45,7.15,2.37,0.12,3.62,44.53,50.25,1.6,5.25,53.44,20.24,2.25,6.56,53.78,53.58,2.0
Overall Stringbeans Production,0803700000,Leyte,127.14,401.13,515.5,94.54,122.1,365.44,470.05,92.23,121.0,437.81,470.0,92.24,121.65,407.19,465.0,93.8,121.67,408.2,450.0,89.5,132.36
Overall Stringbeans Production,0804800000,Northern Samar,19.75,49.0,39.0,30.75,20.5,51.0,41.0,33.0,25.94,53.0,41.5,32.5,26.5,54.0,43.0,32.0,26.25,52.0,52.72,30.1,27.0
Overall Stringbeans Production,0806000000,Samar (Western Samar),13.3,12.09,45.16,30.41,12.98,11.97,49.0,27.39,14.22,13.64,80.43,36.25,14.6,16.16,80.43,39.55,13.36,17.45,85.05,40.2,12.67
Overall Stringbeans Production,0806400000,Southern Leyte,9.92,25.87,27.85,14.7,4.32,20.12,29.6,15.2,5.44,23.9,32.0,17.6,13.33,24.71,33.36,23.42,12.97,18.59,21.17,35.3,8.07
Overall Stringbeans Production,0807800000,Biliran,30.0,35.0,40.0,35.0,26.02,31.6,37.69,41.0,30.61,44.77,41.46,41.41,27.82,33.58,25.03,37.62,25.29,36.65,21.19,33.11,23.52
Overall Stringbeans Production,0906600000,,23.5,88.0,110.3,28.0,23.42,89.0,110.5,27.0,23.0,90.0,111.0,28.0,23.2,89.0,110.0,27.0,23.5,90.76,90.76,27.58,24.18
Overall Stringbeans Production,0907200000,Zamboanga del Norte,84.96,106.95,719.31,139.71,81.37,100.17,739.65,170.58,70.06,103.42,105.78,176.03,65.14,81.07,108.59,162.11,85.87,94.88,110.84,169.57,73.69
Overall Stringbeans Production,0907300000,Zamboanga del Sur,41.12,32.52,65.11,120.23,43.1,34.84,70.14,134.27,159.28,705.2,419.77,561.87,163.3,635.2,398.68,595.7,136.22,35.82,35.43,36.39,35.3
Overall Stringbeans Production,0907400000,Zamboanga City,103.42,524.92,294.21,483.61,107.48,538.55,307.45,471.78,,,,,,,,,,269.5,2149.84,2179.79,290.14
Overall Stringbeans Production,0908300000,Zamboanga Sibugay,8.44,15.22,23.2,31.94,9.18,14.36,22.68,31.8,8.97,14.39,23.66,33.71,8.5,14.9,23.45,37.95,9.26,15.78,20.39,46.61,8.58
Overall Stringbeans Production,1001300000,Bukidnon,22.87,14.99,125.0,136.82,22.0,14.2,124.0,119.72,20.24,14.16,124.8,124.86,41.41,12.0,126.0,125.42,59.61,13.0,127.82,121.67,50.51
Overall Stringbeans Production,1001800000,Camiguin,4.61,3.06,8.57,23.21,3.93,2.61,19.14,20.41,3.74,4.04,15.5,20.0,4.89,4.43,18.68,24.27,5.5,7.65,9.03,10.27,6.19
Overall Stringbeans Production,1003500000,Lanao del Norte,68.0,55.0,98.0,202.0,64.0,57.0,100.0,205.0,65.0,55.0,100.52,207.0,64.0,53.0,101.0,209.0,64.5,52.5,103.0,211.0,64.67
