Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Stringbeans Production,0102800000,Ilocos Norte,2089.42,865.55,2140.7,862.13,2184.53,866.44,2151.25,865.14,1870.82,987.85,1553.18
Overall Stringbeans Production,0102900000,Ilocos Sur,1465.66,1141.36,1443.78,1185.09,1409.46,1134.71,1435.54,1244.92,1442.73,1219.17,822.88
Overall Stringbeans Production,0103300000,La Union,1578.25,741.63,1633.41,741.61,1668.24,738.76,1589.02,718.7,1635.55,503.74,932.73
Overall Stringbeans Production,0105500000,Pangasinan,1571.43,3089.79,1533.88,2978.36,1514.69,2880.9,1556.48,2852.6,2590.51,2742.62,1529.85
Overall Stringbeans Production,0200900000,Batanes,8.92,0.68,7.24,5.09,7.55,5.41,4.87,2.55,5.7,6.44,2.77
Overall Stringbeans Production,0201500000,Cagayan,2824.43,1582.49,2606.76,1468.3,2595.06,1258.5,2205.5,1358.01,2208.85,1397.48,950.1
Overall Stringbeans Production,0203100000,Isabela,2447.14,1889.85,2461.12,1881.75,2445.2,1901.5,2245.38,1901.5,2221.4,1742.18,1702.61
Overall Stringbeans Production,0205000000,Nueva Vizcaya,1462.47,2733.37,1429.92,2925.24,1948.14,2917.22,1689.04,2811.09,1722.15,2803.64,1708.65
Overall Stringbeans Production,0205700000,Quirino,210.21,251.4,224.79,277.01,205.54,276.86,169.05,320.33,192.97,310.02,121.45
Overall Stringbeans Production,0300800000,Bataan,122.77,101.17,133.58,98.05,144.95,91.03,158.28,104.92,157.93,107.69,134.08
Overall Stringbeans Production,0301400000,Bulacan,9451.1,5491.28,9432.27,5264.57,9612.72,5626.89,7870.16,5475.91,8971.31,5324.11,3819.39
Overall Stringbeans Production,0304900000,Nueva Ecija,4386.55,5931.7,4533.16,5668.85,4679.4,5398.74,4947.59,6092.54,4016.33,5633.57,1174.8
Overall Stringbeans Production,0305400000,Pampanga,1262.0,451.05,1422.47,463.26,1498.24,473.89,1552.38,435.19,1546.46,441.19,806.97
Overall Stringbeans Production,0306900000,Tarlac,298.0,214.94,300.78,219.46,263.84,215.47,277.95,223.7,288.71,215.69,216.56
Overall Stringbeans Production,0307100000,Zambales,812.05,102.74,781.12,91.14,775.38,72.11,664.26,60.83,120.07,52.36,64.75
Overall Stringbeans Production,0307700000,Aurora,785.82,289.42,569.22,291.48,775.58,258.36,611.03,246.84,186.91,217.59,126.49
