Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Sweet Potato Leaves Production,0102800000,Ilocos Norte,304.93,130.01,710.95,1025.2,313.84,135.62,730.01,1071.87,328.63,139.67,689.86,1033.82,307.75,140.14,664.49,1030.3,316.74,143.48,694.79,723.82,317.71
Overall Sweet Potato Leaves Production,0102900000,Ilocos Sur,314.72,133.2,282.31,176.35,361.43,135.86,299.04,178.92,337.0,146.2,273.81,177.34,331.63,138.42,285.63,178.13,352.51,142.31,290.88,185.65,350.75
Overall Sweet Potato Leaves Production,0103300000,La Union,152.14,199.49,154.58,222.2,147.76,201.51,155.51,209.69,136.89,185.06,143.75,209.72,130.34,178.12,151.79,217.9,129.47,182.91,158.1,169.87,120.99
Overall Sweet Potato Leaves Production,0105500000,Pangasinan,119.95,81.08,246.27,330.28,134.38,92.03,267.52,334.1,172.12,87.26,218.0,272.0,163.51,82.27,229.31,285.0,150.33,83.75,238.28,274.83,148.06
Overall Sweet Potato Leaves Production,0200900000,Batanes,1.2,2.1,0.26,0.15,0.95,2.72,0.4,0.2,1.15,2.85,0.35,0.3,1.25,2.5,0.55,0.15,3.13,2.85,0.31,0.22,4.79
Overall Sweet Potato Leaves Production,0201500000,Cagayan,377.15,216.0,187.1,251.85,416.82,212.87,184.05,243.9,397.17,219.91,172.0,223.5,387.15,202.15,170.31,50.09,395.15,225.5,197.91,94.26,396.16
Overall Sweet Potato Leaves Production,0203100000,Isabela,96.41,79.52,90.16,77.12,85.2,77.13,93.31,76.0,65.8,77.0,90.0,74.34,68.85,76.8,92.94,70.4,65.2,73.0,86.64,81.36,66.62
Overall Sweet Potato Leaves Production,0205000000,Nueva Vizcaya,37.23,35.2,63.24,66.12,39.0,37.0,62.36,57.23,46.17,47.48,62.8,58.0,42.59,42.24,62.81,32.46,44.38,44.86,62.65,49.23,46.25
Overall Sweet Potato Leaves Production,0205700000,Quirino,2.8,3.84,62.6,55.17,2.77,4.22,73.88,56.72,2.7,4.79,74.06,58.2,2.55,4.5,77.7,55.94,2.74,4.51,79.74,67.84,4.82
Overall Sweet Potato Leaves Production,0300800000,Bataan,13.68,13.57,44.31,22.39,11.73,14.35,43.59,19.1,16.11,20.22,42.76,18.73,13.95,26.02,63.18,15.32,19.07,30.54,71.95,15.49,12.43
