Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Sweet Potato Leaves Production,0102800000,Ilocos Norte,434.94,1736.15,449.46,1801.88,468.3,1723.68,447.89,1694.79,460.22,1418.61,317.71
Overall Sweet Potato Leaves Production,0102900000,Ilocos Sur,447.92,458.66,497.29,477.96,483.2,451.15,470.05,463.76,494.82,476.53,350.75
Overall Sweet Potato Leaves Production,0103300000,La Union,351.63,376.78,349.27,365.2,321.95,353.47,308.46,369.69,312.38,327.97,120.99
Overall Sweet Potato Leaves Production,0105500000,Pangasinan,201.03,576.55,226.41,601.62,259.38,490.0,245.78,514.31,234.08,513.11,148.06
Overall Sweet Potato Leaves Production,0200900000,Batanes,3.3,0.41,3.67,0.6,4.0,0.65,3.75,0.7,5.98,0.53,4.79
Overall Sweet Potato Leaves Production,0201500000,Cagayan,593.15,438.95,629.69,427.95,617.08,395.5,589.3,220.4,620.65,292.17,396.16
Overall Sweet Potato Leaves Production,0203100000,Isabela,175.93,167.28,162.33,169.31,142.8,164.34,145.65,163.34,138.2,168.0,66.62
Overall Sweet Potato Leaves Production,0205000000,Nueva Vizcaya,72.43,129.36,76.0,119.59,93.65,120.8,84.83,95.27,89.24,111.88,46.25
Overall Sweet Potato Leaves Production,0205700000,Quirino,6.64,117.77,6.99,130.6,7.49,132.26,7.05,133.64,7.25,147.58,4.82
Overall Sweet Potato Leaves Production,0300800000,Bataan,27.25,66.7,26.08,62.69,36.33,61.49,39.97,78.5,49.61,87.44,12.43
Overall Sweet Potato Leaves Production,0301400000,Bulacan,762.33,695.49,832.69,678.33,960.87,676.25,649.83,654.0,814.46,683.24,587.68
Overall Sweet Potato Leaves Production,0304900000,Nueva Ecija,13.16,52.99,14.73,56.0,16.56,46.45,16.0,50.33,17.3,54.31,0.74
Overall Sweet Potato Leaves Production,0305400000,Pampanga,66.0,41.75,71.49,45.26,68.8,45.15,69.12,50.83,69.07,49.29,21.31
Overall Sweet Potato Leaves Production,0306900000,Tarlac,10.16,22.35,12.09,25.22,10.56,24.21,10.52,24.78,11.38,26.42,3.18
Overall Sweet Potato Leaves Production,0307100000,Zambales,23.38,24.67,26.03,27.52,30.68,9.38,18.59,25.33,21.89,27.51,22.05
Overall Sweet Potato Leaves Production,0307700000,Aurora,123.71,102.25,161.2,136.35,164.26,85.74,117.29,101.54,413.69,30.8,21.17
Overall Sweet Potato Leaves Production,0401000000,Batangas,92.2,751.43,80.74,627.21,83.61,550.0,66.54,450.8,67.85,429.7,22.07
Overall Sweet Potato Leaves Production,0402100000,Cavite,862.81,34.75,855.42,31.82,935.97,34.85,842.91,22.95,861.09,28.9,201.89
Overall Sweet Potato Leaves Production,0403400000,Laguna,248.91,135.99,264.56,140.25,308.98,40.11,330.49,120.1,303.03,66.29,152.8
