Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Sweet Potato Production,0102800000,Ilocos Norte,1102.31,685.1,122.25,262.92,1082.21,676.2,117.13,255.22,1109.83,694.52,113.22,239.14,1118.11,689.27,118.13,238.07,1123.38,528.66,118.55,244.14,1111.37
Overall Sweet Potato Production,0102900000,Ilocos Sur,441.8,381.28,17.42,482.17,431.38,407.75,17.6,497.38,464.5,466.0,16.44,459.13,438.05,436.88,19.98,462.96,444.46,430.12,27.7,473.15,441.26
Overall Sweet Potato Production,0103300000,La Union,1393.88,2225.71,463.39,1373.52,1331.99,2100.62,445.6,1407.3,1217.97,1901.48,422.07,1353.37,1136.73,1801.66,388.01,1282.99,1048.98,1687.18,411.58,1495.12,1166.4
Overall Sweet Potato Production,0105500000,Pangasinan,4081.05,1555.0,456.98,467.94,4039.96,1453.35,444.46,465.93,3949.46,1487.56,255.61,460.1,3751.98,1521.8,265.0,483.0,4164.0,1475.0,229.65,469.68,3955.15
Overall Sweet Potato Production,0200900000,Batanes,331.05,231.05,67.98,45.31,357.39,235.81,76.42,73.81,298.68,365.82,73.4,64.55,312.4,372.5,63.54,53.38,305.54,397.5,58.38,50.61,321.01
Overall Sweet Potato Production,0201500000,Cagayan,728.63,1617.2,58.59,864.11,779.63,1631.47,69.85,845.15,801.26,1582.48,64.5,842.1,779.5,1442.5,67.18,823.04,812.3,1512.12,191.0,843.63,823.54
Overall Sweet Potato Production,0203100000,Isabela,268.62,32.74,19.53,7.73,272.06,37.4,20.38,6.0,262.5,37.2,22.16,5.5,220.33,35.07,25.76,4.47,196.81,38.5,27.37,5.32,208.6
Overall Sweet Potato Production,0205000000,Nueva Vizcaya,1359.68,1099.67,482.47,770.33,1396.4,1228.62,475.91,701.02,1783.02,1306.92,444.73,824.23,1907.17,1267.77,1720.0,1499.58,1945.0,1287.34,1503.67,1275.83,2154.77
Overall Sweet Potato Production,0205700000,Quirino,53.09,30.41,22.96,109.91,51.26,28.57,22.82,107.94,50.34,31.33,21.79,101.73,47.85,28.15,24.22,110.56,52.59,29.74,24.64,106.74,69.48
Overall Sweet Potato Production,0300800000,Bataan,25.29,2973.27,5.94,152.41,25.12,4389.11,7.78,123.72,34.51,,8.56,152.68,14.38,,10.44,193.86,18.69,16.46,18.37,145.81,15.58
Overall Sweet Potato Production,0301400000,Bulacan,347.42,60.96,63.14,263.47,208.45,60.0,63.08,285.82,100.0,60.63,78.5,279.19,91.22,61.63,64.64,261.01,103.0,82.32,56.74,275.34,64.33
Overall Sweet Potato Production,0304900000,Nueva Ecija,218.2,803.68,82.19,512.04,202.67,706.11,81.05,458.65,173.74,747.16,78.56,433.41,142.53,598.46,84.79,410.65,160.76,558.77,92.37,325.33,137.66
Overall Sweet Potato Production,0305400000,Pampanga,1525.95,457.0,1091.79,42.17,1609.27,531.89,997.74,46.27,1704.07,475.63,996.71,48.5,1748.18,486.6,1020.0,51.47,1613.1,497.84,1022.28,52.1,1584.91
Overall Sweet Potato Production,0306900000,Tarlac,5656.57,21933.0,293.21,7915.89,6411.38,24854.34,290.59,7198.4,5741.58,22055.49,307.67,7672.32,4133.32,22948.0,302.5,7085.45,4427.5,23134.0,315.16,7351.38,4099.47
Overall Sweet Potato Production,0307100000,Zambales,1111.1,1247.26,,309.63,1131.98,795.37,,311.27,1091.57,765.34,,301.52,1740.2,1893.8,218.35,399.71,1825.76,1296.17,290.83,72.85,658.17
Overall Sweet Potato Production,0307700000,Aurora,209.43,1200.0,811.88,812.22,119.17,774.56,1028.88,580.0,194.13,840.0,821.1,637.81,218.88,1028.84,808.4,644.98,0.66,2187.67,603.68,242.89,0.46
Overall Sweet Potato Production,0401000000,Batangas,104.65,1.2,115.88,3.65,93.63,1.0,105.98,5.96,85.95,0.95,115.0,6.0,90.0,6.0,150.0,8.2,110.5,15.0,158.6,6.72,94.18
Overall Sweet Potato Production,0402100000,Cavite,336.01,162.5,184.88,293.01,370.71,184.58,203.27,272.49,350.36,140.0,159.65,145.95,332.9,108.62,132.98,152.19,348.45,143.7,132.68,165.4,346.95
Overall Sweet Potato Production,0403400000,Laguna,288.64,239.12,472.84,436.46,298.8,216.13,411.4,348.08,230.7,198.49,141.46,250.83,272.31,216.33,501.0,397.93,330.62,210.32,448.71,250.43,263.41
