Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Sweet Potato Production,0102800000,Ilocos Norte,1787.41,385.17,1758.41,372.35,1804.35,352.36,1807.38,356.2,1652.04,362.69,1111.37
Overall Sweet Potato Production,0102900000,Ilocos Sur,823.08,499.59,839.13,514.98,930.5,475.57,874.93,482.94,874.58,500.85,441.26
Overall Sweet Potato Production,0103300000,La Union,3619.59,1836.91,3432.61,1852.9,3119.45,1775.44,2938.39,1671.0,2736.16,1906.7,1166.4
Overall Sweet Potato Production,0105500000,Pangasinan,5636.05,924.92,5493.31,910.39,5437.02,715.71,5273.78,748.0,5639.0,699.33,3955.15
Overall Sweet Potato Production,0200900000,Batanes,562.1,113.29,593.2,150.23,664.5,137.95,684.9,116.92,703.04,108.99,321.01
Overall Sweet Potato Production,0201500000,Cagayan,2345.83,922.7,2411.1,915.0,2383.74,906.6,2222.0,890.22,2324.42,1034.63,823.54
Overall Sweet Potato Production,0203100000,Isabela,301.36,27.26,309.46,26.38,299.7,27.66,255.4,30.23,235.31,32.69,208.6
Overall Sweet Potato Production,0205000000,Nueva Vizcaya,2459.35,1252.8,2625.02,1176.93,3089.94,1268.96,3174.94,3219.58,3232.34,2779.5,2154.77
Overall Sweet Potato Production,0205700000,Quirino,83.5,132.87,79.83,130.76,81.67,123.52,76.0,134.78,82.33,131.38,69.48
Overall Sweet Potato Production,0300800000,Bataan,2998.56,158.35,4414.23,131.5,34.51,161.24,14.38,204.3,35.15,164.18,15.58
Overall Sweet Potato Production,0301400000,Bulacan,408.38,326.61,268.45,348.9,160.63,357.69,152.85,325.65,185.32,332.08,64.33
Overall Sweet Potato Production,0304900000,Nueva Ecija,1021.88,594.23,908.78,539.7,920.9,511.97,740.99,495.44,719.53,417.7,137.66
Overall Sweet Potato Production,0305400000,Pampanga,1982.95,1133.96,2141.16,1044.01,2179.7,1045.21,2234.78,1071.47,2110.94,1074.38,1584.91
Overall Sweet Potato Production,0306900000,Tarlac,27589.57,8209.1,31265.72,7488.99,27797.07,7979.99,27081.32,7387.95,27561.5,7666.54,4099.47
Overall Sweet Potato Production,0307100000,Zambales,2358.36,309.63,1927.35,311.27,1856.91,301.52,3634.0,618.06,3121.93,363.68,658.17
Overall Sweet Potato Production,0307700000,Aurora,1409.43,1624.1,893.73,1608.88,1034.13,1458.91,1247.72,1453.38,2188.33,846.57,0.46
Overall Sweet Potato Production,0401000000,Batangas,105.85,119.53,94.63,111.94,86.9,121.0,96.0,158.2,125.5,165.32,94.18
Overall Sweet Potato Production,0402100000,Cavite,498.51,477.89,555.29,475.76,490.36,305.6,441.52,285.17,492.15,298.08,346.95
Overall Sweet Potato Production,0403400000,Laguna,527.76,909.3,514.93,759.48,429.19,392.29,488.64,898.93,540.94,699.14,263.41
Overall Sweet Potato Production,0405600000,Quezon,12147.55,14006.8,12165.32,13698.02,11824.53,13678.0,11233.03,12341.01,11029.86,11795.36,7163.95
Overall Sweet Potato Production,0405800000,Rizal,785.97,164.04,768.33,178.5,793.52,168.83,762.0,149.45,782.5,136.59,519.74
Overall Sweet Potato Production,0500500000,Albay,39035.91,11009.45,40851.2,10147.54,32871.59,9047.27,26682.83,6957.19,15171.22,3927.0,250.8
Overall Sweet Potato Production,0501600000,Camarines Norte,368.03,472.53,403.52,441.18,422.63,28.91,403.18,12.64,224.2,15.53,4.55
Overall Sweet Potato Production,0501700000,Camarines Sur,28231.29,3768.29,26284.45,4345.95,21830.54,3713.0,15204.16,982.22,9470.29,710.27,1190.09
Overall Sweet Potato Production,0502000000,Catanduanes,1080.77,3783.26,1223.2,3819.74,997.08,3866.33,1143.04,3767.6,568.72,3504.44,337.19
Overall Sweet Potato Production,0504100000,Masbate,1574.81,441.45,1773.62,426.09,1870.1,414.27,2375.46,407.15,2308.6,344.22,1487.68
Overall Sweet Potato Production,0506200000,Sorsogon,1528.12,2042.44,1321.64,1958.94,956.59,2081.59,691.42,1449.36,414.95,1150.71,114.39
Overall Sweet Potato Production,0600400000,Aklan,1071.88,1634.33,1252.04,2096.44,1233.21,1738.85,1185.7,1823.2,1241.62,1892.37,310.35
Overall Sweet Potato Production,0600600000,Antique,1156.91,3423.21,1162.9,3444.32,1172.15,3318.19,409.7,3238.75,410.27,2870.17,377.22
Overall Sweet Potato Production,0601900000,Capiz,1903.5,1951.67,1915.98,1928.31,1890.0,1908.0,1828.2,1896.0,1892.31,1979.8,322.62
Overall Sweet Potato Production,0603000000,Iloilo,11479.0,3995.21,12248.34,3830.38,11063.2,3977.68,9500.0,3846.76,8729.5,4651.21,6823.51
Overall Sweet Potato Production,0607900000,Guimaras,1650.52,676.48,1766.67,612.82,1491.9,545.73,1575.6,640.95,1663.5,756.31,1702.51
Overall Sweet Potato Production,0701200000,Bohol,1277.94,3344.13,881.47,3086.75,1044.91,2632.22,561.42,1962.02,568.62,1573.86,280.45
Overall Sweet Potato Production,0702200000,Cebu,3958.6,9401.06,3962.0,9765.0,3871.05,9791.55,3693.58,9549.95,3979.02,9589.12,2375.67
Overall Sweet Potato Production,0802600000,Eastern Samar,2251.04,1539.27,3359.02,1828.62,3264.33,3678.36,5890.0,14741.87,6099.8,6469.77,1134.0
Overall Sweet Potato Production,0803700000,Leyte,11592.02,30570.18,11341.36,32088.05,13092.0,32384.36,12968.13,31175.25,12765.35,31320.0,5763.0
Overall Sweet Potato Production,0804800000,Northern Samar,10902.0,17847.0,11498.08,19405.0,11802.03,18647.33,11630.0,18635.0,11617.0,17496.44,2886.0
Overall Sweet Potato Production,0806000000,Samar (Western Samar),3808.36,6245.72,4335.36,6926.73,4038.72,6800.2,3844.74,8078.21,3833.34,7175.02,3245.9
Overall Sweet Potato Production,0806400000,Southern Leyte,6890.55,6964.0,6235.35,6519.0,6680.0,6558.0,6847.0,5827.0,6256.2,3952.18,956.22
Overall Sweet Potato Production,0807800000,Biliran,960.0,1160.0,1040.3,1212.16,850.38,1173.1,488.14,977.66,500.7,1060.99,339.6
Overall Sweet Potato Production,0906600000,,132.0,332.0,132.0,331.0,135.0,336.0,134.2,342.0,135.41,353.85,63.15
Overall Sweet Potato Production,0907200000,Zamboanga del Norte,360.61,1049.48,327.5,1001.53,333.2,559.39,280.62,265.79,313.77,292.34,186.4
Overall Sweet Potato Production,0907300000,Zamboanga del Sur,1787.23,15044.83,1913.99,17443.4,3138.86,21712.47,2652.98,22730.09,1903.64,2662.39,687.95
Overall Sweet Potato Production,0907400000,Zamboanga City,938.05,2507.71,945.77,2495.68,,,,,313.6,728.97,369.55
Overall Sweet Potato Production,0908300000,Zamboanga Sibugay,466.07,5108.03,463.78,5126.04,455.5,5384.17,425.59,5451.03,438.66,5196.84,220.76
Overall Sweet Potato Production,1001300000,Bukidnon,3433.26,13209.97,3687.59,12575.48,3900.01,13022.02,4017.12,12982.0,3911.7,12764.0,3279.26
Overall Sweet Potato Production,1001800000,Camiguin,305.42,271.0,290.81,430.32,277.63,294.19,267.84,284.77,420.87,295.27,119.12
Overall Sweet Potato Production,1003500000,Lanao del Norte,8390.0,7925.0,8403.0,7980.0,8422.0,8006.0,8407.0,7999.0,8400.0,8102.0,5911.67
Overall Sweet Potato Production,1004200000,Misamis Occidental,2321.0,664.45,2416.49,729.4,2259.09,767.0,2066.36,799.58,2119.23,821.35,321.06
Overall Sweet Potato Production,1004300000,Misamis Oriental,886.51,3082.75,1024.05,3270.19,1227.89,3316.31,1172.67,2639.15,1137.6,2745.29,1031.45
Overall Sweet Potato Production,1102300000,Davao del Norte,1669.82,1575.01,1655.46,1622.52,1692.39,1593.77,1678.25,1588.2,1672.06,1578.0,873.32
Overall Sweet Potato Production,1102400000,Davao del Sur,1021.29,684.22,948.64,686.83,1752.78,1613.15,1757.19,1623.92,1432.77,1130.38,426.45
Overall Sweet Potato Production,1102500000,Davao Oriental,432.49,2275.89,429.31,2083.86,402.23,1975.18,352.14,1909.24,343.27,1959.45,158.74
Overall Sweet Potato Production,1108200000,Davao de Oro (Compostela Valley),2803.42,4529.17,2703.06,4588.5,2659.58,4557.99,2404.18,4401.49,2314.76,4423.78,1042.54
Overall Sweet Potato Production,1108600000,Davao Occidental,886.9,631.2,904.68,675.71,885.55,646.08,865.75,641.76,877.8,647.47,247.93
Overall Sweet Potato Production,1130700000,Davao City,768.01,1028.0,780.83,1036.77,,,,,315.74,619.91,165.96
Overall Sweet Potato Production,1204700000,Cotabato (North Cotabato),2945.49,1355.68,2784.15,946.06,2268.94,682.41,1325.0,707.21,1048.32,755.8,431.63
Overall Sweet Potato Production,1206300000,South Cotabato,195.97,322.5,194.8,251.85,165.26,234.73,220.87,199.23,192.71,214.06,271.84
Overall Sweet Potato Production,1206500000,Sultan Kudarat,451.83,271.26,420.27,272.88,426.38,299.58,390.0,243.77,412.22,230.04,302.16
Overall Sweet Potato Production,1208000000,Sarangani,100.0,440.0,101.28,447.0,117.22,325.0,154.0,420.0,162.0,435.0,29.67
Overall Sweet Potato Production,1400100000,Abra,389.34,297.78,390.13,301.39,379.91,184.51,282.37,197.0,318.0,228.8,181.85
Overall Sweet Potato Production,1401100000,Benguet,1634.62,2621.78,1489.78,2616.42,1634.98,2462.56,1545.0,1795.0,1837.36,1240.44,649.86
Overall Sweet Potato Production,1402700000,Ifugao,297.84,758.01,194.74,477.59,144.56,229.6,80.3,19.1,91.34,51.78,62.44
Overall Sweet Potato Production,1403200000,Kalinga,39.78,128.55,45.71,140.95,46.33,131.69,44.28,131.47,45.51,132.08,13.24
Overall Sweet Potato Production,1404400000,Mountain Province,291.74,665.18,310.46,674.8,333.47,606.39,304.81,575.34,314.07,566.91,269.26
Overall Sweet Potato Production,1408100000,Apayao,132.55,57.0,142.0,56.72,142.99,56.91,135.43,54.58,106.8,44.09,48.98
Overall Sweet Potato Production,1600200000,Agusan del Norte,4141.09,4497.19,3516.41,4750.52,3982.18,4589.24,3847.21,4359.64,3935.0,4700.0,1135.42
Overall Sweet Potato Production,1600300000,Agusan del Sur,5561.49,17516.02,4980.48,18129.66,4370.63,15828.5,4864.0,16818.0,5330.0,17592.59,3795.58
Overall Sweet Potato Production,1606700000,Surigao del Norte,738.3,589.76,402.45,609.4,341.79,490.0,181.79,391.14,300.91,168.39,65.31
Overall Sweet Potato Production,1606800000,Surigao del Sur,3150.72,6445.43,4250.56,7021.46,5218.52,2156.42,5232.0,3139.2,5120.0,3691.09,909.94
Overall Sweet Potato Production,1608500000,Dinagat Islands,186.36,233.23,153.8,243.04,225.54,109.87,194.95,81.9,215.71,95.74,43.94
Overall Sweet Potato Production,1630400000,Butuan City,,,,,,,,,,,584.91
Overall Sweet Potato Production,1704000000,Marinduque,553.96,550.39,402.3,531.79,383.93,187.19,307.4,134.63,301.79,114.79,97.56
Overall Sweet Potato Production,1705100000,Occidental Mindoro,2554.85,6214.1,2258.84,7716.02,2602.6,6535.82,1464.31,3362.35,1604.69,3657.71,27.1
Overall Sweet Potato Production,1705200000,Oriental Mindoro,1677.22,1643.59,1944.77,2797.6,1613.31,2790.5,1597.18,2119.72,1653.0,1961.65,31.79
Overall Sweet Potato Production,1705300000,Palawan,2800.5,1391.57,2370.62,1329.72,2203.77,600.0,2032.86,585.81,1935.55,698.74,1107.04
Overall Sweet Potato Production,1705900000,Romblon,672.73,718.54,646.79,823.89,780.82,456.12,596.11,444.67,630.08,371.38,485.56
Overall Sweet Potato Production,1731500000,Puerto Princesa City,,,,,,,,,,,3.04
Overall Sweet Potato Production,1804500000,Negros Occidental,10332.0,8290.0,10386.41,8350.0,10136.49,8312.44,9997.02,8365.5,9945.0,8342.64,2233.1
Overall Sweet Potato Production,1804600000,Negros Oriental,5710.89,8365.01,5825.26,8040.57,4829.62,7414.37,4018.8,6007.37,1530.54,5586.52,900.85
Overall Sweet Potato Production,1806100000,Siquijor,277.41,144.2,281.37,146.02,278.79,155.43,250.36,147.84,259.47,149.93,200.79
Overall Sweet Potato Production,1830200000,Bacolod City,,,,,,,,,,,
Overall Sweet Potato Production,1900700000,Basilan,259.95,699.44,269.96,716.51,262.5,709.34,153.89,731.49,190.38,554.64,27.03
Overall Sweet Potato Production,1903600000,Lanao del Sur,801.4,2884.6,800.45,2884.5,800.9,884.0,805.1,893.0,766.89,926.09,569.0
Overall Sweet Potato Production,1907000000,Tawi-Tawi,109.8,186.16,112.12,180.2,101.0,176.4,91.8,160.0,75.0,117.0,29.87
