Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Tomato Production,0102800000,Ilocos Norte,7342.05,19065.0,6.24,496.92,6710.56,16803.32,6.04,487.67,6490.86,16435.66,5.83,497.33,6247.82,14982.25,6.46,491.13,6107.45,6296.52,216.66,516.59,6579.75
Overall Tomato Production,0102900000,Ilocos Sur,20136.11,6060.56,3.86,247.66,12821.83,3946.04,5.31,267.98,14793.52,3967.03,4.77,286.51,13807.68,3946.03,8.93,293.5,14880.11,3882.92,5.71,300.49,15038.25
Overall Tomato Production,0103300000,La Union,1147.63,658.57,4.98,557.01,1098.15,635.26,5.46,576.47,1175.24,610.93,4.99,588.54,1139.4,598.83,5.3,536.57,1423.8,655.64,6.3,380.48,1362.94
Overall Tomato Production,0105500000,Pangasinan,15057.23,3090.75,314.56,937.9,15204.34,3023.12,302.42,911.64,15084.53,2760.48,211.18,636.6,14906.1,2519.88,204.28,578.0,15845.1,2372.0,239.29,510.43,15219.46
Overall Tomato Production,0200900000,Batanes,5.18,5.18,,,3.28,7.57,,,3.69,9.24,0.56,,7.21,7.8,0.65,,5.34,9.45,0.75,0.43,6.12
Overall Tomato Production,0201500000,Cagayan,672.48,100.5,2.3,0.09,481.18,88.53,1.95,0.07,436.23,92.52,5.0,4.5,422.3,84.8,2.73,3.39,435.2,88.5,3.0,4.2,443.73
Overall Tomato Production,0203100000,Isabela,756.87,240.78,7.63,1.57,602.92,187.81,5.57,1.2,540.9,180.25,12.5,5.6,418.0,136.64,18.47,4.13,392.75,141.77,16.35,3.38,542.29
Overall Tomato Production,0205000000,Nueva Vizcaya,864.05,7033.45,945.22,574.3,822.97,6971.13,988.68,553.8,910.05,6960.46,966.95,701.71,3331.43,4265.0,1539.24,486.11,6824.51,5612.73,1345.75,498.24,7455.78
Overall Tomato Production,0205700000,Quirino,13.2,60.31,6.05,0.45,14.95,58.75,6.47,0.48,14.0,63.57,6.26,0.66,16.8,58.5,18.68,0.57,19.15,61.04,19.54,0.52,60.41
Overall Tomato Production,0300800000,Bataan,29.07,395.2,,13.54,37.64,403.44,,11.39,36.82,323.1,,14.46,153.98,226.47,6.97,17.35,223.67,166.39,9.03,27.81,388.23
Overall Tomato Production,0301400000,Bulacan,3093.34,850.71,93.3,467.43,3569.25,786.08,93.17,431.03,3282.97,899.11,132.9,443.34,2945.75,729.68,129.8,435.32,3265.9,804.96,128.25,444.39,3165.86
Overall Tomato Production,0304900000,Nueva Ecija,14121.08,3920.36,83.84,225.93,15373.34,4218.23,82.44,217.25,16722.97,4132.81,66.41,251.27,18076.41,3854.82,73.33,231.06,19530.03,2688.26,82.8,246.15,21148.05
Overall Tomato Production,0305400000,Pampanga,2329.0,1282.83,,161.3,2552.4,1310.32,,150.84,2699.34,1359.31,2.64,160.77,2769.96,1243.49,6.0,138.43,2328.65,1335.76,5.73,143.61,2494.45
Overall Tomato Production,0306900000,Tarlac,1859.61,1777.14,17.14,717.03,1930.77,2203.97,17.39,552.07,1694.19,2008.94,17.14,638.68,1714.08,2019.75,16.75,615.2,1761.75,2057.95,16.37,538.3,1893.24
Overall Tomato Production,0307100000,Zambales,551.96,54.92,,14.75,599.87,44.05,,13.15,550.59,39.61,3.98,12.88,459.82,34.76,1.02,13.28,376.23,20.25,2.35,11.65,191.08
Overall Tomato Production,0307700000,Aurora,30.0,23.8,,3.96,31.65,38.0,,2.5,17.07,29.69,,2.07,15.29,19.79,,0.6,2.46,0.7,4.89,0.65,2.03
Overall Tomato Production,0401000000,Batangas,1915.52,369.15,25.66,100.2,1877.86,345.58,23.75,94.37,2118.49,155.48,36.0,183.1,1800.0,187.0,55.1,153.65,1650.1,170.3,50.0,143.71,1135.21
Overall Tomato Production,0402100000,Cavite,141.39,7.55,27.48,28.47,172.44,7.47,22.73,29.75,148.35,7.08,20.39,34.54,206.36,16.01,43.02,48.3,205.14,205.14,42.88,45.3,210.65
Overall Tomato Production,0403400000,Laguna,221.84,5490.3,149.69,194.77,194.72,5158.68,192.29,202.07,212.63,4638.28,1680.87,258.83,210.77,4406.37,1888.73,255.28,242.39,5161.61,797.77,275.3,261.08
Overall Tomato Production,0405600000,Quezon,4904.15,615.11,223.68,27.83,4985.02,615.93,214.23,26.11,5050.35,597.1,209.95,27.0,5545.5,560.3,334.32,24.23,5505.37,628.93,306.71,28.27,5367.07
