Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Tomato Production,0102800000,Ilocos Norte,26407.05,503.16,23513.88,493.71,22926.52,503.16,21230.07,497.59,12403.97,733.25
Overall Tomato Production,0102900000,Ilocos Sur,26196.67,251.52,16767.87,273.29,18760.55,291.28,17753.71,302.43,18763.03,306.2
Overall Tomato Production,0103300000,La Union,1806.2,561.99,1733.41,581.93,1786.17,593.53,1738.23,541.87,2079.44,386.78
Overall Tomato Production,0105500000,Pangasinan,18147.98,1252.46,18227.46,1214.06,17845.01,847.78,17425.98,782.28,18217.1,749.72
Overall Tomato Production,0200900000,Batanes,10.36,,10.85,,12.93,0.56,15.01,0.65,14.79,1.18
Overall Tomato Production,0201500000,Cagayan,772.98,2.39,569.71,2.02,528.75,9.5,507.1,6.12,523.7,7.2
Overall Tomato Production,0203100000,Isabela,997.65,9.2,790.73,6.77,721.15,18.1,554.64,22.6,534.52,19.73
Overall Tomato Production,0205000000,Nueva Vizcaya,7897.5,1519.52,7794.1,1542.48,7870.51,1668.66,7596.43,2025.35,12437.24,1843.99
Overall Tomato Production,0205700000,Quirino,73.51,6.5,73.7,6.95,77.57,6.92,75.3,19.25,80.19,20.06
Overall Tomato Production,0300800000,Bataan,424.27,13.54,441.08,11.39,359.92,14.46,380.45,24.32,390.06,36.84
Overall Tomato Production,0301400000,Bulacan,3944.05,560.73,4355.33,524.2,4182.08,576.24,3675.43,565.12,4070.86,572.64
Overall Tomato Production,0304900000,Nueva Ecija,18041.44,309.77,19591.57,299.69,20855.78,317.68,21931.23,304.39,22218.29,328.95
Overall Tomato Production,0305400000,Pampanga,3611.83,161.3,3862.72,150.84,4058.65,163.41,4013.45,144.43,3664.41,149.34
Overall Tomato Production,0306900000,Tarlac,3636.75,734.17,4134.74,569.46,3703.13,655.82,3733.83,631.95,3819.7,554.67
Overall Tomato Production,0307100000,Zambales,606.88,14.75,643.92,13.15,590.2,16.86,494.58,14.3,396.48,14.0
Overall Tomato Production,0307700000,Aurora,53.8,3.96,69.65,2.5,46.76,2.07,35.08,0.6,3.16,5.54
Overall Tomato Production,0401000000,Batangas,2284.67,125.86,2223.44,118.12,2273.97,219.1,1987.0,208.75,1820.4,193.71
Overall Tomato Production,0402100000,Cavite,148.94,55.95,179.91,52.48,155.43,54.93,222.37,91.32,410.28,88.18
Overall Tomato Production,0403400000,Laguna,5712.14,344.46,5353.4,394.36,4850.91,1939.7,4617.14,2144.01,5404.0,1073.07
Overall Tomato Production,0405600000,Quezon,5519.26,251.51,5600.95,240.34,5647.45,236.95,6105.8,358.55,6134.3,334.98
Overall Tomato Production,0405800000,Rizal,152.34,,193.16,,225.77,1.89,210.0,1.86,216.58,34.79
Overall Tomato Production,0500500000,Albay,974.63,67.93,980.18,67.73,1024.76,58.23,1012.31,37.18,779.71,36.31
Overall Tomato Production,0501600000,Camarines Norte,12.37,5.71,4.04,5.33,7.34,3.77,6.68,0.63,5.18,0.25
Overall Tomato Production,0501700000,Camarines Sur,2750.98,15.99,2556.57,14.45,2452.65,13.7,1568.12,11.3,362.77,17.62
Overall Tomato Production,0502000000,Catanduanes,2.55,1.35,2.51,1.96,2.38,1.89,4.33,1.11,4.44,1.09
Overall Tomato Production,0504100000,Masbate,36.35,51.8,37.46,51.32,34.81,48.37,19.54,40.99,26.57,28.64
Overall Tomato Production,0506200000,Sorsogon,17.04,1.65,12.13,1.35,11.28,12.1,8.92,11.95,7.21,4.26
Overall Tomato Production,0600400000,Aklan,100.27,25.28,92.24,23.99,89.12,27.9,95.83,25.71,93.79,25.54
Overall Tomato Production,0600600000,Antique,432.13,71.27,428.04,66.89,426.2,67.23,443.99,68.57,448.47,77.36
Overall Tomato Production,0601900000,Capiz,136.0,100.75,135.0,88.48,138.91,72.0,147.0,78.12,143.43,71.94
Overall Tomato Production,0603000000,Iloilo,9853.58,1048.73,9724.92,946.44,10693.69,1110.52,9863.35,1120.5,10035.0,2397.3
Overall Tomato Production,0607900000,Guimaras,21.79,4.9,26.84,7.8,32.9,7.87,34.49,9.65,39.66,10.4
Overall Tomato Production,0701200000,Bohol,641.36,632.14,557.08,564.77,616.84,394.24,488.67,509.32,454.24,485.78
Overall Tomato Production,0702200000,Cebu,1514.8,558.01,1541.0,523.0,1671.67,589.31,1571.7,537.51,1529.78,541.74
