Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Ube Production,0102800000,Ilocos Norte,26.29,,10.42,35.92,26.44,,10.72,36.67,28.81,,10.14,37.79,27.31,0.12,10.36,39.81,,0.11,10.25,44.41,21.77
Overall Ube Production,0102900000,Ilocos Sur,,45.65,,60.0,,43.0,,61.0,,33.85,4.86,61.32,18.62,38.43,5.34,62.24,18.8,42.23,5.1,61.78,22.68
Overall Ube Production,0103300000,La Union,105.91,,,177.64,96.82,,,187.33,103.09,,,189.6,105.33,0.78,0.55,178.53,96.57,0.95,,213.45,101.66
Overall Ube Production,0105500000,Pangasinan,,,,,,,,,,,,3.18,,,,3.27,,,,3.36,
Overall Ube Production,0200900000,Batanes,,,145.0,40.46,,,150.44,42.5,,,88.15,105.25,5.0,,47.91,71.59,4.25,,18.3,92.35,4.63
Overall Ube Production,0201500000,Cagayan,342.88,,,620.07,374.82,,,625.36,413.46,,,628.25,382.0,17.33,,613.28,363.15,25.87,0.61,620.27,386.2
Overall Ube Production,0203100000,Isabela,31.91,7.12,28.18,30.13,28.26,6.15,25.83,25.91,24.6,6.0,25.83,24.0,20.0,4.85,24.28,22.44,19.82,5.15,,,18.67
Overall Ube Production,0205000000,Nueva Vizcaya,40.52,132.99,,16.88,42.32,129.63,,16.94,59.95,176.3,,14.5,51.14,152.97,6.05,8.25,55.55,164.64,7.2,7.73,57.03
Overall Ube Production,0205700000,Quirino,6.3,34.02,21.01,64.87,7.1,35.01,25.07,65.47,8.0,35.34,23.04,68.55,6.2,35.17,26.74,67.01,6.5,35.62,24.89,66.35,62.5
Overall Ube Production,0300800000,Bataan,,,24.65,28.9,,,24.5,22.22,,,23.77,21.53,,,24.17,24.96,,,26.57,26.73,
Overall Ube Production,0301400000,Bulacan,8.61,1.33,4.73,247.32,9.5,1.58,4.99,293.69,8.11,1.5,5.49,256.34,6.5,1.25,5.1,9.12,7.03,,5.19,,
Overall Ube Production,0304900000,Nueva Ecija,,,6.33,3.65,,,6.14,3.95,,,5.88,3.62,,,,,,,,,
Overall Ube Production,0305400000,Pampanga,1.28,3.1,4.28,1.56,1.3,3.12,4.26,1.54,1.29,3.09,4.2,1.55,1.3,3.1,4.24,1.6,1.29,3.11,4.23,1.64,1.31
Overall Ube Production,0306900000,Tarlac,,,,5.53,,,,7.07,,,14.78,5.81,,,,6.25,,0.39,,6.33,
Overall Ube Production,0307100000,Zambales,35.81,10.29,,42.28,34.64,9.66,,42.82,35.37,10.07,,,28.99,8.96,,,1.22,7.17,,21.03,12.19
Overall Ube Production,0307700000,Aurora,21.48,8.0,8.86,42.12,12.24,6.0,5.91,33.85,19.63,4.7,5.52,27.95,20.53,3.86,6.45,25.15,,,59.58,110.06,16.16
Overall Ube Production,0401000000,Batangas,285.0,1.2,,31.33,284.87,1.07,,27.62,244.81,0.75,9.51,41.97,188.0,10.0,7.57,32.1,154.35,7.9,7.0,33.91,74.59
Overall Ube Production,0402100000,Cavite,19.41,17.95,7.06,227.11,20.26,18.04,5.98,250.63,22.83,22.08,,190.35,26.83,57.89,31.25,83.21,27.68,56.9,25.8,85.2,23.5
Overall Ube Production,0403400000,Laguna,47.85,68.24,,30.66,48.42,81.89,,33.87,65.13,83.35,,37.52,68.5,86.0,,50.26,89.92,88.56,,113.0,110.42
Overall Ube Production,0405600000,Quezon,65.27,,,796.32,63.8,,,755.95,66.22,,,758.0,99.84,,0.01,741.85,92.09,0.2,0.35,756.25,86.05
Overall Ube Production,0405800000,Rizal,,,,,,,,,,,20.28,,12.0,,19.08,,12.5,,19.68,37.03,9.87
Overall Ube Production,0500500000,Albay,76.2,88.21,34.02,48.38,59.76,60.95,27.79,51.31,52.63,70.09,0.26,45.36,41.25,62.5,0.05,25.5,0.29,42.5,,11.87,
Overall Ube Production,0501600000,Camarines Norte,,,,,,,,,,,,5.64,,,,,,,,,
