Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Ube Production,0102800000,Ilocos Norte,26.29,46.34,26.44,47.39,28.81,47.93,27.43,50.17,0.11,54.66,21.77
Overall Ube Production,0102900000,Ilocos Sur,45.65,60.0,43.0,61.0,33.85,66.18,57.05,67.58,61.03,66.88,22.68
Overall Ube Production,0103300000,La Union,105.91,177.64,96.82,187.33,103.09,189.6,106.11,179.08,97.52,213.45,101.66
Overall Ube Production,0105500000,Pangasinan,,,,,,3.18,,3.27,,3.36,
Overall Ube Production,0200900000,Batanes,,185.46,,192.94,,193.4,5.0,119.5,4.25,110.65,4.63
Overall Ube Production,0201500000,Cagayan,342.88,620.07,374.82,625.36,413.46,628.25,399.33,613.28,389.02,620.88,386.2
Overall Ube Production,0203100000,Isabela,39.03,58.31,34.41,51.74,30.6,49.83,24.85,46.72,24.97,,18.67
Overall Ube Production,0205000000,Nueva Vizcaya,173.51,16.88,171.95,16.94,236.25,14.5,204.11,14.3,220.19,14.93,57.03
Overall Ube Production,0205700000,Quirino,40.32,85.88,42.11,90.54,43.34,91.59,41.37,93.75,42.12,91.24,62.5
Overall Ube Production,0300800000,Bataan,,53.55,,46.72,,45.3,,49.13,,53.3,
Overall Ube Production,0301400000,Bulacan,9.94,252.05,11.08,298.68,9.61,261.83,7.75,14.22,7.03,5.19,
Overall Ube Production,0304900000,Nueva Ecija,,9.98,,10.09,,9.5,,,,,
Overall Ube Production,0305400000,Pampanga,4.38,5.84,4.42,5.8,4.38,5.75,4.4,5.84,4.4,5.87,1.31
Overall Ube Production,0306900000,Tarlac,,5.53,,7.07,,20.59,,6.25,0.39,6.33,
Overall Ube Production,0307100000,Zambales,46.1,42.28,44.3,42.82,45.44,,37.95,,8.39,21.03,12.19
Overall Ube Production,0307700000,Aurora,29.48,50.98,18.24,39.76,24.33,33.47,24.39,31.6,,169.64,16.16
Overall Ube Production,0401000000,Batangas,286.2,31.33,285.94,27.62,245.56,51.48,198.0,39.67,162.25,40.91,74.59
Overall Ube Production,0402100000,Cavite,37.36,234.17,38.3,256.61,44.91,190.35,84.72,114.46,84.58,111.0,23.5
Overall Ube Production,0403400000,Laguna,116.09,30.66,130.31,33.87,148.48,37.52,154.5,50.26,178.48,113.0,110.42
Overall Ube Production,0405600000,Quezon,65.27,796.32,63.8,755.95,66.22,758.0,99.84,741.86,92.29,756.6,86.05
Overall Ube Production,0405800000,Rizal,,,,,,20.28,12.0,19.08,12.5,56.71,9.87
Overall Ube Production,0500500000,Albay,164.41,82.4,120.71,79.1,122.72,45.62,103.75,25.55,42.79,11.87,
Overall Ube Production,0501600000,Camarines Norte,,,,,,5.64,,,,,
Overall Ube Production,0501700000,Camarines Sur,1.72,,2.09,,1.73,,1.36,,28.01,5.09,0.06
Overall Ube Production,0502000000,Catanduanes,0.38,0.69,0.6,0.63,0.47,0.29,0.5,0.52,0.25,0.26,0.05
Overall Ube Production,0504100000,Masbate,17.36,51.99,17.38,51.97,17.38,15.96,27.43,13.0,21.89,,17.23
Overall Ube Production,0506200000,Sorsogon,11.79,0.44,9.76,0.39,9.52,2.35,7.29,0.03,2.89,0.16,0.02
Overall Ube Production,0600400000,Aklan,74.19,75.0,71.36,71.52,67.69,76.86,68.47,74.45,61.63,68.02,38.25
Overall Ube Production,0600600000,Antique,44.76,38.97,42.67,39.87,41.7,41.01,44.93,43.45,43.7,37.44,163.16
Overall Ube Production,0601900000,Capiz,20.92,20.4,19.33,18.4,17.0,17.17,17.2,14.62,16.9,14.17,8.38
Overall Ube Production,0603000000,Iloilo,99.0,13.45,95.0,11.72,90.0,14.88,106.8,14.2,101.2,15.09,73.94
Overall Ube Production,0607900000,Guimaras,23.5,19.94,25.67,21.05,26.36,19.1,28.13,21.98,31.25,22.53,16.96
Overall Ube Production,0701200000,Bohol,2351.15,2474.72,1794.05,2228.68,1315.09,2231.68,2313.28,2450.0,1374.17,2557.06,1826.84
Overall Ube Production,0702200000,Cebu,89.0,120.0,86.5,113.0,83.92,116.46,81.89,114.16,77.36,107.65,67.86
Overall Ube Production,0802600000,Eastern Samar,4.67,16.57,5.39,17.2,7.01,17.75,7.82,19.07,7.06,15.49,6.16
Overall Ube Production,0803700000,Leyte,8.71,367.85,6.98,394.32,7.16,394.18,13.84,385.4,13.24,375.4,2.03
Overall Ube Production,0804800000,Northern Samar,11.48,10.89,11.8,10.93,12.82,10.93,3.5,11.11,8.5,3.6,
Overall Ube Production,0806000000,Samar (Western Samar),43.41,40.73,51.71,43.96,57.2,23.84,52.39,21.51,51.48,,27.0
Overall Ube Production,0806400000,Southern Leyte,6.48,4.24,5.15,4.15,6.88,4.52,7.63,4.73,7.6,2.71,3.39
Overall Ube Production,0807800000,Biliran,46.0,43.5,43.86,41.88,38.23,40.29,38.73,37.22,35.88,,12.53
Overall Ube Production,0906600000,,,,,,,,,,,,
Overall Ube Production,0907200000,Zamboanga del Norte,4.75,17.42,4.7,17.92,3.93,18.93,4.71,10.87,4.45,10.74,3.48
Overall Ube Production,0907300000,Zamboanga del Sur,35.14,102.89,35.31,102.25,94.29,53.1,84.22,114.54,50.29,40.79,15.2
Overall Ube Production,0907400000,Zamboanga City,61.27,30.56,63.77,31.36,,,,,36.24,31.32,17.24
Overall Ube Production,0908300000,Zamboanga Sibugay,19.08,27.35,17.95,24.81,16.17,26.9,15.6,26.51,16.06,23.77,3.94
Overall Ube Production,1001300000,Bukidnon,15.0,14.19,15.25,14.5,14.88,15.52,12.7,14.3,14.58,14.55,3.82
Overall Ube Production,1001800000,Camiguin,12.66,29.06,12.62,52.18,17.7,35.4,14.93,33.75,20.45,39.06,11.69
Overall Ube Production,1003500000,Lanao del Norte,375.5,360.35,378.0,360.0,382.25,364.85,380.0,368.0,365.36,362.0,215.49
Overall Ube Production,1004200000,Misamis Occidental,62.0,84.9,62.49,83.2,64.33,79.98,62.87,77.31,60.59,79.22,50.24
Overall Ube Production,1004300000,Misamis Oriental,51.5,58.2,52.38,85.73,60.87,95.41,36.02,82.0,55.15,81.1,17.57
Overall Ube Production,1102300000,Davao del Norte,22.22,22.12,22.71,22.8,22.63,22.26,22.35,22.48,21.41,22.26,5.48
Overall Ube Production,1102400000,Davao del Sur,56.5,104.35,55.5,101.51,85.42,103.2,84.67,102.11,81.53,92.17,38.23
Overall Ube Production,1102500000,Davao Oriental,,,,,,,,,,0.36,
Overall Ube Production,1108200000,Davao de Oro (Compostela Valley),14.97,37.55,10.67,36.87,10.33,35.45,10.0,30.48,10.0,29.43,4.51
Overall Ube Production,1108600000,Davao Occidental,1.93,0.85,1.94,0.9,1.93,0.7,1.92,0.64,1.9,0.58,0.93
Overall Ube Production,1130700000,Davao City,30.88,24.25,30.49,24.25,,,,,3.64,4.1,3.92
Overall Ube Production,1204700000,Cotabato (North Cotabato),9.91,74.67,6.45,57.65,4.92,49.32,2.55,29.88,2.79,19.03,1.24
Overall Ube Production,1206300000,South Cotabato,33.65,41.75,36.55,44.25,47.51,49.56,36.02,47.51,3.96,83.77,
Overall Ube Production,1206500000,Sultan Kudarat,15.57,16.13,15.17,16.04,15.51,16.6,14.92,16.3,15.75,17.53,8.45
Overall Ube Production,1208000000,Sarangani,7.33,15.0,7.37,15.18,7.38,13.15,7.21,14.7,7.26,14.22,3.14
Overall Ube Production,1400100000,Abra,,,,,,,,6.0,1.6,,
Overall Ube Production,1401100000,Benguet,119.81,50.62,155.43,50.42,118.64,49.19,120.0,53.0,126.0,54.04,
Overall Ube Production,1402700000,Ifugao,,,,,,,,,,,
Overall Ube Production,1403200000,Kalinga,4.11,11.73,5.28,13.87,5.92,14.22,5.8,14.0,6.0,4.3,
Overall Ube Production,1404400000,Mountain Province,,,,,,,,,,,
Overall Ube Production,1408100000,Apayao,16.01,,18.52,,17.56,,18.2,1.0,19.17,0.8,7.66
Overall Ube Production,1600200000,Agusan del Norte,2.61,3.05,2.13,3.58,1.97,3.42,1.98,3.28,2.07,3.3,0.76
Overall Ube Production,1600300000,Agusan del Sur,1.3,1.71,1.17,1.85,1.56,1.0,1.1,0.9,0.85,0.83,0.43
Overall Ube Production,1606700000,Surigao del Norte,0.66,0.57,0.1,0.29,0.07,,0.01,0.23,0.33,1.64,
Overall Ube Production,1606800000,Surigao del Sur,3.8,21.6,4.06,23.8,4.5,,4.0,,,0.46,0.47
Overall Ube Production,1608500000,Dinagat Islands,0.88,3.47,0.85,1.13,0.52,,0.32,1.78,0.12,1.08,0.26
Overall Ube Production,1630400000,Butuan City,,,,,,,,,,,0.39
Overall Ube Production,1704000000,Marinduque,24.52,25.96,30.1,20.19,31.69,26.25,33.26,21.56,28.58,22.67,1.42
Overall Ube Production,1705100000,Occidental Mindoro,94.7,100.89,99.4,128.24,106.21,64.49,52.67,59.87,87.94,46.66,35.7
Overall Ube Production,1705200000,Oriental Mindoro,2.76,5.07,2.06,4.61,2.07,4.62,2.15,4.34,2.12,4.01,0.6
Overall Ube Production,1705300000,Palawan,102.01,139.04,90.08,170.25,133.81,50.0,130.9,48.61,125.17,,38.13
Overall Ube Production,1705900000,Romblon,124.33,54.75,129.45,60.6,122.13,63.8,102.55,59.82,104.57,63.49,58.44
Overall Ube Production,1731500000,Puerto Princesa City,,,,,,,,,,,
Overall Ube Production,1804500000,Negros Occidental,85.78,142.58,94.18,149.83,115.31,129.47,98.42,140.29,97.0,173.67,35.18
Overall Ube Production,1804600000,Negros Oriental,76.74,151.7,78.2,177.06,89.97,156.18,81.61,145.2,82.5,144.2,61.66
Overall Ube Production,1806100000,Siquijor,2.47,3.63,1.8,3.69,2.21,0.46,1.48,0.35,0.97,0.42,0.17
Overall Ube Production,1830200000,Bacolod City,,,,,,,,,,,
Overall Ube Production,1900700000,Basilan,,,,,,,,,,,
Overall Ube Production,1903600000,Lanao del Sur,54.22,117.4,53.99,117.25,53.74,290.6,54.2,390.04,53.59,381.68,46.87
Overall Ube Production,1907000000,Tawi-Tawi,,,,,,,,,,,
Overall Ube Production,1908700000,Maguindanao del Norte,,,,,,,,,6.6,12.77,6.0
Overall Ube Production,1908800000,Maguindanao del Sur,38.3,138.0,39.35,138.4,39.78,139.0,,15.8,6.6,10.62,5.0
