Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
White Corn Production,0102800000,Ilocos Norte,2663.0,306.0,2729.0,304.0,2465.0,293.0,2345.0,327.0,2203.0,222.6,2726.53
White Corn Production,0102900000,Ilocos Sur,2480.0,1162.0,2423.0,1162.0,2440.0,1026.0,1533.0,1029.0,1109.0,1014.0,1341.0
White Corn Production,0103300000,La Union,1716.0,528.0,1562.15,528.97,1603.67,528.97,1580.83,532.0,1596.88,500.61,1542.38
White Corn Production,0105500000,Pangasinan,2606.0,481.0,2589.0,499.0,2515.0,465.0,2329.0,520.0,2173.0,520.0,2205.0
White Corn Production,0200900000,Batanes,50.32,9.0,60.16,28.62,67.0,39.82,68.75,29.6,61.0,42.0,64.97
White Corn Production,0201500000,Cagayan,1892.0,1539.0,1524.0,1298.0,975.0,792.0,938.0,829.0,951.25,917.0,1146.0
White Corn Production,0203100000,Isabela,2098.0,1189.0,1340.0,955.0,783.0,628.96,696.01,628.75,804.99,864.0,680.0
White Corn Production,0205000000,Nueva Vizcaya,278.0,271.0,144.0,204.0,157.0,152.8,163.0,189.0,168.54,185.0,125.28
White Corn Production,0205700000,Quirino,213.0,112.0,230.0,41.0,20.0,32.0,64.0,40.0,60.0,31.0,57.0
White Corn Production,0300800000,Bataan,267.0,98.07,279.0,92.09,230.32,47.7,175.98,52.59,2.9,0.0,17.35
White Corn Production,0301400000,Bulacan,421.0,58.0,697.0,34.65,440.22,62.47,186.64,81.0,149.0,82.0,326.0
White Corn Production,0304900000,Nueva Ecija,5883.0,1948.0,4481.0,1760.0,3585.0,1000.0,2020.54,1700.0,2366.0,1550.0,2258.0
White Corn Production,0305400000,Pampanga,948.0,443.92,2088.0,389.84,2009.27,383.0,1895.07,372.27,1812.27,341.0,1905.33
White Corn Production,0306900000,Tarlac,366.0,216.0,227.0,213.0,208.0,154.0,211.0,160.0,230.0,152.0,246.0
White Corn Production,0307100000,Zambales,104.0,39.0,203.0,39.29,143.0,2.0,72.0,0.53,19.0,2.0,42.01
White Corn Production,0307700000,Aurora,294.0,99.0,135.0,55.0,55.0,91.0,70.4,35.09,48.0,68.0,87.0
White Corn Production,0401000000,Batangas,1028.0,3276.95,984.0,2976.0,897.0,2280.92,599.9,1749.86,971.6,1073.0,998.0
White Corn Production,0402100000,Cavite,109.25,447.13,118.25,281.0,101.0,318.16,84.83,449.99,120.75,389.92,104.0
White Corn Production,0403400000,Laguna,423.9,386.0,601.0,401.0,382.0,634.0,375.05,618.27,632.17,462.52,450.0
White Corn Production,0405600000,Quezon,2253.0,4635.0,2400.0,3844.0,2120.0,3162.0,1300.5,1868.86,2213.0,2575.0,1680.0
White Corn Production,0405800000,Rizal,110.0,146.0,136.0,176.0,167.0,99.0,79.82,80.02,99.65,85.2,169.18
White Corn Production,0500500000,Albay,1512.0,2560.0,1520.0,2122.0,1420.0,1885.0,1015.0,1970.0,1496.0,1800.0,830.0
White Corn Production,0501600000,Camarines Norte,563.0,293.0,503.0,321.7,540.0,416.0,478.45,315.1,249.48,339.78,231.0
White Corn Production,0501700000,Camarines Sur,4013.0,2989.0,3816.0,2961.0,3772.0,2936.0,3740.0,2969.0,3740.0,2995.0,3790.0
White Corn Production,0502000000,Catanduanes,113.38,265.49,54.92,55.76,11.06,16.4,5.28,12.0,22.12,10.93,16.97
White Corn Production,0504100000,Masbate,19827.0,18201.0,20016.0,17017.0,20238.0,17088.0,20111.0,13928.0,18421.0,6212.0,3690.0
White Corn Production,0506200000,Sorsogon,50.0,94.0,53.0,82.0,46.0,79.0,43.0,77.0,44.0,71.0,42.0
White Corn Production,0600400000,Aklan,192.0,325.0,167.0,302.26,148.8,257.0,74.0,47.0,83.0,43.0,49.0
White Corn Production,0600600000,Antique,233.0,226.5,230.0,291.65,258.0,296.0,245.0,87.0,295.0,124.0,266.0
White Corn Production,0601900000,Capiz,258.0,305.0,230.0,342.0,253.0,392.0,221.0,453.0,250.0,483.0,235.0
White Corn Production,0603000000,Iloilo,1558.0,1603.0,1061.0,1390.0,1188.0,1607.0,618.0,838.0,661.32,994.31,612.14
White Corn Production,0607900000,Guimaras,58.0,314.0,61.13,275.0,76.0,184.0,85.0,155.0,105.0,181.0,85.0
White Corn Production,0701200000,Bohol,2196.0,6605.0,425.0,4505.0,750.0,5933.0,1190.0,5715.0,1205.0,5441.0,728.0
White Corn Production,0702200000,Cebu,11061.0,43503.0,9858.0,50857.0,10040.0,49233.0,8885.0,47546.0,9783.0,48013.42,8859.0
White Corn Production,0802600000,Eastern Samar,91.0,53.0,93.01,55.12,78.0,46.0,79.0,57.0,78.0,12.0,54.0
White Corn Production,0803700000,Leyte,11798.0,15529.0,12368.0,12645.0,11420.0,12725.0,8974.0,12730.0,8984.0,12496.0,8976.0
White Corn Production,0804800000,Northern Samar,2917.0,3522.1,2876.0,3530.0,2813.0,3529.0,2778.0,3543.0,2778.0,3544.0,2690.0
White Corn Production,0806000000,Samar (Western Samar),3014.0,2658.0,3107.0,2614.34,3112.0,2623.0,4644.63,2764.0,4752.79,2340.0,3731.0
White Corn Production,0806400000,Southern Leyte,237.65,1178.0,165.13,1132.0,140.0,705.0,109.0,372.0,106.0,312.0,106.0
White Corn Production,0807800000,Biliran,174.0,185.0,187.45,184.13,185.0,185.5,185.0,187.0,184.0,182.0,168.0
White Corn Production,0906600000,Sulu,520.0,969.0,589.84,272.0,355.0,260.0,136.0,241.0,177.0,187.0,193.0
White Corn Production,0907200000,Zamboanga del Norte,7975.4,28159.0,10326.0,22009.56,11023.0,18138.95,9091.0,22937.14,11522.81,21849.0,10219.0
White Corn Production,0907300000,Zamboanga del Sur,22584.0,44917.0,25239.38,40745.14,25056.23,40530.5,23907.91,40624.76,24396.51,38785.0,24453.38
White Corn Production,0907400000,Zamboanga City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,1848.0,1746.93
White Corn Production,0908300000,Zamboanga Sibugay,3948.0,6968.0,3682.0,7166.36,3909.0,5960.83,3781.33,6065.17,3255.73,5876.6,3375.0
White Corn Production,1001300000,Bukidnon,12323.04,29266.23,12189.65,28376.0,8726.0,18111.0,9386.0,19150.0,11014.0,21879.0,9809.04
White Corn Production,1001800000,Camiguin,136.0,118.0,98.0,130.4,78.0,103.0,29.5,41.0,25.8,62.0,44.0
White Corn Production,1003500000,Lanao del Norte,22255.0,67856.0,22090.0,67525.0,21410.0,67425.0,22421.0,65228.1,23135.0,66930.0,23326.07
White Corn Production,1004200000,Misamis Occidental,6058.5,19780.0,5511.0,19150.0,5495.0,18540.0,4275.0,15077.0,3220.0,11970.0,2550.24
White Corn Production,1004300000,Misamis Oriental,10027.0,22079.0,11607.31,22427.0,9559.0,20519.0,8559.0,20222.0,4851.2,20222.0,14778.0
White Corn Production,1102300000,Davao del Norte,7016.0,10692.0,8260.0,10915.0,8252.34,10752.5,8722.22,11418.08,8985.84,11515.0,8886.0
White Corn Production,1102400000,Davao del Sur,15834.0,15366.0,16186.0,15690.0,16126.0,15693.0,15168.92,15411.0,13694.54,10658.0,11938.0
White Corn Production,1102500000,Davao Oriental,16724.0,29321.0,16232.0,28798.0,16378.0,28573.0,16842.0,29199.0,16223.0,29212.0,15654.0
White Corn Production,1108200000,Davao de Oro (Compostela Valley),12014.0,17432.0,11735.0,16735.0,10996.0,17462.0,10841.0,14519.0,9966.0,13969.0,9573.0
White Corn Production,1108600000,Davao Occidental,12214.0,14873.0,11976.0,14642.0,12833.77,14756.0,12523.77,16263.0,13431.0,15656.99,13731.0
White Corn Production,1130700000,Davao City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2147.33,4291.0,4043.0
White Corn Production,1204700000,Cotabato (North Cotabato),7970.0,14718.0,7988.0,14517.0,8112.0,14541.0,6175.0,16907.0,7055.0,14991.0,6679.0
White Corn Production,1206300000,South Cotabato,13352.0,14810.0,11633.0,8854.0,12489.0,11098.0,11164.0,11194.0,11789.0,11004.0,11890.0
White Corn Production,1206500000,Sultan Kudarat,9702.0,11699.0,10036.0,11353.0,10036.0,11182.0,9603.0,11415.0,9821.0,11585.0,9436.0
White Corn Production,1208000000,Sarangani,9091.0,29254.0,9363.58,26403.4,9351.0,25975.4,5243.98,26138.98,7804.47,25034.8,7114.0
White Corn Production,1400100000,Abra,1065.0,5073.0,1065.0,5073.0,1065.0,5073.0,1063.16,5073.0,1063.0,4964.0,1063.0
White Corn Production,1401100000,Benguet,22.0,15.0,22.0,14.81,20.0,14.0,13.75,6.0,13.0,75.0,96.5
White Corn Production,1402700000,Ifugao,0.0,12.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,5.7,14.0
White Corn Production,1403200000,Kalinga,173.22,78.0,173.0,50.0,173.0,37.0,156.0,118.0,158.0,146.0,108.0
White Corn Production,1404400000,Mountain Province,0.0,19.0,0.0,18.91,0.0,19.0,0.0,19.0,0.0,21.27,0.0
White Corn Production,1408100000,Apayao,15.0,27.0,7.0,16.0,4.98,0.0,15.99,16.81,4.0,1.34,0.0
White Corn Production,1600200000,Agusan del Norte,1259.0,1809.0,1248.0,1839.0,1124.0,1848.0,1148.0,1850.0,1158.0,1855.0,808.0
White Corn Production,1600300000,Agusan del Sur,2038.0,13680.0,1823.0,6153.0,3092.0,7890.0,2738.0,8609.0,2570.0,8648.0,2580.0
