Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
White Corn Production,0102800000,Ilocos Norte,9062.99,1069.0,302.0,920.0,9398.0,1106.04,253.0,984.0,8474.45,863.0,188.61,858.0,8172.0,794.0,354.6,919.0,7914.0,732.5,297.4,567.0,8644.0,1923.65
White Corn Production,0102900000,Ilocos Sur,6211.0,4490.0,2587.0,1661.0,6037.0,4357.0,2470.0,2223.0,6920.0,3968.0,2131.0,1905.0,3574.68,2897.0,2145.0,1786.0,3320.0,1506.0,2105.0,1838.7,2923.0,2869.0
White Corn Production,0103300000,La Union,4510.0,2872.0,692.0,1064.0,3835.09,2852.69,679.1,1114.82,4141.8,2881.0,654.66,1141.99,3987.17,2846.5,703.15,1372.63,4103.99,2851.18,709.45,1264.02,4072.75,2608.55
White Corn Production,0105500000,Pangasinan,6082.0,3811.0,559.0,1113.0,6169.0,3786.0,573.0,1183.0,5865.0,3962.0,559.0,1103.0,5368.0,4090.0,741.0,1237.0,5305.0,3530.0,701.0,1230.0,6123.0,3510.0
White Corn Production,0200900000,Batanes,9.28,49.09,2.1,4.38,43.06,43.55,11.97,28.72,53.25,64.4,40.13,21.4,61.3,47.6,39.68,8.35,51.0,70.0,51.76,22.0,68.65,51.9
White Corn Production,0201500000,Cagayan,3027.0,1983.0,1884.0,1415.0,1838.19,2386.0,1480.42,1402.89,1744.5,1364.5,1027.0,855.0,1240.0,1218.0,1092.0,745.0,928.0,1657.0,1300.0,952.0,323.0,2621.0
White Corn Production,0203100000,Isabela,4583.2,2580.0,902.14,2602.0,1555.0,3113.0,1283.0,1663.0,1505.99,1186.7,1122.46,462.88,1482.0,832.0,1720.15,275.66,806.32,2052.09,1918.19,902.0,1113.9,1179.18
White Corn Production,0205000000,Nueva Vizcaya,648.5,304.0,342.0,510.0,355.15,152.56,326.0,312.8,472.5,123.7,165.5,343.0,407.48,0.0,91.5,488.6,104.91,563.74,437.52,173.0,103.08,327.09
White Corn Production,0205700000,Quirino,620.0,32.67,141.0,174.0,679.0,35.2,97.0,32.0,31.0,33.0,30.0,68.0,197.0,0.0,24.32,96.0,120.0,69.08,31.5,65.0,136.8,60.04
White Corn Production,0300800000,Bataan,681.29,313.84,154.0,156.68,553.0,338.0,113.13,153.0,529.0,180.29,4.88,137.7,359.59,192.32,89.0,69.64,8.95,0.2,0.0,0.0,0.0,40.23
White Corn Production,0301400000,Bulacan,1382.5,117.0,126.0,104.0,2551.0,588.0,117.26,26.91,1530.72,411.28,103.0,170.0,266.0,527.0,36.0,288.0,45.0,627.0,179.0,165.0,644.0,855.6
White Corn Production,0304900000,Nueva Ecija,10530.31,8750.5,2713.5,3028.5,8221.4,6702.0,2936.0,2808.0,8091.6,3654.3,1740.3,1417.5,4152.26,2506.0,2760.0,2471.5,4209.73,3316.86,2620.7,2089.2,4291.92,3126.52
White Corn Production,0305400000,Pampanga,2049.93,1215.84,1560.96,348.0,5722.65,2856.0,1222.82,334.04,5203.0,2483.96,923.15,423.0,4923.0,1768.32,1007.0,479.1,6067.02,2816.76,817.11,423.83,6707.42,2656.11
White Corn Production,0306900000,Tarlac,400.0,803.0,503.0,210.0,330.0,352.0,481.0,189.0,347.0,341.5,407.0,59.0,343.0,328.0,439.0,73.0,356.0,387.0,385.0,78.0,440.13,392.0
White Corn Production,0307100000,Zambales,52.0,281.0,65.0,60.0,400.0,187.0,5.5,93.34,158.5,267.31,6.4,0.0,76.8,144.0,2.0,0.0,48.0,13.0,6.3,0.0,102.4,32.53
White Corn Production,0307700000,Aurora,330.0,276.54,131.0,81.0,318.4,110.0,104.0,26.5,52.0,82.0,45.95,141.0,90.75,111.0,39.0,24.34,39.6,88.5,68.97,47.25,43.6,278.5
White Corn Production,0401000000,Batangas,1634.0,342.0,4973.0,3361.0,2122.0,183.5,5516.0,1764.0,1047.0,131.7,3156.0,2860.0,903.0,60.59,2020.0,1781.27,1459.26,809.12,1156.37,1593.0,2139.95,914.54
White Corn Production,0402100000,Cavite,88.39,42.01,622.67,162.35,164.36,77.99,328.6,130.35,99.4,69.25,322.7,120.92,97.0,27.22,487.45,154.29,205.2,92.3,428.4,104.71,227.32,57.5
White Corn Production,0403400000,Laguna,982.0,468.0,728.0,439.0,1135.26,980.0,625.0,546.08,1140.0,272.5,523.3,1680.4,1253.5,100.0,852.0,1280.08,1325.41,1038.62,751.57,664.49,1019.1,349.71
