Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
White Corn Production,0102800000,Ilocos Norte,10131.99,1222.0,10504.04,1237.0,9337.45,1046.61,8966.0,1273.6,8646.5,864.4,10567.65
White Corn Production,0102900000,Ilocos Sur,10701.0,4248.0,10394.0,4693.0,10888.0,4036.0,6471.68,3931.0,4826.0,3943.7,5792.0
White Corn Production,0103300000,La Union,7382.0,1756.0,6687.78,1793.92,7022.8,1796.65,6833.67,2075.78,6955.16,1973.47,6681.3
White Corn Production,0105500000,Pangasinan,9893.0,1672.0,9955.0,1756.0,9827.0,1662.0,9458.0,1978.0,8835.0,1931.0,9633.0
White Corn Production,0200900000,Batanes,58.37,6.48,86.61,40.69,117.65,61.53,108.9,48.03,121.0,73.76,120.55
White Corn Production,0201500000,Cagayan,5010.0,3299.0,4224.19,2883.31,3109.0,1882.0,2458.0,1837.0,2585.0,2252.0,2944.0
White Corn Production,0203100000,Isabela,7163.2,3504.14,4668.0,2946.0,2692.69,1585.34,2314.0,1995.81,2858.41,2820.19,2293.08
White Corn Production,0205000000,Nueva Vizcaya,952.5,852.0,507.71,638.8,596.2,508.5,407.48,580.1,668.65,610.52,430.17
White Corn Production,0205700000,Quirino,652.67,315.0,714.2,129.0,64.0,98.0,197.0,120.32,189.08,96.5,196.84
White Corn Production,0300800000,Bataan,995.13,310.68,891.0,266.13,709.29,142.58,551.91,158.64,9.15,0.0,40.23
White Corn Production,0301400000,Bulacan,1499.5,230.0,3139.0,144.17,1942.0,273.0,793.0,324.0,672.0,344.0,1499.6
White Corn Production,0304900000,Nueva Ecija,19280.81,5742.0,14923.4,5744.0,11745.9,3157.8,6658.26,5231.5,7526.59,4709.9,7418.44
White Corn Production,0305400000,Pampanga,3265.77,1908.96,8578.65,1556.86,7686.96,1346.15,6691.32,1486.1,8883.78,1240.94,9363.53
White Corn Production,0306900000,Tarlac,1203.0,713.0,682.0,670.0,688.5,466.0,671.0,512.0,743.0,463.0,832.13
White Corn Production,0307100000,Zambales,333.0,125.0,587.0,98.84,425.81,6.4,220.8,2.0,61.0,6.3,134.93
White Corn Production,0307700000,Aurora,606.54,212.0,428.4,130.5,134.0,186.95,201.75,63.34,128.1,116.22,322.1
White Corn Production,0401000000,Batangas,1976.0,8334.0,2305.5,7280.0,1178.7,6016.0,963.59,3801.27,2268.38,2749.37,3054.49
White Corn Production,0402100000,Cavite,130.4,785.02,242.35,458.95,168.65,443.62,124.22,641.74,297.5,533.11,284.82
White Corn Production,0403400000,Laguna,1450.0,1167.0,2115.26,1171.08,1412.5,2203.7,1353.5,2132.08,2364.02,1416.06,1368.81
White Corn Production,0405600000,Quezon,3166.0,6158.0,3063.0,4858.0,2804.0,3828.0,1586.2,2006.26,3209.25,3276.91,2896.2
White Corn Production,0405800000,Rizal,186.2,229.96,244.78,284.0,235.39,139.16,146.66,104.52,190.33,89.7,344.94
White Corn Production,0500500000,Albay,1942.0,4025.0,2403.6,3204.0,2200.2,3236.5,1675.5,3940.0,3316.0,2812.5,1426.0
White Corn Production,0501600000,Camarines Norte,1100.14,509.66,918.0,613.86,893.54,752.36,817.38,520.58,440.07,604.41,395.15
White Corn Production,0501700000,Camarines Sur,12163.0,9207.0,10740.0,8932.0,9897.0,8918.0,9794.0,7918.0,9706.0,8312.0,9914.0
White Corn Production,0502000000,Catanduanes,191.85,201.68,96.87,71.55,9.54,10.17,2.89,5.4,9.91,7.73,12.79
White Corn Production,0504100000,Masbate,17354.0,25563.0,16567.52,23484.21,16233.59,23490.0,17048.0,18260.0,22320.16,8007.0,5431.0
White Corn Production,0506200000,Sorsogon,111.45,209.0,118.78,183.4,101.48,173.64,95.86,163.51,87.9,116.76,82.61
White Corn Production,0600400000,Aklan,357.0,772.43,252.08,684.77,305.69,614.34,167.0,76.85,201.3,77.9,117.83
White Corn Production,0600600000,Antique,565.36,520.69,554.0,722.83,630.38,715.72,649.18,237.4,798.89,315.23,807.42
White Corn Production,0601900000,Capiz,487.0,755.0,459.65,847.32,430.33,995.22,488.59,1231.16,709.78,1493.77,756.6
White Corn Production,0603000000,Iloilo,3858.87,4224.1,2571.69,3493.84,2927.81,4058.42,1340.16,2109.52,1738.31,2560.51,1757.63
White Corn Production,0607900000,Guimaras,90.0,913.0,109.36,734.0,127.0,452.0,104.0,241.0,107.05,324.3,86.0
White Corn Production,0701200000,Bohol,1636.0,6662.0,341.0,4301.1,807.1,6688.25,1013.0,5452.75,1411.35,5858.7,952.91
White Corn Production,0702200000,Cebu,9960.0,34407.0,7673.0,40410.0,7903.0,48057.0,6711.0,32099.0,8856.0,46288.0,10626.85
White Corn Production,0802600000,Eastern Samar,126.55,85.0,121.17,82.71,95.0,68.8,107.0,78.6,102.6,26.27,67.2
White Corn Production,0803700000,Leyte,15691.0,21431.45,16262.6,16938.97,15207.53,17357.85,11790.2,17203.54,12007.0,16946.25,11844.0
White Corn Production,0804800000,Northern Samar,4116.0,6124.8,4023.0,6158.0,3893.0,6171.0,3940.0,6264.0,3960.0,6257.0,3797.0
White Corn Production,0806000000,Samar (Western Samar),3216.35,3813.0,3259.55,3713.07,4411.0,4672.3,7433.83,4866.16,8906.75,4156.45,7908.7
White Corn Production,0806400000,Southern Leyte,328.02,1612.0,222.41,1558.0,182.0,954.0,140.0,472.0,133.0,398.0,138.0
White Corn Production,0807800000,Biliran,199.0,221.0,213.36,222.18,211.3,211.0,217.0,218.89,216.0,209.0,192.0
White Corn Production,0906600000,Sulu,440.0,1216.0,1047.55,459.0,633.0,464.0,250.0,430.0,319.0,352.0,353.0
White Corn Production,0907200000,Zamboanga del Norte,7863.71,46536.01,13286.94,31241.47,14601.08,24598.55,9606.34,35393.78,16790.97,31236.84,15285.13
White Corn Production,0907300000,Zamboanga del Sur,29660.49,59123.68,35072.22,51352.0,34859.94,54999.49,34548.98,55883.68,33956.68,54452.02,44576.65
White Corn Production,0907400000,Zamboanga City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.32,5565.17,6034.96
White Corn Production,0908300000,Zamboanga Sibugay,8715.46,13187.96,7537.78,14772.68,7571.35,10941.03,5956.81,11069.84,5503.05,9994.4,6510.1
White Corn Production,1001300000,Bukidnon,36868.24,103228.0,38681.92,103103.41,27516.67,63520.2,28335.96,65697.0,36034.15,77793.64,31660.53
White Corn Production,1001800000,Camiguin,247.85,249.85,152.6,249.9,116.64,196.11,50.73,75.33,45.36,119.09,81.25
White Corn Production,1003500000,Lanao del Norte,76258.47,196366.83,68537.5,202392.1,69188.75,203214.45,67953.87,193040.39,72616.77,195659.25,69241.52
White Corn Production,1004200000,Misamis Occidental,10381.5,37960.0,8347.0,31718.0,8091.2,29611.0,5976.0,23599.0,4858.76,14773.0,3171.5
White Corn Production,1004300000,Misamis Oriental,14093.0,41382.0,16655.27,45104.0,17323.92,43386.7,17603.0,45825.4,10617.3,48227.29,38944.91
White Corn Production,1102300000,Davao del Norte,7911.2,15228.18,9665.42,15015.61,10055.65,15194.18,11115.92,18223.37,12355.78,17961.37,11644.67
White Corn Production,1102400000,Davao del Sur,24860.38,24609.0,28546.58,23210.37,28671.84,29719.21,22823.75,24716.4,25824.26,15561.13,20129.96
White Corn Production,1102500000,Davao Oriental,20851.11,34089.21,19501.05,36238.4,21796.58,38082.04,21615.15,41041.99,21070.25,40145.39,20334.85
White Corn Production,1108200000,Davao de Oro (Compostela Valley),15511.0,22046.0,16669.0,20394.0,16341.0,21319.4,18793.95,20916.46,16733.12,19371.0,15340.87
White Corn Production,1108600000,Davao Occidental,12782.2,22818.52,14037.47,20687.56,15229.29,22320.98,17038.91,24733.0,18671.53,25233.17,18814.47
White Corn Production,1130700000,Davao City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3011.41,7848.28,7343.36
White Corn Production,1204700000,Cotabato (North Cotabato),17129.0,35045.0,17954.0,25308.0,16283.0,22623.0,13292.0,25210.0,15884.0,17895.0,11986.0
White Corn Production,1206300000,South Cotabato,23855.0,22063.0,14777.0,15021.9,18133.0,18440.3,14293.0,20229.0,16205.0,20186.1,16199.0
White Corn Production,1206500000,Sultan Kudarat,17632.99,24354.0,20112.0,26189.45,19111.0,27070.0,12581.0,25993.0,17285.0,26445.0,15948.0
White Corn Production,1208000000,Sarangani,17695.0,66196.04,18629.7,60528.99,17800.99,58743.47,9618.98,67334.96,18830.97,61360.98,13711.2
White Corn Production,1400100000,Abra,2141.0,15392.0,2226.0,13596.0,2354.0,12286.0,2232.0,12885.0,2806.0,12633.0,3146.48
White Corn Production,1401100000,Benguet,25.15,16.18,25.4,14.8,21.0,12.2,15.95,6.0,22.0,157.7,207.0
White Corn Production,1402700000,Ifugao,0.0,21.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,12.83,17.0
