Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
White Corn Production,0102800000,Ilocos Norte,3.8,3.8453,3.6829,4.1071,3.8469,3.8673,3.7206,4.1695,3.7917,3.7522,2.8577,3.7797,3.8098,3.97,3.6184,4.0131,3.9159,4.0247,3.4988,4.1206,3.8968,3.7846
White Corn Production,0102900000,Ilocos Sur,4.3801,4.2279,4.0109,3.2128,4.4357,4.1026,4.0294,4.0492,4.779,4.0,3.8327,4.0532,4.8503,3.6394,3.8372,3.8,4.7293,3.7002,3.8695,3.9121,4.7997,3.9194
White Corn Production,0103300000,La Union,4.5372,3.9778,3.311,3.3354,4.5386,3.9778,3.3132,3.4408,4.6502,4.0407,3.1577,3.5504,4.5944,3.9923,3.3805,4.2365,4.6504,3.9911,3.4338,4.2994,4.6264,3.9402
White Corn Production,0105500000,Pangasinan,3.7847,3.8148,3.0216,3.7601,3.8799,3.7898,3.1833,3.7085,3.91,3.9034,3.3473,3.7013,4.0697,4.0495,4.0714,3.6598,4.0902,4.0297,4.0994,3.5244,4.59,4.0299
White Corn Production,0200900000,Batanes,1.16,1.16,0.7,0.73,1.6152,1.3,1.26,1.5021,1.775,1.7405,1.5694,1.5018,1.6456,1.5111,1.6957,1.3468,2.3182,1.7949,1.7253,1.8333,2.3382,1.4575
White Corn Production,0201500000,Cagayan,2.7796,2.4695,2.3004,1.9653,3.0688,2.5795,2.3649,2.0876,3.1718,3.2106,2.3555,2.4017,2.7373,2.5113,2.3739,2.019,2.5286,2.8361,2.7542,2.1393,2.4656,2.5823
White Corn Production,0203100000,Isabela,3.4,3.44,3.0478,2.9138,3.471,3.4899,3.1523,3.0347,3.462,3.4101,2.5455,2.4621,3.5035,3.0476,3.1796,3.1414,3.5848,3.5377,3.279,3.233,3.6166,3.1698
White Corn Production,0205000000,Nueva Vizcaya,3.4495,3.3778,3.0,3.2484,3.5874,3.3902,3.0185,3.2583,3.873,3.5343,3.3233,3.3301,2.4999,,3.8125,2.9612,3.6176,4.04,3.2896,3.3269,3.1236,3.5445
White Corn Production,0205700000,Quirino,3.0693,2.97,3.0,2.6769,3.1005,3.2,3.129,3.2,3.1,3.3,3.0,3.0909,3.0781,,3.04,3.0,3.1579,3.14,3.15,3.0952,3.6,3.16
White Corn Production,0300800000,Bataan,3.871,3.4488,3.3478,3.009,3.0894,3.38,2.7532,3.0,3.1118,2.9889,2.7111,3.0,3.109,3.1883,3.2853,2.731,3.58,0.5,,,,2.3187
White Corn Production,0301400000,Bulacan,3.5,4.5,4.2,3.7143,4.4991,4.5231,4.51,3.111,4.46,4.2396,4.2092,4.4737,4.4333,4.1614,4.0,4.0,4.5,4.5108,4.2619,4.125,4.6,4.6
White Corn Production,0304900000,Nueva Ecija,3.3665,3.1762,3.0905,2.8304,3.3612,3.2934,3.414,3.12,3.2418,3.3556,3.1642,3.15,3.2325,3.4049,3.0667,3.0894,3.2184,3.135,3.0332,3.0455,3.3426,3.21
White Corn Production,0305400000,Pampanga,3.0324,4.47,4.1746,4.9714,3.833,4.8,3.7858,4.9976,3.6359,4.2955,3.3088,4.0673,3.4403,3.8105,3.7893,4.4977,4.9165,4.871,3.4189,4.1552,4.9127,4.9187
White Corn Production,0306900000,Tarlac,3.3058,3.2776,3.2662,3.3871,3.2353,2.816,3.1438,3.15,3.3689,3.2524,3.0373,2.95,3.2358,3.1238,3.2519,2.92,3.2364,3.225,3.2083,2.4375,3.521,3.2397
White Corn Production,0307100000,Zambales,2.6,3.3452,3.4211,3.0,2.8986,2.8769,2.75,2.5031,3.17,2.8743,3.2,,3.2,3.0,3.7736,,3.2,3.25,3.15,,3.2,3.2498
White Corn Production,0307700000,Aurora,2.2148,1.9072,2.0469,2.3143,3.184,3.1429,2.6,1.7667,2.3636,2.4848,1.838,2.1364,2.9274,2.8173,2.282,1.3522,2.64,2.6818,1.815,1.575,3.1143,3.8151
White Corn Production,0401000000,Batangas,1.8782,2.1646,2.7262,2.3135,2.4447,1.5819,2.8418,1.7043,1.2737,1.756,2.6725,2.6,1.5898,1.8994,2.5093,1.8852,2.1118,2.8835,2.7273,2.4545,3.014,3.1755
White Corn Production,0402100000,Cavite,1.2276,1.1278,1.7826,1.6595,2.1626,1.8459,1.6765,1.5335,1.5531,1.8716,1.3656,1.4773,1.4265,1.6173,1.4658,1.3138,2.5024,2.3819,1.4055,1.2301,3.0719,1.9167
White Corn Production,0403400000,Laguna,3.4097,3.4437,2.912,3.2279,3.4612,3.5897,2.8802,2.9678,3.5625,4.3952,2.9072,3.7013,3.6124,3.5651,3.2395,3.6031,3.6902,3.8045,2.9723,3.1694,3.0604,2.989
White Corn Production,0405600000,Quezon,1.1206,1.6701,1.3703,1.2918,1.3224,1.1996,1.2838,1.2508,1.29,1.3691,1.222,1.2031,1.3063,0.7152,1.1925,0.9027,1.3889,1.5098,0.9234,1.5759,1.9107,1.5048
White Corn Production,0405800000,Rizal,1.3,1.84,1.6445,1.4667,1.5363,1.99,1.764,1.4598,1.4694,1.3245,1.3753,1.4611,2.0301,1.7198,1.4099,1.2142,1.5971,2.1,1.1,0.9267,2.3446,1.91
White Corn Production,0500500000,Albay,1.1206,1.4096,1.58,1.5498,1.57,1.59,1.5,1.5498,1.56,1.54,1.67,1.9,1.5,1.84,2.0,2.0,2.39,2.1004,1.59,1.48,1.4293,2.0
White Corn Production,0501600000,Camarines Norte,1.7,2.18,1.9,1.42,1.6602,2.0,1.9033,1.9171,1.65,1.659,1.908,1.7091,1.6567,1.7679,1.8143,1.3037,,1.7639,1.8972,1.6099,,1.7106
White Corn Production,0501700000,Camarines Sur,3.0627,2.9862,3.2186,2.9853,3.0322,2.506,3.0349,3.004,2.8861,2.2445,3.199,2.9233,2.8712,2.256,2.9349,2.4736,2.8721,2.1908,3.132,2.5198,2.9125,2.1871
White Corn Production,0502000000,Catanduanes,1.34,1.9699,0.8366,0.6074,0.8455,2.1854,1.5806,0.8131,0.5697,1.0998,0.6507,0.6012,0.5701,0.51,0.3733,0.5283,0.4466,0.4483,0.6447,0.7692,0.53,0.8227
White Corn Production,0504100000,Masbate,0.8,1.2002,1.377,1.4917,0.799,0.94,1.3469,1.4776,0.7783,0.8971,1.347,1.4564,0.7764,1.1339,1.3544,1.2623,1.1857,1.3594,1.359,1.1283,1.5731,1.4102
White Corn Production,0506200000,Sorsogon,2.2362,2.219,2.25,2.2,2.2627,2.213,2.2619,2.21,2.2092,2.202,2.21,2.1856,2.1872,2.2878,2.2368,1.9944,1.9048,2.0826,1.7092,1.57,1.8718,2.0316
White Corn Production,0600400000,Aklan,1.7436,1.9386,2.7171,2.03,1.5733,1.4736,2.3541,2.1698,1.5641,2.204,2.5491,2.0749,2.4878,1.9697,1.9446,1.2519,2.3086,2.5104,2.1589,1.2256,1.2376,3.0247
White Corn Production,0600600000,Antique,2.606,2.1833,2.3291,2.0709,2.4495,2.3719,2.5247,2.0534,2.5003,2.3938,2.4534,2.2252,2.7382,2.5147,3.3184,2.564,3.2971,1.8612,2.7052,1.9277,3.0975,2.6738
White Corn Production,0601900000,Capiz,1.775,2.0714,2.5213,2.4066,2.3139,1.3467,2.5257,2.4009,1.7208,1.6799,2.6008,2.4321,2.2758,2.0582,2.7223,2.7117,2.7705,2.9798,3.1264,3.045,3.3427,3.0247
White Corn Production,0603000000,Iloilo,2.5158,2.4366,2.6675,2.4717,2.333,2.4829,2.5756,2.2054,2.4166,2.4951,2.5324,2.5007,2.2582,2.0678,2.5211,2.5105,2.4928,2.7784,2.672,2.3715,3.0396,2.5786
White Corn Production,0607900000,Guimaras,1.675,1.2778,2.988,2.6,2.1,1.2002,2.7463,2.4429,2.186,1.0,2.4545,2.4615,1.6,0.6857,1.5714,1.5412,1.3175,0.6222,2.0721,1.3471,1.45,0.6222
White Corn Production,0701200000,Bohol,0.7134,0.8351,1.0207,0.9317,0.6905,0.8495,0.9399,1.0001,1.028,1.1002,1.1589,0.9638,0.8501,0.8528,0.8938,1.2298,1.1593,1.1882,1.0574,1.1596,1.0793,1.8126
White Corn Production,0702200000,Cebu,0.9045,0.8849,0.8397,0.6692,0.748,0.881,0.788,0.8111,0.797,0.7559,1.0771,0.7235,0.7795,0.5358,0.6637,0.7033,0.9075,0.8968,1.0166,0.8297,1.2643,0.909
White Corn Production,0802600000,Eastern Samar,1.1463,1.591,1.5172,1.7083,1.0333,1.5553,1.2799,1.7477,0.9211,1.5,1.4,1.5692,1.2368,1.4634,1.2947,1.4211,1.1538,1.4769,3.0417,1.3367,1.1111,1.3778
White Corn Production,0803700000,Leyte,1.2138,1.3889,1.4368,1.3249,1.2603,1.3466,1.3653,1.315,1.2684,1.3733,1.3905,1.3386,1.2788,1.3495,1.3577,1.3453,1.3121,1.3613,1.3907,1.3218,1.2536,1.3865
White Corn Production,0804800000,Northern Samar,1.6499,1.3055,1.7441,1.7311,1.6376,1.2986,1.7563,1.7264,1.6147,1.2847,1.7611,1.7295,1.5854,1.3483,1.7748,1.7575,1.5816,1.362,1.7835,1.7378,1.5403,1.3645
White Corn Production,0806000000,Samar (Western Samar),1.3124,1.0506,1.2303,1.7074,1.4728,1.02,1.2567,1.6485,1.5854,1.4056,1.8503,1.6857,1.7177,1.5645,1.814,1.6807,1.7481,1.9124,1.8144,1.6881,1.7218,2.2108
White Corn Production,0806400000,Southern Leyte,1.3706,1.3948,1.4789,1.344,1.2872,1.4257,1.4709,1.3553,1.1757,1.4394,1.4488,1.3322,1.24,1.3824,1.1333,1.2807,1.2267,1.3226,1.2188,1.2821,1.2676,1.3714
White Corn Production,0807800000,Biliran,1.1014,1.1714,1.4375,1.1095,1.1313,1.1429,1.278,1.1814,1.1164,1.1589,1.1522,1.1326,1.1549,1.1842,1.1679,1.1714,1.1449,1.1913,1.1739,1.1397,1.0882,1.18
White Corn Production,0906600000,Sulu,1.3125,0.6389,0.9804,1.6308,1.8944,1.6509,1.7538,1.6268,1.7273,1.8741,1.875,1.6855,1.6667,1.8644,1.8803,1.6935,1.7,1.8692,1.8901,1.875,1.7105,1.906
