Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
White Onion Production,0102800000,Ilocos Norte,,,,,,,70.32,,939.95,
White Onion Production,0102900000,Ilocos Sur,,,,,,,,,54.12,
White Onion Production,0103300000,La Union,,,,,,,3.74,,3.11,
White Onion Production,0105500000,Pangasinan,,,,,,,26.5,,130.0,
White Onion Production,0200900000,Batanes,,,,,,,,,,
White Onion Production,0201500000,Cagayan,,,,,,,,,,
White Onion Production,0203100000,Isabela,,,,,,,,,,
White Onion Production,0205000000,Nueva Vizcaya,,,,,,,,,,
White Onion Production,0205700000,Quirino,,,,,,,,,,
White Onion Production,0300800000,Bataan,,,,,,,5.98,,,
White Onion Production,0301400000,Bulacan,,,,,,,,,,
White Onion Production,0304900000,Nueva Ecija,,,,,,163.66,27210.63,124.33,28527.67,
White Onion Production,0305400000,Pampanga,,,,,,,,,44.91,
White Onion Production,0306900000,Tarlac,,,,,,,2450.0,,2546.95,
White Onion Production,0307100000,Zambales,,,,,,,,,,
White Onion Production,0307700000,Aurora,,,,,,,,,,
White Onion Production,0401000000,Batangas,,,,,,,,,,
White Onion Production,0402100000,Cavite,,,,,,,4.13,,,
White Onion Production,0403400000,Laguna,,,,,,,,,,
White Onion Production,0405600000,Quezon,,,,,,,,,,
White Onion Production,0405800000,Rizal,,,,,,,,,,
White Onion Production,0500500000,Albay,,,,,,,,,,
White Onion Production,0501600000,Camarines Norte,,,,,,,,,,
White Onion Production,0501700000,Camarines Sur,,,,,,,,,,
White Onion Production,0502000000,Catanduanes,,,,,,,,,,
White Onion Production,0504100000,Masbate,,,,,,,,,,
White Onion Production,0506200000,Sorsogon,,,,,,,,,,
White Onion Production,0600400000,Aklan,,,,,,,,,,
White Onion Production,0600600000,Antique,,,,,,,,,,
White Onion Production,0601900000,Capiz,,,,,,,,,,
White Onion Production,0603000000,Iloilo,,,,,,,,,,
White Onion Production,0607900000,Guimaras,,,,,,,,,,
White Onion Production,0701200000,Bohol,,,,,,,,,,
White Onion Production,0702200000,Cebu,,,,,,,,,,
White Onion Production,0802600000,Eastern Samar,,,,,,,,,,
White Onion Production,0803700000,Leyte,,,,,,,,,,
White Onion Production,0804800000,Northern Samar,,,,,,,,,,
White Onion Production,0806000000,Samar (Western Samar),,,,,,,,,,
White Onion Production,0806400000,Southern Leyte,,,,,,,,,,
White Onion Production,0807800000,Biliran,,,,,,,,,,
White Onion Production,0906600000,,,,,,,,,,,
White Onion Production,0907200000,Zamboanga del Norte,,,,,,,,,,
White Onion Production,0907300000,Zamboanga del Sur,,,,,,,,,,
White Onion Production,0907400000,Zamboanga City,,,,,,,,,,
White Onion Production,0908300000,Zamboanga Sibugay,,,,,,,,,,
White Onion Production,1001300000,Bukidnon,,,,,,,,,,
White Onion Production,1001800000,Camiguin,,,,,,,,,,
White Onion Production,1003500000,Lanao del Norte,,,,,,,,,,
White Onion Production,1004200000,Misamis Occidental,,,,,,,,,,
White Onion Production,1004300000,Misamis Oriental,,,,,,,,,,
White Onion Production,1102300000,Davao del Norte,,,,,,,,,,
White Onion Production,1102400000,Davao del Sur,,,,,,,,,,
White Onion Production,1102500000,Davao Oriental,,,,,,,,,,
White Onion Production,1108200000,Davao de Oro (Compostela Valley),,,,,,,,,,
White Onion Production,1108600000,Davao Occidental,,,,,,,,,,
White Onion Production,1130700000,Davao City,,,,,,,,,,
White Onion Production,1204700000,Cotabato (North Cotabato),,,,,,,,,,
White Onion Production,1206300000,South Cotabato,,,,,,,,,,
White Onion Production,1206500000,Sultan Kudarat,,,,,,,,,,
White Onion Production,1208000000,Sarangani,,,,,,,,,,
White Onion Production,1400100000,Abra,,,,,,,,,,
White Onion Production,1401100000,Benguet,,,,,,,,,,
White Onion Production,1402700000,Ifugao,,,,,,,,,,
White Onion Production,1403200000,Kalinga,,,,,,,,,,
White Onion Production,1404400000,Mountain Province,,,,,,,,,,
White Onion Production,1408100000,Apayao,,,,,,,,,,
White Onion Production,1600200000,Agusan del Norte,,,,,,,,,,
White Onion Production,1600300000,Agusan del Sur,,,,,,,,,,
White Onion Production,1606700000,Surigao del Norte,,,,,,,,,,
White Onion Production,1606800000,Surigao del Sur,,,,,,,,,,
White Onion Production,1608500000,Dinagat Islands,,,,,,,,,,
White Onion Production,1630400000,Butuan City,,,,,,,,,,
White Onion Production,1704000000,Marinduque,,,,,,,,,,
White Onion Production,1705100000,Occidental Mindoro,,,,,,,,,1001.5,
White Onion Production,1705200000,Oriental Mindoro,,,,,,,,,,
White Onion Production,1705300000,Palawan,,,,,,,,,,
White Onion Production,1705900000,Romblon,,,,,,,,,,
White Onion Production,1731500000,Puerto Princesa City,,,,,,,,,,
White Onion Production,1804500000,Negros Occidental,,,,,,,,,,
White Onion Production,1804600000,Negros Oriental,,,,,,,,,,
White Onion Production,1806100000,Siquijor,,,,,,0.1,,,,
White Onion Production,1830200000,Bacolod City,,,,,,,,,,
White Onion Production,1900700000,Basilan,,,,,,,,,,
White Onion Production,1903600000,Lanao del Sur,,,,,,,,,,
White Onion Production,1907000000,Tawi-Tawi,,,,,,,,,,
White Onion Production,1908700000,Maguindanao del Norte,,,,,,,,,,
White Onion Production,1908800000,Maguindanao del Sur,,,,,,,,,,
