Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall White Potato Production,0102800000,Ilocos Norte,,,,,,,,,,,
Overall White Potato Production,0102900000,Ilocos Sur,,,,,,,,,,,
Overall White Potato Production,0103300000,La Union,,,,,,,,,,,
Overall White Potato Production,0105500000,Pangasinan,,,,,,,,,,,
Overall White Potato Production,0200900000,Batanes,,,,,,,,,0.39,0.16,
Overall White Potato Production,0201500000,Cagayan,,,,,,,,0.01,,,
Overall White Potato Production,0203100000,Isabela,0.46,,0.42,,0.32,0.05,0.37,,,,
Overall White Potato Production,0205000000,Nueva Vizcaya,404.54,19.84,424.83,19.81,420.17,22.83,585.38,35.15,657.7,42.86,502.6
Overall White Potato Production,0205700000,Quirino,2.28,1.13,2.11,1.03,2.04,0.91,1.32,1.01,1.45,1.13,
Overall White Potato Production,0300800000,Bataan,,,,,,,,,,,
Overall White Potato Production,0301400000,Bulacan,,,,,,,,,,,
Overall White Potato Production,0304900000,Nueva Ecija,,,,,,,,,,,
Overall White Potato Production,0305400000,Pampanga,,,,,,,,,,,
Overall White Potato Production,0306900000,Tarlac,,,,,,,,,,,
Overall White Potato Production,0307100000,Zambales,,,,,,,,,,,
Overall White Potato Production,0307700000,Aurora,,,,,,,,,,,
Overall White Potato Production,0401000000,Batangas,,,,,,,,,,,
Overall White Potato Production,0402100000,Cavite,,,,,,,,0.01,,,
Overall White Potato Production,0403400000,Laguna,,,,,,,,,,,
Overall White Potato Production,0405600000,Quezon,,,,,,,,0.08,,,
Overall White Potato Production,0405800000,Rizal,,,,,,,,,,,
Overall White Potato Production,0500500000,Albay,,,,,,,,,,,
Overall White Potato Production,0501600000,Camarines Norte,,,,,,0.24,,,,,
Overall White Potato Production,0501700000,Camarines Sur,,,,,,,,,,,0.35
Overall White Potato Production,0502000000,Catanduanes,,,,,,,,,0.12,,
Overall White Potato Production,0504100000,Masbate,,,,,,,,,,,
Overall White Potato Production,0506200000,Sorsogon,,,,,,,,,,,
Overall White Potato Production,0600400000,Aklan,,,,,,,,,,,
Overall White Potato Production,0600600000,Antique,,,,,,,,,0.02,0.11,
Overall White Potato Production,0601900000,Capiz,,,,,,,,,,,
Overall White Potato Production,0603000000,Iloilo,,,,,,,,,,,
Overall White Potato Production,0607900000,Guimaras,,,,,,,,,,,
Overall White Potato Production,0701200000,Bohol,,,,,,,,,,,
Overall White Potato Production,0702200000,Cebu,,,,,,0.46,,0.1,,,
Overall White Potato Production,0802600000,Eastern Samar,,,,,,,,,,,
Overall White Potato Production,0803700000,Leyte,,,,,,,,,,,
Overall White Potato Production,0804800000,Northern Samar,,,,,,,,,,,
Overall White Potato Production,0806000000,Samar (Western Samar),,,,,,,,,,,
Overall White Potato Production,0806400000,Southern Leyte,,,,,,,0.1,,,,
Overall White Potato Production,0807800000,Biliran,,,,,,,,,,,
Overall White Potato Production,0906600000,,,,,,,,,,,,
Overall White Potato Production,0907200000,Zamboanga del Norte,,,,,,6.03,,5.74,,,
Overall White Potato Production,0907300000,Zamboanga del Sur,,,,,,,,,,,
Overall White Potato Production,0907400000,Zamboanga City,,,,,,,,,,,
Overall White Potato Production,0908300000,Zamboanga Sibugay,,,,,,,,,,,
Overall White Potato Production,1001300000,Bukidnon,1279.38,4590.55,1261.38,4706.38,1102.89,4713.6,1065.74,4652.08,1128.59,4468.49,862.49
Overall White Potato Production,1001800000,Camiguin,,,,,,,,,,,
Overall White Potato Production,1003500000,Lanao del Norte,,,,,,,,,,,10.04
Overall White Potato Production,1004200000,Misamis Occidental,,,,,,,,,,,
Overall White Potato Production,1004300000,Misamis Oriental,,,,,,,,,1.52,,1.5
Overall White Potato Production,1102300000,Davao del Norte,,,,,,,,,0.51,,0.49
Overall White Potato Production,1102400000,Davao del Sur,3373.71,8616.7,3418.53,8257.67,3273.11,7684.82,3286.25,7505.56,3270.1,7176.82,2109.16
Overall White Potato Production,1102500000,Davao Oriental,,,,,,,,,,,
