Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Winged Beans Production,0102800000,Ilocos Norte,58.94,50.29,61.72,47.34,63.0,47.1,63.18,47.96,62.63,43.54,47.93
Overall Winged Beans Production,0102900000,Ilocos Sur,16.31,14.65,18.59,14.67,17.85,13.19,11.85,12.99,16.3,15.95,10.76
Overall Winged Beans Production,0103300000,La Union,27.12,23.16,28.34,24.28,29.73,24.07,30.74,22.41,32.47,20.14,18.25
Overall Winged Beans Production,0105500000,Pangasinan,50.7,27.98,46.8,29.31,43.49,20.31,45.01,20.82,42.91,20.43,28.66
Overall Winged Beans Production,0200900000,Batanes,0.09,0.43,0.16,0.26,0.18,0.35,0.47,0.14,0.96,0.75,1.91
Overall Winged Beans Production,0201500000,Cagayan,8.58,58.57,12.87,54.2,8.52,50.6,7.96,8.69,10.07,19.48,9.28
Overall Winged Beans Production,0203100000,Isabela,56.09,61.52,54.84,58.55,52.84,55.21,50.66,55.23,49.3,51.08,4.4
Overall Winged Beans Production,0205000000,Nueva Vizcaya,2.28,5.24,2.88,5.05,2.99,4.36,2.62,5.14,2.81,5.14,1.89
Overall Winged Beans Production,0205700000,Quirino,11.76,18.41,12.9,19.16,14.11,18.7,13.51,20.07,13.76,18.77,13.92
Overall Winged Beans Production,0300800000,Bataan,,,,,,,,,,0.01,
Overall Winged Beans Production,0301400000,Bulacan,12.97,12.85,12.04,12.58,14.08,6.55,17.0,10.6,14.37,10.66,2.89
Overall Winged Beans Production,0304900000,Nueva Ecija,5.07,35.43,5.2,36.95,5.5,33.26,5.07,32.47,5.65,32.11,0.5
Overall Winged Beans Production,0305400000,Pampanga,,4.13,,4.08,,4.05,,4.04,,4.06,
Overall Winged Beans Production,0306900000,Tarlac,6.5,0.62,6.35,0.64,6.34,,6.52,11.44,7.06,10.57,5.2
Overall Winged Beans Production,0307100000,Zambales,21.23,15.34,15.1,16.47,17.7,12.54,14.58,18.6,5.75,9.25,0.23
Overall Winged Beans Production,0307700000,Aurora,,,,,,1.77,13.96,1.53,9.22,10.16,8.26
Overall Winged Beans Production,0401000000,Batangas,1.0,9.63,0.92,6.28,0.73,10.0,3.5,8.2,10.5,8.73,2.54
Overall Winged Beans Production,0402100000,Cavite,2.53,3.34,2.04,2.65,1.55,0.18,1.63,8.37,1.73,7.98,1.75
Overall Winged Beans Production,0403400000,Laguna,5.41,4.03,5.63,3.93,5.55,6.01,5.24,4.94,6.06,4.53,5.01
Overall Winged Beans Production,0405600000,Quezon,12.58,8.67,13.74,7.86,12.25,7.9,13.03,7.38,14.29,7.14,13.18
Overall Winged Beans Production,0405800000,Rizal,,,,,,0.4,0.1,0.83,0.16,1.84,0.13
Overall Winged Beans Production,0500500000,Albay,154.22,83.68,163.47,118.92,171.64,91.73,132.97,109.55,158.4,86.11,48.9
Overall Winged Beans Production,0501600000,Camarines Norte,2.6,1.37,2.04,0.89,2.44,1.83,2.22,2.69,1.94,2.91,1.11
