Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Yellow Corn Production,0102800000,Ilocos Norte,6031.0,2111.0,98.0,406.0,5774.0,2398.0,71.0,442.0,6105.0,2783.0,75.0,516.0,6060.0,3048.0,123.0,456.0,5979.0,3283.0,191.0,606.0,6048.0,3038.0
Yellow Corn Production,0102900000,Ilocos Sur,8109.0,6541.0,371.0,240.0,9548.0,5998.0,334.0,461.0,10198.0,6267.0,70.0,214.0,8590.0,6481.0,188.0,164.0,8146.0,6037.0,197.0,174.0,7290.0,6204.0
Yellow Corn Production,0103300000,La Union,3088.0,1509.0,7.0,0.0,3463.0,1536.0,11.0,0.0,3400.58,1545.0,14.0,0.0,3431.79,1535.0,7.0,0.0,3416.0,1468.95,7.6,0.0,3351.13,1232.03
Yellow Corn Production,0105500000,Pangasinan,38843.0,15748.0,393.0,324.0,39807.0,15748.0,388.0,347.0,37546.0,18676.0,523.0,324.0,37365.0,18669.0,478.0,384.0,36732.0,18721.0,450.0,441.0,37695.0,18492.0
Yellow Corn Production,0200900000,Batanes,24.0,32.45,4.0,15.0,13.2,36.0,2.5,29.64,18.0,30.0,10.83,19.8,21.5,25.8,9.5,8.5,15.0,25.0,12.0,17.0,15.0,26.0
Yellow Corn Production,0201500000,Cagayan,36125.0,33518.0,27618.0,36678.0,37087.0,36746.0,42812.0,20534.0,39694.0,33273.0,41819.0,21957.0,43240.0,28013.0,43867.0,20272.0,46905.0,26322.0,38279.0,23549.0,26273.0,48687.0
Yellow Corn Production,0203100000,Isabela,68018.0,51697.0,47213.0,74740.11,68230.0,51768.0,57728.0,63252.0,79968.0,43125.0,71270.0,50806.0,98269.0,23216.0,87449.0,34971.49,52301.0,64832.83,76881.0,44615.0,47156.0,60379.0
Yellow Corn Production,0205000000,Nueva Vizcaya,5558.0,2826.0,4448.0,3658.57,7136.0,1898.0,5954.0,2200.0,6415.0,2619.0,4489.0,2990.0,6975.0,1412.0,2855.0,5833.0,3862.89,4628.06,4705.0,4191.0,2109.0,5906.0
Yellow Corn Production,0205700000,Quirino,11108.0,7701.0,3526.0,10765.0,8612.0,9990.0,4625.0,15710.0,8609.96,10805.0,7828.0,10954.0,11400.0,8595.0,7538.0,12650.0,8345.8,11282.0,5568.0,14703.0,7502.0,8361.87
Yellow Corn Production,0300800000,Bataan,422.0,280.0,62.0,115.93,433.0,261.0,56.13,73.0,411.0,160.97,34.1,66.0,367.13,160.97,38.43,35.0,100.9,131.5,32.0,18.0,84.0,131.65
Yellow Corn Production,0301400000,Bulacan,0.0,25.0,0.0,0.0,50.0,48.0,5.0,10.57,5.0,5.0,5.0,31.7,8.46,18.0,4.0,57.0,15.0,17.0,0.0,53.0,14.0,62.0
Yellow Corn Production,0304900000,Nueva Ecija,1085.0,3996.0,1650.0,280.0,1358.0,2300.0,2500.0,375.0,940.0,2432.04,994.0,480.0,586.77,1450.0,450.0,400.0,600.0,1500.0,445.0,398.0,495.0,1824.0
Yellow Corn Production,0305400000,Pampanga,8001.0,2196.0,0.0,0.0,6512.0,2797.0,29.3,32.82,5703.0,3588.0,19.58,34.0,5570.05,2870.4,20.0,35.36,5567.0,2355.0,19.0,32.0,5613.35,2938.0
Yellow Corn Production,0306900000,Tarlac,9857.0,9164.0,522.0,28.0,9807.0,9215.0,464.0,62.0,9872.0,9565.0,487.0,120.0,9967.0,9680.0,475.0,110.0,9970.0,9685.0,460.0,95.0,9915.0,9768.0
Yellow Corn Production,0307100000,Zambales,60.0,77.0,166.0,10.0,60.0,190.0,3.2,11.47,140.0,196.0,6.0,6.4,416.0,103.0,4.5,5.0,150.0,354.0,5.0,0.0,370.0,150.0
Yellow Corn Production,0307700000,Aurora,536.0,937.0,786.0,353.0,760.0,1104.0,763.0,250.0,867.0,670.0,670.0,211.0,960.0,947.5,802.0,169.0,831.0,997.0,515.0,317.0,412.0,1170.0
Yellow Corn Production,0401000000,Batangas,249.0,311.0,549.0,220.0,331.0,130.0,568.0,459.0,592.0,318.0,208.0,478.0,545.0,189.5,287.0,491.05,554.0,334.7,480.0,355.0,636.0,361.0
Yellow Corn Production,0402100000,Cavite,25.0,12.0,65.3,23.5,55.0,8.64,63.0,27.0,41.0,25.0,71.3,26.0,46.0,6.0,27.5,15.95,63.0,38.0,58.0,9.0,59.0,85.0
Yellow Corn Production,0403400000,Laguna,228.0,65.0,43.1,54.0,220.0,78.0,62.0,50.0,232.0,41.0,45.0,99.0,216.0,47.57,40.0,108.5,213.55,285.1,55.3,133.2,113.63,11.5
Yellow Corn Production,0405600000,Quezon,3470.0,1582.0,2742.0,2473.0,3159.0,1007.0,2017.0,2521.0,2414.0,998.0,1757.0,2163.0,2201.5,1379.47,1429.0,2076.66,2178.0,1564.0,1582.0,1409.0,1735.0,1600.0
Yellow Corn Production,0405800000,Rizal,52.0,51.0,83.0,68.0,30.0,29.0,25.0,66.0,72.0,47.0,15.0,115.0,82.0,42.9,59.0,83.51,67.0,44.0,18.0,38.0,78.0,173.0
Yellow Corn Production,0500500000,Albay,2370.0,8962.0,1970.0,3325.0,2380.0,8936.0,1665.0,2792.0,2446.0,7823.0,1270.0,2500.0,2135.0,4570.0,1680.0,2450.0,2200.0,2375.0,1536.0,2128.0,1968.0,1755.0
Yellow Corn Production,0501600000,Camarines Norte,54.0,49.0,70.0,0.0,52.0,24.0,70.0,33.43,52.0,32.0,72.0,72.0,51.0,91.9,71.0,35.0,0.0,32.0,69.5,46.0,0.0,31.0
Yellow Corn Production,0501700000,Camarines Sur,7461.0,13700.0,12258.0,7417.0,7088.0,12848.0,12350.0,7405.0,7125.0,12690.0,12185.0,7305.0,7100.0,12660.0,12353.0,7195.0,7225.0,12630.0,12395.0,7140.0,7270.0,12635.0
Yellow Corn Production,0502000000,Catanduanes,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
