Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Yellow Corn Production,0102800000,Ilocos Norte,8142.0,504.0,8172.0,513.0,8888.0,591.0,9108.0,579.0,9262.0,797.0,9086.0
Yellow Corn Production,0102900000,Ilocos Sur,14650.0,611.0,15546.0,795.0,16465.0,284.0,15071.0,352.0,14183.0,371.0,13494.0
Yellow Corn Production,0103300000,La Union,4597.0,7.0,4999.0,11.0,4945.58,14.0,4966.79,7.0,4884.95,7.6,4583.16
Yellow Corn Production,0105500000,Pangasinan,54591.0,717.0,55555.0,735.0,56222.0,847.0,56034.0,862.0,55453.0,891.0,56187.0
Yellow Corn Production,0200900000,Batanes,56.45,19.0,49.2,32.14,48.0,30.63,47.3,18.0,40.0,29.0,41.0
Yellow Corn Production,0201500000,Cagayan,69643.0,64296.0,73833.0,63346.0,72967.0,63776.0,71253.0,64139.0,73227.0,61828.0,74960.0
Yellow Corn Production,0203100000,Isabela,119715.0,121953.11,119998.0,120980.0,123093.0,122076.0,121485.0,122420.49,117133.83,121496.0,107535.0
Yellow Corn Production,0205000000,Nueva Vizcaya,8384.0,8106.57,9034.0,8154.0,9034.0,7479.0,8387.0,8688.0,8490.95,8896.0,8015.0
Yellow Corn Production,0205700000,Quirino,18809.0,14291.0,18602.0,20335.0,19414.96,18782.0,19995.0,20188.0,19627.8,20271.0,15863.87
Yellow Corn Production,0300800000,Bataan,702.0,177.93,694.0,129.13,571.97,100.1,528.1,73.43,232.4,50.0,215.65
Yellow Corn Production,0301400000,Bulacan,25.0,0.0,98.0,15.57,10.0,36.7,26.46,61.0,32.0,53.0,76.0
Yellow Corn Production,0304900000,Nueva Ecija,5081.0,1930.0,3658.0,2875.0,3372.04,1474.0,2036.77,850.0,2100.0,843.0,2319.0
Yellow Corn Production,0305400000,Pampanga,10197.0,0.0,9309.0,62.13,9291.0,53.58,8440.45,55.36,7922.0,51.0,8551.35
Yellow Corn Production,0306900000,Tarlac,19021.0,550.0,19022.0,526.0,19437.0,607.0,19647.0,585.0,19655.0,555.0,19683.0
Yellow Corn Production,0307100000,Zambales,137.0,176.0,250.0,14.67,336.0,12.4,519.0,9.5,504.0,5.0,520.0
Yellow Corn Production,0307700000,Aurora,1473.0,1139.0,1864.0,1013.0,1537.0,881.0,1907.5,971.0,1828.0,832.0,1582.0
Yellow Corn Production,0401000000,Batangas,560.0,769.0,461.0,1027.0,910.0,686.0,734.5,778.05,888.7,835.0,997.0
Yellow Corn Production,0402100000,Cavite,37.0,88.8,63.64,90.0,66.0,97.3,52.0,43.45,101.0,67.0,144.0
Yellow Corn Production,0403400000,Laguna,293.0,97.1,298.0,112.0,273.0,144.0,263.57,148.5,498.65,188.5,125.13
Yellow Corn Production,0405600000,Quezon,5052.0,5215.0,4166.0,4538.0,3412.0,3920.0,3580.97,3505.66,3742.0,2991.0,3335.0
Yellow Corn Production,0405800000,Rizal,103.0,151.0,59.0,91.0,119.0,130.0,124.9,142.51,111.0,56.0,251.0
Yellow Corn Production,0500500000,Albay,11332.0,5295.0,11316.0,4457.0,10269.0,3770.0,6705.0,4130.0,4575.0,3664.0,3723.0
Yellow Corn Production,0501600000,Camarines Norte,103.0,70.0,76.0,103.43,84.0,144.0,142.9,106.0,32.0,115.5,31.0
Yellow Corn Production,0501700000,Camarines Sur,21161.0,19675.0,19936.0,19755.0,19815.0,19490.0,19760.0,19548.0,19855.0,19535.0,19905.0
Yellow Corn Production,0502000000,Catanduanes,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
Yellow Corn Production,0504100000,Masbate,220.0,474.0,225.0,509.0,323.0,540.0,296.0,989.0,533.0,776.0,471.0
Yellow Corn Production,0506200000,Sorsogon,46.0,40.0,46.0,28.0,41.0,26.0,39.0,24.0,28.0,19.3,28.0
Yellow Corn Production,0600400000,Aklan,467.0,383.0,435.64,309.72,428.9,335.0,175.0,129.0,165.0,101.45,85.0
Yellow Corn Production,0600600000,Antique,1403.0,307.4,1396.0,301.89,1566.0,282.0,1179.0,124.0,1217.0,643.0,1370.0
Yellow Corn Production,0601900000,Capiz,6915.0,7462.0,7789.0,7114.0,7913.0,6905.0,8185.0,7022.0,7182.0,9005.5,7160.0
Yellow Corn Production,0603000000,Iloilo,11038.0,11994.0,11900.0,9785.0,12394.0,10667.0,10391.0,9900.0,10704.08,12350.0,11022.0
