Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Yellow Corn Production,0102800000,Ilocos Norte,38056.0,13130.0,557.0,2399.0,36723.0,14772.0,418.0,2630.0,38095.2,16726.0,341.0,2879.0,37814.0,18563.0,712.0,2590.0,37309.0,20256.11,1047.28,3539.0,38465.0,18786.83
Yellow Corn Production,0102900000,Ilocos Sur,51248.0,41208.0,2023.0,1308.0,58630.0,35998.0,1957.0,2734.0,63533.0,37727.0,325.0,1348.0,52399.0,38694.0,1089.0,1017.0,49859.0,35500.0,1105.0,1065.0,44620.0,35921.0
Yellow Corn Production,0103300000,La Union,18960.0,8662.0,34.16,0.0,21301.0,8786.0,53.9,0.0,21015.61,9102.6,68.88,0.0,21210.0,8962.0,34.64,0.0,21110.88,8499.44,37.99,0.0,20710.45,7037.83
Yellow Corn Production,0105500000,Pangasinan,243546.0,99055.0,2165.0,1902.0,251978.0,98582.0,2177.0,1995.0,239168.0,113737.0,2861.0,1863.0,239136.0,113694.0,2643.0,2193.0,236187.0,113636.0,2524.0,2507.0,242379.0,117054.0
Yellow Corn Production,0200900000,Batanes,77.52,105.45,6.8,23.85,44.5,131.76,7.52,91.41,67.5,106.0,32.5,59.0,73.5,83.5,31.0,15.75,50.4,75.8,39.48,52.36,51.45,71.5
Yellow Corn Production,0201500000,Cagayan,165091.0,148819.0,118481.0,152947.0,183024.0,169399.0,173818.54,76591.0,186959.0,170357.0,176894.0,86730.0,198472.0,123817.0,203104.0,84737.0,205444.0,119765.0,165174.0,98905.0,117966.0,199616.0
Yellow Corn Production,0203100000,Isabela,316283.0,235546.72,189471.0,328685.0,319665.74,239535.0,253054.0,274971.0,364195.7,198169.28,314009.43,208787.92,438949.0,96941.0,401020.98,150552.0,238601.88,299779.41,362536.08,195566.58,211007.0,237688.3
Yellow Corn Production,0205000000,Nueva Vizcaya,24810.0,12586.0,20371.0,16166.0,32826.0,8797.74,27654.0,9609.0,29952.73,12483.0,19563.0,12877.0,30065.3,5563.0,13541.0,26715.0,18297.0,21520.69,21675.0,18566.13,9153.0,25986.4
Yellow Corn Production,0205700000,Quirino,50430.0,34963.0,12940.0,41553.0,39357.0,46253.7,21044.0,67395.0,39606.0,50135.2,34756.0,46554.0,49362.0,35110.0,33921.0,54015.0,36889.0,50430.0,25072.54,62133.61,32858.76,30019.0
Yellow Corn Production,0300800000,Bataan,2489.8,1979.0,325.0,538.15,3074.0,1769.0,273.79,374.0,2634.51,1059.18,160.27,319.7,2408.37,1030.21,189.0,171.68,649.8,867.9,185.6,109.35,546.0,841.27
Yellow Corn Production,0301400000,Bulacan,0.0,108.25,0.0,0.0,260.0,224.0,23.05,47.43,28.5,25.9,22.5,160.0,41.0,85.0,17.0,256.0,80.0,86.0,0.0,297.0,80.0,351.0
Yellow Corn Production,0304900000,Nueva Ecija,7670.95,27972.0,11962.5,1960.0,9641.8,16330.0,17983.0,2643.75,6852.6,17024.28,7107.1,3360.0,4166.07,10222.5,3150.0,2800.0,3939.0,10545.0,2744.55,2758.14,3484.8,12786.24
Yellow Corn Production,0305400000,Pampanga,52181.07,13022.0,0.0,0.0,41090.72,18306.91,177.0,173.22,37868.0,23393.76,92.26,173.0,24704.22,17794.0,96.0,180.25,32400.0,13517.0,85.88,165.23,33565.74,17216.68
Yellow Corn Production,0306900000,Tarlac,69230.0,64519.0,3550.0,190.0,68845.0,65525.0,3120.0,419.0,69696.32,68007.0,3121.0,804.0,70068.0,67755.0,3186.0,735.0,70180.0,67795.0,3128.0,644.0,69942.0,68864.0
Yellow Corn Production,0307100000,Zambales,300.6,459.0,980.0,50.0,350.0,1121.0,15.5,52.84,868.0,1138.79,28.8,38.0,2080.0,489.25,23.0,26.0,780.0,2005.0,27.85,0.0,2146.0,879.0
Yellow Corn Production,0307700000,Aurora,2578.0,5332.0,4111.0,1920.32,4560.0,6266.0,4387.0,1128.0,5471.0,3451.0,2666.67,886.0,5347.2,5233.0,3920.0,567.84,3290.76,4885.3,2446.25,951.0,2051.76,6182.1
Yellow Corn Production,0401000000,Batangas,1245.0,1380.0,2388.15,1019.0,1319.0,543.0,2511.44,1828.78,2307.5,1411.75,912.7,2087.8,2101.62,747.12,1024.45,1904.26,2471.67,1545.24,1504.0,1198.52,2880.58,1691.73
Yellow Corn Production,0402100000,Cavite,33.9,16.6,141.1,50.4,131.56,19.5,133.95,51.75,86.6,57.25,129.9,49.82,80.0,8.2,56.44,30.31,188.4,135.5,113.3,23.4,210.42,237.4
Yellow Corn Production,0403400000,Laguna,788.0,214.0,243.0,258.0,903.3,299.0,345.0,217.31,1016.7,211.0,236.25,473.0,879.52,189.34,238.0,489.82,923.26,1416.45,235.03,547.45,477.25,45.08
Yellow Corn Production,0405600000,Quezon,10199.0,5731.0,10287.0,8510.0,10675.0,3581.0,7820.0,7821.0,7750.0,3696.0,6678.0,8511.0,8075.44,3937.58,5315.02,5138.35,8097.2,6173.0,6089.0,2922.17,6601.0,6134.0
Yellow Corn Production,0405800000,Rizal,221.0,229.5,335.0,273.0,122.73,131.95,115.25,259.0,287.28,195.0,59.25,380.0,335.38,166.31,165.2,215.46,229.81,173.36,50.76,147.06,361.14,783.69
Yellow Corn Production,0500500000,Albay,6276.0,23026.0,6095.0,10316.0,7412.0,29211.0,5391.0,8448.0,7900.0,26241.0,4074.7,7434.0,6796.3,14649.0,4921.0,6725.0,6592.0,7533.0,4517.84,5668.0,6245.0,4905.69
Yellow Corn Production,0501600000,Camarines Norte,210.6,208.25,301.0,0.0,200.0,104.0,286.45,150.99,201.76,137.6,308.16,325.44,196.86,222.5,298.54,157.85,0.0,70.4,291.21,178.02,0.0,85.25
Yellow Corn Production,0501700000,Camarines Sur,30324.0,58238.0,52169.0,31157.0,29183.0,52819.0,53914.0,31800.0,28534.0,51433.0,48978.0,31000.0,28139.0,50206.0,48794.0,25018.0,29242.0,50270.0,50970.0,27552.0,29590.0,50252.0
Yellow Corn Production,0502000000,Catanduanes,40.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88
Yellow Corn Production,0504100000,Masbate,300.0,296.0,677.0,334.0,316.0,298.0,780.0,596.13,451.54,296.0,788.0,679.0,398.0,254.0,772.0,2150.0,700.0,710.0,1448.0,1167.0,605.0,873.0
Yellow Corn Production,0506200000,Sorsogon,39.6,66.4,25.0,71.0,45.0,64.96,19.2,47.2,38.4,56.5,16.73,44.84,35.25,52.8,18.4,34.4,22.0,37.44,11.92,20.35,21.9,31.5
Yellow Corn Production,0600400000,Aklan,281.0,898.0,774.0,325.33,214.88,735.76,692.12,231.23,182.04,1143.99,843.68,196.88,278.0,219.0,220.16,164.0,202.68,272.0,191.81,124.25,122.77,139.0
Yellow Corn Production,0600600000,Antique,2431.0,4408.0,993.83,128.96,2170.0,4618.0,998.0,307.49,3170.77,4715.28,882.08,296.4,1370.75,3543.36,434.71,99.78,1384.0,4055.44,1729.88,793.5,2755.93,5004.1
