Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Yellow Corn Production,0102800000,Ilocos Norte,51186.0,2956.0,51495.0,3048.0,54821.2,3220.0,56377.0,3302.0,57565.11,4586.28,57251.83
Yellow Corn Production,0102900000,Ilocos Sur,92456.0,3331.0,94628.0,4691.0,101260.0,1673.0,91093.0,2106.0,85359.0,2170.0,80541.0
Yellow Corn Production,0103300000,La Union,27622.0,34.16,30087.0,53.9,30118.21,68.88,30172.0,34.64,29610.32,37.99,27748.29
Yellow Corn Production,0105500000,Pangasinan,342601.0,4067.0,350560.0,4172.0,352905.0,4724.0,352830.0,4836.0,349823.0,5031.0,359433.0
Yellow Corn Production,0200900000,Batanes,182.97,30.65,176.26,98.93,173.5,91.5,157.0,46.75,126.2,91.84,122.95
Yellow Corn Production,0201500000,Cagayan,313910.0,271428.0,352423.0,250409.54,357316.0,263624.0,322289.0,287841.0,325209.0,264079.0,317582.0
Yellow Corn Production,0203100000,Isabela,551829.72,518156.0,559200.74,528025.0,562364.98,522797.35,535890.0,551572.98,538381.29,558102.66,448695.3
Yellow Corn Production,0205000000,Nueva Vizcaya,37396.0,36537.0,41623.74,37263.0,42435.73,32440.0,35628.3,40256.0,39817.69,40241.13,35139.4
Yellow Corn Production,0205700000,Quirino,85393.0,54493.0,85610.7,88439.0,89741.2,81310.0,84472.0,87936.0,87319.0,87206.15,62877.76
Yellow Corn Production,0300800000,Bataan,4468.8,863.15,4843.0,647.79,3693.69,479.97,3438.58,360.68,1517.7,294.95,1387.27
Yellow Corn Production,0301400000,Bulacan,108.25,0.0,484.0,70.48,54.4,182.5,126.0,273.0,166.0,297.0,431.0
Yellow Corn Production,0304900000,Nueva Ecija,35642.95,13922.5,25971.8,20626.75,23876.88,10467.1,14388.57,5950.0,14484.0,5502.69,16271.04
Yellow Corn Production,0305400000,Pampanga,65203.07,0.0,59397.63,350.22,61261.76,265.26,42498.22,276.25,45917.0,251.11,50782.42
Yellow Corn Production,0306900000,Tarlac,133749.0,3740.0,134370.0,3539.0,137703.32,3925.0,137823.0,3921.0,137975.0,3772.0,138806.0
Yellow Corn Production,0307100000,Zambales,759.6,1030.0,1471.0,68.34,2006.79,66.8,2569.25,49.0,2785.0,27.85,3025.0
Yellow Corn Production,0307700000,Aurora,7910.0,6031.32,10826.0,5515.0,8922.0,3552.67,10580.2,4487.84,8176.06,3397.25,8233.86
Yellow Corn Production,0401000000,Batangas,2625.0,3407.15,1862.0,4340.22,3719.25,3000.5,2848.74,2928.71,4016.91,2702.52,4572.31
Yellow Corn Production,0402100000,Cavite,50.5,191.5,151.06,185.7,143.85,179.72,88.2,86.75,323.9,136.7,447.82
Yellow Corn Production,0403400000,Laguna,1002.0,501.0,1202.3,562.31,1227.7,709.25,1068.86,727.82,2339.71,782.48,522.33
Yellow Corn Production,0405600000,Quezon,15930.0,18797.0,14256.0,15641.0,11446.0,15189.0,12013.02,10453.37,14270.2,9011.17,12735.0
Yellow Corn Production,0405800000,Rizal,450.5,608.0,254.68,374.25,482.28,439.25,501.69,380.66,403.17,197.82,1144.83
Yellow Corn Production,0500500000,Albay,29302.0,16411.0,36623.0,13839.0,34141.0,11508.7,21445.3,11646.0,14125.0,10185.84,11150.69
Yellow Corn Production,0501600000,Camarines Norte,418.85,301.0,304.0,437.44,339.36,633.6,419.36,456.39,70.4,469.23,85.25
Yellow Corn Production,0501700000,Camarines Sur,88562.0,83326.0,82002.0,85714.0,79967.0,79978.0,78345.0,73812.0,79512.0,78522.0,79842.0
Yellow Corn Production,0502000000,Catanduanes,40.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88
Yellow Corn Production,0504100000,Masbate,596.0,1011.0,614.0,1376.13,747.54,1467.0,652.0,2922.0,1410.0,2615.0,1478.0
Yellow Corn Production,0506200000,Sorsogon,106.0,96.0,109.96,66.4,94.9,61.57,88.05,52.8,59.44,32.27,53.4
Yellow Corn Production,0600400000,Aklan,1179.0,1099.33,950.64,923.35,1326.03,1040.56,497.0,384.16,474.68,316.06,261.77
Yellow Corn Production,0600600000,Antique,6839.0,1122.79,6788.0,1305.49,7886.05,1178.48,4914.11,534.49,5439.44,2523.38,7760.03
Yellow Corn Production,0601900000,Capiz,22115.0,33634.64,33082.2,33007.1,28913.8,33196.55,38551.4,34351.42,35274.0,44034.6,35423.16
Yellow Corn Production,0603000000,Iloilo,50139.4,61707.06,53873.14,47766.72,55884.69,51636.68,45778.58,48280.96,51892.88,52974.4,54170.51
Yellow Corn Production,0607900000,Guimaras,80.0,1086.0,106.46,1032.0,160.0,578.0,137.0,265.0,177.0,425.1,155.0
Yellow Corn Production,0701200000,Bohol,21.0,4341.0,483.0,2726.31,280.2,3687.0,213.0,4662.0,656.3,2487.76,241.6
Yellow Corn Production,0702200000,Cebu,460.0,653.0,418.0,623.0,377.0,990.0,484.0,1090.0,753.0,2743.0,745.8
Yellow Corn Production,0802600000,Eastern Samar,28.0,29.0,25.65,29.49,21.0,28.6,20.0,11.43,11.0,3.7,17.0
Yellow Corn Production,0803700000,Leyte,1210.05,1321.54,1201.9,1307.98,1173.68,1250.78,1035.27,1296.99,1079.0,1230.0,1040.0
Yellow Corn Production,0804800000,Northern Samar,1141.0,1165.4,1082.0,1172.0,1021.0,1173.0,958.0,1202.0,928.0,1193.0,884.0
Yellow Corn Production,0806000000,Samar (Western Samar),312.1,561.0,334.05,539.79,362.0,523.0,528.77,588.35,552.79,503.87,745.6
