Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Yellow Corn Production,0102800000,Ilocos Norte,6.3101,6.2198,5.6837,5.9089,6.3601,6.1601,5.8873,5.9502,6.24,6.0101,4.5467,5.5795,6.2399,6.0902,5.7886,5.6798,6.24,6.17,5.4831,5.8399,6.36,6.1839
Yellow Corn Production,0102900000,Ilocos Sur,6.3199,6.3,5.4528,5.45,6.1406,6.0017,5.8593,5.9306,6.2299,6.0199,4.6429,6.2991,6.1,5.9704,5.7926,6.2012,6.1207,5.8804,5.6091,6.1207,6.1207,5.79
Yellow Corn Production,0103300000,La Union,6.1399,5.7402,4.88,,6.151,5.7201,4.9,,6.18,5.8917,4.92,,6.1804,5.8384,4.9486,,6.18,5.7861,4.9987,,6.1801,5.7124
Yellow Corn Production,0105500000,Pangasinan,6.27,6.29,5.5089,5.8704,6.33,6.26,5.6108,5.7493,6.37,6.09,5.4704,5.75,6.4,6.09,5.5293,5.7109,6.43,6.07,5.6089,5.6848,6.43,6.33
Yellow Corn Production,0200900000,Batanes,3.23,3.2496,1.7,1.59,3.3712,3.66,3.008,3.084,3.75,3.5333,3.0009,2.9798,3.4186,3.2364,3.2632,1.8529,3.36,3.032,3.29,3.08,3.43,2.75
Yellow Corn Production,0201500000,Cagayan,4.57,4.44,4.29,4.17,4.935,4.61,4.06,3.73,4.71,5.12,4.23,3.95,4.59,4.42,4.63,4.18,4.38,4.55,4.315,4.2,4.49,4.1
Yellow Corn Production,0203100000,Isabela,4.65,4.5563,4.0131,4.3977,4.6851,4.6271,4.3836,4.3472,4.5543,4.5952,4.4059,4.1095,4.4668,4.1756,4.5858,4.305,4.5621,4.6239,4.7155,4.3834,4.4747,3.9366
Yellow Corn Production,0205000000,Nueva Vizcaya,4.4638,4.4536,4.5798,4.4187,4.6001,4.6353,4.6446,4.3677,4.6692,4.7663,4.358,4.3067,4.3104,3.9398,4.7429,4.58,4.7366,4.65,4.6068,4.43,4.34,4.4
Yellow Corn Production,0205700000,Quirino,4.54,4.5401,3.6699,3.86,4.57,4.63,4.5501,4.2899,4.6,4.64,4.44,4.25,4.33,4.0849,4.5,4.27,4.4201,4.47,4.503,4.2259,4.38,3.59
Yellow Corn Production,0300800000,Bataan,5.9,7.0679,5.2419,4.642,7.0993,6.7778,4.8778,5.1233,6.41,6.58,4.7,4.8439,6.56,6.4,4.918,4.9051,6.44,6.6,5.8,6.075,6.5,6.3902
